"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA -OUTUBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 TEMPERO MISTO,       -,2.08,-0.3,-0.74,1.86,-1.35,3.27,0.96,0.45,-3.14,0.99,0.25,-1.18,0.43,2.63,-2.61,0.85
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.3,0.77,0.38,0.5,0.43,0.39,0.52,0.56,0.21,0.16,0.72,0.14,0.7,0.02,-0.3,0.43,0.42
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.3,0.77,0.38,0.5,0.43,0.39,0.52,0.56,0.21,0.16,0.72,0.14,0.7,0.02,-0.3,0.43,0.42
 REFEIÇÃO,0.58,0.58,0.19,0.2,0.58,0.57,1.52,0.61,-0.25,0.17,0.95,0.23,0.29,-0.02,0.3,0.38,0.48
 LANCHE,-0.66,1.07,0.68,1,0.09,-0.22,-1.39,0.35,0.85,0.01,0.21,0,1.21,-0.08,-0.49,0.54,0.19
 REFRIGERANTE E ÁGUA MINERAL,1.62,2.72,1.27,-0.97,-0.57,0.94,1.48,0.17,0.76,0.12,1.5,0.28,-0.43,0.68,0.25,1.69,0.51
 CAFEZINHO,       -,3.41,       -,       -,1.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.24
 CERVEJA,1.62,-0.89,0.21,1.37,1.05,1.69,0,1.17,0.85,-0.08,2.22,-0.16,1.82,0.72,-2.1,-1.7,0.72
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,2.5,       -,       -,       -,       -,       -,       -,       -,1.38,0.94,       -,-2.28,       -,1.2
 VINHO,1.26,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.26
 DOCES,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.52,       -,       -,       -,       -,3,0.11
 SORVETE,       -,       -,       -,       -,-0.23,       -,       -,0.87,2.09,2.59,1.69,       -,0.56,-0.15,       -,1.19,0.88
 HABITAÇÃO,0.38,0.05,-0.01,0.33,-0.47,1.22,-1.41,0.33,0.98,0.17,2.03,-0.4,-0.12,0.35,-0.24,-0.15,0.02
 ENCARGOS E MANUTENÇÃO,0.66,0.09,0.08,-0.05,0,0.44,0.3,0.59,1.29,0.06,0.98,0.02,0.01,0.59,0.11,-0.16,0.23
 ALUGUEL E TAXAS,0.72,0.04,0.06,0.08,0.11,0.54,0.38,0.71,1.64,0.16,1.17,0,0.12,0.61,0.23,0,0.33
 ALUGUEL RESIDENCIAL,0.22,0.55,0.4,0.01,0.04,0.07,0.26,1.1,0.05,0.12,2.34,0.23,0.38,0.83,0.38,0.55,0.28
 CONDOMÍNIO,1.64,-0.73,-0.86,0.29,0.28,1.5,0.79,-0.7,-0.19,0.51,-0.08,-0.38,0,0.24,0.23,-0.97,0.37
 TAXA DE ÁGUA E ESGOTO,0,0,0,0,0,0,0,0.9,6.75,0,0,0,0,0,0,0,0.37
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.74,       -,       -,       -,-3.74
 REPAROS,0.75,0.07,0.46,-0.63,-0.4,0.25,0.23,0.38,-0.05,0.18,1.05,-0.12,0.31,1.07,0.4,-0.35,0.01
 FERRAGENS,       -,       -,       -,       -,       -,       -,-0.96,       -,       -,       -,0.7,       -,       -,-1.86,       -,       -,-0.55
 MATERIAL DE ELETRICIDADE,       -,       -,       -,       -,       -,-2.45,       -,       -,       -,-0.44,       -,       -,       -,       -,-1.21,       -,-1.31
 VIDRO,       -,       -,       -,       -,       -,-0.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.84
 TINTA,0.81,-0.98,-0.59,-0.26,-0.33,1.74,-1.1,1.39,0.1,1.34,0.83,-0.23,0.23,0.31,0.66,0.67,0.05
 REVESTIMENTO DE PISO E PAREDE,1.53,0.52,1.7,-4.11,-2.77,       -,0.36,-0.28,-0.69,-2.52,1.83,-1.14,       -,1.85,1.89,-1.9,-1.22
 MADEIRA E TACO,       -,0.97,       -,       -,       -,       -,       -,-0.02,       -,       -,       -,       -,       -,3.11,1,       -,0.88
 CIMENTO,       -,       -,       -,-0.71,       -,       -,-0.39,-0.08,-1.08,       -,       -,0.17,0.17,-0.07,0.01,       -,-0.37
 TIJOLO,1.07,       -,       -,       -,       -,       -,1.99,       -,       -,       -,0.72,0.95,       -,2.24,0.04,       -,1.15
 MATERIAL HIDRÁULICO,       -,       -,       -,       -,-1.13,       -,       -,       -,-2.96,       -,       -,       -,-1.53,       -,       -,       -,-1.33
 MÃO DE OBRA,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
 AREIA,-1.13,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.51,       -,       -,       -,-0.4,       -,-0.69
 PEDRAS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.45,       -,       -,1.45
 TELHA,       -,-1.13,0.04,0.26,       -,       -,0.25,       -,       -,-0.42,       -,       -,       -,       -,-1.75,       -,-0.48
 ARTIGOS DE LIMPEZA,-0.26,0.57,-0.23,-0.28,-0.43,-1.23,-0.07,-0.05,0.43,-0.92,-0.66,0.52,-0.98,-0.41,-0.86,-1.02,-0.3
 SACO PARA LIXO,       -,-1.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.15,       -,       -,       -,-1.49
 ÁGUA SANITÁRIA,-0.16,0.14,-0.12,-1.64,0.39,-0.3,1.66,0.13,0.13,       -,-1.17,       -,-2.02,1.73,-2.03,-1.46,-0.04
 DETERGENTE,-2.16,-0.82,-0.17,0.58,-0.09,-2.47,-0.99,-1.4,2.78,-2.64,0.58,0.33,-1.5,-0.44,       -,-2.84,-0.42
 SABÃO EM PÓ,-0.57,1.91,-1.34,-0.42,-3.18,-1.19,-0.14,1.48,-0.17,0.87,-0.52,-0.14,-0.66,-0.93,-0.13,-0.94,-1.03
 DESINFETANTE,-2.66,-0.8,0.6,3.23,0.83,0.34,-0.52,1.16,1.95,0.72,-1.37,1.6,       -,       -,-0.18,       -,0.48
 SABÃO EM BARRA,3.18,       -,-0.22,-1.64,       -,       -,-1.96,-2.97,0.67,       -,       -,0.33,-0.88,-1.15,-2.5,-1.08,-0.7
 ESPONJA DE LIMPEZA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.98,       -,0.17,       -,       -,       -,       -,-1.72
 SABÃO LÍQUIDO,       -,       -,       -,       -,       -,-1.06,       -,       -,       -,-2.8,       -,       -,       -,       -,       -,1.71,-1.72
 LIMPADOR MULTIUSO,       -,-0.82,       -,       -,4.12,-1.7,       -,       -,       -,1.65,       -,       -,       -,       -,       -,       -,2.78
 PAPEL TOALHA,0.88,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.88
 AMACIANTE E ALVEJANTE,1.32,1.87,1.35,-1.46,0.65,-1.14,1.33,-0.18,-2.35,-2.92,-1.13,1.14,-1.09,0.68,-0.73,-1.35,0.18
 COMBUSTÍVEIS E ENERGIA,-0.03,-0.01,-0.14,0.84,-1.7,3.42,-2.68,-0.07,0.59,0.4,4.01,-1.06,-0.27,0.2,-0.52,-0.14,-0.37
 COMBUSTÍVEIS (DOMÉSTICOS),-0.75,0.91,0.32,-0.15,0.31,-0.22,-1.1,0.94,1.63,0.43,0.47,-0.3,-1.1,0.82,0.46,-0.45,0.24
 CARVÃO VEGETAL,       -,       -,       -,       -,       -,       -,1.6,       -,       -,       -,       -,       -,       -,       -,2.83,       -,2.21
 GÁS DE BOTIJÃO,-1.12,0.91,0.32,-0.15,0.4,-0.22,-1.19,0.94,1.63,0.53,0.47,-0.3,-1.1,0.82,0.29,-0.45,0.27
 GÁS ENCANADO,0,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,0.0
 ENERGIA ELÉTRICA RESIDENCIAL,0.17,-0.34,-0.3,1.23,-2.41,4.34,-3.13,-0.47,0.15,0.38,5.28,-1.28,0,0,-1,0,-0.58
 ENERGIA ELÉTRICA RESIDENCIAL,0.17,-0.34,-0.3,1.23,-2.41,4.34,-3.13,-0.47,0.15,0.38,5.28,-1.28,0,0,-1,0,-0.58
 ARTIGOS DE RESIDÊNCIA,1.59,0.28,0.05,0.13,0.79,0.41,0.14,-0.83,0.67,-0.02,0.11,-0.18,1.51,-1.18,-0.45,1.18,0.46
 MÓVEIS E UTENSÍLIOS,1.33,1.05,-0.63,0.61,0.28,0.15,-0.26,-1.15,0.53,0.71,0.17,-0.92,0.71,-1.11,-0.53,1.37,0.29
 MOBILIÁRIO,2.12,2.18,-0.51,0.92,0.29,0.44,0.36,-1.68,0.09,1.3,0.17,-0.74,1.64,-0.53,-0.61,1.82,0.54
 MÓVEL PARA SALA,2.26,2.08,0.27,-0.84,-2.09,1.19,1.74,-0.71,1.17,1.8,0.65,-1.59,0.89,-0.76,-2.77,1.05,-0.09
 MÓVEL PARA QUARTO,2.73,2.17,-1.83,1.61,1.16,0.01,0.52,-2.01,-0.45,0.91,0.2,-0.24,2.45,-0.96,-0.18,2.2,0.63
 MÓVEL PARA COPA E COZINHA,0.04,2.88,1.88,1.58,2.73,-0.06,-2.21,-2.85,0.13,1.11,-1.04,-0.86,0.76,0.89,-0.1,2.42,1.45
 MÓVEL INFANTIL,       -,       -,       -,0.43,       -,       -,       -,0.03,-1.24,2.32,1.18,       -,1.67,1.23,-0.1,-0.35,0.7
 COLCHÃO,       -,-0.29,-1.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.69
 UTENSÍLIOS E ENFEITES,0.29,-0.51,-0.63,-0.25,-0.13,-0.86,-0.47,-0.5,0.62,0.29,-0.24,-0.27,-1.86,-2.39,-1.11,0.31,-0.23
 ARTIGOS DE ILUMINAÇÃO,-0.39,-3.27,-0.23,-1.56,-2.85,0.98,-2.58,-2.76,1.92,-2.67,       -,       -,-1.83,       -,-2.42,-0.71,-1.73
 TAPETE,-0.43,0.53,       -,       -,0.13,-0.26,0,       -,0.02,0.46,0.09,-1.73,-2.19,       -,       -,       -,0.0
 CORTINA,1.85,0.89,-1.84,-1.51,3.25,-2.7,       -,3.38,-0.65,0.75,1,-1.24,       -,       -,       -,       -,0.89
 UTENSÍLIOS DE METAL,-0.06,-0.32,-0.85,0.49,0.18,-0.8,-0.72,-1.93,0.74,1.75,-1.09,3.74,-2.33,-2.9,0.32,1.14,0.0
 UTENSÍLIOS DE VIDRO E LOUÇA,       -,       -,-0.32,-1.6,-2.31,0.08,-0.87,-1.2,0.67,-1.89,       -,-2.39,-2.15,-0.41,-2.04,-0.65,-1.39
 UTENSÍLIOS DE PLÁSTICO,       -,       -,       -,       -,       -,       -,1.13,       -,       -,       -,-0.56,       -,       -,       -,-2.5,-0.48,0.04
 FLORES NATURAIS,       -,-0.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.18
 UTENSÍLIOS PARA BEBÊ,       -,       -,1.73,2.66,       -,       -,       -,0.59,       -,       -,-0.1,-0.91,0.84,-2.81,       -,       -,0.84
" CAMA, MESA E BANHO",-1.9,-1.77,-1.15,0.22,1.19,0.56,-2.61,1.89,2.05,-1.7,1.41,-2.97,1.56,-1.47,0.96,0.76,-0.09
 ROUPA DE CAMA,-1.9,-1.77,-1.15,0.66,1.19,0.56,-2.61,1.76,2.05,-1.7,1.41,-2.97,1.98,-1.17,0.96,0.76,-0.1
 ROUPA DE BANHO,       -,       -,       -,-0.9,       -,       -,       -,2.2,       -,       -,       -,       -,0.55,-2.56,       -,       -,0.45
 APARELHOS ELETROELETRÔNICOS,1.87,-0.57,1.14,-0.38,1.09,0.56,0.39,-0.78,0.92,-1.02,0.29,0.7,2.75,-1.61,-0.37,1.22,0.58
 ELETRODOMÉSTICOS E EQUIPAMENTOS,2.87,-1.24,0.58,-0.77,2.57,2.55,1.57,-0.75,1.59,-1.23,1.4,0.75,2.79,-1.39,0.48,2.55,1.16
 REFRIGERADOR,3.33,-2.26,2.05,-3.54,1.51,2.34,0.37,-1.27,2.45,-1.71,1.81,-2.2,2.58,-1.82,0.29,2.88,0.75
 AR-CONDICIONADO,6.56,2.08,       -,3.95,10.69,9.32,3.49,1.8,5.72,2.86,3.32,7.85,9.63,1.9,       -,6.35,6.09
 MÁQUINA DE LAVAR ROUPA,0.93,-1.17,-0.84,1.5,0.75,0.05,2.04,-1.15,-0.85,-0.71,-0.76,1,2.72,-2.82,0.63,0.07,0.11
 VENTILADOR,       -,       -,       -,0.95,       -,       -,-0.15,-1.98,       -,       -,       -,       -,0.4,-0.86,1.73,1.7,0.2
 FOGÃO,0.91,-2.41,0.55,-1.89,3.34,2.79,3.86,-0.11,-0.62,-2.81,1.53,1.86,-0.43,-2.67,-0.22,1.59,0.87
 CHUVEIRO ELÉTRICO,       -,       -,-1.36,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.36
" TV, SOM E INFORMÁTICA",0.62,0.64,1.95,0.12,-0.91,-1.84,-1.06,-0.82,-0.17,-0.73,-1.65,0.63,2.67,-2.13,-1.63,-0.35,-0.25
 TELEVISOR,-1.22,0.11,1.13,0.74,-1.96,-2.3,0.05,-1.17,-0.43,-0.95,-0.13,0,2.76,-3.41,-2.67,0.45,-0.82
 APARELHO DE SOM,       -,       -,       -,0.12,       -,       -,       -,       -,0.04,       -,       -,       -,       -,       -,-1.63,-0.35,-0.3
 VIDEOGAME (CONSOLE),       -,       -,       -,-0.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.19
 COMPUTADOR PESSOAL,3.95,1.69,3.27,-0.58,0.73,-1.42,-3.01,-0.36,0.26,-0.4,-3.45,1.74,2.49,0.54,2.29,-1.59,0.66
 CONSERTOS E MANUTENÇÃO,1.44,-0.25,-0.96,0.02,2.08,1.4,0.43,1.02,-0.03,0.25,-0.71,-0.23,0.11,1.58,-0.41,-0.11,0.79
 CONSERTOS E MANUTENÇÃO,1.44,-0.25,-0.96,0.02,2.08,1.4,0.43,1.02,-0.03,0.25,-0.71,-0.23,0.11,1.58,-0.41,-0.11,0.79
 CONSERTO DE REFRIGERADOR,       -,-0.37,       -,0.75,       -,       -,0.61,       -,0.02,       -,2.34,       -,       -,       -,-2.9,       -,0.61
 CONSERTO DE TELEVISOR,       -,       -,       -,       -,       -,       -,-1.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.83
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,       -,-1.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.7
 REFORMA DE ESTOFADO,0.89,2.15,-0.31,1.84,0.93,1.23,       -,1.01,0.91,       -,       -,0,2.3,1.81,       -,-0.1,0.97
 CONSERTO DE APARELHO CELULAR,       -,-0.21,-1.59,-1.24,0.26,0,2.35,-0.27,-0.72,-0.64,-0.98,-0.35,-0.14,0.82,-0.11,-2.01,-0.32
 CONSERTO DE BICICLETA,1.54,-0.4,-0.83,-0.66,2.54,2.11,-0.44,1.78,-0.16,0.47,-2.04,-0.23,-0.4,1.79,0.82,1.7,1.17
 VESTUÁRIO,1.28,0.43,1.21,0.5,-0.2,0.11,0.66,0.89,0.78,0.2,0.89,0.35,1.5,-0.72,0.89,-0.04,0.45
 ROUPAS,1.15,0.59,0.93,0.46,-0.25,0.2,1.45,0.67,0.7,0.18,0.82,0.48,1.64,-0.84,1.21,-0.42,0.44
 ROUPA MASCULINA,1.26,0.19,0.33,0.64,-0.1,0.3,1.68,1,0.85,0.52,1.12,0.74,2.1,-1.46,1.78,-1.22,0.5
 CALÇA COMPRIDA MASCULINA,-1.88,-0.92,-1.04,0.37,-2.94,-0.35,-0.46,1.32,-0.17,2.53,0.17,0.13,1.62,-2.01,0.17,-3.17,-0.98
 AGASALHO MASCULINO,       -,-1.6,       -,       -,       -,       -,       -,       -,       -,-0.05,       -,       -,       -,       -,       -,       -,-1.05
 BERMUDA/SHORT MASCULINO,1.27,0.52,0.61,0.28,0.52,-1.2,1.71,1.03,0.98,-1.4,0.77,0.03,1.85,-1.71,1.32,-0.24,0.63
 CUECA,       -,       -,       -,       -,       -,       -,1.51,       -,       -,       -,       -,       -,       -,-2.57,1.28,       -,1.15
 CAMISA/CAMISETA MASCULINA,2.11,1.26,1,0.93,1.18,0.86,2.8,0.89,1.24,-0.15,1.84,1.24,2.44,-0.89,2.83,-0.84,1.24
 ROUPA FEMININA,1.36,0.48,1.56,0.28,-0.43,0.3,1.23,0.99,0.4,-0.67,0.35,0.38,1.22,-0.71,0.68,0.18,0.33
 CALÇA COMPRIDA FEMININA,2.16,0.41,0.87,0.64,-2.66,0.58,-1,2.18,1.35,-1.42,1.35,1.92,0.26,0.47,1.31,-0.06,-0.37
 AGASALHO FEMININO,       -,-1.82,1.63,       -,       -,       -,       -,       -,       -,0.56,       -,       -,1.22,       -,       -,       -,-0.33
 SAIA,       -,       -,       -,1.73,       -,       -,1.38,       -,       -,       -,       -,       -,       -,1.49,1.34,-0.3,1.34
 VESTIDO,1.65,-0.95,1.12,1.79,-3.29,-1.79,1.86,-1.18,0.69,-2.75,0.05,0.07,2.49,-1.68,1.37,1.73,-0.81
 BLUSA,0.29,1.54,2.03,-1.44,2.61,1.49,2.04,1.13,-0.64,-0.08,-0.52,-0.43,1.18,-0.92,-2.46,-0.11,1.23
 LINGERIE,       -,1.86,2.79,0.81,-0.73,       -,1.49,0.53,-0.17,0.65,1.37,       -,1.27,-0.27,1.33,0.32,0.54
 BERMUDA/SHORT FEMININO,3.92,       -,1.82,1.86,       -,       -,0.27,2.09,1.64,1.82,0.69,1.71,1.21,-1.8,3.75,-0.88,1.76
 ROUPA INFANTIL,0.32,1.62,0.53,0.52,-0.11,-0.23,1.42,-1.01,0.95,1.38,1.23,0.23,1.75,0.41,0.98,-0.11,0.54
 UNIFORME ESCOLAR,       -,       -,0,0,0,0,0,0,       -,0,0,0,       -,       -,0,0,0.0
 CALÇA COMPRIDA INFANTIL,       -,-0.9,0.57,       -,-1.26,-1.45,       -,       -,-0.84,2.03,1.37,       -,-2.06,1.66,2.12,       -,-0.34
 AGASALHO INFANTIL,       -,0.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.1
 VESTIDO INFANTIL,0.52,3.34,2.24,2.09,       -,1.37,2.23,-0.88,2.11,       -,3.03,0.16,3.29,0.44,0.44,2.48,1.93
 BERMUDA/SHORT INFANTIL,-0.48,       -,       -,-0.61,2.56,       -,1.28,-1.73,0.9,       -,       -,2.42,3.2,-0.13,1.12,1.13,1.26
 CAMISA/CAMISETA INFANTIL,1.17,2.91,2.8,1.6,-0.81,1.18,0.6,0.02,1.37,2.71,-0.55,1.16,2.06,0.76,2.39,-0.64,0.93
 CONJUNTO INFANTIL,-0.38,1.83,-2.87,-0.65,0.29,-3.03,3.49,-2.3,0.2,0.34,3.09,-1.67,2.17,-0.78,0.15,-1.78,0.0
 CALÇADOS E ACESSÓRIOS,1.47,-0.07,2.11,0.9,-0.08,0.83,-1.16,1.57,1.25,0.43,1.22,0.1,2.1,-0.52,0.06,1.11,0.59
 CALÇADOS E ACESSÓRIOS,1.47,-0.07,2.11,0.9,-0.08,0.83,-1.16,1.57,1.25,0.43,1.22,0.1,2.1,-0.52,0.06,1.11,0.59
 SAPATO MASCULINO,0.78,0.26,1.52,-0.89,0.03,2.42,-2.84,0.8,1.55,0.75,0.36,-1.51,2.34,-2.89,-0.69,0.43,0.15
 SAPATO FEMININO,2,-0.1,1.4,1.9,-1.39,1.6,-2.48,2.27,0.62,-0.93,1.09,-0.38,2.81,1.41,-1.1,1.4,-0.01
 SAPATO INFANTIL,       -,       -,       -,3.74,       -,       -,-1.57,       -,0.61,1.02,2.67,       -,2.03,0.7,2.29,3.33,1.36
 BOLSA,-0.17,-2.98,-2.81,0.48,       -,0.56,-0.94,0.37,2.52,-2.15,-0.3,       -,2.34,0.54,1.43,0.75,-0.59
 MOCHILA,       -,       -,       -,-2.45,       -,       -,2.94,3.36,       -,       -,       -,       -,       -,-0.17,-1.15,       -,0.79
 TÊNIS,1.31,-0.25,3.23,1.37,0.31,-0.67,1.93,3.3,1.03,1.4,1.64,1.31,2.22,0.68,-2.14,1.2,0.93
 SANDÁLIA/CHINELO,2.57,2.53,2.54,0.84,0.78,1.44,-0.86,0.36,1.72,1.12,1.47,-0.43,0.87,-2.62,2.21,0.82,1.31
 JOIAS E BIJUTERIAS,1.99,0.92,0.67,-0.91,-0.46,-2.79,-0.09,0.56,-0.88,-0.94,0.06,-0.28,-1.1,-0.46,1.7,0.36,-0.11
 JOIAS E BIJUTERIAS,1.99,0.92,0.67,-0.91,-0.46,-2.79,-0.09,0.56,-0.88,-0.94,0.06,-0.28,-1.1,-0.46,1.7,0.36,-0.11
 BIJUTERIA,       -,       -,1.27,       -,       -,-2.38,       -,       -,-0.24,       -,       -,       -,       -,       -,       -,2.55,0.11
 JOIA,1.52,0.27,0.41,-1.59,-1.09,-2.96,0.41,0.53,       -,-0.48,-0.29,-0.85,-1.1,1.67,1.63,-1.53,-0.44
 RELÓGIO DE PULSO,2.95,2.54,       -,0.03,1.67,       -,-1.26,0.62,-1.61,-2.4,1.69,0.95,       -,-1.7,1.9,0.8,0.78
 TECIDOS E ARMARINHO,0.94,1.51,0.69,-0.91,1.09,0.14,-0.64,-0.66,0.02,-0.56,1.73,-0.55,-0.02,1.62,-0.85,-1.58,0.29
 TECIDOS E ARMARINHO,0.94,1.51,0.69,-0.91,1.09,0.14,-0.64,-0.66,0.02,-0.56,1.73,-0.55,-0.02,1.62,-0.85,-1.58,0.29
 TECIDO,0.94,1.83,0.22,-0.91,0.82,0.14,-0.64,-0.66,0.02,-1.47,1.98,-0.54,-0.02,1.62,-0.85,-1.58,0.07
 ARTIGOS DE ARMARINHO,       -,0.99,1.54,       -,1.72,       -,       -,       -,       -,0.92,1.07,-0.56,       -,       -,       -,       -,1.33
 TRANSPORTES,0.22,-0.14,1.09,-0.38,0.47,0.9,0.78,-1.36,0.45,0.18,0.81,0.52,-0.11,0.95,-1.48,0.65,0.35
 TRANSPORTES,0.22,-0.14,1.09,-0.38,0.47,0.9,0.78,-1.36,0.45,0.18,0.81,0.52,-0.11,0.95,-1.48,0.65,0.35
 TRANSPORTE PÚBLICO,2.06,8.13,4.39,5.15,5.16,9.54,4.39,3.9,4.32,7.01,5.91,7.42,3.58,5.33,0.95,3.94,5.0
 ÔNIBUS URBANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 TÁXI,0,14.34,0,0,0.61,       -,0,0,0,       -,       -,0,0,0,0,0,1.42
 TREM,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 ÔNIBUS INTERMUNICIPAL,0,4.49,0.49,0.81,0,       -,0.09,0,2.56,0,-0.08,0.07,0.4,0,-0.78,0,0.9
 ÔNIBUS INTERESTADUAL,-1.44,       -,2.18,0.38,0.64,-1.44,-2.08,-2.02,0.54,-0.78,0.66,0.46,2.04,2.16,-2.01,0.27,-0.11
 PASSAGEM AÉREA,19.02,29.1,24.29,28.97,22.63,22.1,22.2,30.57,25.85,20.67,30.33,30.77,22.53,13.24,17.31,27.47,23.7
 METRÔ,0,       -,       -,       -,0,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 TRANSPORTE ESCOLAR,       -,0.23,-0.78,0,0,0,       -,       -,0,0,       -,0,0,       -,0,0,-0.15
 TRANSPORTE POR APLICATIVO,-2.28,-7.23,4.57,-0.2,0.09,0.41,       -,1.68,1.54,       -,-0.67,-1.77,0.78,       -,-1.28,0.86,-0.89
 INTEGRAÇÃO TRANSPORTE PÚBLICO,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 VEÍCULO PRÓPRIO,-0.42,-0.26,0.83,-0.16,-0.05,0.04,0.78,0.3,-0.04,0.3,0.8,-0.27,-0.39,0.65,-0.79,0.12,0.09
 AUTOMÓVEL NOVO,-0.44,-0.84,0.12,-0.35,-0.46,-0.08,0.57,0.6,0.12,-0.64,-0.07,-0.08,0.26,0.03,-1.37,0.58,-0.32
 EMPLACAMENTO E LICENÇA,1.25,1.24,2.97,1.24,1.86,1.15,2.12,1.27,1.22,1.13,1.24,1.24,1.27,1.21,1.73,1.26,1.63
 SEGURO VOLUNTÁRIO DE VEÍCULO,-5.68,-1.54,1.16,-3.1,-3.05,-2.72,-2.28,-2.27,-0.21,-0.83,1.4,-7.3,5.87,-1.62,-2.35,-4.4,-2.34
 MULTA,       -,0,0,0,0,0,0,0,0,0,0,       -,0,0,0,0,0.0
 ÓLEO LUBRIFICANTE,       -,-0.34,1.8,-1.2,-0.14,0.93,0.44,1.28,1.22,0.76,-0.08,       -,1.31,0.31,0.29,0.94,0.38
 ACESSÓRIOS E PEÇAS,-0.6,0.63,1.35,-1.49,0.99,0.31,-1.07,-2.79,-1.37,-0.11,0.86,0.61,-0.04,-1.22,-3.42,1.09,0.15
 PNEU,       -,-2.5,-1.57,-3.39,-2.26,-0.95,-0.77,2.03,-3.34,-1.42,1.39,-2.04,-2.01,-5.15,-2.87,1.67,-1.65
 CONSERTO DE AUTOMÓVEL,-0.37,-0.29,0.16,-0.08,-0.88,1.79,0.69,1.68,0.42,0.31,1.78,1.03,-2.1,2.99,-1.05,-0.04,-0.04
 ESTACIONAMENTO,       -,0,       -,       -,0.82,       -,       -,       -,-0.24,0.29,       -,       -,       -,       -,       -,       -,0.63
 PEDÁGIO,       -,0,       -,       -,1.99,       -,       -,       -,       -,0,       -,-0.35,       -,       -,       -,       -,1.51
 AUTOMÓVEL USADO,-0.79,-1.41,0.04,       -,-0.35,-0.8,-0.92,-1.12,-0.69,0.76,-0.07,-0.59,-1.84,-1.09,-0.92,0.24,-0.38
 PINTURA DE VEÍCULO,       -,       -,1.86,2.02,       -,       -,       -,       -,1.13,       -,       -,       -,       -,       -,       -,       -,1.68
 ALUGUEL DE VEÍCULO,-7.02,       -,       -,       -,       -,       -,0.49,       -,-3.02,       -,       -,       -,       -,       -,       -,       -,-3.42
 MOTOCICLETA,1.2,1.45,0.1,0.44,1,-0.78,-0.15,-1.65,-1.96,3.5,2.85,0.09,-0.49,0,-1.58,0.02,0.65
 COMBUSTÍVEIS (VEÍCULOS),-0.23,-3.55,0,-3.5,-0.76,-1.7,-1.08,-6.61,-1.2,-1.63,-0.24,-0.36,-0.33,0.09,-3.81,-0.55,-1.39
 GASOLINA,-0.07,-3.59,-0.11,-3.55,-0.89,-1.72,-1.11,-7.17,-1.16,-1.51,-0.35,-0.4,-0.36,-0.06,-3.94,-0.74,-1.53
 ETANOL,-0.88,       -,-0.1,-4.47,-0.53,-2.12,       -,       -,-4.19,-2.74,0.65,       -,-1.16,       -,       -,       -,-0.96
 ÓLEO DIESEL,2.3,-2.54,1.92,-0.17,0.84,-1.28,-0.45,1.16,1.35,-0.26,-1.17,0.3,0.8,1.09,-2.19,4.84,0.33
 GÁS VEICULAR,-1.3,       -,       -,       -,       -,       -,       -,0.22,       -,       -,       -,       -,       -,       -,       -,       -,-1.23
 SAÚDE E CUIDADOS PESSOAIS,0.73,0.21,0.12,-0.05,0.45,0.53,0.25,0.44,-0.4,0.13,0.47,0.29,0.65,0.26,0.34,0.5,0.32
 PRODUTOS FARMACÊUTICOS E ÓTICOS,0.98,0.37,-0.6,-0.41,0.06,1.28,-0.25,0.56,-0.86,0.51,0.17,-0.5,0.8,0.28,1.29,0.74,0.15
