"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.24,0.91,0.5,0.51,0.89,0.95,0.69,0.14,0.48,0.47,0.6,0.42,0.48,0.44,0.77,0.39,0.66
 REFEIÇÃO,0.09,0.97,0.33,0.42,0.46,0.52,0.76,0.2,0.49,0.97,0.25,0.5,0.96,0.06,0.94,0.67,0.51
 LANCHE,0.56,1.32,0.87,1.07,1.38,2.33,0.55,-0.13,0.32,-0.26,1.12,-0.12,-0.24,0.99,0.88,-0.33,0.93
 REFRIGERANTE E ÁGUA MINERAL,1.21,-1.19,1.12,0.51,1.23,-1.25,0.49,0.52,-0.38,-0.39,0.21,0.05,-0.01,0.96,0.74,-0.59,0.49
 CAFEZINHO,       -,-2.16,       -,       -,1.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.5
 CERVEJA,-0.14,0.52,-0.15,-1.29,2.47,-1.13,0.68,0.27,0.94,-0.72,-0.68,1.73,0.29,0,-0.29,-0.51,0.68
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,0.3,       -,       -,       -,       -,       -,       -,       -,2.69,1.05,       -,1.02,       -,1.07
 VINHO,1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.0
 DOCES,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.09,       -,       -,       -,       -,0.75,1.02
 SORVETE,       -,       -,       -,       -,3.2,       -,       -,1.66,0.67,0.92,2.12,       -,1.07,2.91,       -,3.33,2.23
 HABITAÇÃO,1.66,-0.23,0.25,-0.2,0.33,-0.11,-0.13,0.03,0.54,0.8,1.55,-0.16,1.97,1.15,0.33,0.96,0.48
 ENCARGOS E MANUTENÇÃO,0.29,-0.11,0.17,0.46,0.5,0.54,0.68,0.67,0.28,1.45,2.57,0.15,-0.3,0.16,0.9,0.74,0.54
 ALUGUEL E TAXAS,0.23,-0.32,0.04,0.65,0.53,0.61,0.95,0.85,0.17,1.69,3.03,0.41,-0.39,0.14,0.43,0.72,0.57
 ALUGUEL RESIDENCIAL,0.02,-0.49,0.35,0.44,0.07,1.16,1.93,1.28,0.37,3.24,1.64,0.29,-0.95,0.11,0.62,1.38,0.5
 CONDOMÍNIO,0.6,-0.53,-0.84,1.31,1.52,0.19,0.41,0.75,0.04,1.01,0.83,1.06,0.11,1.08,2.45,0.37,0.87
 TAXA DE ÁGUA E ESGOTO,0,0,0,0.38,0,0,0,0,0,0,6.55,0,0,0,0,0,0.33
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.24,       -,       -,       -,4.24
 REPAROS,0.56,0.75,0.35,-0.26,0.32,0.65,0.01,-0.71,0.2,0.31,0.33,-1.3,0.53,-0.24,1,0.51,0.31
 FERRAGENS,       -,       -,       -,       -,       -,       -,1.8,       -,       -,       -,-1.87,       -,       -,0.81,       -,       -,0.68
 MATERIAL DE ELETRICIDADE,       -,       -,       -,       -,       -,-0.06,       -,       -,       -,-0.91,       -,       -,       -,       -,2.62,       -,-0.23
 VIDRO,       -,       -,       -,       -,       -,-0.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.16
 TINTA,0.5,2.42,1.6,0.34,-0.51,2.03,1.2,0.92,0.68,0.2,-0.06,0.49,1.68,0.97,2.96,1.63,0.39
 REVESTIMENTO DE PISO E PAREDE,0.58,-0.21,-0.41,-2.37,2.24,       -,-1.78,-3.12,0.64,0.42,1.26,-3.43,       -,-3.06,1.89,0.35,0.66
 MADEIRA E TACO,       -,0.37,       -,       -,       -,       -,       -,0.47,       -,       -,       -,       -,       -,2.04,0.23,       -,0.47
 CIMENTO,       -,       -,       -,0.36,       -,       -,0.27,-1.09,-0.83,       -,       -,-1.11,-2.54,0.54,-0.8,       -,-0.48
 TIJOLO,1.34,       -,       -,       -,       -,       -,-1.93,       -,       -,       -,1.89,-2.29,       -,-0.84,2.23,       -,0.33
 MATERIAL HIDRÁULICO,       -,       -,       -,       -,-2.95,       -,       -,       -,-2.16,       -,       -,       -,0.15,       -,       -,       -,-2.79
 MÃO DE OBRA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
 AREIA,0.9,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.95,       -,       -,       -,0.83,       -,0.52
 PEDRAS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.24,       -,       -,-0.24
 TELHA,       -,0.31,-2.2,0.19,       -,       -,0.67,       -,       -,0.92,       -,       -,       -,       -,1.7,       -,0.17
 ARTIGOS DE LIMPEZA,0.44,0.11,1,0.01,0.53,-1.05,0.38,0.87,1.16,1.25,0.97,0.41,-0.39,0.99,2.23,1.16,0.62
 SACO PARA LIXO,       -,0.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.93,       -,       -,       -,-0.3
 ÁGUA SANITÁRIA,2.09,-0.15,-0.62,1.26,2.92,0.72,-1.44,-0.52,1.03,       -,-0.3,       -,-0.99,-1.58,1.25,1.27,1.25
 DETERGENTE,0.33,-0.33,-0.25,-0.77,0.66,-1.97,0.76,1.12,1.32,0.98,2.68,-1.92,-0.13,0.34,       -,2.95,0.44
 SABÃO EM PÓ,-0.56,-0.14,1.83,-0.67,-0.72,-2.92,-0.88,1.24,0.79,1.36,0.4,1.57,-0.58,1.53,3.01,0.16,0.16
 DESINFETANTE,1.1,1.15,1.44,0.53,1.98,2.65,2.57,1.63,2.1,1.64,0.61,1.1,       -,       -,1.62,       -,1.63
 SABÃO EM BARRA,2.79,       -,2.15,-0.41,       -,       -,1.11,0.47,2.51,       -,       -,1.71,-0.39,0.46,1.05,-0.91,1.23
 ESPONJA DE LIMPEZA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.73,       -,2.33,       -,       -,       -,       -,-1.22
 SABÃO LÍQUIDO,       -,       -,       -,       -,       -,2.15,       -,       -,       -,1.66,       -,       -,       -,       -,       -,2.99,1.97
 LIMPADOR MULTIUSO,       -,-1.07,       -,       -,2.42,0.55,       -,       -,       -,1.47,       -,       -,       -,       -,       -,       -,1.68
 PAPEL TOALHA,3.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.5
 AMACIANTE E ALVEJANTE,-0.05,0.72,1.03,1.57,0.12,-1.28,1.19,0.74,0.47,1.78,1.51,-0.48,0.29,1.16,2.27,2.22,0.59
 COMBUSTÍVEIS E ENERGIA,3.78,-0.44,0.38,-1.08,-0.08,-1.87,-0.75,-0.92,0.88,-0.5,-0.18,-0.63,4.63,1.77,-0.15,1.33,0.38
 COMBUSTÍVEIS (DOMÉSTICOS),-0.99,1.57,1.18,-1.78,-0.39,-0.36,0.76,0.15,0.25,1.21,1.25,-1.2,0.41,0.05,-0.93,0.58,0.12
 CARVÃO VEGETAL,       -,       -,       -,       -,       -,       -,-0.48,       -,       -,       -,       -,       -,       -,       -,-0.48,       -,-0.48
 GÁS DE BOTIJÃO,-1.49,1.57,1.18,-1.78,-0.51,-0.36,0.8,0.15,0.25,1.15,1.25,-1.2,0.41,0.05,-0.96,0.58,0.11
 GÁS ENCANADO,0,       -,       -,       -,0,       -,       -,       -,       -,1.49,       -,       -,       -,       -,       -,       -,0.22
 ENERGIA ELÉTRICA RESIDENCIAL,5.23,-1.13,0.01,-0.76,0.04,-2.27,-1.25,-1.39,1.19,-1.4,-0.7,-0.44,6.11,2.38,0.32,1.68,0.48
 ENERGIA ELÉTRICA RESIDENCIAL,5.23,-1.13,0.01,-0.76,0.04,-2.27,-1.25,-1.39,1.19,-1.4,-0.7,-0.44,6.11,2.38,0.32,1.68,0.48
 ARTIGOS DE RESIDÊNCIA,0,0.5,-0.48,0.21,0.42,-0.45,0.69,0.47,0.01,0.66,-0.08,-1,-0.06,1.14,-0.95,-1.3,0.17
 MÓVEIS E UTENSÍLIOS,0.87,1.06,-0.42,-0.35,0.16,-0.25,0.67,0.38,-0.31,0.48,0.82,-0.55,0,1.18,-1.1,-1.56,0.19
 MOBILIÁRIO,0.87,1.28,-0.22,-0.31,0.38,0.04,1.56,0.55,-0.33,0.87,0.96,-0.95,0.37,1.98,-1.02,-2.18,0.39
 MÓVEL PARA SALA,1.09,2.02,-0.3,1.78,0.45,1.73,0.64,-0.39,-0.64,0,1.79,-2.24,2.11,2.77,0.81,-1.52,0.61
 MÓVEL PARA QUARTO,1.4,1.42,0.21,-0.55,0.24,-0.97,1.99,1.02,-1.1,1.08,-0.31,-0.29,-1.57,1.89,-1.41,-2.92,0.25
 MÓVEL PARA COPA E COZINHA,-1.05,0.66,0.02,-2.47,0.6,-0.83,2.18,0.19,1.3,2.54,1.92,-0.84,2.17,2.08,-0.77,-0.85,0.62
 MÓVEL INFANTIL,       -,       -,       -,-1.61,       -,       -,       -,1.55,1.2,-2.66,1.07,       -,1.33,0.05,-3.7,-3.42,-0.59
 COLCHÃO,       -,-0.57,-3.74,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.18
 UTENSÍLIOS E ENFEITES,1.35,0.86,0.25,-0.19,-0.59,-0.38,0.64,0.2,-0.73,-0.67,0.2,-1.11,0.36,-0.39,-0.64,-0.61,-0.08
 ARTIGOS DE ILUMINAÇÃO,0.78,2.79,0.61,-2.1,0.64,-0.96,0.67,0.44,0.64,-2.34,       -,       -,-0.17,       -,-2.17,0.82,0.44
 TAPETE,-0.12,-0.62,       -,       -,-1.24,-0.01,-0.4,       -,-1.15,2.54,-1.09,-0.48,1.31,       -,       -,       -,-0.4
 CORTINA,2.2,0.97,-1.19,0.47,0.45,-2.02,       -,-0.06,-0.16,-2.17,0.51,-0.79,       -,       -,       -,       -,-0.06
 UTENSÍLIOS DE METAL,1.83,-0.44,1.22,0.51,-1.53,2.22,1.85,-1.12,-2.53,-1.14,0.17,-2.69,0.67,-0.58,0.28,-1.05,-0.41
 UTENSÍLIOS DE VIDRO E LOUÇA,       -,       -,0.65,-1.53,0.04,-2.15,-1.41,2.22,1.67,1.35,       -,-0.54,-2.34,-0.04,-1.33,-2.6,0.03
 UTENSÍLIOS DE PLÁSTICO,       -,       -,       -,       -,       -,       -,1.27,       -,       -,       -,-0.27,       -,       -,       -,-0.24,1.46,0.56
 FLORES NATURAIS,       -,1.4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.4
 UTENSÍLIOS PARA BEBÊ,       -,       -,-0.77,1.56,       -,       -,       -,1.12,       -,       -,1.91,-0.64,1.36,0.19,       -,       -,0.56
" CAMA, MESA E BANHO",-0.88,0.3,-2.45,-1.07,0.39,-1.83,-3.04,-0.58,0.45,1.03,1.76,2.23,-2.54,0.58,-2.41,0.03,-0.34
 ROUPA DE CAMA,-0.88,0.3,-2.45,-2.22,0.39,-1.83,-3.04,-0.41,0.45,1.03,1.76,2.23,-3.05,0.6,-2.41,0.03,-0.35
 ROUPA DE BANHO,       -,       -,       -,1.97,       -,       -,       -,-0.98,       -,       -,       -,       -,-1.25,0.53,       -,       -,0.11
 APARELHOS ELETROELETRÔNICOS,-0.97,-0.21,-0.83,0.72,0.31,-0.92,1.06,0.57,0.3,0.58,-1.28,-1.93,-0.18,1.16,-0.83,-0.96,-0.07
 ELETRODOMÉSTICOS E EQUIPAMENTOS,-0.22,1,-0.45,1.28,0.08,-0.81,1.01,0.99,0.2,0.19,-1.28,-1.71,0.39,1.54,0.19,-1.21,0.12
 REFRIGERADOR,-1.62,2.28,-1.6,2.3,-0.23,-0.13,1.11,2.94,0.47,-0.77,-1.82,-1,0.93,1.27,1.35,-0.96,0.01
 AR-CONDICIONADO,1.6,-0.27,       -,-0.31,-1.76,-2.19,0.62,-0.41,0.11,0.55,-1.05,-1.14,-0.21,2.29,       -,-0.4,-0.41
 MÁQUINA DE LAVAR ROUPA,-1.32,0.27,-0.08,0.93,-0.06,-1.09,0.74,-0.38,-0.43,-0.54,-1.09,-2.24,-1.16,-0.3,-1.52,-2.87,-0.3
 VENTILADOR,       -,       -,       -,0.68,       -,       -,-0.36,-1.77,       -,       -,       -,       -,0.15,2.48,2.42,0.37,0.29
 FOGÃO,2.63,0.5,0.58,0.88,1.6,-0.93,2.45,0.79,0.28,2.52,0.1,-2.73,1.35,2.62,-2.21,-1.05,1.15
 CHUVEIRO ELÉTRICO,       -,       -,0.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.96
" TV, SOM E INFORMÁTICA",-1.85,-2.24,-1.35,0.04,0.61,-1.06,1.11,0.06,0.46,1.12,-1.29,-2.26,-1.22,0.29,-2.24,-0.67,-0.33
 TELEVISOR,-2.67,-2.28,-1.56,1.4,-0.65,0.51,0.56,-0.47,-0.61,-0.18,-3.01,-2.37,-0.97,1.18,-2.99,-1.55,-1.05
 APARELHO DE SOM,       -,       -,       -,0.04,       -,       -,       -,       -,2.8,       -,       -,       -,       -,       -,-2.24,2.88,0.94
 VIDEOGAME (CONSOLE),       -,       -,       -,0.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.04
 COMPUTADOR PESSOAL,-0.25,-2.17,-1,-1.76,2.73,-2.55,2.12,0.82,1.99,2.98,0.97,-2.06,-1.66,-1.51,0.79,-0.35,0.84
 CONSERTOS E MANUTENÇÃO,1.1,1.09,0.91,0.75,2.24,0.25,-0.9,0.42,0.3,1.89,1.06,1.02,0.17,0.68,-0.71,-1.38,1.27
 CONSERTOS E MANUTENÇÃO,1.1,1.09,0.91,0.75,2.24,0.25,-0.9,0.42,0.3,1.89,1.06,1.02,0.17,0.68,-0.71,-1.38,1.27
 CONSERTO DE REFRIGERADOR,       -,3.46,       -,0.94,       -,       -,0.87,       -,-0.9,       -,0,       -,       -,       -,0,       -,0.87
 CONSERTO DE TELEVISOR,       -,       -,       -,       -,       -,       -,1.85,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.85
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,       -,0.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.15
 REFORMA DE ESTOFADO,-1.12,0.72,1.32,0.49,1.21,0,       -,-1.23,-0.07,       -,       -,-0.26,0.55,-0.53,       -,-2.17,0.49
 CONSERTO DE APARELHO CELULAR,       -,0.56,-0.3,0.4,2.92,0.78,-0.39,-0.77,1.89,-0.51,-0.04,-1.68,-1.67,0,-1.35,-2,0.4
 CONSERTO DE BICICLETA,1.5,1.18,1.49,1.14,2.36,0.31,-2.43,1.82,-0.51,2.47,1.91,1.53,1.7,1.2,-0.61,-0.23,1.76
 VESTUÁRIO,1.25,0.64,1.08,-0.08,0.88,0.81,-0.05,1.85,0.54,0.82,1.03,0.82,0.29,1.03,0.27,0.94,0.79
 ROUPAS,1.11,1.04,0.88,0.25,1.2,0.97,-0.18,2.16,0.54,0.91,1.14,0.98,-0.28,1.1,0.27,0.97,0.93
 ROUPA MASCULINA,1.49,1.07,0.77,-0.02,1.58,0.81,-0.77,1.59,0.84,1.23,2.62,0.72,0,1.42,-1.42,2.1,1.06
 CALÇA COMPRIDA MASCULINA,1.42,0.48,0.07,1.38,3.75,0.31,0.49,2.23,1.64,2,2.85,-1,-0.2,1.65,-0.38,-0.2,1.85
 AGASALHO MASCULINO,       -,2.04,       -,       -,       -,       -,       -,       -,       -,0.53,       -,       -,       -,       -,       -,       -,1.5
 BERMUDA/SHORT MASCULINO,0.57,-2.84,1.13,-2.02,-0.73,-0.23,-2.36,2.64,1.56,-0.35,1.87,0.29,-2.67,2.25,-2.63,0.76,-0.2
 CUECA,       -,       -,       -,       -,       -,       -,1.01,       -,       -,       -,       -,       -,       -,-0.73,0.24,       -,0.68
 CAMISA/CAMISETA MASCULINA,1.77,1.86,1.05,0.09,0.99,1.22,-0.96,0.95,0.11,1.26,2.74,1.61,0.8,1.19,-1.32,3.56,1.02
 ROUPA FEMININA,0.93,1.35,0.64,0.47,0.94,1.38,0.63,2.79,1.03,0.55,-0.27,1.73,-0.54,0.71,1.52,0.14,0.9
 CALÇA COMPRIDA FEMININA,2.6,1.87,1.95,1.08,3.62,1.7,-0.03,3.47,1.5,-0.3,-1.02,0.8,0.08,1.2,2.41,-0.63,2.03
 AGASALHO FEMININO,       -,3.78,3.54,       -,       -,       -,       -,       -,       -,1.93,       -,       -,-0.54,       -,       -,       -,3.22
 SAIA,       -,       -,       -,1.78,       -,       -,0.85,       -,       -,       -,       -,       -,       -,1.27,2.4,0.89,1.46
 VESTIDO,-2.14,1.47,1.7,1.11,3.72,0.32,0.06,3.17,1.87,0.67,2,0.81,-0.77,-0.47,2.04,-1.93,1.61
 BLUSA,2.11,0.61,-1.23,-0.7,-1.82,1.88,2.15,3.11,1.44,0.59,-1.2,2.78,-0.63,1.47,0.61,2.31,-0.08
 LINGERIE,       -,-0.83,0.18,1.44,0.24,       -,-2.23,2.23,-0.39,1.05,0.02,       -,-1.41,0,-0.39,2.47,0.04
 BERMUDA/SHORT FEMININO,0.65,       -,0.53,0.91,       -,       -,1.43,0.63,-1.52,1.72,0.46,1.97,-0.32,1.01,2.17,-2.74,0.52
 ROUPA INFANTIL,0.74,0.24,1.65,0.25,1.1,0.32,-0.61,1.83,-1.11,1.09,1.27,-0.25,-0.24,1.2,1.56,0.53,0.74
 UNIFORME ESCOLAR,       -,       -,0,0,0,0,0,0,       -,0,0,0,       -,       -,0,0,0.0
 CALÇA COMPRIDA INFANTIL,       -,2.69,3.88,       -,2.9,2.01,       -,       -,1.32,1.73,-0.82,       -,0.67,2.2,1.88,       -,2.45
 AGASALHO INFANTIL,       -,3.4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.4
 VESTIDO INFANTIL,-0.33,-1.34,1.94,-2.91,       -,-1.67,0.83,1.03,-2.97,       -,0.5,0.49,-1.19,3.56,3.12,-0.49,-0.38
 BERMUDA/SHORT INFANTIL,-0.93,       -,       -,-0.82,-2.24,       -,-2.91,1.36,-2.21,       -,       -,0.06,-1.2,-0.5,0.66,0.78,-1.53
 CAMISA/CAMISETA INFANTIL,1.94,-1.47,0.32,1.82,1.91,0.5,-2.35,3.27,-0.99,1.85,2.35,-0.8,-0.12,1.44,1.02,1.93,0.98
 CONJUNTO INFANTIL,0.91,-0.56,2.51,1.12,1.21,0.45,0.49,2.25,0.22,0.71,3.35,-0.2,0.1,-0.4,2.53,0.15,1.1
 CALÇADOS E ACESSÓRIOS,1.88,-0.42,1.83,-0.78,0.05,0.32,0.2,1.41,0.6,0.46,0.97,0.45,1.32,1.28,0.69,0.95,0.52
 CALÇADOS E ACESSÓRIOS,1.88,-0.42,1.83,-0.78,0.05,0.32,0.2,1.41,0.6,0.46,0.97,0.45,1.32,1.28,0.69,0.95,0.52
 SAPATO MASCULINO,3.6,1.9,0.56,1.09,2.45,-0.72,0.38,2.37,0.44,-0.01,1.26,0.63,2.25,2.9,1,-1.46,1.4
 SAPATO FEMININO,3.42,-2.14,1.91,-0.87,1.79,1.23,0.76,3.21,-1.77,0.71,1.02,-0.11,1.66,1.68,2.32,0.45,0.96
 SAPATO INFANTIL,       -,       -,       -,-0.44,       -,       -,0.07,       -,2.92,1.12,1.31,       -,3.55,2.6,1.89,1.56,1.35
 BOLSA,2.83,-2.9,2.74,-2.87,       -,-0.85,-2.08,3.75,2.47,0.56,1.17,       -,2.94,-0.98,-1.44,-1.03,0.29
 MOCHILA,       -,       -,       -,3.48,       -,       -,2.49,1.1,       -,       -,       -,       -,       -,0.4,2.74,       -,2.36
 TÊNIS,0.59,0.77,2.35,0.32,-1.56,0.35,-0.14,2.82,1.36,0.06,0.58,0.5,-0.57,-0.44,0.99,2.42,0.01
 SANDÁLIA/CHINELO,1.04,-2.85,1.24,-2.94,1.32,-0.08,0.76,-1.2,0.19,1.52,1.15,0.65,2.72,1.6,-0.49,1.64,0.29
 JOIAS E BIJUTERIAS,-0.41,1.21,0.28,-0.3,0.43,0.93,1.04,0.25,0.89,1.52,0.13,0.69,1.74,-0.5,-1.8,0.82,0.49
 JOIAS E BIJUTERIAS,-0.41,1.21,0.28,-0.3,0.43,0.93,1.04,0.25,0.89,1.52,0.13,0.69,1.74,-0.5,-1.8,0.82,0.49
 BIJUTERIA,       -,       -,1.58,       -,       -,2.09,       -,       -,-0.83,       -,       -,       -,       -,       -,       -,2.39,0.97
 JOIA,-1.15,1.79,-0.28,-0.55,0.59,0.46,0.84,-0.14,       -,2.36,-0.13,1.1,1.74,-0.53,-1.79,0.16,0.45
 RELÓGIO DE PULSO,1.1,-0.24,       -,0.04,-0.08,       -,1.52,0.98,2.74,-1.02,1.29,-0.2,       -,-0.48,-1.82,0.13,0.41
 TECIDOS E ARMARINHO,0.44,-0.54,0.81,0.3,1.23,-0.04,-1.25,0.14,-0.82,1.56,0.34,-1.17,-0.41,-2.01,0.24,-0.33,0.31
 TECIDOS E ARMARINHO,0.44,-0.54,0.81,0.3,1.23,-0.04,-1.25,0.14,-0.82,1.56,0.34,-1.17,-0.41,-2.01,0.24,-0.33,0.31
 TECIDO,0.44,-1.6,0.01,0.3,1.32,-0.04,-1.25,0.14,-0.82,2.42,0.16,-1.94,-0.41,-2.01,0.24,-0.33,0.15
 ARTIGOS DE ARMARINHO,       -,1.35,2.31,       -,1.04,       -,       -,       -,       -,0.15,0.8,0.18,       -,       -,       -,       -,1.06
 TRANSPORTES,1.07,-0.19,1.03,-0.52,0.53,0.56,1.55,1.1,0.37,0.54,0.7,0.22,0.17,0.42,0.53,-0.06,0.56
 TRANSPORTES,1.07,-0.19,1.03,-0.52,0.53,0.56,1.55,1.1,0.37,0.54,0.7,0.22,0.17,0.42,0.53,-0.06,0.56
 TRANSPORTE PÚBLICO,1.4,3.17,7.84,2.13,0.78,5.12,2.35,6.47,2.09,3.1,2.79,4.04,4.08,1.63,0.53,2.69,2.59
 ÔNIBUS URBANO,0,0,6.67,0,0,0,0,9.16,0,0,0,0,0,0,0,0,1.11
 TÁXI,0,0,0,0,0,       -,0,0,0,       -,       -,0,0,0,0,0,0.0
 TREM,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 ÔNIBUS INTERMUNICIPAL,0,0,0.37,-0.98,0,       -,-0.19,0,-2.37,0,0.03,-0.34,5.58,0,-0.74,0,-0.25
 ÔNIBUS INTERESTADUAL,-1.04,       -,0.49,1.63,0.4,2.85,0.23,2.8,1.64,1.5,-0.85,0.82,-1.88,1.43,1.15,1.41,0.76
 PASSAGEM AÉREA,9.78,20.25,27.18,10.62,6.35,13.72,12.56,11.97,18.85,8.9,17.64,18.53,22.84,4.21,2.31,18.93,11.97
 METRÔ,3.54,       -,       -,       -,0,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.24
 TRANSPORTE ESCOLAR,       -,-2.64,-0.74,0,0,2.01,       -,       -,0,0,       -,0,0,       -,0,0,-0.27
 TRANSPORTE POR APLICATIVO,-0.23,-5.51,9.87,3.29,-8.89,-5.25,       -,-2.82,-2.27,       -,0.53,0.06,4.28,       -,8.37,0.63,-2.99
 INTEGRAÇÃO TRANSPORTE PÚBLICO,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 VEÍCULO PRÓPRIO,1.1,0.25,0.59,0.33,0.81,-0.2,1.4,0.45,0.84,-0.05,0.36,0.31,0.41,0.73,0.28,-0.3,0.56
 AUTOMÓVEL NOVO,1.12,0.14,0.06,1.46,0.46,0.38,1.3,-0.09,0.95,1.2,0.07,-0.82,-2.64,0.78,-1.25,-0.36,0.49
 EMPLACAMENTO E LICENÇA,1.25,1.24,2.97,1.24,1.86,1.14,2.12,1.27,1.22,1.13,1.24,1.24,1.27,1.21,1.73,1.26,1.61
 SEGURO VOLUNTÁRIO DE VEÍCULO,0.74,-1.46,-0.31,-1.01,1.06,-6.68,-0.17,-0.57,4.69,-6.69,-0.56,2.93,-8.79,-2.02,-0.77,-2.68,-0.76
 MULTA,       -,0,0,0,0,0,0,0,0,0,0,       -,0,0,0,0,0.0
 ÓLEO LUBRIFICANTE,       -,-0.92,-1.71,1.99,-1.63,0.9,0.38,-3.72,0.25,-0.23,-1.15,       -,1.79,2.64,1.08,-0.89,-0.78
 ACESSÓRIOS E PEÇAS,0.62,-0.08,-1.5,1,2.19,1.14,0.71,-1.09,0.61,0.76,-2.55,0.04,-0.27,4.32,0.74,2.34,0.59
 PNEU,       -,-0.83,-0.04,-0.14,-0.41,-3.22,3.54,0.47,-0.41,0.7,1.75,-0.33,0.65,1.17,-4.18,-0.14,-0.03
 CONSERTO DE AUTOMÓVEL,0.01,1.84,1,-2.51,1.5,2.78,2.76,2.39,-0.11,0.1,2.67,2.19,2.75,-0.29,1.09,-0.64,1.09
 ESTACIONAMENTO,       -,0.57,       -,       -,3.67,       -,       -,       -,1.17,-1.71,       -,       -,       -,       -,       -,       -,2.6
 PEDÁGIO,       -,0,       -,       -,0,       -,       -,       -,       -,1.91,       -,0,       -,       -,       -,       -,0.32
 AUTOMÓVEL USADO,2.01,-0.83,-0.53,       -,0.1,0.22,-0.06,0.61,-0.45,-1.46,-1.1,-0.38,2.06,0.81,0.66,-0.72,-0.16
 PINTURA DE VEÍCULO,       -,       -,1.51,-3.09,       -,       -,       -,       -,-0.95,       -,       -,       -,       -,       -,       -,       -,-0.26
 ALUGUEL DE VEÍCULO,2.49,       -,       -,       -,       -,       -,3.98,       -,12.61,       -,       -,       -,       -,       -,       -,       -,6.6
 MOTOCICLETA,-0.19,-1.85,0.19,-0.22,-1.53,2.12,-0.61,-0.76,1.05,-0.42,1.19,0.07,-0.23,1.69,0.33,0.02,-0.46
 COMBUSTÍVEIS (VEÍCULOS),0.66,-2.32,-1.37,-3.34,-0.22,-0.17,1.38,-0.24,-1.49,1.12,0.9,-1.78,-0.98,-0.73,0.95,-1.52,-0.44
 GASOLINA,1.18,-2.4,-1.62,-3.41,-0.53,0.03,1.49,-0.01,-1.16,1.15,1.01,-1.83,-0.99,-0.39,1.09,-1.6,-0.52
 ETANOL,0.12,       -,0.48,-0.84,1.08,0.34,       -,       -,-2.93,1.75,1.29,       -,1.58,       -,       -,       -,0.92
 ÓLEO DIESEL,-2.93,-0.16,-1.28,-4.42,-2.1,-3.62,-1.17,-3.86,-4.02,-2.01,-2.82,-0.89,-2.49,-2.78,-0.92,0.34,-2.25
 GÁS VEICULAR,-0.83,       -,       -,       -,       -,       -,       -,-0.83,       -,       -,       -,       -,       -,       -,       -,       -,-0.83
 SAÚDE E CUIDADOS PESSOAIS,1.45,1.27,1.5,1.41,1.69,1.44,1.11,1.39,1.73,1.33,1.25,1.23,1.48,1.31,1.13,1.61,1.49
 PRODUTOS FARMACÊUTICOS E ÓTICOS,2.5,3.38,3.05,2.71,3.87,3.72,3.47,3.3,3.34,2.6,2.39,2.47,3.32,4.82,2.18,4.43,3.24
 PRODUTOS FARMACÊUTICOS,2.51,3.79,3.21,2.81,4.37,3.82,3.9,3.75,3.7,2.9,2.55,2.74,3.81,5.06,2.7,4.58,3.55
 ANTI-INFECCIOSO E ANTIBIÓTICO,2.35,3.47,2.44,3.75,4.71,5.71,6.05,3.11,3.14,4.49,1.63,2.92,2.71,5.94,2.42,3.7,3.71
 ANALGÉSICO E ANTITÉRMICO,0.13,1.66,1.56,2.27,2.9,3.95,3.63,3.94,3.3,2.37,2.41,2.66,2.02,5.06,1.17,3.12,2.46
