"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.61,0.39,0.35,0.59,0.63,0.35,0.77,1.07,0.16,0.54,0.33,0.99,0.64,0.53,-0.06,0.19,0.53
 REFEIÇÃO,0.41,0.5,0.28,0.54,0.58,0.47,0.78,0.97,0.02,0.26,0.64,0.95,0.68,0.45,-0.24,0.26,0.48
 LANCHE,1.15,0.44,0.39,0.68,0.94,0.12,0.88,1.8,0.52,0.89,0.09,1.03,0.61,0.74,-0.27,0.01,0.74
 REFRIGERANTE E ÁGUA MINERAL,0.11,-0.87,-0.98,1.44,1.67,-1.1,0.34,-0.42,0.68,0.05,0.56,0.82,0.95,0.76,-0.16,0.4,0.54
 CAFEZINHO,       -,-0.01,       -,       -,-1.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.82
 CERVEJA,0.58,-0.68,1.56,0.55,-0.66,0.45,0.2,-1.36,0.2,0.88,-0.78,0.68,0.03,0,1.35,-0.37,0.09
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,-0.14,       -,       -,       -,       -,       -,       -,       -,2.64,4.51,       -,0.53,       -,1.34
 VINHO,-0.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.16
 DOCES,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.19,       -,       -,       -,       -,1.03,1.16
 SORVETE,       -,       -,       -,       -,0.34,       -,       -,0.05,-0.73,2.63,0.4,       -,-0.84,0.54,       -,0.57,0.58
 HABITAÇÃO,0.64,0.58,0.03,0.26,0.18,0.48,1.6,-0.02,0.69,-0.15,0.49,0.18,-0.1,3.57,0.26,0.17,0.34
 ENCARGOS E MANUTENÇÃO,0.61,0.87,0.17,0.04,0.19,0.27,2.64,0.19,0.41,0.01,0.27,-0.12,-0.11,-0.1,-0.12,0.01,0.34
 ALUGUEL E TAXAS,0.61,0.9,0.12,0.05,0.17,0.33,3.78,0.21,0.41,0.07,0.17,0.02,0,0,0,0.03,0.36
 ALUGUEL RESIDENCIAL,0.22,0.21,0.06,0,0.11,0.4,0,0.38,0.64,0.16,0.28,0,0,0,0,0,0.17
 CONDOMÍNIO,0.23,-0.27,0.46,0.2,0.37,0.4,0,0,0.43,0,0.14,0.08,0.13,0,0.01,0.13,0.26
 TAXA DE ÁGUA E ESGOTO,2.45,2.46,0,0,0,0,15.76,0,0,0,0,0,0,0,0,0,0.85
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,0.0
 REPAROS,0.54,0.99,0.35,0.72,0.42,0.08,0.45,0.09,0.68,0.55,1.19,-0.64,-0.01,-0.22,0.52,0.08,0.48
 FERRAGENS,       -,       -,       -,       -,       -,       -,1.64,       -,       -,       -,-0.16,       -,       -,-0.86,       -,       -,1.01
 MATERIAL DE ELETRICIDADE,       -,       -,       -,       -,       -,-0.02,       -,       -,       -,-1.35,       -,       -,       -,       -,0.32,       -,-0.66
 VIDRO,       -,       -,       -,       -,       -,1.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.35
 TINTA,0.27,0.83,-0.21,1.4,-0.05,-1.56,-0.31,-0.22,-1.08,0.67,0.29,-0.49,-0.45,-0.41,-0.27,-0.1,0.1
 REVESTIMENTO DE PISO E PAREDE,2.96,2.44,0.86,1.58,-0.34,       -,0.27,-0.61,2.74,1.18,2.97,-2.46,       -,-0.56,0.38,-0.59,0.65
 MADEIRA E TACO,       -,-0.74,       -,       -,       -,       -,       -,0.52,       -,       -,       -,       -,       -,-0.48,-0.03,       -,-0.37
 CIMENTO,       -,       -,       -,-0.82,       -,       -,0.44,0.11,1.18,       -,       -,1.45,-1.16,-0.08,0.62,       -,0.41
 TIJOLO,-2,       -,       -,       -,       -,       -,1.54,       -,       -,       -,0.55,-0.25,       -,-2.5,0.33,       -,-0.49
 MATERIAL HIDRÁULICO,       -,       -,       -,       -,2.66,       -,       -,       -,-1.24,       -,       -,       -,-1.73,       -,       -,       -,2.12
 MÃO DE OBRA,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
 AREIA,-1.45,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.69,       -,       -,       -,2.93,       -,-0.32
 PEDRAS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.14,       -,       -,3.14
 TELHA,       -,0.42,-0.67,-0.76,       -,       -,-1.59,       -,       -,-0.14,       -,       -,       -,       -,-0.65,       -,-0.35
 ARTIGOS DE LIMPEZA,0.73,0.49,0.38,-0.82,-0.04,-0.48,-0.37,0.15,0.11,-1.45,0.36,-0.67,-0.95,-0.13,-1.87,-0.25,-0.1
 SACO PARA LIXO,       -,1.4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.44,       -,       -,       -,1.61
 ÁGUA SANITÁRIA,2.79,0,2.7,-0.43,1.36,1.25,-2.66,-0.61,-0.19,       -,-0.7,       -,-0.05,1.49,-0.87,-0.18,0.69
 DETERGENTE,0,1.19,1.67,0.93,0.45,-0.53,-1.43,-0.16,-3.08,1.2,0.71,-0.71,-1.89,0.65,       -,-1.02,0.33
 SABÃO EM PÓ,-0.36,0.76,-0.04,-2.81,-0.87,-3.23,0.19,1.3,1.83,-2.4,-0.23,-0.73,-0.5,-1,-2.66,1.18,-0.62
 DESINFETANTE,0.6,-1.31,-1,2.79,-2.25,0.93,-0.79,0.87,1.27,-1.29,-0.3,0.73,       -,       -,-0.62,       -,-0.63
 SABÃO EM BARRA,0.17,       -,-3.89,-0.99,       -,       -,-0.03,-2.55,-1,       -,       -,-3.81,-1.32,0.96,-2.42,-2.31,-1.63
 ESPONJA DE LIMPEZA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.78,       -,-1.92,       -,       -,       -,       -,-0.92
 SABÃO LÍQUIDO,       -,       -,       -,       -,       -,0.47,       -,       -,       -,-0.64,       -,       -,       -,       -,       -,0.32,-0.26
 LIMPADOR MULTIUSO,       -,-1.84,       -,       -,0.67,0.6,       -,       -,       -,-2.85,       -,       -,       -,       -,       -,       -,-0.15
 PAPEL TOALHA,3.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.07
 AMACIANTE E ALVEJANTE,2.13,0.51,0.95,-1.69,0.34,0.85,0.89,0.25,0.35,-1.75,1.6,-0.13,-1.95,0.46,-0.04,-1.91,0.32
 COMBUSTÍVEIS E ENERGIA,0.7,0.09,-0.18,0.56,0.15,1.05,0.8,-0.34,1.03,-0.45,0.88,0.66,-0.08,5.9,0.58,0.43,0.35
 COMBUSTÍVEIS (DOMÉSTICOS),0.4,-1.77,-0.5,-1.13,0.15,0.51,1.3,-1.09,0.38,-1.49,-0.19,0.95,-0.34,0.59,1.53,-1.14,-0.18
 CARVÃO VEGETAL,       -,       -,       -,       -,       -,       -,-3.64,       -,       -,       -,       -,       -,       -,       -,0.09,       -,-1.81
 GÁS DE BOTIJÃO,0.59,-1.77,-0.5,-1.13,-0.49,0.51,1.49,-1.09,0.38,-1.84,-0.19,0.95,-0.34,0.59,1.63,-1.14,-0.36
 GÁS ENCANADO,0.03,       -,       -,       -,2.27,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,1.25
 ENERGIA ELÉTRICA RESIDENCIAL,0.79,0.72,-0.06,1.21,0.15,1.17,0.65,-0.04,1.32,0.03,1.22,0.57,0,7.62,0.09,1.12,0.54
 ENERGIA ELÉTRICA RESIDENCIAL,0.79,0.72,-0.06,1.21,0.15,1.17,0.65,-0.04,1.32,0.03,1.22,0.57,0,7.62,0.09,1.12,0.54
 ARTIGOS DE RESIDÊNCIA,1.58,0.45,1.09,0.52,0.89,0.94,0.44,-0.36,0.99,0.07,0.73,0.99,0.61,0.71,0.59,0.29,0.76
 MÓVEIS E UTENSÍLIOS,0.88,-0.09,0.47,0.7,0.35,0.28,1.4,-0.91,-0.38,-0.13,-0.2,-0.21,0.34,0.93,0.6,-0.39,0.24
 MOBILIÁRIO,1.4,0.52,0.68,1.02,0.3,0.57,2.67,-1.13,-0.22,-0.25,-0.2,0.39,0.8,2.26,1.22,-0.27,0.43
 MÓVEL PARA SALA,2.43,3.05,0.77,1.07,-0.47,2.09,2.9,-0.87,-1.21,0.63,-2.02,1.59,2.22,2.89,1.49,2.11,0.63
 MÓVEL PARA QUARTO,0.36,-2.44,1.77,1.54,-0.05,-0.84,2.84,-1.77,1.15,-1.68,0.1,-0.82,-0.05,2.1,1.65,-0.96,0.01
 MÓVEL PARA COPA E COZINHA,1.62,0.93,-1.54,-1.52,2.48,1.47,1.9,0.94,-2.34,1.22,1.38,1.78,2.2,2.14,0.23,-0.81,1.08
 MÓVEL INFANTIL,       -,       -,       -,1.86,       -,       -,       -,-1.8,1.99,-0.32,2.37,       -,-2.97,1.76,-1.09,-2.4,0.44
 COLCHÃO,       -,1.56,-1.75,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.08
 UTENSÍLIOS E ENFEITES,-0.16,-0.61,-0.12,-0.18,0.79,0.28,0.72,-0.08,-0.31,0.21,-0.45,-0.24,-0.61,-1.69,-1.41,-1.09,0.08
 ARTIGOS DE ILUMINAÇÃO,1.61,0.37,-0.22,-1.67,-1.58,-2.17,0.57,-1.26,-3.93,-0.12,       -,       -,-2.16,       -,-3.11,0.16,-0.94
 TAPETE,-1.41,-3.43,       -,       -,0.83,0.61,-1,       -,2.2,-0.42,2.1,0.14,-0.04,       -,       -,       -,-0.04
 CORTINA,2.68,0.89,-2.51,0.77,-1.12,0.48,       -,-1,2.73,0.07,-0.69,0.49,       -,       -,       -,       -,-0.03
 UTENSÍLIOS DE METAL,-2.29,-1.78,1.24,0.95,2.9,1.84,2.93,2.28,0.79,0.26,-2.37,-2.05,-1.24,-1.82,-1.97,-2.25,0.79
 UTENSÍLIOS DE VIDRO E LOUÇA,       -,       -,-0.16,-0.82,-0.25,-1.08,-0.63,-2.24,-4.24,1.23,       -,-1.14,0.43,-2.58,0.6,2.31,-0.54
 UTENSÍLIOS DE PLÁSTICO,       -,       -,       -,       -,       -,       -,0.26,       -,       -,       -,-0.11,       -,       -,       -,0.61,-1.57,0.05
 FLORES NATURAIS,       -,0.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.16
 UTENSÍLIOS PARA BEBÊ,       -,       -,0.39,-1.84,       -,       -,       -,-0.46,       -,       -,-0.06,1.21,2.73,0.61,       -,       -,0.13
" CAMA, MESA E BANHO",0.15,-2.39,0.49,0.35,-0.37,-1.69,-3,-0.71,-1.05,-0.26,0.59,-3,-0.09,-0.83,0.58,0.26,-0.63
 ROUPA DE CAMA,0.15,-2.39,0.49,1.59,-0.37,-1.69,-3,-1.14,-1.05,-0.26,0.59,-3,-0.83,-0.78,0.58,0.26,-0.63
 ROUPA DE BANHO,       -,       -,       -,-2.94,       -,       -,       -,0.27,       -,       -,       -,       -,1.62,-0.99,       -,       -,-0.65
 APARELHOS ELETROELETRÔNICOS,2.24,1.07,1.88,0.23,1.55,1.69,-0.11,0.53,2.53,0.11,1.68,2.11,0.85,0.49,0.99,1.26,1.36
 ELETRODOMÉSTICOS E EQUIPAMENTOS,1.91,1.46,1.25,0.16,1.1,2.99,0.11,1.35,2.38,1.51,1.42,2.53,1.47,0.22,0.66,2.1,1.37
 REFRIGERADOR,0.11,-1.12,0.11,-1.53,0.51,2.6,-0.8,-0.85,0.53,-1.06,-0.85,0.17,-0.39,1.36,2.4,1.71,-0.01
 AR-CONDICIONADO,3.45,9.57,       -,1.97,13.34,8.02,3.33,3.91,7.18,5.1,8.11,13.76,14.53,0.1,       -,11.38,8.56
 MÁQUINA DE LAVAR ROUPA,3.02,1.55,1.82,-0.59,-0.87,1.48,-0.36,1.29,3.14,2.57,2.05,2.53,-1.82,-1.46,-1.76,-2.36,0.77
 VENTILADOR,       -,       -,       -,2.01,       -,       -,1.11,1.15,       -,       -,       -,       -,1.08,0.26,1.9,-0.72,1.38
 FOGÃO,3.21,-1.91,2.86,1.99,-1.31,2.33,0.68,4.04,1.91,2.81,1.1,-1.59,-0.33,-1.11,-1.51,-0.56,0.64
 CHUVEIRO ELÉTRICO,       -,       -,0.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.12
" TV, SOM E INFORMÁTICA",2.67,0.36,2.78,0.32,2.19,0.04,-0.39,-0.49,2.78,-1.89,2.16,1.43,-0.33,1.13,1.48,0.21,1.36
 TELEVISOR,4.09,0.98,2.82,0.39,2.9,3.86,1,0.29,3.2,-1.49,1.87,1.84,1.49,2.18,1.73,1.64,2.12
 APARELHO DE SOM,       -,       -,       -,0.32,       -,       -,       -,       -,2.82,       -,       -,       -,       -,       -,1.48,0.21,1.68
 VIDEOGAME (CONSOLE),       -,       -,       -,3.23,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.23
 COMPUTADOR PESSOAL,0.18,-0.89,2.72,-0.46,1.09,-3.5,-2.93,-1.52,1.95,-2.43,2.51,0.7,-3.7,-0.99,0.63,-1.99,0.11
 CONSERTOS E MANUTENÇÃO,1.51,0.66,1.19,0.97,0.8,1.97,-0.58,-1.59,0.23,0.85,0.71,2.06,0.99,0.96,-1.77,-0.28,0.75
 CONSERTOS E MANUTENÇÃO,1.51,0.66,1.19,0.97,0.8,1.97,-0.58,-1.59,0.23,0.85,0.71,2.06,0.99,0.96,-1.77,-0.28,0.75
 CONSERTO DE REFRIGERADOR,       -,1.4,       -,2.19,       -,       -,1.21,       -,1.74,       -,1.88,       -,       -,       -,-1.56,       -,1.45
 CONSERTO DE TELEVISOR,       -,       -,       -,       -,       -,       -,-1.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.83
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,       -,-0.13,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.13
 REFORMA DE ESTOFADO,-0.73,3.79,0.69,1.17,-0.48,2.81,       -,0.83,-0.98,       -,       -,-0.42,0.63,1.62,       -,0.65,0.51
 CONSERTO DE APARELHO CELULAR,       -,-2.63,-0.73,-0.96,-1.92,-0.95,-2.61,-2.96,-1.95,3.2,0.22,-0.17,-0.96,-0.03,-0.95,-1.39,-1.01
 CONSERTO DE BICICLETA,1.9,3.2,2.42,1.75,1.38,2.12,0.76,-1.7,2.69,0.28,0.32,2.63,2.47,1.14,-2.55,0.08,1.3
 VESTUÁRIO,0.98,0.41,1.45,1.3,0.34,0.88,1.15,1.05,0.3,1.31,0.2,-0.02,0.09,0.47,-0.06,0.52,0.7
 ROUPAS,0.92,0.5,1.57,1.52,-0.02,0.78,0.98,1.05,0.3,1.46,0.54,0.25,-0.33,0.39,0.08,0.67,0.64
 ROUPA MASCULINA,0.93,0.11,1.9,1.1,-0.33,0.29,0.86,1.08,0.37,1.65,1,0.51,-0.37,0,0.4,1.33,0.57
 CALÇA COMPRIDA MASCULINA,1.02,-0.72,1.71,1.41,0.32,-1.41,-0.03,1.26,0.63,1.68,1.74,0.17,0.12,-0.72,-0.98,1.87,0.6
 AGASALHO MASCULINO,       -,0.11,       -,       -,       -,       -,       -,       -,       -,1.1,       -,       -,       -,       -,       -,       -,0.46
 BERMUDA/SHORT MASCULINO,0.43,1.74,1.87,-0.55,0.9,-0.86,2.09,-0.93,-0.05,1.84,0.44,0.87,1.16,1.19,0.52,0.49,0.75
 CUECA,       -,       -,       -,       -,       -,       -,0.49,       -,       -,       -,       -,       -,       -,2.07,-2.89,       -,-0.31
 CAMISA/CAMISETA MASCULINA,1.05,0.27,2,1.59,-0.89,1.26,0.82,1.85,0.47,1.69,0.75,0.54,-1,-0.21,1.39,1.46,0.51
 ROUPA FEMININA,0.87,0.82,1.42,2.04,0.31,0.9,1.5,1.44,0.4,1.51,0.45,-0.03,-0.05,0.46,-0.58,-0.09,0.8
 CALÇA COMPRIDA FEMININA,-0.42,0.8,1.61,1.76,-0.79,1.89,0.18,1.65,-0.12,1.87,0.17,1.18,0.13,1.38,-0.62,0.22,0.4
 AGASALHO FEMININO,       -,0.82,-0.63,       -,       -,       -,       -,       -,       -,0.95,       -,       -,-0.05,       -,       -,       -,0.4
 SAIA,       -,       -,       -,1.93,       -,       -,1.06,       -,       -,       -,       -,       -,       -,-2.71,-0.62,-0.35,0.74
 VESTIDO,0.99,2.34,1.3,2.44,1.62,0.5,2.35,1.77,-1.01,2.44,-0.99,0.8,-0.2,0.63,0.65,1.32,1.28
 BLUSA,1.21,-0.01,1.7,1.99,0.69,0.67,1.24,0.88,1.88,1.21,0.9,-0.89,0.54,0.64,-1.98,-1.35,0.88
 LINGERIE,       -,1.86,0.39,1.17,-1.6,       -,2.85,1.27,0.13,0.11,1.62,       -,-1.43,-0.71,-0.33,0.91,0.0
 BERMUDA/SHORT FEMININO,1.96,       -,2.23,2.7,       -,       -,0.69,2.37,0.92,2.36,1.69,-1.44,-0.54,0.31,-0.27,0.61,1.46
 ROUPA INFANTIL,1.06,0.45,1.36,1.14,-0.2,1.38,0.12,-0.18,-0.08,1.03,-0.17,0.4,-0.84,1.18,0.79,1.08,0.4
 UNIFORME ESCOLAR,       -,       -,2.07,1.31,1.14,1.2,0,2.24,       -,-0.37,-0.2,0.45,       -,       -,0.69,0.76,0.8
 CALÇA COMPRIDA INFANTIL,       -,0.57,1.86,       -,-0.79,1.58,       -,       -,-0.29,1.67,-0.79,       -,-0.35,0.02,1.47,       -,0.24
 AGASALHO INFANTIL,       -,0.45,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.45
 VESTIDO INFANTIL,0.41,1.44,1.42,-0.05,       -,1.61,1.49,-1.43,1.55,       -,-0.43,-0.14,1.57,0.35,0.16,1.27,0.91
 BERMUDA/SHORT INFANTIL,0.86,       -,       -,1.99,-0.04,       -,-2.73,2.12,-0.24,       -,       -,-0.48,0.08,1.88,0.7,1.73,0.25
 CAMISA/CAMISETA INFANTIL,1.21,-0.31,1.58,0.82,-0.74,2.05,-1.32,-0.78,-2.34,1.38,-0.38,-0.08,-2.89,1.99,1.19,1.83,0.01
 CONJUNTO INFANTIL,1.31,0.86,0.2,1.67,0.02,0.13,1.89,-1.25,1.66,1.77,0.65,1.61,-0.42,1.53,0.76,0.21,0.66
 CALÇADOS E ACESSÓRIOS,1.13,0.06,1.15,0.94,1.23,1.25,1.56,1.08,0.46,1.01,-0.84,-0.81,0.83,0.68,-0.4,0.19,0.85
 CALÇADOS E ACESSÓRIOS,1.13,0.06,1.15,0.94,1.23,1.25,1.56,1.08,0.46,1.01,-0.84,-0.81,0.83,0.68,-0.4,0.19,0.85
 SAPATO MASCULINO,1.13,1.24,1.37,1.68,-0.65,1.91,2.07,1.02,1.6,1.92,-1.1,-1.21,0.36,1.03,0.31,1.8,0.8
 SAPATO FEMININO,0.53,1.24,0.46,-0.92,1.37,1.77,2.01,1.69,1.9,1.63,-2.22,0.41,0.45,1.89,-1.16,-0.57,1.02
 SAPATO INFANTIL,       -,       -,       -,1.88,       -,       -,1.39,       -,0.15,0.75,-1.25,       -,1.02,1.75,1.07,-0.56,0.66
 BOLSA,2.09,-1.09,0.88,1.08,       -,0.47,2.09,0.41,-0.01,1.97,-0.55,       -,-0.06,-1.55,1.32,-1.94,0.83
 MOCHILA,       -,       -,       -,1.9,       -,       -,-1.43,1.88,       -,       -,       -,       -,       -,0.46,-1.88,       -,0.22
 TÊNIS,1.45,-0.78,1.19,0.23,1.42,0.89,1.98,-0.04,-0.82,-0.01,-0.36,-1.97,0.96,0.17,0.3,0.3,0.67
 SANDÁLIA/CHINELO,0.76,0,1.73,2.21,1.83,0.64,-0.1,1.63,0.65,2.25,-0.16,0.81,1.59,-0.35,-1.16,0.87,1.15
 JOIAS E BIJUTERIAS,0.64,1.01,1.47,0.33,1.08,1.67,1.91,0.35,-0.19,0.71,0.95,0.26,0.75,0.45,-0.35,0.74,0.92
 JOIAS E BIJUTERIAS,0.64,1.01,1.47,0.33,1.08,1.67,1.91,0.35,-0.19,0.71,0.95,0.26,0.75,0.45,-0.35,0.74,0.92
 BIJUTERIA,       -,       -,1.24,       -,       -,1.48,       -,       -,0.6,       -,       -,       -,       -,       -,       -,0.9,1.07
 JOIA,0.17,0.79,1.57,-0.22,0.95,1.75,1.88,1.74,       -,0.37,1.1,1.02,0.75,0.33,-0.14,0.74,0.93
 RELÓGIO DE PULSO,1.63,1.54,       -,1.1,1.5,       -,1.98,-2.16,-1.08,1.82,0.27,-1.36,       -,0.52,-0.96,0.58,0.85
 TECIDOS E ARMARINHO,2.79,1.95,0.05,2.52,0.31,-1.33,0.22,2.4,-1.25,1.59,-0.89,-0.05,2.06,1.05,0.14,-2.54,0.42
 TECIDOS E ARMARINHO,2.79,1.95,0.05,2.52,0.31,-1.33,0.22,2.4,-1.25,1.59,-0.89,-0.05,2.06,1.05,0.14,-2.54,0.42
 TECIDO,2.79,2.52,0.08,2.52,-0.63,-1.33,0.22,2.4,-1.25,2.92,-1.62,-0.15,2.06,1.05,0.14,-2.54,0.29
 ARTIGOS DE ARMARINHO,       -,1.01,-0.02,       -,2.45,       -,       -,       -,       -,-0.49,1.04,0.12,       -,       -,       -,       -,1.07
 TRANSPORTES,0.56,0.26,0.7,-0.72,0.57,1.45,0.75,2.44,1.23,-0.08,-0.4,0.59,0,0.8,0.19,-3.6,0.48
 TRANSPORTES,0.56,0.26,0.7,-0.72,0.57,1.45,0.75,2.44,1.23,-0.08,-0.4,0.59,0,0.8,0.19,-3.6,0.48
 TRANSPORTE PÚBLICO,2.01,1.11,4.4,0.31,1.79,10.18,3.42,0.18,5.09,1.84,3.38,5.19,4.51,1.24,0.36,0.14,2.69
 ÔNIBUS URBANO,0,0,0.67,0,-4.17,0,0,0,2.55,0,0,0,0,-6.86,0,0,-0.61
 TÁXI,0,0,0,0,0,       -,0,0,0,       -,       -,0,0,0,0,0,0.0
 TREM,0,       -,       -,       -,6.9,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.39
 ÔNIBUS INTERMUNICIPAL,0,0,1.85,0.89,0,       -,1.13,0,-0.73,0,1.4,-0.02,0.77,0,0.88,0,0.22
 ÔNIBUS INTERESTADUAL,1.68,       -,1.61,-1.32,1.11,0.18,-1.24,0.79,0.22,1.32,0.35,1.8,3.52,2.2,1.12,0.53,0.88
 PASSAGEM AÉREA,10.86,1.57,16.7,-0.32,6.29,19.93,12.49,0.53,22.62,4.06,9.37,14.15,18.14,7.19,1.67,-0.06,8.87
 METRÔ,0,       -,       -,       -,6.9,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.72
 TRANSPORTE ESCOLAR,       -,0,0,0,0,0,       -,       -,0,0,       -,0,0,       -,0,0,0.0
 TRANSPORTE POR APLICATIVO,3.47,6.22,3.6,3.95,6.23,-3.04,       -,1.13,1.03,       -,4.09,8.27,3.76,       -,-1.66,3.57,4.33
 INTEGRAÇÃO TRANSPORTE PÚBLICO,       -,       -,       -,       -,-0.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.1
 VEÍCULO PRÓPRIO,0.41,0.4,0.65,0.69,0.48,-0.22,0.63,0.49,0.75,-0.47,0.24,0.67,0.65,1.17,0.42,-0.24,0.37
 AUTOMÓVEL NOVO,0.58,0.94,-0.6,0.21,-0.6,0.23,-0.3,1.66,0.29,-1.19,0.07,0.22,-0.67,1.08,-0.8,-0.67,-0.21
 EMPLACAMENTO E LICENÇA,1.25,1.24,2.97,1.24,1.86,1.15,2.13,1.27,1.21,1.13,1.24,1.24,1.27,1.21,1.73,1.26,1.63
 SEGURO VOLUNTÁRIO DE VEÍCULO,0,-0.39,-3.17,-0.55,1.99,-4.57,0.12,0.11,3.39,0.37,-3.87,0.1,-2.62,0,-0.19,0.83,0.09
 MULTA,       -,0,0,0,0,0,0,0,0,0,0,       -,0,0,0,0,0.0
 ÓLEO LUBRIFICANTE,       -,-2.74,0.8,0.45,-0.54,1.37,-1.02,0.25,1.47,0.83,1.23,       -,1.22,0.31,1.46,-0.1,-0.01
 ACESSÓRIOS E PEÇAS,-1.68,0.86,-1.37,0.92,0.56,0.37,0.5,0.64,-2.69,1.8,0.8,0.88,0.54,1.5,-0.54,-1.5,0.07
 PNEU,       -,1.69,0.71,-0.93,0,0.42,-0.08,0.35,-1.68,0.64,-0.01,-2.77,0.8,1.01,-1.7,-0.81,0.15
 CONSERTO DE AUTOMÓVEL,0.09,-0.66,1.29,2.45,1.17,0.58,-0.18,-1.14,1.18,-0.99,1.48,2.66,1.52,2.97,-0.78,-1.5,0.68
 ESTACIONAMENTO,       -,2.52,       -,       -,-1.15,       -,       -,       -,1.64,-1.22,       -,       -,       -,       -,       -,       -,-0.68
 PEDÁGIO,       -,0,       -,       -,0,       -,       -,       -,       -,0.27,       -,0,       -,       -,       -,       -,0.04
 AUTOMÓVEL USADO,-1.26,-0.31,0.16,       -,-0.56,-1.81,-0.37,-1.16,-0.2,-1.56,-0.16,0.13,1.12,-0.71,-0.1,-0.59,-0.56
 PINTURA DE VEÍCULO,       -,       -,-2.38,2.45,       -,       -,       -,       -,0.07,       -,       -,       -,       -,       -,       -,       -,-0.62
 ALUGUEL DE VEÍCULO,12.65,       -,       -,       -,       -,       -,0.86,       -,12.85,       -,       -,       -,       -,       -,       -,       -,9.36
 MOTOCICLETA,-0.52,1.1,-0.21,-1.13,-0.34,0.25,-0.73,-0.44,-1.21,-0.1,0.1,0.34,0.15,0,2.38,0.37,-0.16
 COMBUSTÍVEIS (VEÍCULOS),-0.73,-0.41,-1.07,-3.75,0.09,-0.64,-0.57,7.22,-0.72,0.19,-2.5,-2.06,-2,-0.13,-0.32,-11.38,-0.5
 GASOLINA,-0.79,-0.38,-0.93,-3.68,0.4,-0.54,-0.51,7.85,-0.6,0.45,-2.17,-2.07,-1.82,-0.07,0.06,-11.53,-0.34
 ETANOL,-1.48,       -,-1.57,-5.26,-0.92,-0.14,       -,       -,-0.42,-0.37,-4.22,       -,-4.91,       -,       -,       -,-1.24
 ÓLEO DIESEL,-0.51,-1.17,-2.3,-4.23,-0.76,-2.27,-2.06,-0.42,-2.49,-3.17,-2.89,-1.94,-3.72,-0.54,-4.77,-7.32,-1.96
 GÁS VEICULAR,-0.22,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,-0.21
 SAÚDE E CUIDADOS PESSOAIS,0,0.63,0.47,0.22,0.56,0.41,0.2,0.11,0.52,-0.21,0,0.47,0.1,-0.32,0.04,0.05,0.35
 PRODUTOS FARMACÊUTICOS E ÓTICOS,-1.27,0.53,0.19,-0.33,0.04,0.21,-1.07,-0.03,0.67,0.17,-0.02,1.13,-0.33,0.45,0.62,0.32,0.0
 PRODUTOS FARMACÊUTICOS,-1.21,0.39,0.15,-0.15,-0.04,-0.25,-1.24,-0.02,1.02,0.13,-0.1,1.01,-0.25,0.36,0.86,0.19,-0.04
 ANTI-INFECCIOSO E ANTIBIÓTICO,1.29,1.59,-0.43,1.19,0.3,-0.07,0.1,0.61,0.13,0.32,0.39,-0.5,-1.35,-1.22,0.63,1.73,0.37
 ANALGÉSICO E ANTITÉRMICO,1.36,0.79,0.32,0.92,-0.57,1.03,-0.23,-0.52,1.91,0.63,-0.81,2.49,-0.74,0.44,-0.32,1.51,0.28
