"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 REFRIGERANTE E ÁGUA MINERAL,-0.06,1.8,0.88,-0.6,0.41,3.13,0.3,1.01,3.27,1.33,1.61,0.69,0.18,0.29,0.14,0.9,0.88
 CAFEZINHO,       -,8.46,       -,       -,0.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.31
 CERVEJA,3.82,-0.14,0.45,-0.84,-1.74,0.05,1.52,1.1,-0.39,2.23,-0.48,-0.23,2.25,0.07,1.41,-0.55,0.07
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,2.47,       -,       -,       -,       -,       -,       -,       -,2.05,-2.61,       -,1.39,       -,1.33
 VINHO,-2.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.53
 DOCES,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.39,       -,       -,       -,       -,-1.88,-0.03
 SORVETE,       -,       -,       -,       -,2.41,       -,       -,0.52,1.99,0.45,0.84,       -,1.55,3.78,       -,2.36,1.77
 HABITAÇÃO,2.27,0.91,0.77,0.21,0.94,0.21,-0.66,1.33,1.46,1.1,3.46,1.89,2.23,1.33,1.39,1.18,1.15
 ENCARGOS E MANUTENÇÃO,0.67,0.94,0.28,1.01,-0.06,0.32,0.49,0.19,0.26,0.48,1.62,0.79,1.64,0.23,0.78,1.34,0.37
 ALUGUEL E TAXAS,0.52,0.94,-0.04,0.83,-0.35,0.21,0.22,0.09,-0.04,0.1,1.55,0.61,1.6,0.16,1.12,1.35,0.14
 ALUGUEL RESIDENCIAL,0.54,1.05,-0.2,0.2,-0.63,-0.67,0,0.22,0.48,0.08,2.37,0.34,3.04,0.22,2.02,0.46,0.01
 CONDOMÍNIO,0.72,2.08,0.4,2.92,-0.11,1.56,0.63,-0.46,-0.77,0.3,0.49,1.74,0.47,0,-0.4,-0.87,0.39
 TAXA DE ÁGUA E ESGOTO,0,0,0,0,0,0,0,0.22,0,0,0.89,0,0,0,0,4.79,0.11
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.23,       -,       -,       -,4.23
 REPAROS,0.91,0.18,1.36,0.7,0.84,0.71,0.25,-0.23,0.53,1.21,2.01,0.88,0.83,-0.46,-0.11,0.73,0.76
 FERRAGENS,       -,       -,       -,       -,       -,       -,1.69,       -,       -,       -,2.3,       -,       -,-1.1,       -,       -,1.72
 MATERIAL DE ELETRICIDADE,       -,       -,       -,       -,       -,-0.45,       -,       -,       -,-0.54,       -,       -,       -,       -,-2.55,       -,-0.7
 VIDRO,       -,       -,       -,       -,       -,0.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.81
 TINTA,1.83,1.27,2.93,2.58,1.54,2.73,0.79,-0.35,1.56,1.73,2.66,2.98,2.95,-0.26,2.7,1.32,1.73
 REVESTIMENTO DE PISO E PAREDE,0.56,1.01,2.79,1,1.26,       -,-2.18,-0.91,1.54,2.37,1.49,0.33,       -,0.91,-2.38,1.14,1.0
 MADEIRA E TACO,       -,-2.66,       -,       -,       -,       -,       -,-2,       -,       -,       -,       -,       -,-3.22,-1.83,       -,-2.43
 CIMENTO,       -,       -,       -,2.47,       -,       -,2.11,2.05,0.6,       -,       -,2.4,0.89,1.74,1.75,       -,1.74
 TIJOLO,3.02,       -,       -,       -,       -,       -,-1.02,       -,       -,       -,3.13,2.46,       -,-3.83,0.72,       -,1.42
 MATERIAL HIDRÁULICO,       -,       -,       -,       -,1.5,       -,       -,       -,-2.47,       -,       -,       -,-1.66,       -,       -,       -,1.0
 MÃO DE OBRA,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
 AREIA,0.14,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.4,       -,       -,       -,-2.23,       -,0.52
 PEDRAS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.46,       -,       -,-0.46
 TELHA,       -,-2.53,0.53,-1.32,       -,       -,2.4,       -,       -,2.09,       -,       -,       -,       -,0.73,       -,0.19
 ARTIGOS DE LIMPEZA,2.38,2.22,1.7,2.76,1.61,1.91,2.73,1.67,2.36,2.86,1.82,2.78,2.55,2.09,1.64,2.15,2.04
 SACO PARA LIXO,       -,2.92,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.08,       -,       -,       -,2.33
 ÁGUA SANITÁRIA,-2.98,0.24,1.74,2.34,1.72,2.26,2.8,2.41,3.04,       -,1.99,       -,-0.37,1.15,2.48,1.99,1.58
 DETERGENTE,3.01,3.37,2.23,1.4,-0.05,1.07,1.71,2.01,1.53,2.14,1.38,-0.81,3.04,1.37,       -,2.99,1.37
 SABÃO EM PÓ,4.65,3.56,3.54,3.53,3.55,2.84,5.73,1.16,3.51,3.79,2.88,4.52,2.72,2.81,2.29,2.75,3.54
 DESINFETANTE,1.56,0.92,-1.27,2.83,0.9,2.2,0.74,1.98,0.89,0.91,0.93,0.86,       -,       -,1.88,       -,0.9
 SABÃO EM BARRA,1.44,       -,-0.35,4.25,       -,       -,0.53,1.41,0.45,       -,       -,1.43,4.3,2.97,1.4,1.42,1.41
 ESPONJA DE LIMPEZA,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.47,       -,5.29,       -,       -,       -,       -,5.44
 SABÃO LÍQUIDO,       -,       -,       -,       -,       -,2.29,       -,       -,       -,2.28,       -,       -,       -,       -,       -,2.28,2.28
 LIMPADOR MULTIUSO,       -,0.98,       -,       -,-0.64,1.17,       -,       -,       -,-0.26,       -,       -,       -,       -,       -,       -,-0.25
 PAPEL TOALHA,-0.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.32
 AMACIANTE E ALVEJANTE,1.28,1.22,0.14,2.16,1.91,1.46,2.19,1.68,2.93,2.77,0.8,3.23,2.93,0.3,-0.35,0.55,1.68
 COMBUSTÍVEIS E ENERGIA,4.5,0.88,1.38,-0.7,2.94,-0.06,-1.4,2.85,2.99,2.05,5.79,3.28,2.85,1.92,1.81,0.96,2.3
 COMBUSTÍVEIS (DOMÉSTICOS),3.87,4.51,8.15,5.77,6.72,7,4.25,5.61,5.18,7.54,10.43,6.07,5.64,7.46,9.31,6.06,6.31
 CARVÃO VEGETAL,       -,       -,       -,       -,       -,       -,-0.73,       -,       -,       -,       -,       -,       -,       -,0.35,       -,-0.2
 GÁS DE BOTIJÃO,3.37,4.51,8.15,5.77,8.62,7,4.42,5.61,5.18,4.9,10.43,6.07,5.64,7.46,9.84,6.06,6.57
 GÁS ENCANADO,5.02,       -,       -,       -,0,       -,       -,       -,       -,24.75,       -,       -,       -,       -,       -,       -,4.23
 ENERGIA ELÉTRICA RESIDENCIAL,4.66,-0.07,-0.85,-3.18,1.88,-1.86,-2.99,1.77,2.06,0.18,4.56,2.53,1.95,0.34,-1.96,-0.87,1.08
 ENERGIA ELÉTRICA RESIDENCIAL,4.66,-0.07,-0.85,-3.18,1.88,-1.86,-2.99,1.77,2.06,0.18,4.56,2.53,1.95,0.34,-1.96,-0.87,1.08
 ARTIGOS DE RESIDÊNCIA,0.8,0.62,-0.2,1.46,0.69,0.59,0.21,1.05,-0.02,0.46,1.07,-0.07,1.55,2.37,0.73,-0.14,0.57
 MÓVEIS E UTENSÍLIOS,1.88,1.28,0.52,2.19,1.8,1.55,0.35,0.53,1.15,0.91,1.3,-0.15,2.05,2.63,1.48,0.02,1.33
 MOBILIÁRIO,3.52,1.2,0.16,2.91,2.4,2.43,1.11,0.23,1.41,1.52,2.36,-0.44,3.41,3.77,3.11,0.02,1.81
 MÓVEL PARA SALA,3.38,-0.21,0.6,3,4.48,1.42,0.9,0.7,1.71,0.57,3.83,-1.59,3.23,2.97,2.55,1.93,2.42
 MÓVEL PARA QUARTO,3.84,2.51,-0.86,3.38,1.49,3.74,0.71,-0.18,1.6,2.97,1.26,0.51,4.06,4.42,3.21,-0.09,1.7
 MÓVEL PARA COPA E COZINHA,3.02,2.18,2.42,0.92,0.54,0.47,2.4,1.2,2,-0.28,1.82,-1.2,2.54,3.87,4.01,-1.61,1.31
 MÓVEL INFANTIL,       -,       -,       -,2.93,       -,       -,       -,-0.16,-2.27,2.28,3.44,       -,2.93,1.21,1.24,-0.6,1.21
 COLCHÃO,       -,-1.95,0.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.9
 UTENSÍLIOS E ENFEITES,-0.31,1.31,0.66,1.74,0.18,-0.81,0.14,0.8,1.91,1.03,0.73,1.22,-0.21,0.96,-1.16,-0.8,0.55
 ARTIGOS DE ILUMINAÇÃO,1.73,-1.43,0.66,0.55,-1.63,-0.24,1.4,-0.28,2.77,-0.6,       -,       -,0.5,       -,-0.07,-0.84,-0.24
 TAPETE,1.98,3.11,       -,       -,-1.4,-1.06,0.3,       -,2.34,-1.12,0.32,2.51,0.31,       -,       -,       -,0.3
 CORTINA,0.34,0.9,0.48,0.88,0.89,-1.1,       -,0.87,0.67,3.89,-1.98,-0.02,       -,       -,       -,       -,0.88
 UTENSÍLIOS DE METAL,-2.88,1.18,0.47,3.32,1.08,-0.45,0.06,1.65,2.95,0.77,2.87,2.51,-1.19,0.7,-2.4,-1.58,0.74
 UTENSÍLIOS DE VIDRO E LOUÇA,       -,       -,0.19,1.23,0.71,-1.28,-0.18,1.37,-1.23,0.37,       -,-0.59,0.12,1.35,0.24,-0.11,0.22
 UTENSÍLIOS DE PLÁSTICO,       -,       -,       -,       -,       -,       -,-0.5,       -,       -,       -,-1.04,       -,       -,       -,-0.82,1.29,-0.59
 FLORES NATURAIS,       -,5.63,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.63
 UTENSÍLIOS PARA BEBÊ,       -,       -,2.31,0.65,       -,       -,       -,-0.87,       -,       -,1.29,1.14,1.31,1.9,       -,       -,1.31
" CAMA, MESA E BANHO",-2.73,1.63,2.03,-1.7,2.05,2.31,-2.44,2.37,-1.02,-2.64,-2.48,-1.31,0.58,1,-1.46,1.61,0.43
 ROUPA DE CAMA,-2.73,1.63,2.03,-1.96,2.05,2.31,-2.44,2.21,-1.02,-2.64,-2.48,-1.31,1.13,1.4,-1.46,1.61,0.43
 ROUPA DE BANHO,       -,       -,       -,-0.95,       -,       -,       -,2.73,       -,       -,       -,       -,-0.79,-0.53,       -,       -,0.39
 APARELHOS ELETROELETRÔNICOS,0.01,-0.03,-1.13,0.81,-0.64,-0.83,-0.11,1.88,-1.19,-0.24,0.66,-0.27,0.87,2.48,0.02,-0.28,-0.29
 ELETRODOMÉSTICOS E EQUIPAMENTOS,3.12,1.24,2.01,1.4,0.74,-0.83,1.21,2.06,0.06,1.6,1.78,0.38,1.74,2.75,1.57,0.4,1.25
 REFRIGERADOR,3.87,0.13,1.81,0.95,-0.52,-0.85,2.61,1.37,1.73,1.24,3.1,1.52,0.93,3.7,1.88,1.31,1.03
 AR-CONDICIONADO,0.85,2.79,       -,3.44,-0.47,-1.75,0.47,3.42,-1.06,3.13,0.38,-0.96,1.41,0.61,       -,1.02,0.87
 MÁQUINA DE LAVAR ROUPA,2.93,1.81,1.74,3.55,0.76,0.01,-0.74,2.16,-0.51,1.89,-0.72,-1.14,3.49,4.68,2,-0.03,1.14
 VENTILADOR,       -,       -,       -,-2.31,       -,       -,0.87,1.62,       -,       -,       -,       -,0.23,-0.16,0.14,-3.31,-0.16
 FOGÃO,3.52,1.13,3.05,1.25,3.74,-1.8,1.98,2.75,-1.99,1.11,2.96,1.42,3.11,3.18,1.75,0.26,2.24
 CHUVEIRO ELÉTRICO,       -,       -,1.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.11
" TV, SOM E INFORMÁTICA",-2.8,-1.76,-4.44,0.2,-2.11,-0.83,-1.43,1.68,-2.74,-2.32,-0.95,-1.06,-0.52,1.95,-1.76,-0.91,-2.01
 TELEVISOR,-4.78,-2.08,-5.7,0.35,-2.92,-3.16,-2.49,0.94,-3.33,-3.62,-2.76,-2.01,-1.72,2.83,-1.68,-1.9,-3.02
 APARELHO DE SOM,       -,       -,       -,0.2,       -,       -,       -,       -,-2.74,       -,       -,       -,       -,       -,-1.76,0.23,-1.53
 VIDEOGAME (CONSOLE),       -,       -,       -,-2.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.24
 COMPUTADOR PESSOAL,0.92,-1.09,-2.44,0.64,-0.78,1.38,0.6,2.78,-1.46,-0.43,1.68,0.67,1.78,0.19,-2.08,0.44,-0.32
 CONSERTOS E MANUTENÇÃO,0.7,0.18,0.32,0.9,2.01,1.85,1.21,-0.66,0.75,1.33,1.96,1.35,2.59,0.3,0.7,-0.31,1.28
 CONSERTOS E MANUTENÇÃO,0.7,0.18,0.32,0.9,2.01,1.85,1.21,-0.66,0.75,1.33,1.96,1.35,2.59,0.3,0.7,-0.31,1.28
 CONSERTO DE REFRIGERADOR,       -,0.91,       -,1.47,       -,       -,0.71,       -,2.75,       -,0.03,       -,       -,       -,-1.63,       -,0.71
 CONSERTO DE TELEVISOR,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,       -,1.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.33
 REFORMA DE ESTOFADO,1.54,-2.31,-0.14,-0.04,0.06,2.59,       -,-2.41,2.1,       -,       -,0,1.89,-2.12,       -,0.15,0.37
 CONSERTO DE APARELHO CELULAR,       -,0.26,-1.33,0.24,0.64,2.27,1.04,-2.38,-0.55,0.86,0.93,0.04,2.37,1.94,2.62,-2.8,0.24
 CONSERTO DE BICICLETA,0.55,0.24,1.44,1.84,2.62,0.87,1.72,1.15,0.31,1.44,3.55,1.63,2.96,0.26,0.47,2.25,1.88
 VESTUÁRIO,2.9,2.04,2.3,1.53,1.83,1.41,1.15,0.5,1.36,1.77,2.27,1.53,0.71,0.88,1.66,2.2,1.82
 ROUPAS,3.31,2.03,2.54,1.44,1.6,1.53,1.06,0.65,1.07,1.54,2.47,1.61,1.55,0.82,1.74,2.61,1.79
 ROUPA MASCULINA,2.9,1.53,2.35,0.82,1.54,2.33,0.04,0.76,0.23,1.64,3.49,1.64,2.08,0.96,3.67,3.12,1.66
 CALÇA COMPRIDA MASCULINA,0.49,2.51,2.08,1.69,3.31,2.82,-1.83,2.17,0.7,2.27,3.16,2.74,1.55,1.65,3.79,1.23,2.2
 AGASALHO MASCULINO,       -,3.85,       -,       -,       -,       -,       -,       -,       -,2.62,       -,       -,       -,       -,       -,       -,3.42
 BERMUDA/SHORT MASCULINO,2.07,0.33,2.55,2.25,3.29,2.35,-0.05,1.18,-1.59,0.21,3.26,1.52,2.87,-0.34,3.47,2.9,1.64
 CUECA,       -,       -,       -,       -,       -,       -,3.78,       -,       -,       -,       -,       -,       -,1.29,2.72,       -,3.33
 CAMISA/CAMISETA MASCULINA,3.86,0.49,2.44,-0.2,0.31,2.09,0.44,0.08,0.96,1.43,3.78,1.19,2.23,1.01,3.91,3.96,1.32
 ROUPA FEMININA,3.65,2.73,2.65,2.82,2.45,1.21,1.89,1.65,1.9,1.67,1.7,1.84,2.56,1.72,0.3,2.67,2.32
 CALÇA COMPRIDA FEMININA,3.88,2.13,3.97,3.66,2.32,3.47,-0.66,0.95,1.72,0.03,0.7,-1.14,3.01,2.5,3.15,3.97,2.26
 AGASALHO FEMININO,       -,4,3.84,       -,       -,       -,       -,       -,       -,3.84,       -,       -,3.87,       -,       -,       -,3.92
 SAIA,       -,       -,       -,2.53,       -,       -,3.04,       -,       -,       -,       -,       -,       -,2.45,2.5,-0.6,2.41
 VESTIDO,3.33,0.94,3.4,1.4,2.19,3.25,1.32,1.71,1.39,-0.13,-0.21,1.79,3.22,1.25,0.97,3.79,1.96
 BLUSA,3.7,3.57,1.79,3.29,2.7,-1.02,1.93,1.65,3.34,3.37,3.75,3.33,2.41,1.28,-0.01,2.51,2.64
 LINGERIE,       -,3.15,1.27,2.85,2.2,       -,3.96,1.82,1.52,-0.06,2.45,       -,1.89,1.44,-2.39,-0.21,1.88
 BERMUDA/SHORT FEMININO,3.94,       -,0.77,2.51,       -,       -,3.29,2.52,0.1,2.26,0.93,1.96,0.42,2.65,-2.48,2.2,1.76
 ROUPA INFANTIL,3.28,1.26,2.61,-0.72,0,0.94,1.53,-2.36,1.2,1.11,2.14,1.05,-1.3,-1.48,0.46,1.5,0.88
 UNIFORME ESCOLAR,       -,       -,-0.77,2.19,0.38,3.27,3.18,0.82,       -,-0.58,1.28,2.99,       -,       -,2.58,0.85,0.82
 CALÇA COMPRIDA INFANTIL,       -,3.81,3.99,       -,2.56,2.13,       -,       -,-0.64,2.01,2.82,       -,-2.95,-0.58,3.29,       -,2.51
 AGASALHO INFANTIL,       -,3.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.1
 VESTIDO INFANTIL,-0.41,-0.66,3.17,-1.54,       -,-0.06,-2.93,-2.69,2.95,       -,0.55,-2.87,-1.98,-0.82,-2.96,-0.62,0.01
 BERMUDA/SHORT INFANTIL,3.89,       -,       -,-0.23,-1.69,       -,2.05,-1.95,1.17,       -,       -,-0.3,1.74,-2.38,1.89,2.75,0.24
 CAMISA/CAMISETA INFANTIL,3.6,-0.3,2.45,0.55,-2.03,0.88,1.74,-3.44,-0.52,0.7,2.17,0.21,-0.56,-2.83,-0.32,0.98,-0.03
 CONJUNTO INFANTIL,3.89,1.61,3.84,-3.42,1.88,-2.67,2.87,-2.96,2.9,3.36,3.24,3.75,-2.81,-0.49,-0.28,3.21,1.81
 CALÇADOS E ACESSÓRIOS,2.7,2.65,2.33,1.53,2.3,2.44,1.1,-0.44,1.83,2.49,2.41,1.68,-1.57,0.88,1.67,1.61,2.05
 CALÇADOS E ACESSÓRIOS,2.7,2.65,2.33,1.53,2.3,2.44,1.1,-0.44,1.83,2.49,2.41,1.68,-1.57,0.88,1.67,1.61,2.05
 SAPATO MASCULINO,-1.59,3.51,1.5,-0.51,2.08,2.81,1.07,-2.83,0.63,3.36,3.75,-1.71,-2.42,0.65,3.3,2.54,1.38
 SAPATO FEMININO,3.37,2.68,3.3,2.02,0.36,1.75,-1.23,-2.95,2.31,1.68,3.38,3.1,-2.71,2.42,-0.64,-0.54,1.41
 SAPATO INFANTIL,       -,       -,       -,3,       -,       -,1.4,       -,0.39,2.45,3.77,       -,1.56,-1.84,-1.11,-0.2,1.71
 BOLSA,0.01,1.86,-0.16,2.58,       -,3.5,1.3,2.51,3.69,-0.46,1.54,       -,1.42,3.18,1.63,3.46,1.43
 MOCHILA,       -,       -,       -,2.26,       -,       -,1.72,1.47,       -,       -,       -,       -,       -,-1.57,3.41,       -,1.99
 TÊNIS,3.89,2.7,3.26,1.96,3.76,2.64,3.36,0.23,1.83,3.22,2.68,2.19,-2.86,-0.27,2.25,3.43,3.06
 SANDÁLIA/CHINELO,3.66,1.69,0.9,1.29,0.74,2.44,1.9,0.22,2.09,1.99,-0.03,2.46,1.12,0.74,1.98,0.54,1.38
 JOIAS E BIJUTERIAS,-0.9,-0.99,-0.21,2.77,3.08,-1.93,3.23,3.76,2.99,1.39,0.28,-0.17,1.02,1.83,1.08,-0.19,1.18
 JOIAS E BIJUTERIAS,-0.9,-0.99,-0.21,2.77,3.08,-1.93,3.23,3.76,2.99,1.39,0.28,-0.17,1.02,1.83,1.08,-0.19,1.18
 BIJUTERIA,       -,       -,-0.79,       -,       -,2.82,       -,       -,3.77,       -,       -,       -,       -,       -,       -,2.97,1.46
 JOIA,-2.39,-1.81,0.02,3.01,3.61,-3.42,3.52,3.97,       -,1.5,0.17,-0.36,1.02,-0.17,1.48,-1.64,0.98
 RELÓGIO DE PULSO,2.41,1.2,       -,2.45,1.45,       -,2.37,3.3,2.25,1.07,0.81,0.23,       -,2.98,-0.14,-0.64,1.7
 TECIDOS E ARMARINHO,1.43,-0.02,1.35,0.27,0.27,0.73,0.59,0.79,1.84,0.69,1.78,0.41,1.49,-0.12,0.8,1.93,0.81
 TECIDOS E ARMARINHO,1.43,-0.02,1.35,0.27,0.27,0.73,0.59,0.79,1.84,0.69,1.78,0.41,1.49,-0.12,0.8,1.93,0.81
 TECIDO,1.43,-0.65,0.61,0.27,-0.2,0.73,0.59,0.79,1.84,1.75,1.47,-0.03,1.49,-0.12,0.8,1.93,0.75
 ARTIGOS DE ARMARINHO,       -,1.15,2.71,       -,1.27,       -,       -,       -,       -,-0.9,2.48,1.12,       -,       -,       -,       -,1.12
 TRANSPORTES,2.2,2.37,2.65,3.82,2.5,3.25,2.14,3.85,3.48,5.31,3.64,2.26,2.78,2.01,4.82,3.97,3.02
 TRANSPORTES,2.2,2.37,2.65,3.82,2.5,3.25,2.14,3.85,3.48,5.31,3.64,2.26,2.78,2.01,4.82,3.97,3.02
 TRANSPORTE PÚBLICO,-0.1,-2.14,0.95,2.87,-0.56,-3.5,-0.02,-0.52,1.23,7.7,0.04,0.42,2.83,-3.37,3.46,-0.75,0.21
 ÔNIBUS URBANO,0,0,0,4.86,0,0,1.11,0,0,20.22,0,0,0,0,5.14,0,1.27
 TÁXI,0,0,0,0,0,       -,0,0,0,       -,       -,0,0,0,0,0,0.0
 TREM,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 ÔNIBUS INTERMUNICIPAL,9.52,0,-2.29,0.23,0,       -,0,0.19,0.92,4.88,1.25,0,-2.11,1.71,3.78,0,1.12
 ÔNIBUS INTERESTADUAL,3.83,       -,3.66,2.65,3.13,0.16,4.2,5.45,6.48,1.68,0,0.22,3.46,2.57,3.98,0.85,2.95
 PASSAGEM AÉREA,-12.66,-15.55,3.29,-8.11,-9.56,-13.23,-3.71,-9.45,4,-2.86,-7.04,0.21,2.26,-11.33,-5.5,-7.65,-7.33
 METRÔ,0,       -,       -,       -,0,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 TRANSPORTE ESCOLAR,       -,2.25,0,0,0.4,0.53,       -,       -,0,0,       -,0,1.77,       -,0,0,0.34
 TRANSPORTE POR APLICATIVO,5.41,2.48,9.58,17.32,12.27,5.69,       -,7.4,2.24,       -,5.49,7.83,13.98,       -,6.39,11.22,7.98
 INTEGRAÇÃO TRANSPORTE PÚBLICO,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 VEÍCULO PRÓPRIO,2.14,0.33,0.73,0.26,1.18,1.76,1.22,2.1,1.52,1.3,2,0.83,1.45,1.21,1.21,1.43,1.24
 AUTOMÓVEL NOVO,0.17,-0.05,-0.05,-0.65,0.85,0.9,0.6,1.56,-0.09,-0.59,2.91,-0.17,2.22,1.26,-0.25,0.13,0.47
 EMPLACAMENTO E LICENÇA,2.16,1.64,0.5,2.22,1.79,0.87,1.33,2.18,1.16,2.28,2.22,1.27,2.19,2.21,1.22,2.23,1.7
 SEGURO VOLUNTÁRIO DE VEÍCULO,6.98,3.13,5.34,3.23,-0.27,10.15,3.85,8.48,5.58,9.11,3.86,9.47,3.94,5.18,3.93,8.75,3.93
 MULTA,       -,0,0,0,0,0,0,0,0,0,0,       -,0,0,0,0,0.0
 ÓLEO LUBRIFICANTE,       -,1.93,1.04,4.13,-0.46,0.34,1.4,3.21,0.69,3.29,3.61,       -,0.61,-1.92,1.28,0.03,1.28
 ACESSÓRIOS E PEÇAS,2.21,-0.31,-2.25,-0.1,1.05,1.07,0.42,-2.17,1.1,1.57,-1.51,0.31,2.69,1.19,2.48,1.27,0.42
 PNEU,       -,0.29,-0.25,0.14,0.26,1.08,2.39,1.51,1.31,2.98,3.21,-0.03,0.38,-0.59,3.44,2.94,1.0
 CONSERTO DE AUTOMÓVEL,2.23,-0.9,-0.64,-1.02,3.74,-1.25,0.96,2.75,2.03,2.55,-1.83,0.84,0.13,1.62,2.91,-1.15,1.47
 ESTACIONAMENTO,       -,-2.04,       -,       -,0.25,       -,       -,       -,0.59,-0.29,       -,       -,       -,       -,       -,       -,0.0
 PEDÁGIO,       -,0,       -,       -,-0.43,       -,       -,       -,       -,2.53,       -,0,       -,       -,       -,       -,0.1
 AUTOMÓVEL USADO,1.92,-1.1,1.16,       -,0.38,1.98,-0.17,1.99,0.4,0.85,2.42,0.05,1.1,-0.39,0.95,1.78,0.76
 PINTURA DE VEÍCULO,       -,       -,2.45,-2.19,       -,       -,       -,       -,0.82,       -,       -,       -,       -,       -,       -,       -,1.01
 ALUGUEL DE VEÍCULO,2.61,       -,       -,       -,       -,       -,8.89,       -,8.61,       -,       -,       -,       -,       -,       -,       -,6.48
 MOTOCICLETA,2.71,3.06,2.7,2.15,1.19,3.83,2.71,1.86,3.17,0.22,1.87,1.08,1.57,1.3,1,3.5,1.86
 COMBUSTÍVEIS (VEÍCULOS),4.03,6.71,5.61,8.83,5.88,7.1,4.18,7.87,7.18,11.41,6.54,6.15,4.44,4.99,9.9,9.93,6.7
 GASOLINA,4.12,6.6,5.95,8.89,6.73,6.95,4.02,7.89,6.74,11.55,6.78,5.92,4.46,4.45,9.41,9.86,6.95
 ETANOL,-1.67,       -,0.47,3.36,2.18,0.58,       -,       -,6.93,8.65,3.58,       -,-0.7,       -,       -,       -,3.02
 ÓLEO DIESEL,7.67,10.25,12.71,17.09,15.03,12.19,9.62,9.86,14.1,21.23,14.87,11.43,8.92,9.11,17.99,11.97,13.65
 GÁS VEICULAR,5.53,       -,       -,       -,       -,       -,       -,0.29,       -,       -,       -,       -,       -,       -,       -,       -,5.29
 SAÚDE E CUIDADOS PESSOAIS,1.27,0.73,0.91,0.83,0.68,0.4,2.39,1.04,0.76,1.49,0.44,0.61,0.01,1.81,1.25,0.52,0.88
 PRODUTOS FARMACÊUTICOS E ÓTICOS,4.62,0.3,1.09,0.87,0.74,0.34,3.05,0.86,1.28,0.88,-0.98,0.87,-1.76,1.51,1.97,-0.01,1.13
 PRODUTOS FARMACÊUTICOS,4.84,0.53,1.46,1.07,0.9,0.45,3.21,1.2,1.65,0.85,-0.94,1.11,-1.56,1.62,1.87,-0.03,1.32
 ANTI-INFECCIOSO E ANTIBIÓTICO,4.07,-0.85,3.84,0.66,3.64,-3.36,6.43,1.78,3.89,0.9,-2.67,-1.88,-2.05,1.89,0.42,-2.71,2.1
 ANALGÉSICO E ANTITÉRMICO,3.72,-0.01,1.76,0.55,1.14,2.23,2.01,1.17,1.7,1.58,1.5,0.73,-0.67,2.25,1.26,1.48,1.43
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,4.98,0.16,2.6,1.16,-0.28,2.43,0.14,2.24,2.47,2.5,-1.05,1.71,0.95,1.19,0.81,-1.57,1.27
 ANTIGRIPAL E ANTITUSSÍGENO,3.41,0.7,2.48,2.84,0.41,2.15,4.55,3.87,2.25,1.09,-0.38,0.39,1.56,1.82,3.78,-0.3,1.67
 DERMATOLÓGICO,7.84,1.77,-1.54,2.36,0,-0.21,       -,1.8,1.93,-0.13,       -,0.27,0.72,-1.15,3.79,0.41,1.12
 ANTIALÉRGICO E BRONCODILATADOR,4.64,-0.47,1.32,0.23,2.03,-0.2,-0.03,1.04,1.27,-1.03,-2.61,2.99,-0.4,-0.09,1.18,0.7,1.29
 GASTROPROTETOR,6.01,0.78,2.11,2.46,0.19,       -,2.39,-0.18,1.96,1.51,1.85,1.51,-0.13,2.7,3.25,0.58,1.61
