"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 LANCHE,0.4,-0.65,1.48,0.23,-1.77,0.57,1.76,-1.41,1.38,-0.48,-0.45,-0.54,0.75,-1.41,-1.03,1.14,-0.41
 REFRIGERANTE E ÁGUA MINERAL,0.2,1.18,0.11,2.08,2.73,-2.15,-2.61,2,1.36,0.74,-1.2,0.61,2.24,0.16,-0.59,0.44,1.23
 CAFEZINHO,       -,2.47,       -,       -,4.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.86
 CERVEJA,0.2,3.59,-2.12,1.94,1.22,-0.81,-1.14,2.02,-0.44,3.52,0.57,1.89,2.67,1.78,-1.37,0.35,0.74
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,-1.92,       -,       -,       -,       -,       -,       -,       -,1.62,1.86,       -,4.16,       -,0.5
 VINHO,-0.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.15
 DOCES,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.01,       -,       -,       -,       -,-0.07,-0.03
 SORVETE,       -,       -,       -,       -,0.21,       -,       -,1.9,-0.14,-0.71,-1.07,       -,1.71,-2.73,       -,2.83,0.07
 HABITAÇÃO,0.14,-2.34,0.06,0.27,0.8,1.1,-1.15,0.66,0.68,-0.18,0.6,-1.25,0.69,1.76,-0.6,0.34,0.16
 ENCARGOS E MANUTENÇÃO,0.45,0.35,0.79,0.41,1.13,0.65,0.85,1.82,1.48,0.3,0.87,1.06,3.04,0.03,0.32,0.69,0.89
 ALUGUEL E TAXAS,0.52,0.37,0.86,0.38,1.24,0.68,1,2.18,1.69,0.15,0.74,1.08,3.84,-0.63,0.07,0.59,0.97
 ALUGUEL RESIDENCIAL,0.85,1.3,0.89,0.98,2.27,1,0.14,2.71,1.59,0.4,0.93,1.38,2.17,-0.8,0.13,1.13,1.54
 CONDOMÍNIO,0.33,-0.66,1.88,-0.36,0.35,0.59,2.73,3.49,3.15,-0.14,1.52,1.68,0.85,-1.29,0.08,0.3,0.66
 TAXA DE ÁGUA E ESGOTO,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0.15
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,0.0
 REPAROS,-0.03,1.38,0.61,0.45,0.58,0.17,0.13,-0.19,0.16,0.62,1.62,0.72,0.45,0.22,0.38,0.69,0.53
 FERRAGENS,       -,       -,       -,       -,       -,       -,2.44,       -,       -,       -,2.91,       -,       -,-2.2,       -,       -,2.32
 MATERIAL DE ELETRICIDADE,       -,       -,       -,       -,       -,-1.18,       -,       -,       -,0.68,       -,       -,       -,       -,0.21,       -,-0.17
 VIDRO,       -,       -,       -,       -,       -,2.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.32
 TINTA,0.4,2.94,0.39,3.31,2.6,0.39,1.04,2.06,1.65,0.75,2.68,-0.39,1.2,-1.29,1.79,-2.39,1.8
 REVESTIMENTO DE PISO E PAREDE,-0.07,1.01,1.16,-0.08,-0.86,       -,-0.1,-2.42,-1.91,2.12,1.88,2.07,       -,0.56,-0.09,2.04,-0.09
 MADEIRA E TACO,       -,1.47,       -,       -,       -,       -,       -,-1.01,       -,       -,       -,       -,       -,1.84,-0.63,       -,0.6
 CIMENTO,       -,       -,       -,-0.78,       -,       -,0.81,3.29,0.85,       -,       -,1.21,2.49,2.07,1.2,       -,1.2
 TIJOLO,-0.01,       -,       -,       -,       -,       -,-2.92,       -,       -,       -,-0.67,-2.52,       -,-0.9,0.78,       -,-0.9
 MATERIAL HIDRÁULICO,       -,       -,       -,       -,1.06,       -,       -,       -,2.05,       -,       -,       -,-1.59,       -,       -,       -,1.09
 MÃO DE OBRA,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
 AREIA,-2.98,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.26,       -,       -,       -,-2.96,       -,-2.26
 PEDRAS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.22,       -,       -,0.22
 TELHA,       -,2.85,2.4,0.67,       -,       -,-0.86,       -,       -,-1,       -,       -,       -,       -,2.93,       -,1.04
 ARTIGOS DE LIMPEZA,0.54,-1.51,0.42,0.55,1.03,1.1,1.45,1.56,1.73,1.16,1.22,1.7,-0.18,1.61,1.01,1.47,0.76
 SACO PARA LIXO,       -,-2.95,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.29,       -,       -,       -,-2.82
 ÁGUA SANITÁRIA,0.77,-1.81,0.26,-1.29,-0.27,2.94,0.77,0.54,1.18,       -,0.81,       -,-0.69,-0.02,-1.52,1.71,-0.02
 DETERGENTE,0.25,-2.33,-0.34,1.87,0.11,2.85,1.89,2.96,2.63,-0.66,1.95,2.97,-0.53,0.93,       -,0.23,0.23
 SABÃO EM PÓ,0,-0.43,-0.42,-1.82,2.9,-1.07,1.43,0.98,2.31,2.95,1.93,2.3,0,1.97,1.13,1.29,1.43
 DESINFETANTE,2.82,-1.4,0.33,1.16,0.74,-1.95,0.59,2.87,1.06,1.7,0.75,-0.79,       -,       -,-1.98,       -,0.74
 SABÃO EM BARRA,-2.49,       -,0.44,2.96,       -,       -,0.62,0.71,0.72,       -,       -,0.73,-0.19,2.39,2.27,2.48,0.71
 ESPONJA DE LIMPEZA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.67,       -,-1.67,       -,       -,       -,       -,-1.67
 SABÃO LÍQUIDO,       -,       -,       -,       -,       -,0.59,       -,       -,       -,0.89,       -,       -,       -,       -,       -,2.79,1.14
 LIMPADOR MULTIUSO,       -,-1.21,       -,       -,2.63,1.68,       -,       -,       -,-0.39,       -,       -,       -,       -,       -,       -,1.58
 PAPEL TOALHA,0.2,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.2
 AMACIANTE E ALVEJANTE,2.19,-1.23,2.92,2.49,-0.07,2.34,2.45,1.58,0.77,0.88,0.18,1.84,0.55,1.13,2.29,0.56,0.71
 COMBUSTÍVEIS E ENERGIA,-0.29,-5.62,-0.82,0.11,0.16,2.21,-2.42,-0.82,-0.28,-0.89,0.27,-4.04,-1.67,2.71,-1.23,-0.14,-0.91
 COMBUSTÍVEIS (DOMÉSTICOS),-0.2,-0.73,0.19,-0.33,-1.04,2.52,-0.84,-0.72,-0.21,0.68,-0.29,0.42,-0.42,0.63,0.22,-0.53,-0.35
 CARVÃO VEGETAL,       -,       -,       -,       -,       -,       -,0.62,       -,       -,       -,       -,       -,       -,       -,-0.09,       -,0.27
 GÁS DE BOTIJÃO,-0.29,-0.73,0.19,-0.33,-2.71,2.52,-0.89,-0.72,-0.21,0.78,-0.29,0.42,-0.42,0.63,0.24,-0.53,-0.73
 GÁS ENCANADO,0,       -,       -,       -,5.46,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,3.13
 ENERGIA ELÉTRICA RESIDENCIAL,-0.31,-6.81,-1.16,0.28,0.5,2.13,-2.87,-0.86,-0.31,-1.4,0.42,-5.18,-2.07,3.34,-1.95,0,-1.07
 ENERGIA ELÉTRICA RESIDENCIAL,-0.31,-6.81,-1.16,0.28,0.5,2.13,-2.87,-0.86,-0.31,-1.4,0.42,-5.18,-2.07,3.34,-1.95,0,-1.07
 ARTIGOS DE RESIDÊNCIA,0.57,1.89,1.3,1.95,2.57,2.15,1.24,1.51,2.9,0.98,0.57,1.63,1.17,2.04,1.66,1.44,1.82
 MÓVEIS E UTENSÍLIOS,-0.09,1.03,1.51,2.42,2.21,2.3,1.31,0.9,3.03,1.11,0.94,1.97,1.44,2.04,1.33,2.36,1.66
 MOBILIÁRIO,0.5,1.91,1.61,3.49,3.29,3.01,1.99,1.29,3.89,1.72,2.38,2.19,1.25,2.21,1.42,3.32,2.41
 MÓVEL PARA SALA,0.09,1.18,2.61,3.87,2.71,3.2,2.75,1.16,3.24,3.71,2.55,3.82,2.64,3.2,0.09,3.85,2.43
 MÓVEL PARA QUARTO,0.8,2.6,1.15,3.13,3.36,3.06,1.53,1.76,4.72,0.92,2.62,1.4,0.85,2.07,1.96,3.36,2.44
 MÓVEL PARA COPA E COZINHA,0.65,2.72,2.2,4.4,4.32,2.25,1.65,0.78,3,2.39,3.28,1.97,0.91,0.77,1.68,2.9,2.85
 MÓVEL INFANTIL,       -,       -,       -,3.16,       -,       -,       -,-1.21,3.42,-2.96,-0.97,       -,0.28,3.57,-0.7,2.53,0.22
 COLCHÃO,       -,-0.71,-0.63,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.67
 UTENSÍLIOS E ENFEITES,-0.99,0.67,0.66,0.44,-0.3,0.4,0.25,-0.48,1.55,0.2,-0.16,1.25,0.81,2.39,1.14,1.31,0.2
 ARTIGOS DE ILUMINAÇÃO,-0.62,-0.3,1.1,-0.15,0.01,0.23,-1.04,0.22,1.67,0.39,       -,       -,1.73,       -,1.13,1.05,0.22
 TAPETE,-0.99,2.9,       -,       -,-0.53,0.2,0.18,       -,2.05,-0.59,-1.85,5.37,0.19,       -,       -,       -,0.19
 CORTINA,-0.66,0.58,0.86,1.43,0.55,0.56,       -,0.54,-1.7,1.74,1.18,0.78,       -,       -,       -,       -,0.55
 UTENSÍLIOS DE METAL,-1.37,2.74,-0.32,-0.45,-0.88,0.3,-0.68,-1,2.24,-0.63,-0.07,-0.86,1.46,3.39,1.94,1.63,-0.07
 UTENSÍLIOS DE VIDRO E LOUÇA,       -,       -,1.4,1.9,0.21,0.57,0.8,-1.24,2.82,0.38,       -,-1.05,-1.6,-0.87,0.43,1.03,0.62
 UTENSÍLIOS DE PLÁSTICO,       -,       -,       -,       -,       -,       -,1.9,       -,       -,       -,1.41,       -,       -,       -,-0.5,0.76,1.34
 FLORES NATURAIS,       -,-4.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.09
 UTENSÍLIOS PARA BEBÊ,       -,       -,2.08,1.78,       -,       -,       -,-0.69,       -,       -,-0.82,1.71,-0.07,1.47,       -,       -,0.87
" CAMA, MESA E BANHO",-1.17,-2.4,2.48,0.01,2.06,3.05,0.93,0.58,2.48,0.17,-2.98,2.33,3.73,0.43,1.24,-0.57,0.99
 ROUPA DE CAMA,-1.17,-2.4,2.48,-0.39,2.06,3.05,0.93,1.63,2.48,0.17,-2.98,2.33,3.9,0.52,1.24,-0.57,1.0
 ROUPA DE BANHO,       -,       -,       -,1.17,       -,       -,       -,-1.69,       -,       -,       -,       -,3.29,0.06,       -,       -,0.56
 APARELHOS ELETROELETRÔNICOS,1.03,2.93,1.2,1.64,3.15,2.38,1.05,2.48,2.93,0.97,0.66,1.64,1.08,2.18,2.11,1.02,2.15
 ELETRODOMÉSTICOS E EQUIPAMENTOS,2,4.32,2.52,2.63,2.8,4.89,2.73,3.23,4.01,1.58,1.9,2.25,1.48,1.88,4.07,3.46,2.86
 REFRIGERADOR,1.12,4.02,2.9,3.29,5.36,6.64,3.01,1.65,5.71,1.95,2.72,2.62,2.71,1.09,4.1,3.72,3.83
 AR-CONDICIONADO,0.16,4.87,       -,1.8,3.59,-0.16,-0.07,2.65,2.7,2.98,-0.05,0.52,1.08,0.53,       -,2.58,2.45
 MÁQUINA DE LAVAR ROUPA,3.38,3.91,2.77,1.45,-0.37,3.95,2.66,4.56,3.63,0.42,3.54,1.5,1.11,3.54,4.73,4.23,1.72
 VENTILADOR,       -,       -,       -,1.9,       -,       -,3.25,6.15,       -,       -,       -,       -,-2.82,1.9,1.8,0.57,2.46
 FOGÃO,3.87,5.39,1.73,3.64,2.61,6.62,3.4,3.61,1.95,1.93,-1.76,4.11,1.39,4.23,5.31,4.42,2.83
 CHUVEIRO ELÉTRICO,       -,       -,1.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.84
" TV, SOM E INFORMÁTICA",0.19,1.14,-0.13,0.64,3.52,0.07,-0.58,1.72,1.64,0.31,-1.02,0.92,0.46,2.76,-0.01,-1.14,1.38
 TELEVISOR,-0.25,-0.12,-0.55,0.07,3.58,1.24,-0.95,1.73,3.31,0.39,-1.51,0.61,0.68,2.82,-0.49,-2.04,1.27
 APARELHO DE SOM,       -,       -,       -,0.64,       -,       -,       -,       -,1.64,       -,       -,       -,       -,       -,-0.01,-0.4,0.87
 VIDEOGAME (CONSOLE),       -,       -,       -,0.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.51
 COMPUTADOR PESSOAL,1.05,3.77,0.58,1.59,3.43,-1.03,0.11,1.7,-1.88,0.19,-0.31,1.52,0.02,2.63,1.87,0.22,1.59
 CONSERTOS E MANUTENÇÃO,0.85,1.12,0.45,1.09,1.4,0.2,1.84,-0.42,1.63,0.43,-1.18,-0.09,0.11,1.16,0.69,-1.54,0.83
 CONSERTOS E MANUTENÇÃO,0.85,1.12,0.45,1.09,1.4,0.2,1.84,-0.42,1.63,0.43,-1.18,-0.09,0.11,1.16,0.69,-1.54,0.83
 CONSERTO DE REFRIGERADOR,       -,3.25,       -,1.2,       -,       -,1.77,       -,2.53,       -,0.94,       -,       -,       -,-1.3,       -,1.55
 CONSERTO DE TELEVISOR,       -,       -,       -,       -,       -,       -,-0.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.66
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,       -,2.45,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.45
 REFORMA DE ESTOFADO,1.68,1.46,3.42,1.62,-0.89,0,       -,-0.91,2,       -,       -,1.11,1.2,1.12,       -,1.16,0.56
 CONSERTO DE APARELHO CELULAR,       -,0.14,-0.81,0.23,0.71,-1.34,2.12,-0.88,1.03,0.79,-1.51,0.34,0.76,1.62,1.16,-2.48,0.23
 CONSERTO DE BICICLETA,0.69,-0.55,0.25,1.4,2,1.02,2.26,0.1,1.65,0.35,-2.2,-0.26,-0.65,1.02,1.59,-2.32,1.01
 VESTUÁRIO,-0.19,0.16,1.93,0.77,1.84,-0.5,0.69,1.26,2.69,-1.13,1.59,0.01,1.38,1.83,2.29,2.15,1.07
 ROUPAS,-0.32,-0.48,2.23,-0.07,2.31,-0.29,0.7,0.9,3.23,-1.75,1.44,-0.34,1.14,2.02,2.44,3.02,1.11
 ROUPA MASCULINA,0.72,-0.37,2.47,0.69,3.05,-1.5,1.11,2.12,3.38,-1.26,2.39,-0.05,-0.37,3.02,3.27,3.25,1.64
 CALÇA COMPRIDA MASCULINA,1.87,-1.41,0.66,1.23,1.54,-3.11,-0.04,0.61,3.58,-0.49,3.35,-0.62,-0.1,3.17,3.62,3.62,0.94
 AGASALHO MASCULINO,       -,-0.81,       -,       -,       -,       -,       -,       -,       -,-0.11,       -,       -,       -,       -,       -,       -,-0.57
 BERMUDA/SHORT MASCULINO,-0.35,-0.87,2.79,-0.04,3.91,0.22,-0.6,-0.1,2.93,-0.88,1.04,-0.17,0.79,2.04,3.68,3.95,1.58
 CUECA,       -,       -,       -,       -,       -,       -,1.65,       -,       -,       -,       -,       -,       -,3.06,2.68,       -,2.01
 CAMISA/CAMISETA MASCULINA,0.72,0.45,3.44,0.71,3.61,-1.02,2.44,3.68,3.53,-1.95,2.28,0.25,-0.85,3.32,2.93,2.81,2.07
 ROUPA FEMININA,-0.74,-0.27,2.42,-1.25,1.49,0.46,0.98,-0.36,3.55,-2.03,1.47,-0.76,1.95,1.85,2.74,3.65,0.78
 CALÇA COMPRIDA FEMININA,-1.45,-1.86,2.52,-1.28,-0.84,0.14,1.14,-0.35,3.61,-2.69,0,-0.13,0.79,0.39,3.98,3.94,-0.3
 AGASALHO FEMININO,       -,1.42,-1.58,       -,       -,       -,       -,       -,       -,-1.25,       -,       -,1.54,       -,       -,       -,0.15
 SAIA,       -,       -,       -,1.94,       -,       -,2.08,       -,       -,       -,       -,       -,       -,0.79,3.39,3.16,2.24
 VESTIDO,0.47,-0.46,1.73,-0.69,3.36,-2.84,1.45,0.1,3.94,-1.68,1.97,-1.27,3.05,2.55,3.08,3.56,1.39
 BLUSA,-0.72,0.95,3.61,-2.14,2,2.63,1.77,-0.75,2.82,-2.86,2.31,-0.67,2.38,3.58,3.1,3.94,1.08
 LINGERIE,       -,-1.36,0.75,-0.25,1.22,       -,-1.4,1.48,3.99,3.09,0.62,       -,1.76,1.33,-1.56,2.08,1.02
 BERMUDA/SHORT FEMININO,-3,       -,3.12,-1.23,       -,       -,-0.01,-1.01,3.86,-2.93,2.21,-0.95,1.65,-0.91,3.78,3.49,0.5
 ROUPA INFANTIL,-1.34,-1.18,1.37,1.41,2.73,0.06,-0.78,1.61,2.35,-1.91,-0.28,0.09,2.02,0.13,0.03,1.28,0.87
 UNIFORME ESCOLAR,       -,       -,1.04,2.14,3.25,0.86,1.87,1.24,       -,-0.64,3.55,1.92,       -,       -,3.75,1.99,1.88
 CALÇA COMPRIDA INFANTIL,       -,-0.38,1.1,       -,2.33,2.03,       -,       -,3.51,-0.13,-1.52,       -,-2.57,3.13,-2.24,       -,1.14
 AGASALHO INFANTIL,       -,-0.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.93
 VESTIDO INFANTIL,-1.05,-0.23,1.31,0.85,       -,2.08,-2.48,3.63,2.66,       -,-2.37,3.33,2.48,1.65,-2.79,-0.74,0.44
 BERMUDA/SHORT INFANTIL,-0.52,       -,       -,3.76,2.81,       -,-0.37,1.22,2.34,       -,       -,1.1,2.3,-2.17,-2.73,3.56,1.67
 CAMISA/CAMISETA INFANTIL,-1.55,-1.42,3.01,3.24,3.77,-1.64,-1.06,0.1,3.65,-2.88,1.46,0.34,2.35,-1.52,3.97,3.16,1.29
 CONJUNTO INFANTIL,-1.95,-2.3,-0.13,-1.88,1.14,-1,-2.65,2.42,-0.34,-2.95,-3.21,-2.87,3.75,0.18,0.06,-1.18,-0.54
 CALÇADOS E ACESSÓRIOS,-0.04,1.4,1.37,2.73,0.87,-1.81,0.32,2.06,1.6,-0.15,2.41,0.7,1.55,1.31,2.26,0.31,0.97
 CALÇADOS E ACESSÓRIOS,-0.04,1.4,1.37,2.73,0.87,-1.81,0.32,2.06,1.6,-0.15,2.41,0.7,1.55,1.31,2.26,0.31,0.97
 SAPATO MASCULINO,1.13,-1.17,-0.49,2.91,0.77,-2.81,-0.06,3.91,0.52,-0.4,3.16,2.77,0.06,3.51,2.08,-0.35,0.62
 SAPATO FEMININO,-3.76,0.39,1.57,3.7,0.13,-1.12,-0.17,3.34,1.91,-1.38,3.7,0.51,0,2.23,2.84,1.4,0.22
 SAPATO INFANTIL,       -,       -,       -,2.88,       -,       -,-1.03,       -,3.07,0.8,2.18,       -,2.4,0.89,1.8,-0.07,1.64
 BOLSA,2.25,3.3,-2.02,2.6,       -,-0.49,2.77,2.13,3.53,2.16,1.48,       -,1.63,-0.43,-0.01,2.04,1.65
 MOCHILA,       -,       -,       -,3.81,       -,       -,1.13,1.97,       -,       -,       -,       -,       -,1.99,3.42,       -,2.49
 TÊNIS,2.26,1.96,3,2.35,1.19,-2.99,0.52,0.24,1.95,0.11,2.85,0.04,2.32,-0.99,2.02,-0.25,1.39
 SANDÁLIA/CHINELO,-2.1,3.9,0.46,2.08,1.2,0.12,-0.25,2.02,0.49,0.69,0.43,0.37,2.5,0.7,2.66,-0.23,0.93
 JOIAS E BIJUTERIAS,0.51,1.84,1.22,1.3,0.55,0.94,2.63,0.52,2.14,2.35,0.48,1.34,2.65,1.93,1.23,0.27,1.18
 JOIAS E BIJUTERIAS,0.51,1.84,1.22,1.3,0.55,0.94,2.63,0.52,2.14,2.35,0.48,1.34,2.65,1.93,1.23,0.27,1.18
 BIJUTERIA,       -,       -,3.89,       -,       -,1.16,       -,       -,2.83,       -,       -,       -,       -,       -,       -,-1.12,2.81
 JOIA,-0.54,1.35,0.19,0.09,0.16,0.88,3.45,0.2,       -,2.42,0.63,1.82,2.65,0.01,0.43,0.68,0.73
 RELÓGIO DE PULSO,3.07,3.17,       -,3.03,1.82,       -,0.31,1.21,1.49,2.13,-0.21,0.37,       -,3.09,3.72,0.81,2.05
 TECIDOS E ARMARINHO,0.24,1.68,0.93,0.38,0.1,0.29,1.73,4.63,0.68,2,0.87,0.61,0.4,-0.28,1.12,-0.24,0.93
 TECIDOS E ARMARINHO,0.24,1.68,0.93,0.38,0.1,0.29,1.73,4.63,0.68,2,0.87,0.61,0.4,-0.28,1.12,-0.24,0.93
 TECIDO,0.24,1.13,0.64,0.38,0.19,0.29,1.73,4.63,0.68,1.59,0.36,0.4,0.4,-0.28,1.12,-0.24,0.87
 ARTIGOS DE ARMARINHO,       -,2.68,1.47,       -,-0.1,       -,       -,       -,       -,2.61,2.01,0.95,       -,       -,       -,       -,1.23
 TRANSPORTES,0.68,-2.32,0.54,-0.03,-0.4,-0.25,0.12,0.12,0.58,0.32,0.15,1.23,0.35,0.77,0.5,0.25,-0.11
 TRANSPORTES,0.68,-2.32,0.54,-0.03,-0.4,-0.25,0.12,0.12,0.58,0.32,0.15,1.23,0.35,0.77,0.5,0.25,-0.11
 TRANSPORTE PÚBLICO,-3.11,-6.19,-3.83,-0.3,-7.48,-5.17,-3.47,-0.39,0.07,-7.49,-7.66,-3.53,-5.4,-1.89,-1.09,-1.61,-4.76
 ÔNIBUS URBANO,0,0,0,0,0,0,0,3.99,0,0,0,3.05,1.91,0,0,0,0.22
 TÁXI,5.66,0,0,0,0,       -,0,0,0,       -,       -,0,0,0,0,0,1.23
 TREM,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 ÔNIBUS INTERMUNICIPAL,0,0,1.32,13.05,0,       -,0,0,0.41,0.17,0.67,8.59,-0.38,0.1,2.83,0,0.59
 ÔNIBUS INTERESTADUAL,0.58,       -,-2.08,5.78,3.91,0.66,0.89,4.12,2.36,-1.48,3.71,-0.29,3.48,3.77,1.67,3.62,1.58
 PASSAGEM AÉREA,-16.6,-21.21,-16.5,-2.1,-26.84,-14.37,-15.63,-11.2,6.13,-19.99,-20.84,-18.02,-16.36,-6.24,-13.39,-10.75,-18.35
 METRÔ,0,       -,       -,       -,0,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 TRANSPORTE ESCOLAR,       -,0,0,0,0,2.46,       -,       -,0,0,       -,0,0,       -,0,0,0.1
 TRANSPORTE POR APLICATIVO,-22.37,-12.95,-15.54,-9.4,-23.21,-5.48,       -,-16.8,-13.43,       -,-19.6,-13.06,-21.76,       -,-17.44,-3.75,-17.96
 INTEGRAÇÃO TRANSPORTE PÚBLICO,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 VEÍCULO PRÓPRIO,3.46,1.83,2.13,1.55,1.77,2.57,1.05,2.42,1.41,2.08,0.94,2.53,1.68,2.01,1.56,2.39,1.96
 AUTOMÓVEL NOVO,2.25,2.89,2.37,1.11,2.54,2.19,-0.62,3.93,2.35,1.8,0.74,2.69,1.38,3.21,1,1.46,2.19
 EMPLACAMENTO E LICENÇA,2.16,1.64,0.49,2.47,1.79,0.87,1.33,2.18,1.16,2.28,2.22,1.28,2.2,2.21,1.22,2.23,1.71
 SEGURO VOLUNTÁRIO DE VEÍCULO,12.37,4.83,14.86,3.25,-1.15,7.34,0,0,2.77,-0.05,-0.48,10.23,3.46,1.95,3.45,4.99,3.45
 MULTA,       -,0,0,0,0,0,0,0,0,0,0,       -,0,0,0,0,0.0
 ÓLEO LUBRIFICANTE,       -,-0.9,-0.36,0.31,0.65,2.6,-0.62,0.55,-0.21,1.83,-0.29,       -,0.52,-1.97,0.37,2.84,0.37
 ACESSÓRIOS E PEÇAS,0.17,-0.61,0.1,0.22,-1.56,0.29,2.29,0.86,-0.79,-0.28,2.47,1.01,-1.46,2.39,0.64,1.64,-0.35
 PNEU,       -,4.52,2.7,4.87,0.94,4.8,-0.01,4.58,2.88,-0.68,3.22,3.77,2.49,1.09,3.62,2.58,2.19
 CONSERTO DE AUTOMÓVEL,1.38,1.9,1.81,0.77,3.24,2.29,2.55,1.41,1.65,3.21,-0.02,1.36,0.82,1.08,1.2,2.83,2.19
 ESTACIONAMENTO,       -,-1.84,       -,       -,1.46,       -,       -,       -,1.33,0.79,       -,       -,       -,       -,       -,       -,1.07
 PEDÁGIO,       -,0,       -,       -,0,       -,       -,       -,       -,0,       -,5.47,       -,       -,       -,       -,0.08
 AUTOMÓVEL USADO,5.14,0.19,0.52,       -,1.26,2.98,1.37,1.14,0.82,2.34,0.49,1.46,1.94,-0.05,1.79,1.3,1.53
 PINTURA DE VEÍCULO,       -,       -,1.56,1.52,       -,       -,       -,       -,1.75,       -,       -,       -,       -,       -,       -,       -,1.61
 ALUGUEL DE VEÍCULO,-7.27,       -,       -,       -,       -,       -,7.54,       -,-6.91,       -,       -,       -,       -,       -,       -,       -,-3.79
 MOTOCICLETA,0.73,1.94,3.2,2.51,2.46,2.16,1.08,2.46,2.2,3.49,2.45,3.45,4.36,3.21,2.83,4.1,2.45
 COMBUSTÍVEIS (VEÍCULOS),-0.58,-6.01,0.19,-1.84,-0.96,-1.91,0.37,-2.58,-0.2,-0.99,0.44,0.14,-0.42,-0.6,-0.23,-1.4,-1.23
 GASOLINA,-0.37,-6.2,0.31,-1.92,-0.26,-2.02,0.28,-2.76,-0.13,-0.87,0.58,0.14,-0.4,-0.81,-0.32,-1.46,-1.14
 ETANOL,-3.58,       -,-1.5,-1.35,-3.48,-3.99,       -,       -,-2.62,-2.17,-0.65,       -,-2.59,       -,       -,       -,-2.84
 ÓLEO DIESEL,2.04,1.42,2.81,1.01,4.25,1.12,3.47,0.22,2.21,2.18,2.38,0.04,1.3,1.09,1.3,0.41,2.38
 GÁS VEICULAR,-0.91,       -,       -,       -,       -,       -,       -,0.03,       -,       -,       -,       -,       -,       -,       -,       -,-0.86
 SAÚDE E CUIDADOS PESSOAIS,-0.19,0.15,0.37,0.47,0.41,0.22,0.55,1.09,0.2,0.61,1.14,0.1,0.18,0.56,0.27,0.28,0.36
 PRODUTOS FARMACÊUTICOS E ÓTICOS,-1.34,0.78,0.54,0.79,0.38,0.57,-0.27,1.26,0.1,0.42,1.51,0.13,-0.58,-0.91,-0.01,0.06,0.3
 PRODUTOS FARMACÊUTICOS,-1.4,0.58,0.36,0.89,0.64,0.43,-0.85,1.54,0.41,0.27,1.46,0,-0.94,-0.9,-0.09,0.18,0.31
 ANTI-INFECCIOSO E ANTIBIÓTICO,-0.08,0.62,2.08,-0.35,-2.15,-0.31,-0.54,1.69,0.73,-1.58,1.29,0.97,-0.88,-0.33,-2.45,1.21,-0.29
 ANALGÉSICO E ANTITÉRMICO,-1.16,-0.23,0,1.88,1.43,0.86,-1.75,2.78,0.08,-0.1,1.69,-0.53,0.15,-0.25,0.84,0.6,0.53
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,2.37,1.66,1.42,-1.15,0.63,-0.44,-1.16,1.12,-0.92,0.47,-0.17,1.07,-0.09,-2.95,0.63,0.33,0.63
 ANTIGRIPAL E ANTITUSSÍGENO,-0.27,-0.35,1.17,1.27,0.8,-1.03,-0.4,-1.03,2.63,0.5,0.77,-0.29,-1.78,-1.55,0.08,2.56,0.5
 DERMATOLÓGICO,-1.55,-0.7,0.53,-1.76,2.62,2.3,       -,3.11,1.39,0.11,       -,-0.35,-0.73,-0.66,-0.94,0.75,1.02
