"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MAIONESE,-1.37,2.07,-0.96,2.58,0.48,-1.95,-2.4,1.05,       -,2.13,3.49,-0.39,0.8,0.96,       -,       -,0.59
 VINAGRE,       -,       -,       -,-2.97,       -,       -,4.7,       -,       -,       -,       -,       -,       -,       -,2.89,1,1.29
 CALDO CONCENTRADO,-1.55,0.09,-1.13,-2.85,0.58,0.34,       -,1.96,-0.01,       -,       -,-0.54,       -,       -,       -,-1.16,-0.28
 TEMPERO MISTO,       -,2.55,0.2,4.3,5.11,0.71,1.54,0.55,1.1,3.85,-0.36,0.99,-0.94,1.04,-4.62,1.18,2.59
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.18,1.38,-0.03,0.23,0.45,-0.05,0.16,-0.14,0.16,-0.6,-0.24,0.03,0.33,0.73,0.48,-0.15,0.26
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.18,1.38,-0.03,0.23,0.45,-0.05,0.16,-0.14,0.16,-0.6,-0.24,0.03,0.33,0.73,0.48,-0.15,0.26
 REFEIÇÃO,0.11,2.2,0.46,0.3,1.03,-0.21,-0.18,-0.18,0.36,-1.37,-0.54,0.39,0.4,1.29,0.33,-0.8,0.5
 LANCHE,0.3,-0.47,-0.73,0.48,-1.92,0.62,0.96,-0.06,0.49,0.16,0.58,-0.79,0.69,-0.16,0.08,1.43,-0.5
 CAFÉ DA MANHÃ,0.52,-3.67,2.02,-0.55,-0.4,0.61,-0.84,       -,0.13,       -,       -,-2.04,       -,-0.59,       -,0.66,-0.4
 REFRIGERANTE E ÁGUA MINERAL,2.26,0.82,-0.59,0.46,1.56,1.6,-1.48,-0.47,0.65,-0.63,-0.45,0.02,0.82,0.82,1.58,-0.67,0.7
 CAFEZINHO,-0.5,0.92,       -,       -,0.3,       -,       -,       -,       -,       -,1.06,       -,       -,       -,       -,       -,0.22
 CERVEJA,-0.84,0.99,-0.51,-0.23,2.38,-2.32,0,-0.74,-1.02,2.45,-0.91,0.44,-1.07,2.8,1.63,-1.02,0.68
 OUTRAS BEBIDAS ALCOÓLICAS,-0.24,       -,0.04,-1.28,       -,-4.33,1.23,0.77,0.32,       -,       -,0,       -,       -,       -,-0.93,-0.23
 DOCES,0.61,2.15,1.12,0.4,-0.09,-0.94,-0.45,0.66,0.02,0.57,-0.29,1,-0.24,0.08,-0.8,-0.65,0.44
 HABITAÇÃO,0.37,0.91,-0.15,2.95,0.35,0.62,1.57,1.18,2.97,0.69,1.31,1.36,3.04,1.36,1.52,2.31,0.83
 ENCARGOS E MANUTENÇÃO,-0.24,0.11,0.25,0.31,-0.07,0.19,-0.39,0.31,-0.19,0.48,0.09,0.17,0.88,0.43,0.37,0.35,0.05
 ALUGUEL E TAXAS,-0.28,-0.07,0.03,0.47,-0.1,0.21,-0.11,0.4,-0.31,0.73,-0.04,0.25,0.99,0.06,0.09,0.37,0.02
 ALUGUEL RESIDENCIAL,-0.56,-0.26,-0.32,0.24,0.08,0,0,0.36,-0.08,0.19,-0.08,0.4,1.6,0.04,0.39,0.18,-0.04
 CONDOMÍNIO,0.07,0.19,1.23,0,-0.62,0.9,-0.96,1.4,-0.9,-0.41,0.01,0.26,1.78,0.8,0.33,1.25,-0.11
 TAXA DE ÁGUA E ESGOTO,0,0,0,1.79,0,0,0,0,0,2.06,0,0,0,0,0,0,0.27
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.51,-0.08,       -,-2.6,       -,-5.65,       -,1.79
 REPAROS,-0.18,0,0.27,0.12,0.19,0.04,-0.32,0.23,-0.23,0.06,0.09,0.01,0.23,0.75,0.63,0.09,0.08
 FERRAGENS,       -,       -,1.72,       -,0.03,       -,       -,2.03,       -,-0.53,0.82,0.03,       -,1.65,       -,       -,0.58
 MATERIAL DE ELETRICIDADE,       -,1.11,       -,       -,       -,       -,-1.54,       -,       -,-0.14,       -,       -,       -,       -,       -,       -,-0.09
 MATERIAL DE PINTURA,       -,       -,0.22,       -,       -,       -,       -,       -,-0.18,       -,       -,2.54,2.99,4.15,       -,       -,0.58
 VIDRO,1.77,       -,1.92,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.83
 TINTA,0.13,0.45,2.43,0.71,1.22,2.64,1.2,1.48,0.27,0.53,0.36,-0.08,1,-2.14,0.85,-0.39,0.96
 REVESTIMENTO DE PISO E PAREDE,-1.89,0.82,-0.91,-1.95,-0.1,-2.86,1.19,-0.76,-1.66,0.52,0.74,0.17,-1.67,       -,3.83,2.86,-0.22
 CIMENTO,0.3,-0.7,1.39,0.21,2.89,0.79,-4.69,0.43,0.53,0.35,-1.2,0.01,-0.08,0.16,2.63,-1.66,0.7
 TIJOLO,       -,-0.64,-0.64,1.71,-0.85,1.51,0.83,0.24,-0.52,-0.25,1.7,2.65,       -,       -,0.3,       -,0.01
 MATERIAL HIDRÁULICO,       -,       -,-0.71,       -,0.26,       -,1.21,       -,1.77,-0.15,       -,-1.13,       -,       -,-0.94,       -,0.1
 MÃO DE OBRA,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
 AREIA,-0.89,       -,0.32,       -,       -,       -,       -,0.18,-2.89,1.74,0.3,-1.28,       -,       -,0,       -,-0.19
 TELHA,-1.98,       -,0.68,       -,       -,       -,-0.31,0.29,0.36,0.09,-0.59,-1.75,       -,       -,       -,-1.15,-0.33
 ARTIGOS DE LIMPEZA,0.13,1.81,1.98,-0.88,-0.47,0.29,-1.42,-0.17,0.83,-0.06,1.26,0.18,1.06,0.85,1.11,0.73,0.28
 ÁGUA SANITÁRIA,-2.5,       -,0.24,-0.91,0.18,-2.43,-2.15,0.81,0.68,0.27,       -,       -,       -,-0.25,2.01,-0.06,-0.22
 DETERGENTE,-0.89,-0.27,-0.04,2.17,-2.05,-1.56,-2.91,0.16,1.46,0.37,-1.67,0.44,1.29,       -,       -,0.54,-0.86
 SABÃO EM PÓ,0.97,2.67,3.1,-3.75,-0.07,0.26,-2.92,-1.41,-0.13,-1.12,3,0.05,2.26,1.97,2,2.11,0.39
 DESINFETANTE,-1.75,1.59,0.97,4.19,       -,-0.04,-2.44,-0.86,1.85,1.12,0.43,0.81,0.82,-0.57,-3.04,       -,0.51
 INSETICIDA,-0.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.99
 SABÃO EM BARRA,3.04,4.09,2.93,0.09,-0.39,3.41,0.84,0.04,1.38,2.27,0.41,-0.19,-0.82,0.57,1.05,-0.05,1.12
 ESPONJA DE LIMPEZA,       -,-2.04,2.05,-0.32,-0.32,       -,3.79,2.08,       -,-1.96,1.52,1.63,-1.14,0.06,-0.61,       -,0.32
 AMACIANTE,0.08,1.41,2.16,       -,-0.12,1.16,-0.16,2.77,2.31,0.33,0.82,-0.4,1.15,-0.38,       -,-2.15,0.58
 COMBUSTÍVEIS E ENERGIA,1.63,2.37,-1.14,8.34,1.41,1.94,3.65,2.89,11.29,1.19,3.59,3.6,6.65,1.96,2.96,5.53,2.51
 COMBUSTÍVEIS (DOMÉSTICOS),1.09,0,0.1,0.61,-0.8,-0.83,-0.62,0.35,0.39,-0.57,2.96,-0.32,0.92,-0.61,-1.85,-1.77,-0.01
 CARVÃO VEGETAL,       -,-0.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.03
 GÁS DE BOTIJÃO,0.9,0,0.1,0.61,-0.87,-0.83,-0.62,0.35,0.39,-0.6,2.96,-0.32,0.92,-0.61,-1.85,-1.77,-0.07
 GÁS ENCANADO,1.7,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,0.91
 ENERGIA ELÉTRICA RESIDENCIAL,1.8,3.18,-1.7,12.64,2.19,2.77,5.58,4.66,18.45,1.85,3.87,4.99,8.91,3.05,5.57,9.85,3.53
 ENERGIA ELÉTRICA RESIDENCIAL,1.8,3.18,-1.7,12.64,2.19,2.77,5.58,4.66,18.45,1.85,3.87,4.99,8.91,3.05,5.57,9.85,3.53
 ARTIGOS DE RESIDÊNCIA,-0.16,1.05,0.06,0.4,-0.62,-0.78,-0.27,-0.77,0.62,-0.13,0.16,1.08,0.17,-0.71,0.9,-1.57,-0.06
 MÓVEIS E UTENSÍLIOS,0.45,1.34,0.64,0.49,0,-0.18,0,-0.11,1.72,-0.09,0.13,1.57,0.95,-0.79,0.33,-1.41,0.43
 MOBILIÁRIO,0.37,1.38,0.35,1.23,-0.41,0.42,0,-0.06,2.4,-0.21,-0.2,2.08,1.58,-2.4,1.1,-2.07,0.37
 MÓVEL PARA SALA,0.74,0.63,0.3,1.72,-2.14,1.9,0.91,1.06,2.23,0.22,-1.66,1.39,1.04,-2.95,1.55,-2.8,0.12
 MÓVEL PARA QUARTO,0.35,2.01,1.58,2.37,-0.24,-1.37,-1.01,0.44,1.06,-0.82,-2.49,2.69,2.35,-1.97,2.19,-2.62,0.43
 MÓVEL PARA COPA E COZINHA,-1.2,1.3,-0.92,0.68,1.43,-0.86,-1.01,-1.81,1.84,-0.71,1.45,1.6,0.57,-0.75,-1.84,0.35,0.39
 MÓVEL INFANTIL,       -,       -,       -,-1.61,       -,       -,1,-2.65,       -,       -,1.55,       -,       -,-3.92,       -,1.61,-0.35
 COLCHÃO,-0.26,1.37,-2.18,-1.95,2.28,-2.62,0.85,-0.71,5.94,1.96,8.45,2.39,2.55,-3.07,0.86,-1.59,1.2
 UTENSÍLIOS E ENFEITES,-0.61,0.75,1.06,-0.52,1.71,-0.37,-1.08,-0.05,0.67,0.67,0.6,0.68,-0.61,0.43,-0.35,0.07,0.73
 TAPETE,0.1,3.19,3.06,-0.64,3.21,-0.29,0.1,       -,1.14,1.12,1.44,2.23,3.74,2.46,1.59,       -,2.44
 CORTINA,-1.51,2.4,-1.23,0.03,5.1,0.24,0,0.27,-1.16,-0.25,1.66,-0.26,-0.68,0.28,0.29,-0.64,1.4
 UTENSÍLIOS DE METAL,-1.69,-1.43,-0.08,0.04,4.22,-2.95,-2.64,3.05,1.64,-0.45,0.86,0.57,-1.61,2.39,-1.8,1.57,0.99
 UTENSÍLIOS DE VIDRO E LOUÇA,-1.65,-1.36,-0.28,-2.21,-3.83,-2.18,-1.17,0.82,-1.16,-0.57,1.33,2.55,-2.77,-1.38,-1.43,-3.16,-1.61
 UTENSÍLIOS DE PLÁSTICO,2.42,-1.7,       -,-2.74,-1.05,1.55,-1.22,-2.12,1.95,4.97,0.86,-0.45,-2.16,-0.95,-0.47,-1.35,-0.28
 FLORES NATURAIS,       -,-0.63,       -,       -,2.38,       -,       -,       -,2.98,0.52,       -,       -,3.05,       -,       -,       -,1.83
 UTENSÍLIOS DIVERSOS,-0.57,1.45,0.83,0.14,-0.25,1.07,0.05,-0.35,-0.25,1.76,-0.76,-0.4,-1.31,0.01,-0.07,0.56,0.2
" CAMA, MESA E BANHO",2.82,2.19,1.07,-0.49,-1.92,-2.56,1.18,-0.47,0.71,-0.93,0.57,0.93,0.53,2.21,-1.08,-0.12,0.14
 ROUPA DE CAMA,2.41,2.46,0.6,-1.65,-2.37,-2.56,1.28,-1.03,1.25,-0.72,0.57,1.61,-0.08,2.66,-1.54,-1.49,-0.01
 ROUPA DE BANHO,3.84,1.46,2.33,2.23,-1.08,       -,0.71,0.72,-1.4,-1.55,       -,-0.68,2.27,0.99,0.15,2.81,0.55
 APARELHOS ELETROELETRÔNICOS,-1,1.13,-1.15,0.32,-1.93,-1.77,-0.59,-1.47,-0.72,-0.53,-0.08,0.06,-0.64,-0.71,1.9,-1.84,-0.85
 ELETRODOMÉSTICOS E EQUIPAMENTOS,-0.64,1.7,-1.48,-0.13,-1.3,-1.24,-0.2,-1.62,0.03,0.45,0.71,0.5,-0.75,-1.28,2.45,-1.99,-0.42
 REFRIGERADOR,-0.79,2.48,-1.46,-0.29,-1.8,-1.21,0.77,-2.35,0.55,1.13,1.26,1.76,0.96,-0.4,2.94,-2.55,-0.29
 AR-CONDICIONADO,-0.93,1.24,       -,-2.66,       -,       -,-1.66,       -,       -,0.09,       -,-1.43,-2.74,0.64,0.86,-2.9,-0.59
 MÁQUINA DE LAVAR ROUPA,-0.02,2.22,-0.72,-1.43,-3.01,-0.15,-2.74,-0.67,-1.19,0.07,-0.02,-2.44,-4.54,-3.83,2.9,0.11,-1.16
 LIQUIDIFICADOR,       -,       -,       -,       -,       -,       -,-1.55,       -,       -,       -,       -,       -,       -,-1.03,       -,       -,-1.5
 VENTILADOR,-0.11,       -,       -,1.81,       -,       -,0.67,1.62,       -,       -,       -,       -,3.05,-1.83,1.41,-1.17,0.87
 FOGÃO,-0.87,0.92,-2.39,0.84,2.56,-3.07,-0.59,-1.77,-0.33,-0.13,-0.03,1.36,-3.38,-2.94,2.39,-1.7,0.06
 CHUVEIRO ELÉTRICO,       -,1.28,       -,       -,0.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.54
 FORNO DE MICRO-ONDAS,       -,-0.6,-1.04,       -,-2.14,       -,       -,       -,       -,-0.86,1.16,       -,       -,       -,       -,       -,-1.37
" TV, SOM E INFORMÁTICA",-1.51,0,-0.67,1.03,-2.91,-2.51,-1.43,-1.25,-1.78,-2.47,-1.32,-0.63,-0.45,0.31,0.93,-1.61,-1.55
 TELEVISOR,-2.44,-1.53,-2.04,1.02,-2.98,-3.06,-3.66,-3.39,-3.88,-1.99,-2.81,-1.04,-0.3,-3,0.85,-2.67,-2.37
 APARELHO DE SOM,1.53,-2.43,0.25,-1.35,-2.89,-4.29,-2.71,-2.25,-1.29,-2.74,1.32,1.09,-1.03,-0.1,0.64,-0.01,-1.31
 APARELHO DE DVD,-1.21,-0.78,-1.74,1.2,-1.09,-1.65,-0.89,0.56,-3.9,1.55,-0.11,-0.45,-0.88,-1.17,-0.5,-3.07,-0.94
 ANTENA,       -,       -,       -,1.03,       -,       -,-1.43,-1.25,       -,       -,1.88,       -,       -,0.69,       -,-1.99,-0.05
 MICROCOMPUTADOR,-1.93,1.97,0.12,1.91,-3.22,-2.03,0.44,0.08,-0.43,-3.32,-1.68,-0.63,-0.35,2.91,1.6,-0.85,-1.27
 CONSERTOS E MANUTENÇÃO,0.49,-0.63,0.65,0.24,1.03,-0.45,0.08,-1.11,0.02,1.27,1.13,2.01,0.04,-0.05,0.32,-1.31,0.53
 CONSERTOS E MANUTENÇÃO,0.49,-0.63,0.65,0.24,1.03,-0.45,0.08,-1.11,0.02,1.27,1.13,2.01,0.04,-0.05,0.32,-1.31,0.53
 CONSERTO DE REFRIGERADOR,1.59,0.18,0.37,-0.29,2.62,-0.62,0.16,       -,-1.8,-1.08,-0.99,2.3,-0.31,1.68,-1.26,0,0.8
 CONSERTO DE TELEVISOR,0.33,-0.13,1.67,1.17,-0.24,0,0,-2.5,2.19,0,2.37,-0.29,2.9,-2.41,0,0.31,0.39
 CONSERTO DE APARELHO DE SOM,       -,       -,1.06,       -,       -,       -,       -,       -,0.17,       -,       -,       -,       -,-1.8,7.3,       -,1.62
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,0,-1.56,       -,0.08,2.31,-1.42,0,       -,       -,0.68,       -,       -,0.61,       -,       -,       -,0.71
 REFORMA DE ESTOFADO,-0.21,-0.33,-0.15,0,-0.11,0,0.15,-0.37,0.16,2.51,1.26,3.53,-1.16,0.16,0,-2.94,0.31
 MANUTENÇÃO DE MICROCOMPUTADOR,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.25,0.48,       -,       -,-0.72,0.14
 VESTUÁRIO,0.89,0.34,0.69,0.09,0.74,1.19,-0.03,-0.68,0.37,0.92,0.08,1.05,0.5,0.7,1.3,-0.26,0.58
 ROUPAS,1.23,0.68,1.17,0.04,0.54,1.52,-0.57,-1.34,0.33,0.62,-0.41,1.03,0.36,1.44,1.12,-0.14,0.54
 ROUPA MASCULINA,0.72,0.74,0.31,0.57,1.28,0.98,-1.39,-2.19,1.29,0.07,-1.79,0.36,0.22,1.45,0.17,0.4,0.49
 CALÇA COMPRIDA MASCULINA,1.65,-1.66,1.45,1.69,0.75,-1.86,-0.66,-0.82,0.57,1.73,-0.9,1.74,2.11,1.96,-0.7,1.77,0.58
 TERNO,2.66,1.83,2.43,-1.27,       -,       -,       -,       -,       -,-2.2,-2.85,3.22,       -,       -,       -,       -,0.86
 AGASALHO MASCULINO,       -,3.19,2.61,       -,1.73,2.07,       -,       -,       -,0.66,       -,0.5,2.26,       -,       -,       -,2.04
 SHORT E BERMUDA MASCULINA,-1.85,0.29,2.22,-1.92,-0.64,2.78,-1.67,-2.11,0.5,1.12,-0.46,0.52,0.78,2.28,-0.69,2.21,-0.35
 CUECA,       -,1.43,       -,1.23,       -,       -,1.57,-2.29,2.95,       -,       -,       -,       -,1.51,-1.67,       -,1.17
 CAMISA / CAMISETA MASCULINA,0.7,1.72,-2.26,1.14,2.08,2.39,-2.13,-2.99,1.97,-1.04,-2.92,-0.9,-1.79,0.7,1.35,-1.24,0.47
 ROUPA FEMININA,1.54,0.83,1.14,-0.51,-0.78,2.38,-0.49,-0.96,-0.67,0.72,0.49,1.5,0.96,2.02,1.9,0.28,0.25
 CALÇA COMPRIDA FEMININA,1.58,0.57,1.12,-0.65,-0.02,1.69,1.12,-0.68,-0.76,-1.44,-1.82,1.37,1.88,-0.06,3.21,-0.63,0.24
 AGASALHO FEMININO,       -,1.73,2.66,       -,3.71,       -,       -,       -,       -,3.04,       -,       -,3.46,       -,       -,       -,2.76
 SAIA,       -,       -,       -,-2.16,       -,       -,-1.42,-2.12,3.53,       -,0.2,2.05,       -,0.1,2.16,-2.4,0.14
 VESTIDO,2.75,3.47,3.34,0.28,-0.66,1.29,0.31,-0.29,-1.83,-1.04,1.19,1.39,0.7,3.6,3.61,1.41,0.76
 BLUSA,1.71,0.23,-0.55,-0.88,-1.83,3.19,-2.95,-2.15,-0.04,2.74,2.12,1.83,-0.1,3.48,1.69,0.63,-0.2
 LINGERIE,0.04,0.32,2.43,-0.04,-0.75,3.79,2.79,1.87,0.17,2.72,1.93,1.24,1.85,0.12,-2.96,1.14,0.55
 BERMUDA E SHORT FEMININO,-0.99,-1.23,1.01,0.49,       -,2.33,0.03,0.86,-2.39,-1.3,-0.4,0.49,0.53,2.08,-0.01,0.23,-0.4
 ROUPA INFANTIL,1.39,0.21,2.95,0.21,2.29,0.58,0.95,-0.53,0.79,1.6,-0.09,1.23,-0.6,0.24,1.11,-1.92,1.4
 UNIFORME ESCOLAR,0.36,       -,       -,       -,2.24,       -,-0.53,       -,1.7,-0.61,       -,       -,       -,-1.53,3.65,       -,1.13
 CALÇA COMPRIDA INFANTIL,2.86,2.22,2.83,-0.29,2.8,2.16,2.18,-1.81,1.73,1.78,0,3.86,0.98,0.48,3.99,-1.69,2.11
 AGASALHO INFANTIL,       -,1.52,-1.35,       -,3.66,3.97,       -,       -,       -,3.85,       -,2.81,0.79,       -,       -,       -,2.29
 VESTIDO INFANTIL,-1.45,       -,3.75,0.08,2.28,-2.65,-1.53,2.27,0.38,1.64,-2.54,0.36,-2.74,-1.56,2.91,1.08,0.87
 BERMUDA E SHORT INFANTIL,1.38,0.72,3.98,0.76,0.8,2.89,-0.9,-1.51,-2.04,2.98,-0.53,1.03,2.82,-2.78,2.5,-4.37,1.02
 CAMISA / CAMISETA INFANTIL,1.62,-1.51,3.68,-0.53,2.29,-0.52,2.27,-0.04,2.24,1.22,0.8,0.99,-2.59,1.32,-2.72,-2.2,1.31
 CONJUNTO INFANTIL,       -,       -,0.19,2.01,1.56,-0.58,2.92,-2.74,       -,       -,1.71,-0.14,       -,3.77,2.05,-2.49,0.98
 CALÇADOS E ACESSÓRIOS,0.36,0.46,-0.01,0.48,1.24,0.99,1.36,1.16,0.56,1.7,1.33,1.16,0.39,-0.48,2.12,-0.16,0.88
 CALÇADOS E ACESSÓRIOS,0.36,0.46,-0.01,0.48,1.24,0.99,1.36,1.16,0.56,1.7,1.33,1.16,0.39,-0.48,2.12,-0.16,0.88
 SAPATO MASCULINO,-0.85,-1.39,2.53,-1.04,2.73,1.59,2.05,1.81,1.68,-1.05,0.54,0.82,0.15,-1.44,-0.67,2.05,0.96
 SAPATO FEMININO,0.92,2.89,0.17,2.44,0.12,2.34,1.35,1.5,0.92,2.3,-0.22,3.46,-2.96,0.42,0.5,-0.59,1.0
 SAPATO INFANTIL,       -,       -,       -,1.04,       -,       -,0.38,       -,2.26,       -,       -,       -,       -,-0.37,       -,-1.48,1.17
 SANDÁLIA / CHINELO MASCULINO,       -,       -,       -,1.32,       -,       -,0.17,       -,1.9,       -,       -,       -,       -,-2.26,2.18,-2.7,0.89
 SANDÁLIA / CHINELO FEMININO,2.78,-1.13,1.01,0.76,3.27,-0.84,3.04,1.9,0.81,2.65,1.21,-0.67,-2.46,0.84,2.78,0.02,1.88
 SANDÁLIA / CHINELO INFANTIL,       -,       -,       -,-0.54,       -,1.81,-1.78,0.47,1.72,       -,2.75,1.54,-0.92,0.21,2.36,1.39,0.54
 BOLSA,2.28,1.88,-1.13,0.27,0.95,3.71,1.88,2.75,-0.19,3.31,3.97,0.98,2.36,-0.34,3.44,-1.07,1.42
 TÊNIS,-1.81,-0.35,-1.22,0.07,0.44,0.47,0.67,-1.06,-1.22,1.79,1.6,1.18,2.69,-1.22,2.64,-0.23,0.08
 JOIAS E BIJUTERIAS,0.25,-2.91,-1.06,-1.32,0.16,-1.94,-0.45,0.76,-0.07,0.65,-2.13,0.76,2.46,-1.47,0.66,-2.82,-0.48
 JOIAS E BIJUTERIAS,0.25,-2.91,-1.06,-1.32,0.16,-1.94,-0.45,0.76,-0.07,0.65,-2.13,0.76,2.46,-1.47,0.66,-2.82,-0.48
 BIJUTERIA,-2.65,-4.97,-0.17,-2.8,3.53,-1.02,-0.5,-1.07,-0.42,-2.67,-2.55,-1.33,1.09,-4.27,0.45,-4.62,-0.42
 JOIA,1.85,-1.6,-1.73,-1.93,-2.76,-2.4,0.33,       -,0.36,2.54,-1.79,1.92,3.55,-0.41,0.99,       -,-0.6
 RELÓGIO DE PULSO,       -,       -,       -,2.6,       -,       -,-2.62,2.76,       -,       -,       -,       -,       -,-2.74,0.4,2.81,0.41
 TECIDOS E ARMARINHO,-0.26,-0.3,0.4,0.34,0.5,-0.19,1.18,-0.85,0.47,-0.03,0.89,0.68,1.57,0.2,-0.08,0.78,0.27
 TECIDOS E ARMARINHO,-0.26,-0.3,0.4,0.34,0.5,-0.19,1.18,-0.85,0.47,-0.03,0.89,0.68,1.57,0.2,-0.08,0.78,0.27
 TECIDO,-0.86,-0.04,0,0.34,0.96,-1.28,1.13,-0.52,0.06,0.58,0.31,2.02,1.78,0.36,-0.08,1.26,0.24
 ARTIGOS DE ARMARINHO,       -,-0.38,1.04,       -,-0.44,1.4,1.26,       -,       -,-1.69,2.64,-1.58,1.2,       -,       -,       -,0.09
 ACORTINADO (MOSQUITEIRO),1.01,-0.59,       -,       -,0.78,       -,       -,-1.67,2.4,       -,       -,       -,       -,-0.66,       -,-0.64,0.61
 TRANSPORTES,0.18,1.49,0.41,0.99,-0.28,-0.34,0.84,1.79,2,0.07,0.29,1.29,0.91,-0.02,1.15,1.27,0.4
 TRANSPORTES,0.18,1.49,0.41,0.99,-0.28,-0.34,0.84,1.79,2,0.07,0.29,1.29,0.91,-0.02,1.15,1.27,0.4
 TRANSPORTE PÚBLICO,-0.22,-0.35,-0.23,-0.88,-2.42,-4.46,-0.81,-0.2,-0.37,-1.45,-1.12,-1.3,-0.64,-1.97,-0.23,-0.05,-1.17
 ÔNIBUS URBANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 TÁXI,0,0,0,0,0,       -,0,0,0,0,0,0,0,0,0,0,0.0
 TREM,0,0,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 ÔNIBUS INTERMUNICIPAL,0,0,0,0,0,       -,0,0,0,0,-1.65,0.04,2.25,0,0,0,-0.01
 ÔNIBUS INTERESTADUAL,0,0.01,0.01,-3.1,0.3,-1.36,0,-1.81,0.1,0.68,-3.54,0.44,0.39,-0.29,0,0.18,-0.37
 PASSAGEM AÉREA,-2.97,-7.39,-5.15,-13.1,-28.39,-13.91,-15.85,-5.63,-6.9,-12.72,-8.11,-7.94,-17.01,-11.49,-5.13,-0.75,-14.71
 METRÔ,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 TRANSPORTE HIDROVIÁRIO,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 TRANSPORTE ESCOLAR,       -,0,0,0,0,0,       -,       -,0,0,       -,0,       -,       -,       -,0,0.0
 VEÍCULO PRÓPRIO,0.02,0.27,-0.4,-0.1,-0.5,1.11,0.42,0.82,0.41,-0.06,0.87,0.65,0.96,-0.28,-0.24,0.08,-0.05
 AUTOMÓVEL NOVO,0.32,0.8,-0.56,-0.57,0.23,2.03,1.06,0.42,0.89,0.04,0.57,0.47,1.25,0.32,-1.66,0.79,0.31
 EMPLACAMENTO E LICENÇA,0.4,0.63,0.4,0.38,0.42,0.49,0.31,0.45,0.4,0.33,0.44,0.41,0.42,0.34,0.38,0.41,0.43
 SEGURO VOLUNTÁRIO DE VEÍCULO,0.21,-0.12,-3.3,0.37,3.13,1.36,       -,-0.11,2.24,-3.7,-1.03,1.89,3.02,       -,-0.24,0.35,0.82
 MULTA,       -,       -,       -,       -,0,0,       -,       -,       -,0,0,       -,       -,       -,       -,0,0.0
 ÓLEO LUBRIFICANTE,0.51,0.98,-0.28,-2.02,2.37,-0.03,-0.99,0.82,-0.32,-0.52,0.53,       -,0.51,0.44,-0.54,0.2,0.82
 ACESSÓRIOS E PEÇAS,0.87,0.2,-0.22,3.22,0.92,-2.89,-0.03,1.35,-2.35,1.44,-1.98,-0.92,-2.56,-0.58,0.23,3.1,0.39
 PNEU,-0.8,-0.43,-0.1,-0.79,2.75,0.78,0.2,1.88,-0.25,1.34,-2.95,0.85,2.65,-0.35,-2.12,-0.04,0.76
 CONSERTO DE AUTOMÓVEL,-0.18,-0.91,-0.36,-0.98,-2.83,0.52,-0.13,1.05,0.72,-3.85,1.49,1.47,1.02,-0.06,1.02,-0.46,-1.31
 ESTACIONAMENTO,0.57,1.41,0.32,       -,-0.33,       -,       -,2.14,       -,       -,       -,       -,       -,       -,       -,       -,0.35
 PEDÁGIO,0,0,       -,       -,-0.39,       -,       -,       -,       -,0,       -,0,       -,       -,       -,       -,-0.22
 LUBRIFICAÇÃO E LAVAGEM,       -,       -,       -,5.05,-1.73,       -,       -,       -,       -,1.13,       -,       -,-2.56,1.27,0.88,       -,-0.27
 AUTOMÓVEL USADO,-2.97,0.89,-0.38,       -,-1.3,0.94,1.23,-3.03,0.13,3.43,3.34,1.96,2.94,-0.28,       -,0.18,0.25
 PINTURA DE VEÍCULO,       -,       -,       -,0.5,0.83,-0.66,       -,       -,0.49,-1.57,       -,-0.31,       -,       -,       -,0.85,0.32
 ALUGUEL DE VEÍCULO,1.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.89
 MOTOCICLETA,1.73,-0.12,-0.4,-0.27,-2.03,-0.54,0.32,2.42,-1.01,0.55,0.56,-1.14,0.01,-1.29,1.22,-1.5,-0.26
