"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 DESINFETANTE,3.89,0.5,1.43,1.48,       -,-2.98,2.28,1.04,2.16,2.57,-0.28,-1.41,4.12,1.62
 INSETICIDA,-0.69,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.69
 SABÃO EM BARRA,0.73,0.37,-2.27,-0.5,0.9,-1.7,0.15,-0.08,-0.23,2.57,0.23,-0.14,-1.49,0.04
 ESPONJA DE LIMPEZA,       -,-0.64,2.2,-0.29,-1.06,       -,3.34,-1.81,       -,1.13,1.01,-1.37,-2.67,0.24
 AMACIANTE,-0.05,-0.64,-0.7,       -,0.49,0.13,0.25,0.35,0.55,0.45,1.65,-0.87,0.48,0.22
 COMBUSTÍVEIS E ENERGIA,-2.76,3.6,-5.42,-4.49,-3.95,-3.69,-5.15,-2.66,-5.98,-3.87,-4.83,0.02,-5.03,-3.48
 COMBUSTÍVEIS (DOMÉSTICOS),0.67,-0.14,-0.88,-2.54,0.91,1.62,1.68,0.14,-7.95,5.12,-1.41,1.26,0.31,-0.23
 CARVÃO VEGETAL,       -,0.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.09
 GÁS DE BOTIJÃO,0.09,-0.16,-0.88,-2.54,0.98,1.62,1.68,0.14,-7.95,5.51,-1.41,1.26,0.31,-0.32
 GÁS ENCANADO,2.54,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,1.34
 ENERGIA ELÉTRICA RESIDENCIAL,-3.87,5,-7.44,-5.54,-5.57,-5.19,-8.03,-4.55,-4.63,-6.48,-6.16,-0.39,-7.21,-4.73
 ENERGIA ELÉTRICA RESIDENCIAL,-3.87,5,-7.44,-5.54,-5.57,-5.19,-8.03,-4.55,-4.63,-6.48,-6.16,-0.39,-7.21,-4.73
 ARTIGOS DE RESIDÊNCIA,0.2,0.45,-0.55,0.23,0.17,0.59,-0.45,0.25,0.46,-0.13,0.85,0.89,0.91,0.14
 MÓVEIS E UTENSÍLIOS,0.66,0.64,-0.67,0.14,-0.02,0.22,-0.01,0.36,0.62,-1.05,0.88,1.13,0.96,0.07
 MOBILIÁRIO,0.98,0.42,-0.97,0.38,-0.19,-0.04,-0.7,-0.44,0.49,-1.1,0.52,0.65,1.23,-0.09
 MÓVEL PARA SALA,1.36,1.78,-1.82,1.42,0.27,-0.23,-0.11,-1.01,-0.94,-2.39,1.93,1.8,1.96,-0.05
 MÓVEL PARA QUARTO,-0.51,-0.37,-0.39,1.01,-0.47,0.42,-1.39,-0.3,0.38,0.15,-0.81,-0.08,1.31,-0.28
 MÓVEL PARA COPA E COZINHA,1.35,-1.09,-0.88,-1.47,1.78,0.11,1.26,-0.09,1.81,-2.08,0.06,1.6,0.33,0.22
 MÓVEL INFANTIL,       -,       -,       -,-0.64,       -,       -,-3.38,-2.37,       -,       -,-1.42,       -,       -,-2.33
 COLCHÃO,4.19,2.97,1.6,-2.89,-3.28,-0.56,0.46,1.92,5.49,0.56,-1.11,-2.56,-0.8,0.24
 UTENSÍLIOS E ENFEITES,0.88,0,0.17,0.3,-0.74,0.56,0.06,1.05,0.99,0,0.16,0.56,0.44,0.03
 TAPETE,0.38,-1.18,0.69,-0.29,-0.9,0.14,-0.28,       -,-0.27,-1.31,0.65,-0.26,-0.78,-0.15
 CORTINA,0.99,-0.19,1.1,0.54,-1.61,-0.24,0.53,0.55,0.56,0.57,1.11,2.59,0.58,0.03
 UTENSÍLIOS DE METAL,-0.68,-0.92,0.05,-0.61,0.56,-1.5,0.06,1.95,1.22,-0.29,-0.27,0.13,1.99,0.15
 UTENSÍLIOS DE VIDRO E LOUÇA,-0.04,1.92,-0.54,1.88,0.6,2.06,0.9,0.5,0.91,0.2,0.87,0.5,1.99,0.66
 UTENSÍLIOS DE PLÁSTICO,0.92,1.44,       -,1.17,-0.66,0.84,-0.35,2.48,1.23,0.66,-1.44,-0.51,-2.46,0.21
 FLORES NATURAIS,       -,-0.76,       -,       -,0.54,       -,       -,       -,-0.62,-1.49,       -,       -,1.95,0.02
 UTENSÍLIOS DIVERSOS,1.57,0.42,-0.93,-0.1,-2.01,1.84,-0.02,0.09,1.87,0.61,-0.17,-0.04,0.22,-0.24
" CAMA, MESA E BANHO",-1.62,2.45,-1.05,-0.8,2.46,0.84,1.44,3.61,0.57,-2.64,3.19,4.25,0.59,0.79
 ROUPA DE CAMA,-3.36,2.8,0.17,-1.82,2.15,0.84,1.21,2.96,0.76,-2.53,3.19,6.71,-0.78,0.78
 ROUPA DE BANHO,2.7,1.49,-4.15,1.55,3.08,       -,2.53,5.03,-0.16,-3,       -,-1.12,4.65,0.83
 APARELHOS ELETROELETRÔNICOS,-0.31,0.33,-0.48,0.48,0.42,1.13,-0.92,0.05,0.26,1.04,0.98,0.54,0.79,0.21
 ELETRODOMÉSTICOS E EQUIPAMENTOS,0.58,1.18,-0.3,0.45,1,1.67,-0.34,1.23,0.37,1.07,1.56,0.24,1.4,0.7
 REFRIGERADOR,1.3,1.69,0.59,0.86,0.69,0.73,-0.59,2.52,0.11,1.8,1.9,0.05,1.74,0.89
 AR-CONDICIONADO,0.05,-1.12,       -,-1.38,       -,       -,-1.21,       -,       -,-1.63,       -,-1.9,0.61,-0.85
 MÁQUINA DE LAVAR ROUPA,0.37,1.16,-1.08,-1.42,2.76,3.38,-0.05,-0.8,2.91,2.18,0.78,3.16,2.99,1.48
 LIQUIDIFICADOR,       -,       -,       -,       -,       -,       -,0.81,       -,       -,       -,       -,       -,       -,0.81
 VENTILADOR,2.16,       -,       -,-1.11,       -,       -,0.34,-2.17,       -,       -,       -,       -,2.48,0.24
 FOGÃO,-0.69,0.86,-1.19,1.85,-0.67,2.15,-0.12,0.7,-1.13,-1.67,1.2,-1.54,-1.36,-0.3
 CHUVEIRO ELÉTRICO,       -,1.65,       -,       -,-0.4,       -,       -,       -,       -,       -,       -,       -,       -,0.17
 FORNO DE MICRO-ONDAS,       -,2.21,-1.36,       -,1.77,       -,       -,       -,       -,0.88,2.59,       -,       -,1.32
" TV, SOM E INFORMÁTICA",-1.53,-1.28,-0.73,0.53,-0.45,0.4,-2.15,-1.6,0.1,0.97,0.09,0.97,-0.28,-0.53
 TELEVISOR,-2.46,-0.94,-0.35,1.91,-0.55,-1.17,-1,-1.43,0.09,-1.75,0.5,-0.19,-1.19,-0.76
 APARELHO DE SOM,0.3,-2.77,-1.89,-0.71,-0.04,1.7,-2.63,-2.24,-3.45,1.44,2.32,2.31,1.83,-0.83
 APARELHO DE DVD,-0.96,-2.58,0.91,0.91,0.26,-1.75,-1.04,-1.03,0.53,-2.15,-2.43,-3.11,-1.02,-0.4
 ANTENA,       -,       -,       -,0.53,       -,       -,-2.15,-1.6,       -,       -,1.12,       -,       -,-0.65
 MICROCOMPUTADOR,-1.53,-0.72,-1.08,-0.04,-0.6,1.57,-3.5,-1.78,0.77,3.25,-0.2,2.22,-0.14,-0.34
 CONSERTOS E MANUTENÇÃO,0.26,-0.1,0.42,-0.48,0.23,0.71,-0.25,0.65,0.41,-0.01,0.24,0.63,1.17,0.2
 CONSERTOS E MANUTENÇÃO,0.26,-0.1,0.42,-0.48,0.23,0.71,-0.25,0.65,0.41,-0.01,0.24,0.63,1.17,0.2
 CONSERTO DE REFRIGERADOR,0,-0.76,0.52,-0.36,-0.7,0,0.35,       -,0.36,0.4,1,0.81,2.58,-0.11
 CONSERTO DE TELEVISOR,0.36,0.61,0.51,-0.42,0,0.35,-1.79,1.76,0.18,0,0.17,1.08,-0.34,0.16
 CONSERTO DE APARELHO DE SOM,       -,       -,0,       -,       -,       -,       -,       -,0.56,       -,       -,       -,       -,0.15
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,0,-0.2,       -,0,-0.98,0.08,0.19,       -,       -,-0.29,       -,       -,4.26,-0.45
 REFORMA DE ESTOFADO,0.5,0.33,0.44,-0.81,1.61,2.1,0.49,0.13,0.51,0,0.04,0.66,0.45,0.72
 MANUTENÇÃO DE MICROCOMPUTADOR,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.33,0.96,0.34
 VESTUÁRIO,-1.06,-1.82,-0.77,-1.11,-1.47,-1.2,0.18,-0.28,-0.51,-0.4,-0.76,-0.68,-0.83,-0.98
 ROUPAS,-1.29,-1.9,-0.65,-1.73,-1.55,-1.39,1.09,-0.52,-0.93,-0.32,-1.01,-0.77,-0.53,-1.04
 ROUPA MASCULINA,-1.65,-2.37,-1.24,-3.02,-1.04,-1.58,1.95,-0.4,-1.48,-0.37,-0.75,-2,0.21,-1.12
 CALÇA COMPRIDA MASCULINA,-2.39,-2.9,-1.41,-4.44,-0.68,-1.2,2.66,-0.63,-1.13,-0.12,1.61,-2.98,1.03,-1.0
 TERNO,1.38,1.11,2.44,-0.39,       -,       -,       -,       -,       -,-2.75,-0.82,-1.44,       -,0.37
 AGASALHO MASCULINO,       -,-2.37,-1.24,       -,-1.04,-1.58,       -,       -,       -,-0.37,       -,-2,0.21,-1.32
 SHORT E BERMUDA MASCULINA,-1.01,-2.77,-2.1,1.83,-0.52,-1.91,1.11,-0.73,-1.99,-0.31,-1.28,-0.42,-1.25,-0.7
 CUECA,       -,-2.19,       -,-3.4,       -,       -,1.63,-0.57,-1.91,       -,       -,       -,       -,-1.27
 CAMISA / CAMISETA MASCULINA,-2.34,-2.31,-1.99,-4.43,-1.42,-1.78,2.08,-0.07,-1.36,0.07,-3.11,-2.17,-0.08,-1.48
 ROUPA FEMININA,-1.06,-2.66,0.59,-0.21,-2.17,-1.2,0.82,-0.49,-0.06,0.06,-1.74,0.25,-0.91,-0.93
 CALÇA COMPRIDA FEMININA,-2.86,-2.89,-0.38,-0.22,-3.25,-0.17,0.57,-0.95,0.28,0.78,-2.29,-1.77,1.33,-1.47
 AGASALHO FEMININO,       -,-2.66,0.59,       -,-2.17,       -,       -,       -,       -,0.06,       -,       -,-0.91,-1.48
 SAIA,       -,       -,       -,0.05,       -,       -,-0.36,3.28,-2.86,       -,0.24,-1.27,       -,-0.42
 VESTIDO,0.39,-2.93,-0.72,-1.38,-1.19,-2.54,3.08,1.15,-2.81,-1.07,-1.88,-2.09,-0.4,-0.96
 BLUSA,-0.39,-2.78,2.31,-0.59,-2.97,-1.61,1.15,-0.87,1.24,-0.69,-1.5,3.44,-2.99,-0.92
 LINGERIE,-0.25,-1.44,0.41,-0.6,1.61,0.09,1,-1.6,2.41,2.36,-1.38,-2.83,-2.85,0.64
 BERMUDA E SHORT FEMININO,-2.94,-2.93,0.88,3.94,       -,-0.48,-1.97,-1.28,-0.73,-0.77,-1.33,1.73,1.67,-0.72
 ROUPA INFANTIL,-1.23,0.98,-2.48,-2.53,-1.1,-1.46,-0.01,-0.95,-1.92,-1.08,0.33,-0.82,-1.04,-1.14
 UNIFORME ESCOLAR,3.55,       -,       -,       -,2.91,       -,1.68,       -,0.43,2.35,       -,       -,       -,2.46
 CALÇA COMPRIDA INFANTIL,-1.38,-0.78,-2.68,-1.63,2.1,-1.07,1.33,-1.94,-2.16,-2.75,3.96,-2.41,-1.51,-0.28
 AGASALHO INFANTIL,       -,0.98,-2.48,       -,-1.1,-1.46,       -,       -,       -,-1.08,       -,-0.82,-1.04,-0.83
 VESTIDO INFANTIL,1.8,       -,-2.75,0.22,-2.46,-0.81,0.16,-2.49,-2.91,3.43,-1.87,-0.48,-0.67,-1.01
 BERMUDA E SHORT INFANTIL,-2.84,2.96,-2.47,-2.97,-1.62,-2,-2.54,-2.78,-0.51,0.71,-1.13,-2.69,-2.26,-1.55
 CAMISA / CAMISETA INFANTIL,-1.78,1.36,-2.47,-3.47,-2.68,-1.23,1.15,1.45,-2.61,-2.3,-0.52,0.76,-0.41,-1.63
 CONJUNTO INFANTIL,       -,       -,-1.65,-2.74,-1.97,-2.3,-2.07,-2.96,       -,       -,1,-2.18,       -,-2.09
 CALÇADOS E ACESSÓRIOS,-0.96,-1.87,-1.07,0.1,-1.53,-0.69,-1.72,0.24,0.59,-0.44,-0.55,-0.67,-1.11,-0.98
 CALÇADOS E ACESSÓRIOS,-0.96,-1.87,-1.07,0.1,-1.53,-0.69,-1.72,0.24,0.59,-0.44,-0.55,-0.67,-1.11,-0.98
 SAPATO MASCULINO,0.46,-2.98,-2.77,-2.73,-1.51,-0.85,-2.73,0.49,-0.21,2.47,0.44,-0.61,0.68,-0.86
 SAPATO FEMININO,-3.9,-1.61,-1.08,2.62,-2.24,-2.22,-2.36,-2.54,-2.54,0.15,-1.51,-1.32,2.45,-1.64
 SAPATO INFANTIL,       -,       -,       -,2.2,       -,       -,-1.09,       -,1.87,       -,       -,       -,       -,1.1
 SANDÁLIA / CHINELO MASCULINO,       -,       -,       -,0.62,       -,       -,-2.86,       -,-1.69,       -,       -,       -,       -,-1.43
 SANDÁLIA / CHINELO FEMININO,-1.16,-2.43,-1.39,-1.44,-1.98,-1.74,-1.28,1.81,0.41,-2.85,-0.42,1.08,-3.36,-1.29
 SANDÁLIA / CHINELO INFANTIL,       -,       -,       -,0.27,       -,0.51,2.52,1.43,0.76,       -,3.83,1.03,0.06,1.46
 BOLSA,-1.93,-2.48,2.2,0.13,0.69,-0.91,-0.51,-1.97,2.27,-0.59,-0.23,-3.19,1.07,-0.15
 TÊNIS,0.64,-1.55,-1.12,1.08,-1.58,0.2,-2.9,-0.45,2.88,-1.03,-1.34,-0.63,-2.7,-0.92
 JOIAS E BIJUTERIAS,0.82,-1.13,-0.6,-0.18,-0.36,-1.36,-0.5,0.86,-1.06,-1.4,0.56,0.1,-2.15,-0.52
 JOIAS E BIJUTERIAS,0.82,-1.13,-0.6,-0.18,-0.36,-1.36,-0.5,0.86,-1.06,-1.4,0.56,0.1,-2.15,-0.52
 BIJUTERIA,-0.13,-1.52,-0.44,1.59,-1.02,1.78,-0.02,0.64,0.07,-2.79,-2.81,-2.95,-2.09,-0.67
 JOIA,1.35,-0.88,-0.73,-1.33,0.22,-2.87,-1.98,       -,-2.43,-0.61,3.33,1.93,-2.2,-0.5
 RELÓGIO DE PULSO,       -,       -,       -,-2.03,       -,       -,2.69,1.11,       -,       -,       -,       -,       -,0.73
 TECIDOS E ARMARINHO,0.17,0.02,-0.47,-0.48,0,0.53,0.61,-0.01,0.49,0.19,1.02,0.03,-0.34,0.07
 TECIDOS E ARMARINHO,0.17,0.02,-0.47,-0.48,0,0.53,0.61,-0.01,0.49,0.19,1.02,0.03,-0.34,0.07
 TECIDO,0.21,-0.06,-0.51,-0.48,-0.26,0.68,0.18,-0.12,0.56,0.5,0.89,0.42,-0.7,0.05
 ARTIGOS DE ARMARINHO,       -,-0.58,-0.42,       -,0.97,0.32,1.21,       -,       -,-0.64,1.42,-0.64,0.35,0.24
 ACORTINADO (MOSQUITEIRO),0.11,1.31,       -,       -,-0.5,       -,       -,0.23,0.15,       -,       -,       -,       -,-0.1
 TRANSPORTES,0.98,1.32,2.49,0.45,1.21,-0.82,0.32,0.56,1.37,0.48,0.54,1.51,0.25,1.1
 TRANSPORTES,0.98,1.32,2.49,0.45,1.21,-0.82,0.32,0.56,1.37,0.48,0.54,1.51,0.25,1.1
 TRANSPORTE PÚBLICO,0.76,0.1,1.36,0.92,2.19,-1.43,-0.68,0.21,2.66,0.28,0.42,1.02,-0.5,1.13
 ÔNIBUS URBANO,0,0,0,0,3.68,0,0,0,2.7,0,1.62,3.18,0.54,1.36
 TÁXI,1.37,0,0,0,0,       -,0,0,0,0,0,0,0,0.4
 TREM,0,0,       -,       -,3.68,       -,       -,       -,       -,       -,       -,       -,       -,2.63
 ÔNIBUS INTERMUNICIPAL,1.45,-0.02,4.17,0.21,1.7,       -,-0.25,0,4.17,0,3.5,0,0.31,1.8
 ÔNIBUS INTERESTADUAL,0,0.09,0.25,5.05,4.2,0,-0.01,-3.91,0.43,0.36,-2.8,0,0.33,1.5
 PASSAGEM AÉREA,3.66,2.1,5.52,6.77,-5.48,-3.74,-9.4,6.93,2.78,0.91,-6.43,-1.95,-10.57,-1.35
 METRÔ,0,       -,       -,       -,3.68,       -,       -,       -,       -,       -,       -,       -,       -,2.7
 TRANSPORTE HIDROVIÁRIO,       -,       -,       -,       -,       -,       -,0.38,       -,       -,       -,       -,       -,       -,0.38
 TRANSPORTE ESCOLAR,       -,-0.73,5.64,0,0,-1.65,       -,       -,0,5.52,       -,0,       -,1.48
 VEÍCULO PRÓPRIO,0.17,1.17,0.3,0.15,-0.43,-0.1,0.1,-0.3,1,-0.08,0.34,0.53,-0.51,0.08
 AUTOMÓVEL NOVO,1.16,2.04,0.46,0.79,0.12,1.23,-0.78,0.76,1.72,0.23,0.82,0.05,-1.42,0.62
 EMPLACAMENTO E LICENÇA,0.4,0.63,0.4,0.38,0.42,0.49,0.31,0.45,0.41,0.33,0.44,0.4,0.42,0.43
 SEGURO VOLUNTÁRIO DE VEÍCULO,-3.16,3.6,7.04,-8.15,-0.46,-7.59,       -,-2.28,-3.69,3.02,-1.12,0.35,8.42,-0.26
 MULTA,       -,       -,       -,       -,0,0,       -,       -,       -,0,0,       -,       -,0.0
 ÓLEO LUBRIFICANTE,2.16,0.03,-0.06,0.76,-1.31,-0.72,0.95,-1.61,-0.93,0.39,-0.6,       -,1.26,-0.34
 ACESSÓRIOS E PEÇAS,-0.45,0.83,0.84,0.11,0.05,-0.1,0.22,1.3,1.14,1.4,-1.32,0.09,1.93,0.35
 PNEU,-2.37,0.43,1.16,-0.4,-1.45,-0.84,-1.4,-0.36,1.21,-1.95,-0.55,-0.05,-1.17,-0.59
 CONSERTO DE AUTOMÓVEL,-0.92,0.38,-0.05,0.96,-2.43,-0.22,-0.05,-0.15,0.84,0.33,-0.09,2.5,-1.07,-0.74
 ESTACIONAMENTO,0.38,0.17,0.16,       -,0.18,       -,       -,0,       -,       -,       -,       -,       -,0.25
 PEDÁGIO,0.39,0,       -,       -,0,       -,       -,       -,       -,0.15,       -,0,       -,0.08
 LUBRIFICAÇÃO E LAVAGEM,       -,       -,       -,-1.48,2.33,       -,       -,       -,       -,-0.7,       -,       -,-0.67,1.13
 AUTOMÓVEL USADO,0.83,1.09,-0.9,       -,0.33,-1.9,2.89,0.62,0.98,-1.65,0.66,-1.23,1.63,-0.06
 PINTURA DE VEÍCULO,       -,       -,       -,-0.41,-0.94,-0.99,       -,       -,-1.55,3.14,       -,2.8,       -,-0.27
 ALUGUEL DE VEÍCULO,-1.37,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.37
 MOTOCICLETA,2.44,0,0.19,-0.05,0.08,0.84,0.51,-2.85,0.11,-0.12,0.81,-0.13,0.05,0.01
 COMBUSTÍVEIS (VEÍCULOS),2.56,2.16,6.48,0.43,2.9,-1.23,2.67,2.5,0.51,1.53,0.81,3.55,1.84,2.58
 GASOLINA,2.75,2,6.33,0.19,2.72,-1.68,2.7,2.9,0.28,1.15,0.66,3.55,1.57,2.44
 ETANOL,3.58,4.41,9.08,1.54,3.6,3.49,       -,-0.01,1.33,3.01,1.93,4.9,5.43,3.55
 ÓLEO DIESEL,       -,1.35,4.45,       -,0.87,       -,2.31,2.18,1.48,1.26,0.69,1.22,1.2,1.8
 GÁS VEICULAR,0.57,       -,       -,-0.05,-0.22,       -,       -,       -,0,       -,       -,3.32,       -,0.24
 SAÚDE E CUIDADOS PESSOAIS,0.66,0.35,0.18,0.21,0.58,0.27,0.19,0.11,0.06,0.49,0.29,0.4,0.55,0.42
 PRODUTOS FARMACÊUTICOS E ÓTICOS,0.83,0.35,-0.25,-0.1,0.76,-0.31,-0.11,0.26,0.31,0.32,0.36,-0.3,0.41,0.38
 PRODUTOS FARMACÊUTICOS,0.96,0.37,-0.31,-0.19,0.74,-0.35,-0.03,0.07,0.29,0.35,0.42,-0.19,0.49,0.38
 ANTI-INFECCIOSO E ANTIBIÓTICO,0.12,0.34,-1.24,2.18,0.02,-0.39,-0.04,-0.29,0.68,1.17,0.16,-2.12,0.48,0.06
 ANALGÉSICO E ANTITÉRMICO,0.49,0.3,0.02,0.53,1.8,0.24,0.31,1.02,0.58,0.12,0.04,-0.27,0.7,0.7
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,1,0.1,-1.19,-0.74,1.37,0.11,-0.08,0.66,1.44,-0.31,1.28,-0.46,0.72,0.61
 ANTIGRIPAL E ANTITUSSÍGENO,-2.88,-0.28,1.31,1.2,0.77,-0.43,0.03,1.32,-0.32,-1.35,-0.52,-0.48,0.72,-0.08
 DERMATOLÓGICO,-0.89,0.22,-0.8,0.42,1.05,       -,0.57,0.31,0.32,0.4,0.07,-0.28,0.48,0.23
 ANTIALÉRGICO E BRONCODILATADOR,0.63,-0.31,-0.55,0.2,-0.3,-0.56,0.1,0.89,-0.69,0.93,-1.2,-0.11,0.45,-0.13
 GASTROPROTETOR,1.06,0.83,-0.52,0.36,-0.38,-0.59,-0.48,1.11,1.01,0,0.2,-0.22,-0.26,0.06
 VITAMINA E FORTIFICANTE,0.54,0.45,0.05,0.36,-0.98,-0.68,-0.73,1.64,0.58,1.06,-0.47,-0.41,2.4,0.11
 HORMÔNIO,2.22,-0.01,0.18,-1.38,-1.99,-0.13,-0.35,-2.47,0.12,0.49,0.99,-0.24,1.71,-0.34
 PSICOTRÓPICO E ANOREXÍGENO,0.02,0.62,-0.02,-0.52,1.69,-0.32,-0.19,-0.77,-1.01,0.65,-0.01,0.95,2.17,0.5
 HIPOTENSOR E HIPOCOLESTEROLÊMICO,2.14,0.8,-0.43,-1.24,2.56,-0.56,0.16,-1.45,-0.21,0.46,1.42,0.2,-2.7,1.02
 OFTALMOLÓGICO,2.8,-0.01,-0.14,-0.53,-2.07,       -,-0.05,-0.75,2.91,0.18,-0.23,-1.15,1.35,-0.02
 PRODUTOS ÓTICOS,-2,0.16,1.04,0.54,1,0.4,-1.25,1.27,0.51,-0.19,-0.5,-1.92,-0.47,0.28
 ARMAÇÃO DE ÓCULOS,       -,-0.7,       -,       -,2.67,       -,       -,-0.56,0.72,0.78,       -,       -,       -,1.61
 ÓCULOS SEM GRAU,-2.08,-2.68,2.17,1.56,2.94,       -,-2.05,-2.46,0.72,0.91,-1.66,0.47,-2.44,0.43
 LENTES DE ÓCULOS E DE CONTATO,-1.95,1.89,0.31,-0.42,-1.67,0.4,-0.64,2.65,0.27,-1.17,0.91,-3.04,0.44,-0.22
 SERVIÇOS DE SAÚDE,0.91,0.97,0.96,0.81,0.85,0.97,0.67,0.81,0.5,1.28,0.54,1.53,0.81,0.88
 SERVIÇOS MÉDICOS E DENTÁRIOS,0.38,1.24,1,-0.45,0.06,0.51,-0.29,0.18,-1.01,1.16,0.05,3.41,0.7,0.4
 MÉDICO,0,1.36,1.54,-0.51,0.36,0.61,-1.07,0,-2.05,3.62,0,4.73,0.66,0.71
 DENTISTA,1.11,0.85,0.27,-0.76,-0.29,0.34,0.93,0.24,0.12,0.09,0,0.07,0.61,0.1
 APARELHO ORTODÔNTICO,       -,1.19,       -,       -,0.25,       -,       -,       -,       -,-0.44,       -,       -,1.42,0.25
 ARTIGOS ORTOPÉDICOS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.69,       -,       -,0.69
 FISIOTERAPEUTA,0,       -,       -,       -,-0.45,       -,       -,       -,       -,       -,       -,       -,       -,-0.37
 PSICÓLOGO,0,1.62,1.09,0.77,1.4,       -,       -,0.45,       -,       -,       -,       -,       -,0.99
 SERVIÇOS LABORATORIAIS E HOSPITALARES,-0.36,0.54,0.43,0.79,0.58,1.19,-0.2,0.35,1.09,1.93,-0.04,0.4,-0.4,0.68
 EXAME DE LABORATÓRIO,-1.87,-1.27,0.24,-0.08,       -,0.83,-0.96,0.11,1.79,1.07,-0.19,0.75,-2.5,-0.05
 HOSPITALIZAÇÃO E CIRURGIA,-0.59,1.1,0.5,0.33,0.66,1.75,1.11,0.13,1,2.41,0,0,0,0.92
 EXAME DE IMAGEM,1.5,0.23,0.53,2,0.05,       -,0.11,0.72,0.67,-0.51,0.16,1.07,0.04,0.44
 PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
 PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
 CUIDADOS PESSOAIS,-0.33,-0.73,-0.73,-0.55,-0.48,-0.03,0.08,-0.78,-0.93,-0.64,-0.23,-0.66,0.25,-0.51
 HIGIENE PESSOAL,-0.33,-0.73,-0.73,-0.55,-0.48,-0.03,0.08,-0.78,-0.93,-0.64,-0.23,-0.66,0.25,-0.51
 PRODUTO PARA CABELO,0.51,-0.46,1.32,0.26,-0.32,0.26,-1.1,-0.6,-0.1,0.1,-0.28,0.2,0.31,-0.05
 FRALDA DESCARTÁVEL,       -,-0.8,-0.25,-1.38,       -,0.6,-2.84,       -,-2.94,-0.86,-1.24,       -,-1.14,-1.13
 PRODUTO PARA BARBA,       -,-0.46,       -,       -,       -,       -,1.1,       -,       -,       -,       -,0.26,       -,0.1
 PRODUTO PARA PELE,0.33,-1.15,-0.24,0,-0.31,-0.95,1.2,-1.42,-0.8,-0.8,-0.39,-2.25,0.14,-0.39
 PRODUTO PARA HIGIENE BUCAL,-0.12,-1.6,2.09,-0.07,1.58,2.93,3.23,0.83,0.48,-0.33,-0.92,0.27,0.26,0.82
 PRODUTO PARA UNHA,-0.89,2.97,-2.49,1.8,1.91,       -,0.1,2.03,-3.82,       -,-1.77,       -,-4.24,0.24
 PERFUME,-0.35,-1.46,-1.96,-0.58,-0.53,-0.64,0.21,-0.6,-0.14,-1.59,0.45,-0.03,0.18,-0.64
 DESODORANTE,-0.3,-2.2,-1.47,-1.39,-1.23,3.85,0.96,-4.46,-0.95,-0.98,1.43,-1.5,2.97,-0.89
 ABSORVENTE HIGIÊNICO,       -,       -,       -,2.6,       -,       -,1.11,0.75,       -,       -,       -,       -,       -,1.5
 SABONETE,-0.85,1.43,0.04,0.82,0.7,1.04,-4.78,1.92,1.04,0.93,0.49,-1.7,1.99,0.26
 PAPEL HIGIÊNICO,2.28,1.69,1.57,-1.94,0.52,0.12,0.95,-1.24,-0.29,1.29,-1.09,1.59,4.41,0.95
 ARTIGOS DE MAQUIAGEM,-5.95,-4.02,-4.91,-5.76,-8.37,-3.12,-0.7,-10.65,-10.52,-2.31,-2.35,-5.04,-8.45,-5.88
 DESPESAS PESSOAIS,0.23,0.3,0.34,0.57,0.13,0.19,0.11,0.36,0.21,0.22,0.07,0.46,0.04,0.22
 SERVIÇOS PESSOAIS,-0.09,0.29,0.19,0.57,0.26,0.06,-0.14,0.18,0.16,-0.04,0.09,0.18,-0.19,0.16
 SERVIÇOS PESSOAIS,-0.09,0.29,0.19,0.57,0.26,0.06,-0.14,0.18,0.16,-0.04,0.09,0.18,-0.19,0.16
 COSTUREIRA,       -,       -,-0.58,1.44,       -,       -,1.44,0.76,-0.19,0.13,       -,       -,       -,0.37
 MANICURE,-3.46,0,0.12,2.03,1.75,-2.61,-2.24,0,0,1.24,-0.57,0.25,-1.86,-0.02
 CABELEIREIRO,0.07,0.89,0.33,1.15,-0.27,0.55,-0.27,0.26,0.19,-1.11,0.02,0.2,-1.49,0.04
 EMPREGADO DOMÉSTICO,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
 DEPILAÇÃO,       -,       -,0.9,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.05,0.93
 DESPACHANTE,       -,0,0.37,       -,2.54,       -,       -,       -,       -,       -,       -,       -,       -,1.94
