"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 TAXA DE ÁGUA E ESGOTO,0.0,0.0,0.0,0.0,0.0,0.0,5.57,4.23,0.0,0.0,0.0,0.0,0.43,0.24
 MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.45,0.46,0.0,0.8,-1.21
 REPAROS,-0.08,0.01,0.13,-0.3,0.06,-0.02,-0.58,0.73,0.14,-0.13,0.45,0.05,1.07,0.04
 FERRAGENS,0.0,0.0,-1.57,0.0,-0.18,0.0,0.0,0.97,0.0,2.97,1.17,0.9,0.0,0.11
 MATERIAL DE ELETRICIDADE,0.0,2.08,0.0,0.0,0.0,0.0,3.18,0.0,0.0,-2.62,0.0,0.0,0.0,0.07
 MATERIAL DE PINTURA,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.33,0.0,0.0,-0.21,2.97,-0.42
 VIDRO,-0.96,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
 TINTA,0.53,1.05,0.78,-0.48,0.41,-1.91,-2.55,1.49,-0.43,0.18,0.59,0.81,2.92,0.46
 REVESTIMENTO DE PISO E PAREDE,-5.8,-4.22,-0.49,-1.11,-5.11,-1.15,-2.86,-2.13,1.21,-0.82,-1.39,0.5,3.6,-2.74
 CIMENTO,-1.09,-1.6,0.94,1.3,3.68,1.07,-5.72,2.21,-0.39,-2.07,0.1,-2.8,-1.45,0.22
 TIJOLO,0.0,-0.32,0.09,-2.16,1.99,-0.84,0.56,1.94,0.01,0.14,1.72,-1.68,0.0,0.49
 MATERIAL HIDRÁULICO,0.0,0.0,0.56,0.0,0.88,0.0,2.02,0.0,-0.28,0.24,0.0,-2.1,0.0,0.6
 MÃO DE OBRA,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
 AREIA,2.22,0.0,0.51,0.0,0.0,0.0,0.0,1.18,0.24,-0.7,1.71,3.1,0.0,0.99
 TELHA,0.26,0.0,-0.53,0.0,0.0,0.0,1.17,2.18,1.62,-0.28,0.86,0.1,0.0,0.24
 ARTIGOS DE LIMPEZA,1.37,-0.12,1.24,0.51,1.02,-0.08,-1.31,-0.23,0.15,-0.53,-1.24,-0.65,-1.52,0.36
 ÁGUA SANITÁRIA,1.81,0.0,1.48,-0.88,-0.91,-0.32,-0.08,-2.06,-0.38,0.52,0.0,0.0,0.0,-0.25
 DETERGENTE,-1.39,-0.3,2.42,-0.93,0.78,-0.06,-2.0,-1.67,-0.13,-3.4,-0.83,1.33,-2.72,-0.1
 SABÃO EM PÓ,3.0,0.41,1.52,1.35,2.5,-0.12,-1.33,1.4,1.84,0.84,-0.99,-1.89,-1.47,1.38
 DESINFETANTE,1.06,-2.52,0.01,2.44,0.0,0.93,0.18,-1.26,0.77,0.22,0.08,0.16,-0.97,0.12
 INSETICIDA,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75
 SABÃO EM BARRA,-0.01,-2.17,3.96,0.25,0.62,-0.4,-1.65,-1.08,-4.01,-4.32,-2.61,3.5,0.96,-0.62
 ESPONJA DE LIMPEZA,0.0,0.95,-1.62,-1.01,0.03,0.0,0.43,-1.78,0.0,0.98,-2.45,-2.21,-0.78,-0.43
 AMACIANTE,1.16,0.31,-0.1,0.0,-0.32,-0.21,-2.91,0.01,-0.37,0.16,-0.91,-3.38,-2.89,-0.32
 COMBUSTÍVEIS E ENERGIA,-0.19,1.69,-0.11,-1.7,0.16,-0.3,2.16,-1.8,0.08,0.21,-2.97,0.18,2.75,0.06
 COMBUSTÍVEIS (DOMÉSTICOS),2.03,0.49,-1.12,-1.85,-0.38,-0.91,1.49,-0.71,-1.54,10.32,1.28,0.77,0.1,0.66
 CARVÃO VEGETAL,0.0,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41
 GÁS DE BOTIJÃO,2.07,0.55,-1.12,-1.85,-0.41,-0.91,1.49,-0.71,-1.54,11.07,1.28,0.77,0.1,0.65
 GÁS ENCANADO,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01
 ENERGIA ELÉTRICA RESIDENCIAL,-0.94,2.12,0.37,-1.62,0.35,-0.11,2.48,-2.57,1.14,-3.08,-4.7,-0.02,3.92,-0.18
 ENERGIA ELÉTRICA RESIDENCIAL,-0.94,2.12,0.37,-1.62,0.35,-0.11,2.48,-2.57,1.14,-3.08,-4.7,-0.02,3.92,-0.18
 ARTIGOS DE RESIDÊNCIA,0.14,-0.1,0.29,-0.28,0.03,-0.61,0.22,-0.42,-0.59,0.58,0.32,0.26,-0.32,0.03
 MÓVEIS E UTENSÍLIOS,-0.24,-0.34,0.28,-0.47,-0.63,-0.53,-0.2,-0.31,-0.76,1.14,0.6,0.15,0.09,-0.19
 MOBILIÁRIO,-0.64,0.4,0.16,-0.79,-1.03,-0.97,0.3,-0.56,-1.36,1.11,1.27,0.31,0.38,-0.34
 MÓVEL PARA SALA,-0.37,0.26,1.06,-1.08,-2.16,-1.89,1.08,-1.25,-2.97,2.34,1.62,0.31,0.51,-0.57
 MÓVEL PARA QUARTO,-1.1,0.76,-1.14,-0.67,0.48,-0.25,-0.79,-0.67,0.22,-0.11,1.42,0.57,0.03,-0.08
 MÓVEL PARA COPA E COZINHA,-1.7,0.81,-0.12,-0.77,-1.75,1.47,0.86,-0.06,2.07,1.26,-0.07,-0.66,0.81,-0.19
 MÓVEL INFANTIL,0.0,0.0,0.0,0.83,0.0,0.0,3.58,3.09,0.0,0.0,2.0,0.0,0.0,2.71
 COLCHÃO,0.41,-2.51,0.33,-0.32,-2.45,1.4,-0.17,-1.26,-1.26,1.7,1.15,0.16,0.6,-0.73
 UTENSÍLIOS E ENFEITES,0.01,-1.35,0.55,-0.64,0.14,-0.07,-0.25,0.49,0.02,0.5,0.22,0.22,-0.73,0.0
 TAPETE,0.05,-2.45,0.69,-0.81,-4.59,-0.04,-0.8,0.0,-0.79,1.84,0.41,-0.78,-2.41,-1.01
 CORTINA,-0.33,-8.22,0.78,-0.02,4.1,-0.32,-0.01,-0.03,-0.04,0.11,0.93,2.78,-0.05,0.52
 UTENSÍLIOS DE METAL,2.33,1.31,-1.61,-1.5,2.26,1.31,0.21,0.96,0.56,-0.19,-0.87,0.23,-2.04,0.82
 UTENSÍLIOS DE VIDRO E LOUÇA,0.11,0.52,1.26,-2.89,-1.52,0.26,-0.54,0.02,-0.53,-0.86,1.08,-0.99,-2.98,-0.42
 UTENSÍLIOS DE PLÁSTICO,-1.01,-0.2,0.0,-0.51,1.44,0.81,-0.42,1.16,-0.9,0.85,0.99,-2.0,1.97,0.42
 FLORES NATURAIS,0.0,-0.46,0.0,0.0,3.6,0.0,0.0,0.0,0.0,3.85,0.0,0.0,-1.78,2.42
 UTENSÍLIOS DIVERSOS,-0.48,0.92,0.7,0.32,-2.72,-0.94,-0.33,0.08,0.47,0.56,-0.26,-0.09,0.55,-0.55
" CAMA, MESA E BANHO",1.73,-1.1,0.25,0.71,-0.49,0.68,-1.22,-0.17,0.38,2.42,-1.08,-0.64,0.13,0.05
 ROUPA DE CAMA,2.36,-1.99,0.68,2.02,-1.92,0.68,-1.37,-0.68,1.04,2.42,-1.08,-1.11,-0.26,-0.14
 ROUPA DE BANHO,0.27,1.38,-0.89,-2.2,2.28,0.0,-0.53,0.94,-2.2,2.41,0.0,0.47,1.21,0.57
 APARELHOS ELETROELETRÔNICOS,0.53,0.27,0.33,-0.2,0.67,-0.67,0.57,-0.71,-0.4,0.2,-0.18,0.16,-1.03,0.24
 ELETRODOMÉSTICOS E EQUIPAMENTOS,0.87,0.25,1.2,-0.46,1.42,-1.37,0.54,-0.74,0.33,1.41,-0.33,0.73,-1.06,0.68
 REFRIGERADOR,1.58,-0.07,2.04,1.52,2.43,-0.97,1.49,-2.21,0.3,2.05,0.57,1.14,-1.8,1.23
 AR-CONDICIONADO,-1.16,-0.19,0.0,-2.56,0.0,0.0,-1.88,0.0,0.0,2.15,0.0,1.73,1.42,-0.65
 MÁQUINA DE LAVAR ROUPA,1.08,0.65,-0.38,-0.74,0.1,-1.72,1.5,2.5,-1.26,1.25,-0.47,0.74,-1.0,0.19
 LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,-1.66,0.0,0.0,0.0,0.0,0.0,0.0,-1.66
 VENTILADOR,0.67,0.0,0.0,-2.82,0.0,0.0,-1.39,-0.69,0.0,0.0,0.0,0.0,-2.73,-1.09
 FOGÃO,0.39,0.54,1.75,-2.01,1.4,-2.09,-0.03,1.26,1.87,-0.57,-2.49,-0.97,0.61,0.46
 CHUVEIRO ELÉTRICO,0.0,-0.04,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17
 FORNO DE MICRO-ONDAS,0.0,0.78,-1.87,0.0,0.32,0.0,0.0,0.0,0.0,1.82,-0.45,0.0,0.0,0.3
" TV, SOM E INFORMÁTICA",0.05,0.31,-0.91,0.2,-0.47,0.28,0.65,-0.65,-1.41,-2.05,0.06,-0.7,-0.97,-0.47
 TELEVISOR,-2.65,-3.0,-1.28,-2.92,-3.2,-0.71,-0.15,-1.24,-0.82,-1.51,-0.82,0.41,-3.31,-2.1
 APARELHO DE SOM,-1.95,1.7,-2.67,-1.21,-2.63,-2.78,1.9,-2.31,-0.12,-3.09,-0.28,3.42,-1.23,-1.28
 APARELHO DE DVD,4.36,1.69,-0.19,3.85,2.84,2.61,1.28,1.29,-1.4,-1.26,0.05,0.29,1.3,1.49
 ANTENA,0.0,0.0,0.0,0.2,0.0,0.0,0.65,-0.65,0.0,0.0,1.96,0.0,0.0,0.48
 MICROCOMPUTADOR,2.18,1.69,-0.58,1.61,1.14,1.1,0.53,-0.43,-1.97,-2.34,0.37,-2.29,0.08,0.34
 CONSERTOS E MANUTENÇÃO,0.27,-0.19,0.2,0.64,1.04,-0.86,0.65,0.5,-0.37,-0.81,0.95,1.82,0.54,0.39
 CONSERTOS E MANUTENÇÃO,0.27,-0.19,0.2,0.64,1.04,-0.86,0.65,0.5,-0.37,-0.81,0.95,1.82,0.54,0.39
 CONSERTO DE REFRIGERADOR,0.63,1.54,2.0,1.83,-0.72,-1.67,0.06,0.0,0.07,-3.44,1.86,-1.46,0.0,0.19
 CONSERTO DE TELEVISOR,-0.67,-1.82,-0.2,0.08,0.21,0.0,1.82,1.91,-1.99,0.0,0.13,9.58,-0.9,-0.04
 CONSERTO DE APARELHO DE SOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34,0.0,0.0,0.0,0.0,-0.35
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,0.71,-0.2,0.0,0.0,3.72,-0.6,0.43,0.0,0.0,-0.66,0.0,0.0,-2.17,1.54
 REFORMA DE ESTOFADO,0.18,-0.76,-0.45,0.0,0.51,-1.51,0.19,-0.17,0.2,-0.2,1.05,0.99,2.31,0.22
 MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,-0.25,0.21
 VESTUÁRIO,-0.75,-1.27,-0.37,-0.16,0.39,-1.26,0.24,-1.01,-0.34,-1.0,-1.46,-1.35,-0.31,-0.38
 ROUPAS,-0.73,-2.06,-0.85,-0.66,0.6,-0.79,0.17,-0.96,-0.09,-0.91,-1.8,-1.62,-0.51,-0.45
 ROUPA MASCULINA,-0.33,-1.52,0.76,-0.77,0.25,-1.34,-0.23,-0.58,0.86,0.06,-2.55,-0.49,-0.82,-0.15
 CALÇA COMPRIDA MASCULINA,-0.08,-3.44,0.4,-1.88,2.63,-1.62,-3.85,-0.12,1.07,-0.27,-2.93,0.06,-1.64,0.04
 TERNO,-1.48,2.86,1.55,2.2,0.0,0.0,0.0,0.0,0.0,-0.29,-2.73,1.25,0.0,0.4
 AGASALHO MASCULINO,0.0,-1.52,0.76,0.0,0.25,-1.34,0.0,0.0,0.0,0.06,0.0,-0.49,-0.82,-0.26
 SHORT E BERMUDA MASCULINA,-1.59,-3.97,-0.91,-3.04,-2.5,-1.26,-0.03,-1.42,0.11,-2.11,-2.33,-2.22,1.77,-1.52
 CUECA,0.0,2.96,0.0,-2.98,0.0,0.0,2.31,-1.07,-1.16,0.0,0.0,0.0,0.0,0.4
 CAMISA / CAMISETA MASCULINA,0.44,-0.52,1.3,0.73,-0.67,-1.16,1.97,-0.35,1.33,0.78,-2.15,-0.3,-0.82,0.13
 ROUPA FEMININA,-1.19,-2.52,-1.68,-1.41,0.48,-0.5,0.83,-1.65,-0.5,-2.14,-1.83,-2.66,-0.39,-0.87
 CALÇA COMPRIDA FEMININA,-0.95,-1.86,-2.27,-2.18,0.85,0.87,0.89,-1.48,-2.35,-2.96,-2.49,-2.63,0.11,-1.02
 AGASALHO FEMININO,0.0,-2.52,-1.68,0.0,0.48,0.0,0.0,0.0,0.0,-2.14,0.0,0.0,-0.39,-1.37
 SAIA,0.0,0.0,0.0,-0.7,0.0,0.0,-3.57,-3.26,-0.71,0.0,-1.13,-2.84,0.0,-2.0
 VESTIDO,0.09,-2.81,-1.59,-3.66,-1.05,-3.33,0.33,1.59,0.15,-1.13,-2.41,-3.23,0.0,-1.08
 BLUSA,-2.81,-3.35,-1.08,0.57,2.01,-0.16,1.17,-3.24,1.22,-2.57,-1.67,-2.98,0.02,-0.4
 LINGERIE,-1.45,-0.93,-1.76,-1.8,-3.0,-1.28,0.1,-0.02,-2.85,-0.21,2.77,0.58,-2.37,-1.71
 BERMUDA E SHORT FEMININO,3.88,-3.8,-2.25,-2.86,0.0,-0.9,3.15,-1.45,-1.31,-0.1,-3.59,-1.57,-2.9,-0.39
 ROUPA INFANTIL,-0.18,-2.03,-1.86,1.53,1.68,-0.24,-0.51,0.55,-1.16,-0.19,-0.31,-1.22,-0.2,-0.04
 UNIFORME ESCOLAR,1.94,0.0,0.0,0.0,1.14,0.0,2.61,0.0,-2.17,0.47,0.0,0.0,0.0,0.97
 CALÇA COMPRIDA INFANTIL,0.98,-0.08,-2.74,-1.73,2.64,-0.91,-0.26,-1.8,2.19,-0.75,-0.49,0.36,0.56,0.37
 AGASALHO INFANTIL,0.0,-2.03,-1.86,0.0,1.68,-0.24,0.0,0.0,0.0,-0.19,0.0,-1.22,-0.2,-0.23
 VESTIDO INFANTIL,-1.77,0.0,-3.06,2.11,-0.05,-2.97,-2.73,-0.87,-2.22,-1.8,0.15,-1.39,0.38,-1.26
 BERMUDA E SHORT INFANTIL,-1.94,-0.85,-2.77,3.27,-0.11,0.14,-0.09,1.33,-2.54,-2.28,-1.41,-1.67,1.99,-1.05
 CAMISA / CAMISETA INFANTIL,0.17,-3.38,-0.43,1.44,1.81,-0.86,-1.22,1.56,-0.84,0.9,-0.55,-0.75,-1.51,0.14
 CONJUNTO INFANTIL,0.0,0.0,-1.93,3.26,3.64,3.0,1.23,0.4,0.0,0.0,3.93,-3.64,0.0,1.9
 CALÇADOS E ACESSÓRIOS,-1.04,-0.64,0.46,0.84,-0.27,-2.89,0.2,-1.39,-1.14,-1.58,-1.14,-1.21,-0.22,-0.53
 CALÇADOS E ACESSÓRIOS,-1.04,-0.64,0.46,0.84,-0.27,-2.89,0.2,-1.39,-1.14,-1.58,-1.14,-1.21,-0.22,-0.53
 SAPATO MASCULINO,-1.15,-1.02,0.53,-1.04,0.77,1.39,-0.74,-1.26,-0.81,-1.74,-3.94,-3.3,-2.57,-0.67
 SAPATO FEMININO,-1.48,-0.78,1.36,2.9,1.05,-3.46,-2.42,-2.85,-3.07,-2.76,-3.0,0.33,-2.99,-0.45
 SAPATO INFANTIL,0.0,0.0,0.0,3.59,0.0,0.0,-1.96,0.0,-1.75,0.0,0.0,0.0,0.0,-0.31
 SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,-2.44,0.0,0.0,0.53,0.0,0.84,0.0,0.0,0.0,0.0,-0.31
 SANDÁLIA / CHINELO FEMININO,-1.37,-3.94,1.17,0.3,-2.63,-3.62,2.71,-2.75,-1.75,-2.92,-3.92,-2.78,-2.85,-1.52
 SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,2.94,0.0,-0.99,-0.25,-1.92,-0.46,0.0,-1.93,-1.58,0.76,-0.22
 BOLSA,3.18,-1.28,-1.78,-1.98,-2.55,-2.83,2.84,1.55,-2.45,-0.41,2.45,-2.97,0.05,-0.78
 TÊNIS,-2.17,0.26,-0.06,2.56,0.76,-3.47,-1.56,-0.03,0.59,-0.64,2.01,0.68,2.91,0.11
 JOIAS E BIJUTERIAS,0.8,2.46,0.54,0.42,1.95,0.1,0.82,-0.13,0.78,0.84,0.1,0.93,1.27,1.14
 JOIAS E BIJUTERIAS,0.8,2.46,0.54,0.42,1.95,0.1,0.82,-0.13,0.78,0.84,0.1,0.93,1.27,1.14
 BIJUTERIA,2.06,2.68,0.77,0.43,2.08,-0.12,-0.7,0.12,0.65,0.76,1.98,-0.7,1.06,1.15
 JOIA,0.1,2.32,0.36,0.39,1.83,0.21,2.12,0.0,0.94,0.88,-1.35,1.85,1.43,1.19
 RELÓGIO DE PULSO,0.0,0.0,0.0,0.43,0.0,0.0,0.88,-0.4,0.0,0.0,0.0,0.0,0.0,0.37
 TECIDOS E ARMARINHO,-1.27,-0.88,0.2,-0.16,0.08,0.14,-0.21,-0.02,-1.48,-0.48,0.18,-0.62,-1.5,-0.35
 TECIDOS E ARMARINHO,-1.27,-0.88,0.2,-0.16,0.08,0.14,-0.21,-0.02,-1.48,-0.48,0.18,-0.62,-1.5,-0.35
 TECIDO,-1.53,-0.65,0.48,-0.16,1.31,0.25,0.2,-0.09,-1.52,-0.59,0.23,-1.47,-1.01,-0.21
 ARTIGOS DE ARMARINHO,0.0,-1.4,-0.25,0.0,0.9,-0.01,-0.79,0.0,0.0,-0.15,0.06,0.91,-2.4,-0.05
 ACORTINADO (MOSQUITEIRO),-0.77,-0.27,0.0,0.0,-1.95,0.0,0.0,0.15,-1.26,0.0,0.0,0.0,0.0,-1.3
 TRANSPORTES,1.89,0.07,0.68,0.78,0.49,0.24,0.33,0.12,2.41,0.11,0.67,0.61,0.07,0.74
 TRANSPORTES,1.89,0.07,0.68,0.78,0.49,0.24,0.33,0.12,2.41,0.11,0.67,0.61,0.07,0.74
 TRANSPORTE PÚBLICO,3.09,0.98,-0.88,0.07,0.78,-3.63,0.82,2.83,1.03,-0.82,3.86,0.9,0.69,0.96
 ÔNIBUS URBANO,4.71,0.0,0.0,0.0,1.52,0.0,1.94,5.47,0.29,0.0,6.38,2.78,0.0,1.9
 TÁXI,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73
 TREM,0.0,82.94,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43
 ÔNIBUS INTERMUNICIPAL,0.66,0.0,-1.17,0.11,0.67,0.0,0.0,0.0,1.39,0.0,0.03,-0.03,0.14,0.36
 ÔNIBUS INTERESTADUAL,-1.31,0.93,0.02,-1.13,-7.81,0.92,-0.32,7.05,0.04,1.56,-0.4,0.0,1.06,-1.91
 PASSAGEM AÉREA,-3.88,-5.56,-9.8,0.78,0.4,-10.06,-5.58,-14.8,7.24,-6.77,-0.96,-1.83,5.51,-3.26
 METRÔ,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13
 TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.29
 TRANSPORTE ESCOLAR,0.0,0.0,-1.46,5.97,1.63,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.72
 VEÍCULO PRÓPRIO,0.63,-0.41,0.53,0.11,0.65,0.25,-0.12,0.08,0.17,0.69,0.42,0.63,0.35,0.43
 AUTOMÓVEL NOVO,1.24,-0.68,0.42,0.35,0.73,0.56,-0.67,0.12,-0.02,1.16,0.04,0.35,-0.54,0.46
 EMPLACAMENTO E LICENÇA,0.39,0.63,0.4,0.38,0.42,0.49,0.31,0.46,0.41,0.33,0.44,0.4,0.42,0.43
 SEGURO VOLUNTÁRIO DE VEÍCULO,0.43,0.58,-1.76,-1.34,-1.56,-1.08,0.0,0.1,-4.62,0.81,-1.33,-0.54,5.2,-0.95
 MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ÓLEO LUBRIFICANTE,2.14,0.26,-1.59,-0.9,-0.53,-0.17,-0.48,-1.1,-0.11,0.51,0.59,0.0,-0.74,-0.19
 ACESSÓRIOS E PEÇAS,1.53,0.95,-0.04,-0.23,-0.08,0.31,0.3,-0.45,-0.8,-0.59,1.66,-1.11,1.35,0.23
 PNEU,1.75,-1.28,-1.09,-2.44,3.6,0.77,2.32,1.04,0.13,2.3,1.45,0.2,-2.46,1.1
 CONSERTO DE AUTOMÓVEL,0.14,-0.55,0.57,-0.17,1.84,0.55,-0.04,0.76,0.89,0.69,0.06,1.83,1.74,0.88
 ESTACIONAMENTO,0.12,0.72,0.1,0.0,-0.14,0.0,0.0,-0.85,0.0,0.0,0.0,0.0,0.0,0.05
 PEDÁGIO,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
 LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,1.92,0.22,0.0,0.0,0.0,0.0,-0.21,0.0,0.0,2.36,0.52
 AUTOMÓVEL USADO,-0.22,-1.53,2.09,0.0,-0.08,-0.78,0.76,-0.19,0.14,0.59,0.69,0.58,-0.61,0.32
 PINTURA DE VEÍCULO,0.0,0.0,0.0,2.11,-0.69,-2.5,0.0,0.0,1.53,-1.36,0.0,-0.8,0.0,-0.5
 ALUGUEL DE VEÍCULO,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45
 MOTOCICLETA,0.55,-0.44,-0.24,0.31,-0.25,0.62,-0.6,-0.76,0.57,0.22,1.13,0.41,0.52,0.0
 COMBUSTÍVEIS (VEÍCULOS),1.61,0.25,2.02,2.86,0.06,3.44,-0.08,-3.07,8.03,-0.31,-0.41,0.37,-0.66,0.99
 GASOLINA,1.29,0.07,1.86,2.62,-0.22,3.46,-0.09,-3.7,8.55,-0.59,-0.5,0.21,-1.05,0.85
 ETANOL,1.87,2.35,4.32,3.85,0.46,3.31,0.0,-0.48,8.64,0.73,-0.2,2.77,2.53,1.42
 ÓLEO DIESEL,0.0,0.3,0.76,0.0,1.42,0.0,0.02,-0.07,1.74,-0.37,0.47,0.29,-0.42,0.65
 GÁS VEICULAR,3.73,0.0,0.0,3.4,1.91,0.0,0.0,0.0,3.35,0.0,0.0,1.74,0.0,2.99
 SAÚDE E CUIDADOS PESSOAIS,0.42,0.28,0.5,0.56,0.42,0.3,0.25,0.46,0.21,0.2,0.32,0.19,0.55,0.38
 PRODUTOS FARMACÊUTICOS E ÓTICOS,-0.67,0.01,0.33,0.93,-0.79,-0.16,-0.22,-0.03,-0.14,-0.71,0.21,-0.64,0.26,-0.31
 PRODUTOS FARMACÊUTICOS,-0.64,-0.08,0.32,1.04,-0.82,-0.18,-0.36,0.12,-0.12,-0.65,0.04,-0.62,0.32,-0.33
 ANTI-INFECCIOSO E ANTIBIÓTICO,-0.69,-0.62,0.5,-0.51,1.71,0.7,-1.36,0.75,0.02,-0.55,1.15,-1.87,0.9,0.39
 ANALGÉSICO E ANTITÉRMICO,-0.44,0.05,0.65,0.04,-3.1,0.32,-0.46,0.11,0.51,-0.15,0.71,0.63,0.33,-0.74
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,-1.04,0.4,0.78,0.53,-1.34,-0.76,-0.1,1.03,0.47,-0.38,-0.01,-1.0,-0.67,-0.47
 ANTIGRIPAL E ANTITUSSÍGENO,1.25,-1.98,0.31,-0.36,-0.45,-0.03,-0.1,0.41,-0.04,1.41,-1.07,-0.07,-1.61,-0.09
 DERMATOLÓGICO,-0.25,-0.54,-0.73,0.55,-0.49,0.0,-0.82,0.95,-0.56,-1.09,-0.13,0.5,-0.31,-0.42
 ANTIALÉRGICO E BRONCODILATADOR,-1.26,-0.5,0.85,1.25,0.71,0.28,-1.19,0.43,-1.34,-0.89,0.48,0.01,-0.54,0.06
 GASTROPROTETOR,0.42,-0.26,0.27,0.6,0.06,-0.27,1.4,-0.01,0.85,0.41,-0.32,-0.05,0.12,0.24
 VITAMINA E FORTIFICANTE,-0.5,-0.37,0.7,1.42,0.88,-0.31,-1.65,-0.56,-1.67,-1.29,1.52,0.42,0.35,-0.14
 HORMÔNIO,-0.42,0.74,0.46,0.28,1.5,-0.79,-0.67,0.79,-1.69,-1.19,0.45,-0.36,-0.85,0.36
 PSICOTRÓPICO E ANOREXÍGENO,-0.08,0.49,0.61,3.27,-1.44,-0.11,0.31,-1.46,0.75,0.03,-0.28,-1.25,-0.38,-0.07
 HIPOTENSOR E HIPOCOLESTEROLÊMICO,-1.66,-0.37,-0.4,1.5,-2.5,-0.39,0.04,0.24,0.07,-2.12,-0.83,-1.74,3.01,-1.2
 OFTALMOLÓGICO,0.57,0.3,-0.14,-0.27,0.4,0.0,-0.1,-0.09,-1.17,1.69,-0.14,0.61,0.15,0.22
 PRODUTOS ÓTICOS,-1.4,1.21,0.53,0.13,-0.46,0.16,1.72,-0.87,-0.29,-1.75,2.59,-0.96,-0.48,-0.13
 ARMAÇÃO DE ÓCULOS,0.0,2.75,0.0,0.0,-1.2,0.0,0.0,-0.68,-1.42,-0.29,0.0,0.0,0.0,-0.69
 ÓCULOS SEM GRAU,-2.3,2.63,-3.06,-0.87,0.18,0.0,1.94,0.66,-0.7,-3.24,3.16,-1.69,0.88,-0.37
 LENTES DE ÓCULOS E DE CONTATO,-0.73,0.07,2.9,1.08,-0.24,0.16,1.57,-1.23,0.47,-1.48,1.92,-0.6,-1.09,0.19
 SERVIÇOS DE SAÚDE,0.92,0.72,0.57,1.22,1.1,0.89,0.77,0.91,0.61,0.75,0.54,0.57,0.89,0.91
 SERVIÇOS MÉDICOS E DENTÁRIOS,0.26,0.45,0.0,2.16,1.72,-0.01,-0.13,0.52,-0.04,0.5,0.01,-0.42,0.73,0.76
 MÉDICO,-0.1,0.0,-0.45,2.06,0.48,0.0,0.0,0.44,-0.02,0.35,-0.18,-0.34,0.92,0.13
 DENTISTA,0.88,1.53,0.48,1.39,2.64,-0.02,-0.32,0.64,-0.06,0.52,0.0,-0.65,0.65,1.24
 APARELHO ORTODÔNTICO,0.0,0.46,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.08,1.7
 ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,1.21
 FISIOTERAPEUTA,0.0,0.0,0.0,0.0,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59
 PSICÓLOGO,0.0,0.33,0.79,4.96,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78
 SERVIÇOS LABORATORIAIS E HOSPITALARES,0.41,-0.06,-0.11,0.49,0.07,1.44,0.44,0.56,-0.04,0.38,0.0,-0.02,0.28,0.16
