"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,-0.95,0.0,3.79,1.83
 REPAROS,0.4,0.53,0.13,0.07,-0.01,-0.08,0.13,-0.33,0.08,0.32,-0.11,0.05,-0.23,0.15
 FERRAGENS,0.0,0.0,1.25,0.0,0.37,0.0,0.0,-0.55,0.0,0.14,0.06,-0.74,0.0,0.4
 MATERIAL DE ELETRICIDADE,0.0,-0.46,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.69,0.0,0.0,0.0,0.42
 MATERIAL DE PINTURA,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,-1.53,0.0,0.0,1.65,-2.55,-0.13
 VIDRO,1.75,0.0,-1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
 TINTA,0.07,0.93,1.13,0.21,0.33,0.74,0.92,-1.78,0.72,0.18,0.27,0.82,2.18,0.54
 REVESTIMENTO DE PISO E PAREDE,1.55,-1.05,-1.71,1.24,-0.96,-1.86,0.18,-2.83,1.25,1.56,-1.61,-1.72,-2.71,-0.28
 CIMENTO,1.83,3.61,0.24,-0.94,-1.93,-1.66,-0.59,-1.9,0.0,0.93,0.61,0.05,-1.13,0.03
 TIJOLO,0.0,2.17,0.66,-0.46,-0.48,-2.81,0.56,-0.56,-0.79,0.22,-0.45,0.14,0.0,0.03
 MATERIAL HIDRÁULICO,0.0,0.0,-0.12,0.0,1.42,0.0,-1.0,0.0,-2.58,0.72,0.0,0.25,0.0,0.47
 MÃO DE OBRA,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
 AREIA,0.4,0.0,0.68,0.0,0.0,0.0,0.0,1.19,-0.52,-0.12,-0.62,1.34,0.0,0.19
 TELHA,0.69,0.0,-1.45,0.0,0.0,0.0,-0.46,-0.07,-0.83,0.6,-1.6,-1.41,0.0,-0.33
 ARTIGOS DE LIMPEZA,-1.1,0.48,-0.77,0.46,0.16,-0.49,-0.18,-0.37,0.26,0.84,-0.62,-0.01,-0.78,-0.05
 ÁGUA SANITÁRIA,0.99,0.0,0.58,2.68,-4.96,-0.27,-0.04,0.07,-0.59,0.71,0.0,0.0,0.0,-1.57
 DETERGENTE,-1.64,2.62,0.67,-2.98,0.54,2.82,0.55,-0.47,-1.97,0.78,1.52,-1.16,-0.29,0.27
 SABÃO EM PÓ,-0.78,0.55,-2.32,1.67,-0.42,0.64,-0.3,1.11,0.35,0.51,-2.86,0.16,-1.48,-0.31
 DESINFETANTE,-3.95,-2.06,0.99,-1.46,0.0,-1.42,0.56,1.58,-0.18,-0.79,0.74,1.07,-1.55,-0.57
 INSETICIDA,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28
 SABÃO EM BARRA,-3.08,0.64,-1.75,0.61,0.27,-6.21,0.52,-2.79,0.44,1.68,1.13,0.14,-0.91,-0.29
 ESPONJA DE LIMPEZA,0.0,0.23,-0.84,-2.53,0.88,0.0,-1.67,-2.44,0.0,0.81,-0.82,0.45,0.34,-0.14
 AMACIANTE,-0.29,-0.19,0.46,0.0,2.92,-1.34,-0.78,-1.35,3.1,1.5,0.4,-0.15,0.01,1.32
 COMBUSTÍVEIS E ENERGIA,3.11,2.51,-0.6,-0.76,-0.33,-0.53,1.61,1.69,2.42,-0.31,-3.17,0.08,6.55,0.7
 COMBUSTÍVEIS (DOMÉSTICOS),0.56,-0.22,-2.43,1.48,0.69,0.15,0.39,-0.56,1.4,-1.11,-1.64,0.3,-0.64,-0.01
 CARVÃO VEGETAL,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
 GÁS DE BOTIJÃO,0.74,-0.24,-2.43,1.48,0.75,0.15,0.39,-0.56,1.4,-1.19,-1.64,0.3,-0.64,-0.02
 GÁS ENCANADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ENERGIA ELÉTRICA RESIDENCIAL,3.94,3.47,0.24,-1.97,-0.69,-0.73,2.17,3.34,3.09,0.0,-3.83,0.0,9.69,0.99
 ENERGIA ELÉTRICA RESIDENCIAL,3.94,3.47,0.24,-1.97,-0.69,-0.73,2.17,3.34,3.09,0.0,-3.83,0.0,9.69,0.99
 ARTIGOS DE RESIDÊNCIA,-0.44,0.97,0.21,-0.12,0.2,0.77,0.17,-0.53,1.06,-0.11,0.33,0.08,-0.23,0.22
 MÓVEIS E UTENSÍLIOS,-0.48,0.9,-0.1,0.29,0.02,0.62,0.83,-0.31,1.46,-0.09,0.42,0.48,-0.89,0.22
 MOBILIÁRIO,-1.09,1.95,-0.29,-0.16,0.34,0.65,0.45,-0.39,2.49,-0.53,0.1,-0.05,-0.51,0.27
 MÓVEL PARA SALA,-2.47,1.94,-0.58,-0.56,0.05,0.98,-1.0,-0.85,1.51,-0.94,-0.08,0.5,0.78,-0.19
 MÓVEL PARA QUARTO,0.48,2.02,0.48,-1.64,0.33,-0.41,1.72,0.18,0.66,-0.43,1.9,-0.01,-1.78,0.43
 MÓVEL PARA COPA E COZINHA,-0.33,1.94,-0.16,0.13,1.2,0.49,1.7,-0.63,0.01,0.91,-0.39,-1.31,-0.66,0.58
 MÓVEL INFANTIL,0.0,0.0,0.0,-2.76,0.0,0.0,-0.88,-0.49,0.0,0.0,0.7,0.0,0.0,-0.92
 COLCHÃO,0.01,1.57,-1.59,5.31,0.18,2.59,0.06,-0.25,13.87,-2.66,-2.59,-1.33,-0.6,1.31
 UTENSÍLIOS E ENFEITES,0.56,-0.14,-0.58,1.84,-0.46,-0.15,0.89,0.0,-0.09,1.9,-0.48,0.93,-1.17,0.05
 TAPETE,0.01,0.49,-0.88,2.28,-4.67,1.39,-0.21,0.0,1.4,2.12,-1.68,1.35,-4.15,-1.07
 CORTINA,5.31,-0.71,0.6,2.57,-5.67,1.39,-0.02,-2.26,1.42,1.41,0.34,2.33,0.56,-0.89
 UTENSÍLIOS DE METAL,0.53,2.5,0.68,2.58,2.44,-2.85,2.21,-0.78,3.14,2.96,-0.57,0.87,-3.36,1.87
 UTENSÍLIOS DE VIDRO E LOUÇA,-2.73,1.02,-2.0,0.36,2.63,3.61,-0.46,-2.27,-1.92,0.57,-1.26,2.35,2.56,0.27
 UTENSÍLIOS DE PLÁSTICO,-2.65,2.02,0.0,0.44,-2.97,2.33,1.64,1.94,0.34,-1.19,-0.22,-2.94,-4.04,-0.97
 FLORES NATURAIS,0.0,0.82,0.0,0.0,1.4,0.0,0.0,0.0,-1.64,3.13,0.0,0.0,0.44,1.03
 UTENSÍLIOS DIVERSOS,0.67,-2.73,-0.83,1.73,2.14,-2.89,0.22,-0.04,-2.97,2.36,-0.27,-0.33,0.65,0.18
" CAMA, MESA E BANHO",1.36,-0.74,1.62,-0.27,-0.37,1.93,1.59,-0.38,-0.08,-1.71,2.85,1.98,-2.13,0.31
 ROUPA DE CAMA,3.1,0.04,1.94,0.18,0.46,1.93,2.14,-0.79,0.45,-1.76,2.85,2.86,-2.1,0.92
 ROUPA DE BANHO,-2.79,-2.81,0.78,-1.32,-1.88,0.0,-0.91,0.5,-2.08,-1.55,0.0,-0.06,-2.18,-1.4
 APARELHOS ELETROELETRÔNICOS,-0.57,0.96,0.68,-0.68,0.15,1.02,-0.46,-0.92,0.63,-0.32,0.31,-1.0,0.2,0.08
 ELETRODOMÉSTICOS E EQUIPAMENTOS,0.29,1.72,0.92,-0.47,0.65,1.12,-0.82,-1.04,0.76,-0.04,0.22,-0.28,0.51,0.42
 REFRIGERADOR,0.6,1.94,1.89,-1.0,0.36,1.94,-2.55,-1.59,-0.12,-0.64,0.23,-0.69,0.17,0.16
 AR-CONDICIONADO,-1.17,2.25,0.0,0.68,0.0,0.0,1.65,0.0,0.0,-3.28,0.0,-2.62,-1.97,0.09
 MÁQUINA DE LAVAR ROUPA,1.26,2.03,-0.31,0.33,2.88,0.85,1.85,0.18,3.2,1.83,0.01,2.13,1.58,1.77
 LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,1.24
 VENTILADOR,1.4,0.0,0.0,-1.16,0.0,0.0,-0.31,-1.29,0.0,0.0,0.0,0.0,-0.21,-0.15
 FOGÃO,-0.69,1.97,1.53,-0.08,-1.6,-1.19,0.29,-0.15,1.05,-0.67,1.39,-0.89,2.83,0.02
 CHUVEIRO ELÉTRICO,0.0,0.36,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
 FORNO DE MICRO-ONDAS,0.0,-0.17,-4.63,0.0,0.84,0.0,0.0,0.0,0.0,0.8,-1.9,0.0,0.0,-0.19
" TV, SOM E INFORMÁTICA",-1.77,-0.51,0.33,-1.0,-0.61,0.88,0.31,-0.77,0.46,-0.88,0.45,-2.09,-0.37,-0.47
 TELEVISOR,-4.84,-0.34,-0.59,-1.84,-4.2,-0.15,-0.36,-2.95,-1.5,-3.03,-1.2,-3.74,-1.13,-2.62
 APARELHO DE SOM,0.39,-0.43,1.15,-0.02,1.84,2.87,-1.28,-1.72,-1.24,0.97,1.11,-2.42,-2.55,0.31
 APARELHO DE DVD,-2.9,1.29,1.34,0.66,-0.41,1.79,0.39,0.85,0.24,-0.66,-0.46,2.57,0.38,0.15
 ANTENA,0.0,0.0,0.0,-1.0,0.0,0.0,0.31,-0.77,0.0,0.0,-3.17,0.0,0.0,-1.08
 MICROCOMPUTADOR,-0.15,-0.98,0.46,-1.47,1.13,1.19,1.32,0.76,1.81,0.12,1.82,-1.43,0.38,0.55
 CONSERTOS E MANUTENÇÃO,0.19,1.32,0.97,0.14,1.28,0.75,0.05,0.35,0.53,0.64,0.06,2.19,0.82,0.82
 CONSERTOS E MANUTENÇÃO,0.19,1.32,0.97,0.14,1.28,0.75,0.05,0.35,0.53,0.64,0.06,2.19,0.82,0.82
 CONSERTO DE REFRIGERADOR,1.23,2.3,2.37,1.99,0.49,-1.47,1.24,0.0,-3.12,0.64,6.36,1.32,1.53,1.1
 CONSERTO DE TELEVISOR,1.45,4.57,0.96,-0.93,0.0,0.0,-1.79,1.19,0.41,0.0,1.47,1.7,-2.82,0.8
 CONSERTO DE APARELHO DE SOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.13,0.0,0.0,0.0,0.0,-0.54
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,3.67,-0.63,0.0,0.82,0.02,-1.0,0.87,0.0,0.0,0.96,0.0,0.0,1.82,0.34
 REFORMA DE ESTOFADO,-2.22,-1.0,0.51,-1.1,3.12,4.24,0.0,-0.08,3.12,0.6,-2.66,3.81,0.95,0.94
 MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,3.59,1.84
 VESTUÁRIO,0.83,0.83,1.17,-0.13,1.01,0.55,0.55,-0.1,0.15,-0.18,0.9,0.35,-0.73,0.62
 ROUPAS,1.32,1.91,1.63,-0.2,1.43,0.79,0.86,0.16,0.38,-0.09,1.46,0.09,-0.93,0.98
 ROUPA MASCULINA,0.58,2.01,1.04,-2.02,0.63,0.84,1.24,-0.87,0.17,-1.56,1.42,-0.12,-0.51,0.32
 CALÇA COMPRIDA MASCULINA,1.26,2.39,-0.02,-1.66,1.28,1.79,1.5,-2.86,1.77,-0.69,1.04,-0.77,-1.92,0.67
 TERNO,-1.52,-1.62,2.21,-2.98,0.0,0.0,0.0,0.0,0.0,-1.77,0.45,1.57,0.0,-0.42
 AGASALHO MASCULINO,0.0,0.31,2.38,0.0,3.57,0.04,0.0,0.0,0.0,1.23,0.0,0.9,1.59,1.85
 SHORT E BERMUDA MASCULINA,1.53,-3.18,3.53,-1.17,-0.04,-0.2,0.83,-1.8,-0.64,-1.88,0.22,1.72,-1.74,0.08
 CUECA,0.0,2.28,0.0,1.52,0.0,0.0,0.47,0.68,-2.01,0.0,0.0,0.0,0.0,0.58
 CAMISA / CAMISETA MASCULINA,0.3,3.92,0.37,-2.78,0.03,0.6,1.48,0.71,-0.08,-2.81,2.33,-0.86,0.83,0.06
 ROUPA FEMININA,1.48,2.18,2.06,1.3,2.76,0.4,0.78,1.44,0.7,0.71,1.63,-0.22,-1.15,1.66
 CALÇA COMPRIDA FEMININA,2.01,3.8,2.11,0.95,1.81,-0.94,1.79,2.98,3.31,0.15,1.61,0.32,-2.86,1.76
 AGASALHO FEMININO,0.0,0.16,0.71,0.0,-1.95,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.66,-0.38
 SAIA,0.0,0.0,0.0,2.17,0.0,0.0,-0.72,2.76,-2.41,0.0,1.45,1.4,0.0,0.24
 VESTIDO,-0.43,2.95,1.54,1.66,3.14,1.08,-1.91,-1.52,1.37,3.56,2.18,1.41,2.76,1.64
 BLUSA,3.03,2.0,2.55,2.9,3.9,1.48,2.41,2.48,-1.6,1.4,1.04,-1.49,-2.65,2.3
 LINGERIE,-0.93,1.16,2.0,-0.85,2.37,-0.57,-2.57,-0.92,1.42,-1.89,2.96,-2.67,-1.99,0.71
 BERMUDA E SHORT FEMININO,-0.56,0.63,1.58,-2.2,0.0,-2.12,1.19,-0.5,1.87,-2.23,1.58,0.17,1.44,0.21
 ROUPA INFANTIL,2.51,1.09,1.74,0.31,-0.15,1.72,0.24,-1.72,0.0,1.39,1.11,1.44,-1.19,0.66
 UNIFORME ESCOLAR,0.84,0.0,0.0,0.0,0.78,0.0,-2.48,0.0,1.22,1.14,0.0,0.0,0.0,0.46
 CALÇA COMPRIDA INFANTIL,0.15,1.96,1.67,0.93,-0.73,0.99,1.81,-0.13,-1.43,2.54,0.86,0.13,0.41,0.62
 AGASALHO INFANTIL,0.0,1.52,2.82,0.0,0.73,3.36,0.0,0.0,0.0,0.55,0.0,4.42,0.69,1.48
 VESTIDO INFANTIL,0.17,0.0,3.86,1.16,2.03,3.15,1.3,0.02,1.32,-2.5,1.63,2.58,1.99,1.31
 BERMUDA E SHORT INFANTIL,2.67,-2.93,0.1,-0.74,-1.71,2.27,2.29,-3.0,2.91,-2.65,0.06,2.66,-1.74,0.1
 CAMISA / CAMISETA INFANTIL,3.99,1.59,1.94,-0.29,0.0,2.09,-0.5,-2.5,-1.87,2.84,1.79,-0.4,-2.72,0.78
 CONJUNTO INFANTIL,0.0,0.0,2.1,1.47,-1.24,-0.49,-2.89,-1.39,0.0,0.0,-0.11,3.69,0.0,-0.31
 CALÇADOS E ACESSÓRIOS,-0.06,-1.21,0.52,-0.24,0.26,0.15,-0.19,-0.98,-0.24,-0.69,-0.2,1.16,-0.77,-0.12
 CALÇADOS E ACESSÓRIOS,-0.06,-1.21,0.52,-0.24,0.26,0.15,-0.19,-0.98,-0.24,-0.69,-0.2,1.16,-0.77,-0.12
 SAPATO MASCULINO,-1.01,0.46,1.72,-2.99,-2.17,-0.75,3.64,-0.87,1.32,2.41,-2.88,-1.17,0.36,-0.19
 SAPATO FEMININO,1.4,0.18,2.27,1.95,1.27,-0.02,-0.98,-1.7,1.81,0.55,0.76,-0.82,-0.02,1.03
 SAPATO INFANTIL,0.0,0.0,0.0,-2.4,0.0,0.0,-0.13,0.0,-1.29,0.0,0.0,0.0,0.0,-1.3
 SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,-0.39,0.0,0.0,0.49,0.0,1.64,0.0,0.0,0.0,0.0,0.56
 SANDÁLIA / CHINELO FEMININO,-1.35,-2.36,-1.63,-1.15,-1.71,2.49,-1.52,-0.8,-2.84,-0.15,1.78,2.89,-1.11,-1.31
 SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,0.07,0.0,-2.08,-1.6,-2.05,1.75,0.0,0.28,0.44,-2.99,-0.41
 BOLSA,-2.44,-2.91,-0.71,-0.59,3.27,-0.47,0.53,-2.32,2.11,-1.28,-0.12,0.94,-2.72,0.23
 TÊNIS,1.18,-1.64,1.21,1.09,0.64,-0.18,-0.7,0.17,-0.81,-2.74,-0.83,2.34,-0.75,-0.05
 JOIAS E BIJUTERIAS,0.69,1.3,-0.52,0.73,0.86,-0.7,0.71,-0.37,-0.65,1.09,1.22,-0.34,1.34,0.52
 JOIAS E BIJUTERIAS,0.69,1.3,-0.52,0.73,0.86,-0.7,0.71,-0.37,-0.65,1.09,1.22,-0.34,1.34,0.52
 BIJUTERIA,-0.69,1.17,-0.68,1.53,0.66,-0.12,-0.15,-0.12,-0.99,2.67,0.39,0.32,1.34,0.35
 JOIA,1.46,1.39,-0.39,0.73,1.04,-0.99,1.21,0.0,-0.23,0.21,1.9,-0.7,1.35,0.7
 RELÓGIO DE PULSO,0.0,0.0,0.0,-0.88,0.0,0.0,1.35,-0.63,0.0,0.0,0.0,0.0,0.0,0.08
 TECIDOS E ARMARINHO,-1.19,0.06,0.84,1.74,-0.49,0.37,-0.42,1.01,0.61,1.18,0.42,-0.51,0.54,0.22
 TECIDOS E ARMARINHO,-1.19,0.06,0.84,1.74,-0.49,0.37,-0.42,1.01,0.61,1.18,0.42,-0.51,0.54,0.22
 TECIDO,-0.4,-1.12,1.05,1.74,-1.78,0.11,0.88,1.97,1.01,1.28,1.01,-0.77,-0.88,0.45
 ARTIGOS DE ARMARINHO,0.0,0.89,0.49,0.0,-0.74,0.74,-2.25,0.0,0.0,0.91,-1.31,-0.07,3.23,-0.15
 ACORTINADO (MOSQUITEIRO),-2.8,0.52,0.0,0.0,1.16,0.0,0.0,-1.29,-1.22,0.0,0.0,0.0,0.0,-0.16
 TRANSPORTES,0.07,-0.21,-0.19,0.61,0.12,0.65,0.34,0.65,-0.66,-0.39,-0.27,0.24,0.48,0.0
 TRANSPORTES,0.07,-0.21,-0.19,0.61,0.12,0.65,0.34,0.65,-0.66,-0.39,-0.27,0.24,0.48,0.0
 TRANSPORTE PÚBLICO,-0.08,1.48,-0.21,0.12,-0.31,-2.22,-0.16,0.84,-0.33,0.11,-0.99,-0.22,0.15,-0.12
 ÔNIBUS URBANO,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
 TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ÔNIBUS INTERMUNICIPAL,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,6.2,0.0,0.0,-0.96,2.02,2.78,0.29
 ÔNIBUS INTERESTADUAL,-4.25,0.15,1.59,0.84,0.11,-0.88,0.32,-11.85,-0.27,-1.92,-1.12,0.0,2.53,-0.28
 PASSAGEM AÉREA,-0.47,7.26,-6.38,0.69,-3.03,-6.56,-3.23,-1.26,-5.21,2.72,-10.76,-3.8,-12.27,-2.67
 METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TRANSPORTE ESCOLAR,0.0,0.18,0.0,0.0,-1.39,0.0,0.0,0.0,0.0,-1.18,0.0,3.9,0.0,-0.57
 VEÍCULO PRÓPRIO,0.36,-0.67,-0.71,-0.13,0.93,0.28,-0.02,-0.19,0.6,-0.47,0.51,-0.36,0.89,0.24
 AUTOMÓVEL NOVO,-0.75,0.46,-0.6,-0.19,-0.18,0.43,-1.15,0.76,0.42,-1.83,0.91,-0.53,1.41,-0.2
 EMPLACAMENTO E LICENÇA,0.39,0.63,0.39,0.38,0.42,0.49,0.31,0.45,0.41,0.33,0.44,0.41,0.43,0.42
 SEGURO VOLUNTÁRIO DE VEÍCULO,-1.85,-5.83,-6.88,-1.79,4.47,-3.94,0.0,-0.78,-2.53,-0.6,0.58,0.0,-6.97,-0.29
 MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ÓLEO LUBRIFICANTE,-2.38,-0.26,0.88,-0.87,-0.29,-0.74,1.17,-0.55,-0.05,-0.35,-1.0,0.0,-1.54,-0.43
 ACESSÓRIOS E PEÇAS,-0.84,0.27,0.49,-0.07,-2.05,0.68,0.15,-1.32,1.13,-0.66,-0.32,-0.47,0.14,-0.63
 PNEU,2.64,0.62,-2.01,-0.86,2.75,1.27,0.73,1.28,-2.02,0.24,0.83,-2.22,-1.18,0.58
 CONSERTO DE AUTOMÓVEL,2.81,-3.75,0.41,0.7,3.58,0.38,-0.11,-1.56,0.14,0.6,0.53,0.48,1.39,1.31
 ESTACIONAMENTO,-0.13,0.83,0.1,0.0,0.38,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.23
 PEDÁGIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,-0.7,-0.41,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,-3.37,-0.6
 AUTOMÓVEL USADO,-0.31,1.17,-2.59,0.0,0.37,0.88,-2.3,-0.17,2.31,-0.59,3.04,-2.45,-1.74,0.02
 PINTURA DE VEÍCULO,0.0,0.0,0.0,-2.47,1.54,0.86,0.0,0.0,-0.52,0.53,0.0,1.75,0.0,0.91
 ALUGUEL DE VEÍCULO,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
 MOTOCICLETA,0.38,-0.92,0.23,-0.68,-0.32,0.18,1.25,-0.07,0.3,0.96,-2.72,-0.49,2.23,-0.04
 COMBUSTÍVEIS (VEÍCULOS),-0.1,-0.48,0.52,2.53,-0.75,3.36,1.84,1.85,-3.05,-0.56,-0.84,1.59,-0.05,-0.23
 GASOLINA,-0.14,-0.53,0.75,2.85,0.45,3.74,1.94,1.84,-3.83,-0.09,-0.48,1.7,-0.08,0.26
 ETANOL,-0.49,-0.38,-2.7,1.51,-3.54,-0.29,0.0,2.18,-1.3,-3.04,-4.59,-0.1,0.75,-2.73
 ÓLEO DIESEL,0.0,1.42,2.55,0.0,1.91,0.0,0.74,1.41,0.82,4.95,2.19,2.22,-0.4,1.84
 GÁS VEICULAR,0.41,0.0,0.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.95
 SAÚDE E CUIDADOS PESSOAIS,1.1,0.75,0.61,0.88,1.11,0.63,0.64,0.53,0.88,1.13,0.53,0.22,1.08,0.91
 PRODUTOS FARMACÊUTICOS E ÓTICOS,2.05,0.85,-0.17,1.23,2.25,0.63,1.0,0.41,1.16,2.15,0.8,-0.6,2.07,1.41
 PRODUTOS FARMACÊUTICOS,2.18,0.96,-0.2,1.73,2.35,0.7,1.08,0.46,1.29,2.22,0.86,-0.61,2.31,1.52
 ANTI-INFECCIOSO E ANTIBIÓTICO,2.8,0.43,-3.12,2.58,0.91,0.35,1.14,-0.04,0.07,2.98,1.56,0.16,2.92,0.56
 ANALGÉSICO E ANTITÉRMICO,2.23,1.07,0.04,2.34,2.82,2.33,0.73,0.38,1.74,2.69,1.04,0.43,2.21,1.81
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,2.44,0.24,1.75,1.28,2.12,0.55,0.68,1.39,2.98,1.69,1.39,1.27,1.89,1.78
 ANTIGRIPAL E ANTITUSSÍGENO,-1.14,-1.14,0.97,0.27,2.01,0.05,0.17,-0.27,1.24,2.8,1.24,-1.55,2.05,0.88
 DERMATOLÓGICO,1.98,0.83,0.88,0.36,1.25,0.0,2.33,0.19,2.01,0.55,0.43,0.47,3.62,1.22
 ANTIALÉRGICO E BRONCODILATADOR,3.83,0.87,0.11,2.32,2.04,0.78,1.62,-0.17,1.27,2.89,1.01,-1.8,2.49,1.62
 GASTROPROTETOR,2.95,2.73,-1.63,2.04,1.3,1.45,0.84,0.63,0.8,0.81,0.2,0.39,1.89,1.14
 VITAMINA E FORTIFICANTE,0.59,1.25,1.3,1.57,2.21,0.41,1.0,-1.02,1.41,3.07,0.87,-0.76,-0.02,1.41
 HORMÔNIO,4.07,1.76,2.19,1.39,3.88,0.12,1.05,1.24,2.43,2.98,0.22,-0.37,3.4,2.8
 PSICOTRÓPICO E ANOREXÍGENO,2.83,2.58,-0.3,2.09,3.56,0.92,1.9,1.68,0.95,1.35,0.2,0.82,3.66,2.08
 HIPOTENSOR E HIPOCOLESTEROLÊMICO,1.16,-0.1,-1.39,1.72,1.82,-0.05,1.58,0.94,0.16,2.03,0.99,-2.89,1.08,0.85
 OFTALMOLÓGICO,2.6,1.33,0.31,2.15,1.76,0.0,2.85,-0.3,1.5,2.15,-0.04,0.38,2.56,1.59
 PRODUTOS ÓTICOS,-0.89,-0.53,0.44,-2.57,0.9,-0.9,-0.05,0.19,-0.22,0.84,0.0,-0.43,-0.82,-0.06
 ARMAÇÃO DE ÓCULOS,0.0,-2.15,0.0,0.0,0.1,0.0,0.0,-0.01,-2.36,1.03,0.0,0.0,0.0,-0.35
 ÓCULOS SEM GRAU,-1.63,-0.79,-1.11,-1.99,2.38,0.0,2.95,1.07,-0.38,1.82,0.65,-0.55,-3.14,0.2
 LENTES DE ÓCULOS E DE CONTATO,-0.36,0.08,1.41,-3.11,0.61,-0.9,-2.34,0.07,0.81,0.22,-0.78,-0.37,0.23,-0.13
 SERVIÇOS DE SAÚDE,0.9,0.75,1.1,0.92,0.91,0.59,0.76,0.68,0.86,0.78,0.57,0.87,0.91,0.88
 SERVIÇOS MÉDICOS E DENTÁRIOS,0.22,0.35,0.6,0.15,0.55,-0.38,0.0,-0.49,0.88,1.18,0.09,0.41,0.77,0.5
 MÉDICO,0.0,0.36,0.79,-0.17,0.91,-0.57,0.0,0.56,1.1,0.85,0.21,0.34,1.37,0.56
 DENTISTA,0.2,0.0,0.36,1.65,0.14,-0.04,0.0,-1.4,0.65,1.51,0.0,0.6,0.13,0.37
 APARELHO ORTODÔNTICO,0.0,-0.1,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.77,0.24
 ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,-0.09
 FISIOTERAPEUTA,1.81,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
 PSICÓLOGO,0.0,2.0,0.56,-2.91,0.83,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.45
 SERVIÇOS LABORATORIAIS E HOSPITALARES,0.05,0.21,2.61,1.0,0.21,-0.07,0.05,0.5,-0.05,-0.41,-0.03,0.84,0.33,0.39
 EXAME DE LABORATÓRIO,0.57,0.1,1.29,1.27,0.0,-0.11,0.0,0.28,-0.35,0.31,-0.17,-1.15,1.02,0.34
 HOSPITALIZAÇÃO E CIRURGIA,-0.01,0.27,3.32,0.58,0.19,0.0,1.25,0.01,0.05,-0.61,0.14,0.89,0.0,0.36
 EXAME DE IMAGEM,-0.27,0.04,2.6,1.08,0.35,0.0,-1.26,1.05,0.01,0.3,-0.21,2.08,0.53,0.56
 PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.05,1.07,1.07,1.05,1.04,1.06
