"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÁGUA SANITÁRIA,-0.97,       -,1.02,1.05,0.66,0.03,-1.71,0.49,-1.03,1.3,       -,       -,       -,0.23
 DETERGENTE,-2.32,-0.79,-4.86,-0.19,-1.18,-2.42,1.54,-0.65,-0.35,1.99,-0.28,-1.35,2.76,-1.13
 SABÃO EM PÓ,-2.67,-1.42,-0.46,-4.7,-2.77,-3.13,0.5,-0.81,-1.29,-0.52,0.76,-1.45,-2.45,-1.77
 DESINFETANTE,-5.54,3.98,-2.43,-1.22,       -,-2.25,0.06,-0.15,0.23,2.95,-2.17,0.49,-0.82,-0.73
 INSETICIDA,-0.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.58
 SABÃO EM BARRA,-1.05,-0.48,-4.51,-0.3,-2.43,0.62,-0.25,1.91,1.74,-0.08,-0.83,-1.89,1.72,-0.84
 ESPONJA DE LIMPEZA,       -,0.46,1,-0.2,-0.83,       -,1.29,2.87,       -,0.01,0.2,-0.86,0.87,0.2
 AMACIANTE,-0.76,-0.09,-0.59,       -,-2.11,-0.9,-0.43,1.18,0.73,0.87,0.52,3.08,-0.99,-0.74
 COMBUSTÍVEIS E ENERGIA,4.54,-0.96,1.99,0.75,-0.14,1.02,-0.52,1.11,0.52,-1.67,-0.63,-3.91,-3.78,0.47
 COMBUSTÍVEIS (DOMÉSTICOS),-0.26,-0.83,0.69,-1.12,-0.46,-0.08,-0.54,1.78,2.84,-0.17,-0.52,-1.6,-2.04,-0.02
 CARVÃO VEGETAL,       -,0.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.35
 GÁS DE BOTIJÃO,-0.37,-0.9,0.69,-1.12,-0.49,-0.08,-0.54,1.78,2.84,-0.18,-0.52,-1.6,-2.04,-0.03
 GÁS ENCANADO,0.1,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,0.05
 ENERGIA ELÉTRICA RESIDENCIAL,6.21,-1.01,2.6,1.79,-0.03,1.35,-0.5,0.63,-0.97,-2.22,-0.67,-4.69,-4.52,0.67
 ENERGIA ELÉTRICA RESIDENCIAL,6.21,-1.01,2.6,1.79,-0.03,1.35,-0.5,0.63,-0.97,-2.22,-0.67,-4.69,-4.52,0.67
 ARTIGOS DE RESIDÊNCIA,-0.14,-0.94,0.34,0.57,-0.09,0.11,0.46,0.1,-0.27,0.85,0.99,0.25,0.21,0.08
 MÓVEIS E UTENSÍLIOS,-0.5,-1.07,0.47,-0.09,0.71,0.08,0.43,-0.02,-0.53,0.35,0.72,0.38,0.06,0.15
 MOBILIÁRIO,0.17,-2.22,0.49,0.19,0.55,-0.25,-0.38,0.14,-0.48,0.89,0.94,-0.09,-0.21,0.09
 MÓVEL PARA SALA,-0.09,-2.76,-0.04,0.37,1.38,0.01,-1.25,-0.47,1.15,2.69,1,-0.44,0.46,0.37
 MÓVEL PARA QUARTO,0.04,-2.21,0.13,-0.59,0.36,-0.32,-0.12,2.01,-0.64,-0.15,0.13,-0.18,-0.17,-0.11
 MÓVEL PARA COPA E COZINHA,0.65,-0.97,2.12,2.13,-1.83,-1.14,-0.07,-1.32,2.23,-0.18,0.14,0.37,-1.07,-0.09
 MÓVEL INFANTIL,       -,       -,       -,-1.32,       -,       -,1.21,-1.95,       -,       -,1.32,       -,       -,-0.18
 COLCHÃO,1.57,-3.01,2.6,-0.58,1.98,-1.17,-0.32,0.07,-10.3,1.22,3.6,2.07,-1.91,-0.07
 UTENSÍLIOS E ENFEITES,-1.84,0.58,0.06,-0.57,0.17,-0.18,1.03,-1.21,-0.91,-0.7,0.95,0.68,0.06,-0.09
 TAPETE,2.59,1.85,1,1.86,4.51,-0.42,1.87,       -,1.88,0.31,1.67,1.89,3.37,1.94
 CORTINA,-4.12,-0.65,-0.46,-0.89,2.27,-1.48,-0.88,-0.87,-0.86,-0.85,-0.02,0.01,-0.84,0.04
 UTENSÍLIOS DE METAL,-0.37,0.94,0.26,0.92,-2.44,2.33,2.39,-2.31,-1.01,-0.7,3.77,0.24,-0.89,-0.55
 UTENSÍLIOS DE VIDRO E LOUÇA,0.01,0.59,0.51,-1.36,-1.08,-0.68,-0.15,0,-0.14,-0.38,-1.34,2.13,-0.05,-0.25
 UTENSÍLIOS DE PLÁSTICO,-0.11,-1.05,       -,2.04,0.69,-0.71,1.11,-3.12,0.98,-0.8,0.51,1.09,1.43,0.31
 FLORES NATURAIS,       -,1.07,       -,       -,0.24,       -,       -,       -,0.15,-2.92,       -,       -,-0.33,0.08
 UTENSÍLIOS DIVERSOS,-3.06,0.58,-1.28,-2.39,-0.98,-0.18,0.22,0.01,-3.21,-0.81,0.8,-0.43,-0.77,-1.14
" CAMA, MESA E BANHO",-2.03,-0.01,1.21,-0.35,2.68,2.17,1.52,0.9,-0.15,-0.06,-0.39,1.94,1.26,0.86
 ROUPA DE CAMA,-1.93,-0.45,0.91,-0.7,2.25,2.17,1.6,1.78,-1.26,-0.8,-0.39,2.13,1.81,0.5
 ROUPA DE BANHO,-2.27,1.18,2.01,0.45,3.47,       -,1.16,-0.94,4.28,2.19,       -,1.51,-0.26,1.85
 APARELHOS ELETROELETRÔNICOS,-0.29,-0.96,-0.12,1.07,-0.95,0.3,0.36,0.69,-0.11,1.66,-0.09,-0.2,-0.18,-0.14
 ELETRODOMÉSTICOS E EQUIPAMENTOS,-0.62,-1.16,-0.48,1.78,-1.34,1.29,0.83,0.67,0.01,2.04,-0.38,0.42,-0.02,-0.18
 REFRIGERADOR,0.34,-0.74,-2.11,1.26,-1.36,2.3,1.07,1.67,0.64,2.3,-0.36,0.58,0.43,-0.03
 AR-CONDICIONADO,-3.95,-2.6,       -,0.98,       -,       -,-1.51,       -,       -,1.71,       -,0.13,-4.2,-1.89
 MÁQUINA DE LAVAR ROUPA,-1.09,-1.74,1.51,3.44,-1.47,0.87,3.68,0.84,-0.72,1.22,-1.41,1.44,1.27,-0.18
 LIQUIDIFICADOR,       -,       -,       -,       -,       -,       -,0.83,       -,       -,       -,       -,       -,       -,0.83
 VENTILADOR,-0.04,       -,       -,2.77,       -,       -,0.24,0.51,       -,       -,       -,       -,-2.28,0.66
 FOGÃO,-0.78,-1.09,0.88,1.74,-2.4,-1.31,-0.07,-2.21,-1.09,3.6,1.68,-1.24,1.36,-0.38
 CHUVEIRO ELÉTRICO,       -,-1.12,       -,       -,0.03,       -,       -,       -,       -,       -,       -,       -,       -,-0.3
 FORNO DE MICRO-ONDAS,       -,-0.04,1.15,       -,-0.01,       -,       -,       -,       -,0.28,-2.09,       -,       -,0.06
" TV, SOM E INFORMÁTICA",0.19,-0.57,0.41,-0.02,-0.34,-1.04,-0.67,0.73,-0.29,0.9,0.35,-1.11,-0.46,-0.09
 TELEVISOR,-0.25,-1.04,-1.8,-1.59,-1.38,-3.12,-1.34,1.21,-2.16,-1.73,-3.3,-1.34,-3.19,-1.4
 APARELHO DE SOM,-1.54,1.27,-1.44,1.66,-2.21,-1.64,-2.3,2.32,0.83,-1.09,-2.9,-2.6,0.92,-0.72
 APARELHO DE DVD,-0.54,0.79,1.5,2.1,1.82,1.21,0.95,0.96,0.35,2.4,2.21,-2.37,0.97,1.23
 ANTENA,       -,       -,       -,-0.02,       -,       -,-0.67,0.73,       -,       -,-0.16,       -,       -,-0.02
 MICROCOMPUTADOR,1.18,-1.17,1.64,-0.41,0.25,0.17,-0.49,-0.49,0.25,2.77,2.69,-0.51,0.49,0.59
 CONSERTOS E MANUTENÇÃO,1.93,-0.24,1.64,2.42,-0.84,-0.49,1.41,-2.3,0.86,0.24,5.88,1.36,2.16,0.57
 CONSERTOS E MANUTENÇÃO,1.93,-0.24,1.64,2.42,-0.84,-0.49,1.41,-2.3,0.86,0.24,5.88,1.36,2.16,0.57
 CONSERTO DE REFRIGERADOR,4.66,-2.66,0.62,-0.23,1.77,0.93,1.52,       -,1.53,3.08,6.14,0.56,0.31,1.59
 CONSERTO DE TELEVISOR,0.69,1,4.06,3.82,-0.75,-7.43,0,3,-0.95,0,6.19,6.48,1.92,1.01
 CONSERTO DE APARELHO DE SOM,       -,       -,4.95,       -,       -,       -,       -,       -,1.38,       -,       -,       -,       -,4.03
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,-0.71,0.54,       -,0.23,-0.06,1.01,3.85,       -,       -,-1.77,       -,       -,-1.26,0.02
 REFORMA DE ESTOFADO,1.12,0.18,-0.76,4.89,-2.7,4.97,1.13,-4.86,1.14,0.42,5.65,0.25,3.14,-0.16
 MANUTENÇÃO DE MICROCOMPUTADOR,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.95,5.1,2.2
 VESTUÁRIO,-0.04,0.84,0.52,0.96,-0.1,1.76,0.69,0.3,-0.78,1.3,0.56,0.47,-0.71,0.33
 ROUPAS,-0.09,0.73,0.89,1.47,-0.38,1.69,0.47,0.44,-1.09,1.78,0.37,0.75,-0.3,0.33
 ROUPA MASCULINA,0.8,0.16,2.17,2.24,-1.39,3.28,-0.6,0.12,-2.38,1.45,-0.01,1.16,-0.48,0.09
 CALÇA COMPRIDA MASCULINA,2.76,2.13,3.35,2.43,-1.55,3.15,-2.25,1.85,-2.44,1.92,-0.92,0.54,-0.92,0.38
 TERNO,0.6,-1.02,-0.94,2.01,       -,       -,       -,       -,       -,3.24,-1.19,-2.07,       -,0.56
 AGASALHO MASCULINO,       -,0.16,2.17,       -,-1.39,3.28,       -,       -,       -,1.45,       -,1.16,-0.48,0.49
 SHORT E BERMUDA MASCULINA,1.64,0.38,0.7,2.15,-1.63,3.43,-1.18,2.91,-1.36,1.29,3.49,1.71,-0.14,0.17
 CUECA,       -,0.23,       -,0.69,       -,       -,0.16,-0.31,-1.82,       -,       -,       -,       -,-0.23
 CAMISA / CAMISETA MASCULINA,-0.84,-1.4,2.84,2.34,-1.22,3.34,0.87,-2.34,-2.94,0.6,0.31,1.72,-0.21,-0.23
 ROUPA FEMININA,-0.5,1.14,0.03,0.9,0.34,0.56,1.64,0.82,-0.54,2.17,1.2,1.06,-0.52,0.54
 CALÇA COMPRIDA FEMININA,0.96,1.05,2.73,1.64,0.81,0.6,1.17,1.42,1.76,2.64,2,-0.53,-2.37,1.4
 AGASALHO FEMININO,       -,1.14,0.03,       -,0.34,       -,       -,       -,       -,2.17,       -,       -,-0.52,0.89
 SAIA,       -,       -,       -,0.66,       -,       -,2.05,1.14,0.12,       -,3.03,-0.62,       -,1.1
 VESTIDO,2.23,0.38,-2.81,0.21,1.44,2.42,0.96,1.97,1.21,2.43,-1.51,3.78,0.31,0.87
 BLUSA,-2.9,2.54,-0.52,-0.34,-1.12,-0.62,3.35,0.26,-2.7,3.2,2.38,0.71,0.43,-0.22
 LINGERIE,0.74,-0.69,-0.93,3.83,2.43,1.8,2.24,-0.34,-0.07,-1.83,-1.36,3.56,1.46,1.03
 BERMUDA E SHORT FEMININO,-1.48,-2.73,-0.63,0.89,       -,3.18,-2.21,0.11,-1.97,-0.63,1.97,-2.93,-2.69,-1.09
 ROUPA INFANTIL,-0.79,0.89,0.49,1.1,0.07,0.93,-0.01,-0.07,0.47,1.64,-0.96,-0.98,0.48,0.32
 UNIFORME ESCOLAR,1.13,       -,       -,       -,-1.41,       -,-1.16,       -,1.16,1.31,       -,       -,       -,-0.25
 CALÇA COMPRIDA INFANTIL,1.16,1.87,3.17,2.48,1.26,2.97,-1.28,0.46,2.75,1.01,3.22,1.14,-0.36,1.59
 AGASALHO INFANTIL,       -,0.89,0.49,       -,0.07,0.93,       -,       -,       -,1.64,       -,-0.98,0.48,0.53
 VESTIDO INFANTIL,-2.15,       -,-2.69,1.61,0.27,0.67,2.5,-1.36,2.13,-2.24,-0.93,-2.84,1.65,-0.2
 BERMUDA E SHORT INFANTIL,-0.5,-2.89,-2.2,3.11,-2.29,1.19,0.34,-1.12,-0.19,-0.03,-3.3,-2.72,-0.79,-1.12
 CAMISA / CAMISETA INFANTIL,-1.59,1.46,1.36,-0.28,-0.03,-1.56,0.7,0.13,-0.51,3.42,-2.91,0.39,1.16,0.35
 CONJUNTO INFANTIL,       -,       -,2.42,0.64,1.92,3.36,-2.92,1.24,       -,       -,0.05,-2.15,       -,1.04
 CALÇADOS E ACESSÓRIOS,0.11,0.96,-0.21,-0.08,0.29,2.33,1.47,-0.22,-0.19,0.66,0.91,-0.12,-1.39,0.34
 CALÇADOS E ACESSÓRIOS,0.11,0.96,-0.21,-0.08,0.29,2.33,1.47,-0.22,-0.19,0.66,0.91,-0.12,-1.39,0.34
 SAPATO MASCULINO,0,2.54,-2.91,3.81,1.95,1.36,-1.64,1.29,-1.86,0.76,-0.16,-0.35,2.54,0.61
 SAPATO FEMININO,2.96,3.85,-0.45,-2.38,1.22,2.83,3.79,-1.48,-1.87,-0.9,3.92,0.98,-0.88,1.06
 SAPATO INFANTIL,       -,       -,       -,1.23,       -,       -,-1.14,       -,-0.85,       -,       -,       -,       -,-0.32
 SANDÁLIA / CHINELO MASCULINO,       -,       -,       -,-0.15,       -,       -,-2.97,       -,-2.11,       -,       -,       -,       -,-1.83
 SANDÁLIA / CHINELO FEMININO,0.09,-2.99,-0.54,-0.59,1.33,1.95,2.96,0.01,0.09,-1.69,3.1,-1.09,-2.08,0.32
 SANDÁLIA / CHINELO INFANTIL,       -,       -,       -,-0.45,       -,2.52,-0.17,-2.14,-0.71,       -,-2.22,-1.42,-0.93,-0.84
 BOLSA,1.03,-0.32,1.36,-0.12,-0.86,0.43,2.08,-0.41,1.38,1.31,0.4,0.81,-2.39,0.3
 TÊNIS,-1.53,0.31,0.47,-0.24,-0.78,2.96,2.76,0.02,1.53,2.19,-0.73,-0.26,-2.69,0.07
 JOIAS E BIJUTERIAS,-0.47,1.23,0.31,0.33,0.79,0.23,-0.07,0.03,-0.08,-0.27,0.85,0.62,-0.91,0.31
 JOIAS E BIJUTERIAS,-0.47,1.23,0.31,0.33,0.79,0.23,-0.07,0.03,-0.08,-0.27,0.85,0.62,-0.91,0.31
 BIJUTERIA,-0.88,1.45,-0.39,0.36,1.52,-0.75,-0.06,-0.27,-0.89,0.11,1.55,-0.2,-0.8,0.34
 JOIA,-0.23,1.08,0.84,1.26,0.17,0.72,0.45,       -,0.91,-0.48,0.3,1.08,-0.99,0.39
 RELÓGIO DE PULSO,       -,       -,       -,-0.99,       -,       -,-1.63,0.36,       -,       -,       -,       -,       -,-0.86
 TECIDOS E ARMARINHO,0.92,1.2,0.27,1.6,0.38,1.49,1.73,1.47,-1.17,-0.64,0.2,-2.29,-0.66,0.41
 TECIDOS E ARMARINHO,0.92,1.2,0.27,1.6,0.38,1.49,1.73,1.47,-1.17,-0.64,0.2,-2.29,-0.66,0.41
 TECIDO,1.85,0,0.67,1.6,0.14,2.19,1.12,2.36,-1.72,-0.76,-0.13,-3.3,-0.49,0.38
 ARTIGOS DE ARMARINHO,       -,2.11,-0.37,       -,0.43,0.5,2.6,       -,       -,-0.32,1.16,-0.52,-0.99,0.56
 ACORTINADO (MOSQUITEIRO),-0.93,1.58,       -,       -,0.6,       -,       -,-0.59,1.43,       -,       -,       -,       -,0.31
 TRANSPORTES,-0.35,-0.36,0.05,-2.05,-0.12,-1.19,0.92,0.83,-0.57,-0.27,0.07,-0.87,-0.13,-0.25
 TRANSPORTES,-0.35,-0.36,0.05,-2.05,-0.12,-1.19,0.92,0.83,-0.57,-0.27,0.07,-0.87,-0.13,-0.25
 TRANSPORTE PÚBLICO,-1.03,1.18,-0.65,-2.67,-1.83,-1.96,2.19,-0.07,-1.13,-1.91,-1.5,-2.48,-1.67,-1.08
 ÔNIBUS URBANO,1.12,3.95,0,0,0,0,4.43,0.92,0,0,0,0,0,0.74
 TÁXI,0,0,0,0,0,       -,0,0,0,0,0,0,0,0.0
 TREM,0,6.11,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.8
 ÔNIBUS INTERMUNICIPAL,0,0.11,1.18,-2.62,0.04,       -,0,0,-0.45,0,-0.53,1.13,-6,-0.11
 ÔNIBUS INTERESTADUAL,0,0,0.04,-9.37,-1.12,0,0,-2.08,-0.34,-0.82,-3.05,-0.35,-0.34,-1.65
 PASSAGEM AÉREA,-18.68,-18.9,-15.72,-21.89,-17.05,-5.81,-9.32,-16.32,-16.55,-14.42,-13.45,-13.68,-7.74,-15.42
 METRÔ,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 TRANSPORTE HIDROVIÁRIO,       -,       -,       -,       -,       -,       -,0.43,       -,       -,       -,       -,       -,       -,0.43
 TRANSPORTE ESCOLAR,       -,-0.2,0,0,0,1.4,       -,       -,7.43,3.46,       -,3.37,       -,1.02
 VEÍCULO PRÓPRIO,-0.08,-0.61,0.23,-0.97,0.45,0.25,0.04,0.58,-0.67,0.38,-0.14,-0.2,0.89,0.09
 AUTOMÓVEL NOVO,0.91,-0.29,0.56,-0.85,-0.24,0.45,1.05,-0.24,-1.15,1.43,-0.51,-0.05,3.15,0.06
 EMPLACAMENTO E LICENÇA,0.39,0.63,0.39,0.38,0.42,0.49,0.31,0.45,0.41,0.33,0.44,0.41,0.43,0.42
 SEGURO VOLUNTÁRIO DE VEÍCULO,-0.37,-0.68,-1.24,-2.87,-2.85,-2.28,       -,-0.46,-1.43,0.81,0,1.17,4.72,-1.57
 MULTA,       -,       -,       -,       -,0,0,       -,       -,       -,0,0,       -,       -,0.0
 ÓLEO LUBRIFICANTE,-1.35,0.49,0.58,2.05,-0.72,1.6,0.69,2.15,0.46,-2.18,1.51,       -,-0.39,-0.15
 ACESSÓRIOS E PEÇAS,-0.62,-0.08,0.06,-0.67,-0.17,-1.31,0.56,2.01,0.44,-0.63,0.23,1.12,-3.76,-0.17
 PNEU,-2.38,-0.67,1.97,-0.22,-4.31,-2.87,-0.16,-2.07,0.67,-0.15,0.08,-0.32,1.45,-1.23
 CONSERTO DE AUTOMÓVEL,-0.73,-2.84,0.55,-1.47,2.66,-0.18,-1.94,1.43,-0.95,1.6,-0.69,-0.05,-0.51,0.63
 ESTACIONAMENTO,-0.97,0.55,0.29,       -,-0.46,       -,       -,0.71,       -,       -,       -,       -,       -,-0.41
 PEDÁGIO,0,0,       -,       -,0,       -,       -,       -,       -,0,       -,0,       -,0.0
 LUBRIFICAÇÃO E LAVAGEM,       -,       -,       -,-1.36,-2.51,       -,       -,       -,       -,0.45,       -,       -,-1.27,-1.85
 AUTOMÓVEL USADO,-0.15,-0.17,-0.51,       -,1.21,1.62,0.58,0.78,-0.5,-1.24,0.36,-2.88,1.1,0.02
 PINTURA DE VEÍCULO,       -,       -,       -,1.16,0.45,1.01,       -,       -,1.16,0.84,       -,-0.94,       -,0.6
 ALUGUEL DE VEÍCULO,-1.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.47
 MOTOCICLETA,-2.08,2.03,-0.25,-1.96,0.8,-2.32,0,0.67,-0.15,-1.56,0.15,-0.15,-1.47,-0.16
 COMBUSTÍVEIS (VEÍCULOS),0.49,-0.81,0.31,-3.23,0.28,-2.36,-0.48,2.42,0.24,-0.37,1.02,-0.83,-1.04,-0.04
 GASOLINA,0.2,-1,0.44,-4.69,0.38,-2.59,-0.56,2.59,0.04,-0.55,0.74,-1.04,-1.5,-0.19
 ETANOL,1.05,1.2,-0.71,2.54,0.33,-0.09,       -,2.7,0.99,0.25,3.67,0.72,0.85,0.59
 ÓLEO DIESEL,       -,0.06,-0.28,       -,-1.57,       -,0.44,0.05,0.4,-0.28,-0.52,-0.88,0.48,-0.32
 GÁS VEICULAR,2.18,       -,       -,1.65,-2.27,       -,       -,       -,0.99,       -,       -,6.89,       -,0.47
 SAÚDE E CUIDADOS PESSOAIS,0.08,0.4,0.53,0.64,0.52,0.3,-0.08,1.03,0.93,0.7,0.61,0.26,0.31,0.48
 PRODUTOS FARMACÊUTICOS E ÓTICOS,-1.12,-0.49,0.39,-0.35,-0.13,0.19,-0.35,0.47,0.36,-0.29,0.59,-0.09,-0.2,-0.17
 PRODUTOS FARMACÊUTICOS,-1.07,-0.51,0.33,-0.22,-0.1,0.2,-0.46,0.53,0.47,-0.31,0.5,-0.19,-0.35,-0.17
 ANTI-INFECCIOSO E ANTIBIÓTICO,-2.69,0.03,2.51,-1.67,1.35,-0.14,-1.6,0,3.55,-0.39,-0.33,0.63,-0.78,0.71
 ANALGÉSICO E ANTITÉRMICO,0.2,0.13,0.17,-0.72,0.56,-0.01,0.21,1.27,0.13,0.74,0.31,-1.1,0.1,0.29
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,-1.23,-0.53,-0.04,0.84,0.01,0.24,-0.13,-0.35,0.36,0.55,2.29,-0.35,0.68,0.02
 ANTIGRIPAL E ANTITUSSÍGENO,-2.41,-1.2,-0.65,-0.54,-0.02,0.3,0.2,0.09,-1.09,-0.85,-0.6,1.49,-2.37,-0.61
 DERMATOLÓGICO,1.37,0.38,-0.99,0.86,0.38,       -,-0.31,0.75,-0.02,0.27,0.12,0.35,0.41,0.22
 ANTIALÉRGICO E BRONCODILATADOR,-1.27,0.68,0.41,-0.89,1.33,-0.32,0.01,1.31,0.65,-2.23,-0.05,0.32,0.83,0.29
 GASTROPROTETOR,-2.05,-0.46,0.21,-0.82,-0.57,0.05,-0.14,1.79,0.49,-1.21,1.23,-0.3,0.49,-0.4
 VITAMINA E FORTIFICANTE,1.47,0.17,1.14,-0.19,-1.5,0.36,0.33,1.76,-0.04,-0.12,0.3,-0.11,-0.61,0.03
 HORMÔNIO,-0.47,0.05,2.38,1.86,0.14,0.37,-1.18,-0.58,0.59,0.09,0.95,-0.15,-1.43,0.33
 PSICOTRÓPICO E ANOREXÍGENO,-0.36,-0.15,-0.1,-0.84,-0.46,0.05,-0.98,-0.02,0.99,0.34,2.01,0.09,-0.6,-0.14
 HIPOTENSOR E HIPOCOLESTEROLÊMICO,-2.43,-1.91,-0.91,0.01,-1.32,0.55,-1.78,-0.51,-0.1,-1.08,-0.52,-0.48,0.05,-1.21
 OFTALMOLÓGICO,-2.31,0.34,-0.17,-0.49,2.65,       -,-1.63,1.66,-0.06,-2.13,0.81,-0.23,0.64,0.2
 PRODUTOS ÓTICOS,-2.11,-0.23,1.58,-1.36,-0.45,-0.07,1.17,0.12,-0.81,0.01,1.86,1.38,1.67,-0.2
 ARMAÇÃO DE ÓCULOS,       -,0.32,       -,       -,-0.36,       -,       -,-0.47,1.74,0.93,       -,       -,       -,0.07
 ÓCULOS SEM GRAU,-2.78,-0.58,1.72,-1.22,-1.75,       -,2.53,1.36,-1.65,-0.7,1.4,-1.02,1.16,-0.66
 LENTES DE ÓCULOS E DE CONTATO,-1.63,-0.21,1.49,-1.49,0.36,-0.07,0.15,0.06,-1.28,0.04,2.42,2.53,1.9,0.0
 SERVIÇOS DE SAÚDE,0.99,0.64,0.91,0.94,0.92,0.74,0.67,0.99,0.96,1.63,0.54,0.6,0.99,0.94
 SERVIÇOS MÉDICOS E DENTÁRIOS,0.37,0.03,0.6,0.47,0.68,0.18,0.02,0.85,0.86,3.44,-0.03,-0.68,1.36,0.8
 MÉDICO,1.17,-0.54,0.37,0.5,2.39,0.23,0,1.76,0.53,2.61,-0.1,-1.02,2.34,0.94
 DENTISTA,0.07,0.64,0.8,0.58,0.32,0.1,0.04,0.4,1.2,4.47,0,0.21,0.46,0.92
 APARELHO ORTODÔNTICO,       -,0.96,       -,       -,-0.05,       -,       -,       -,       -,2.08,       -,       -,0.55,0.82
 ARTIGOS ORTOPÉDICOS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.17,       -,       -,0.17
 FISIOTERAPEUTA,-1.69,       -,       -,       -,-0.35,       -,       -,       -,       -,       -,       -,       -,       -,-0.59
 PSICÓLOGO,0,0,1.43,0,0,       -,       -,0.45,       -,       -,       -,       -,       -,0.21
 SERVIÇOS LABORATORIAIS E HOSPITALARES,1.79,-0.11,1.08,0.34,0.08,0.13,-0.8,0.58,0.78,0.44,0.04,0.76,0.1,0.38
 EXAME DE LABORATÓRIO,0.21,-0.2,2.2,1.02,       -,0.12,0.2,1.29,1.09,0.35,0.19,0.06,0.03,0.7
 HOSPITALIZAÇÃO E CIRURGIA,3.02,-0.15,0.65,0.11,0.09,0.14,-3.52,-0.67,0.97,0.43,0,1.79,0,0.34
 EXAME DE IMAGEM,0.49,0.16,0.6,-0.13,0.06,       -,0.04,0.83,0.09,0.58,-0.16,-1.05,0.3,0.22
 PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
 PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
 CUIDADOS PESSOAIS,-0.72,1.35,-0.05,1.24,0.27,-0.29,-0.43,1.63,1.65,0.58,0.76,0.14,-0.4,0.41
 HIGIENE PESSOAL,-0.72,1.35,-0.05,1.24,0.27,-0.29,-0.43,1.63,1.65,0.58,0.76,0.14,-0.4,0.41
 PRODUTO PARA CABELO,-0.44,2.37,-1.54,1.14,-0.62,-1.29,-2.44,-1.31,2.24,0.67,0.82,-0.7,-1.54,-0.06
 FRALDA DESCARTÁVEL,       -,0.68,0.37,-0.24,       -,1.7,-0.09,       -,0.66,3.12,-0.99,       -,-0.83,0.64
 PRODUTO PARA BARBA,       -,-1.47,       -,       -,       -,       -,-2.68,       -,       -,       -,       -,-0.11,       -,-1.6
 PRODUTO PARA PELE,-0.48,0.83,0.97,2.62,-0.25,-1.37,-0.13,0.34,2.29,1.45,0.59,1.48,2.4,0.54
 PRODUTO PARA HIGIENE BUCAL,-0.65,0.89,-1.05,1.85,-2.78,-1.56,-2.17,0.63,-2.75,0.28,0.89,-0.36,-1.76,-1.13
 PRODUTO PARA UNHA,-1.9,-5.12,0.92,5.99,0.85,       -,1.4,1.59,3.56,       -,-1.23,       -,-1.74,0.37
 PERFUME,-0.1,4.4,1.31,1.39,1.51,1.18,0.27,3.22,2.35,0.89,1.38,0.31,0.48,1.48
 DESODORANTE,-2.25,1.3,-0.4,1.05,-1.62,-3.52,0.16,-0.47,1.96,-1.81,-0.07,-2.37,-3.99,-0.67
 ABSORVENTE HIGIÊNICO,       -,       -,       -,-2.92,       -,       -,-1.72,2.66,       -,       -,       -,       -,       -,-0.92
 SABONETE,-0.06,0.74,-2.06,0.89,0.1,-0.19,-1.75,-0.4,0.23,-1.26,-0.25,-1.74,2.5,-0.33
 PAPEL HIGIÊNICO,-2.6,0.1,-1.2,0.13,-0.11,-1.76,-0.86,1.27,1.74,-0.55,0.99,1.77,-3.1,-0.51
 ARTIGOS DE MAQUIAGEM,-1.18,-4.18,-4.25,-2.63,1.13,0.12,-0.24,-2.07,-0.94,1.03,1.07,-0.26,-3.06,-0.84
 DESPESAS PESSOAIS,-0.28,0.36,-0.12,-0.49,0.22,0.24,0.07,0.02,-0.06,-0.09,0.41,0.04,0.23,0.05
 SERVIÇOS PESSOAIS,-0.13,0.53,0.14,-0.29,0.05,0.27,0.14,0.36,0.15,0.13,0.15,0.26,0.2,0.1
 SERVIÇOS PESSOAIS,-0.13,0.53,0.14,-0.29,0.05,0.27,0.14,0.36,0.15,0.13,0.15,0.26,0.2,0.1
 COSTUREIRA,       -,       -,-0.13,-2.48,       -,       -,0,-0.15,1.22,0.48,       -,       -,       -,-0.16
 MANICURE,0.14,3.94,1.93,-0.13,-0.45,1.05,0.12,-0.55,0,-0.61,0.29,0.26,-0.27,0.39
