Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
184, ALUGUEL E TAXAS,-0.09,0.67,-0.19,-0.27,0.07,0.15,2.51,0.82,0.1,0.01,-0.46,0.46,-0.96,0.09
185, ALUGUEL RESIDENCIAL,-0.18,1.54,-0.21,-0.54,0.36,-0.2,0.55,0.7,0.02,0.22,-0.72,-1.69,-1.79,0.11
186, CONDOMÍNIO,0.01,-0.06,-0.48,0.0,-0.58,1.08,0.13,1.45,0.31,-0.31,-0.51,1.7,0.32,-0.13
187, TAXA DE ÁGUA E ESGOTO,0.0,0.0,0.0,0.0,0.0,0.0,17.17,0.78,0.0,0.0,0.0,2.99,0.0,0.28
188, MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.51,-0.56,0.0,1.02,-2.09
189, REPAROS,0.17,0.49,0.04,0.46,0.24,0.25,0.82,0.56,0.49,0.29,0.64,0.28,0.83,0.31
190, FERRAGENS,0.0,0.0,0.07,0.0,-0.07,0.0,0.0,-0.14,0.0,0.59,2.5,2.35,0.0,0.29
191, MATERIAL DE ELETRICIDADE,0.0,2.08,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,2.99,0.0,0.0,0.0,1.86
192, MATERIAL DE PINTURA,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,1.33,2.05,0.54
193, VIDRO,-0.41,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41
194, TINTA,-0.01,1.27,-0.22,0.38,0.46,-1.51,0.4,1.62,-0.97,-0.14,0.86,-0.98,2.26,0.3
195, REVESTIMENTO DE PISO E PAREDE,2.36,-2.83,-2.21,1.03,-1.92,-1.77,2.79,0.27,2.58,-1.36,1.12,-0.98,-1.62,-0.48
196, CIMENTO,-3.63,0.38,-1.37,1.13,0.6,1.75,1.45,0.86,0.07,-2.02,2.95,0.13,2.03,-0.29
197, TIJOLO,0.0,0.25,-2.26,-0.41,0.57,-1.95,1.49,0.15,-3.96,-0.25,-0.14,1.09,0.0,-0.39
198, MATERIAL HIDRÁULICO,0.0,0.0,-0.48,0.0,-1.06,0.0,-3.31,0.0,2.37,-1.73,0.0,-0.76,0.0,-0.81
199, MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
200, AREIA,-0.65,0.0,-0.15,0.0,0.0,0.0,0.0,1.31,1.95,-0.29,0.28,1.97,0.0,0.19
201, TELHA,0.33,0.0,0.36,0.0,0.0,0.0,0.71,0.58,-0.1,1.32,-1.41,-0.91,0.0,0.42
202, ARTIGOS DE LIMPEZA,-0.69,0.45,-0.08,0.44,-0.16,1.09,-0.37,-0.27,0.69,-0.51,0.37,0.03,0.77,-0.03
203, ÁGUA SANITÁRIA,1.11,0.0,0.71,-1.14,-1.51,1.47,-0.57,-2.11,0.0,2.98,0.0,0.0,0.0,-0.39
204, DETERGENTE,0.56,-1.5,-3.35,0.45,0.62,-1.18,-1.56,2.06,0.41,1.01,2.17,-2.45,-1.08,-0.13
205, SABÃO EM PÓ,-2.5,1.65,1.07,1.19,-0.98,1.87,-0.3,-0.05,0.71,-2.46,-0.35,1.04,2.72,-0.27
206, DESINFETANTE,-2.44,-0.34,0.62,-1.09,0.0,-0.29,-3.45,1.26,2.32,-1.33,-0.64,1.84,-1.04,-0.32
207, INSETICIDA,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
208, SABÃO EM BARRA,2.96,1.61,2.09,0.15,2.73,0.23,0.22,-1.62,0.75,1.48,-0.43,0.17,-2.68,1.03
209, ESPONJA DE LIMPEZA,0.0,-2.37,-2.83,2.33,3.06,0.0,-0.6,-1.8,0.0,1.56,3.74,0.4,0.92,0.61
210, AMACIANTE,2.04,-0.46,0.03,0.0,-0.66,1.95,1.4,1.28,-0.16,-0.79,0.65,-1.32,1.49,-0.04
211, COMBUSTÍVEIS E ENERGIA,-1.21,-1.98,1.05,2.33,-2.6,-1.84,1.0,0.95,3.53,-0.32,-0.98,0.85,-1.61,-0.66
212, COMBUSTÍVEIS (DOMÉSTICOS),0.72,5.47,7.59,10.81,3.9,3.74,7.59,2.01,2.8,2.44,6.97,5.12,2.11,4.51
213, CARVÃO VEGETAL,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
214, GÁS DE BOTIJÃO,0.96,5.82,7.59,10.81,4.28,3.74,7.59,2.01,2.8,2.63,6.97,5.12,2.11,4.81
215, GÁS ENCANADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216, ENERGIA ELÉTRICA RESIDENCIAL,-1.79,-4.62,-1.62,-1.48,-4.52,-3.19,-1.33,0.31,4.0,-1.09,-4.37,-0.31,-2.94,-2.48
217, ENERGIA ELÉTRICA RESIDENCIAL,-1.79,-4.62,-1.62,-1.48,-4.52,-3.19,-1.33,0.31,4.0,-1.09,-4.37,-0.31,-2.94,-2.48
218, ARTIGOS DE RESIDÊNCIA,-0.11,0.09,-0.11,-0.42,0.67,-1.28,0.48,-0.43,0.22,-0.14,-0.2,0.2,1.21,0.13
219, MÓVEIS E UTENSÍLIOS,-0.63,-0.05,-0.2,-0.14,0.65,-1.38,0.09,-0.42,0.06,0.61,-0.83,0.52,0.94,0.07
220, MOBILIÁRIO,-0.18,0.92,-0.24,0.3,1.02,-2.29,-0.58,-0.39,-0.76,0.92,-0.82,0.76,1.02,0.21
221, MÓVEL PARA SALA,0.06,0.91,0.09,-0.03,1.05,-2.95,-0.59,-0.94,-2.46,0.32,-0.64,1.94,1.2,-0.07
222, MÓVEL PARA QUARTO,-0.44,0.99,-1.33,-1.26,1.5,-1.64,-2.45,0.04,0.27,1.99,-2.06,0.65,1.21,0.28
223, MÓVEL PARA COPA E COZINHA,-1.78,0.42,0.12,-1.11,-0.46,-0.42,0.08,-1.64,-2.5,1.5,-0.81,-2.05,0.05,-0.44
224, MÓVEL INFANTIL,0.0,0.0,0.0,-1.1,0.0,0.0,3.77,1.28,0.0,0.0,-2.03,0.0,0.0,1.32
225, COLCHÃO,0.95,2.02,1.64,7.68,1.06,-1.07,2.03,1.38,7.67,-2.72,1.67,0.56,1.14,2.05
226, UTENSÍLIOS E ENFEITES,-0.74,0.26,-0.82,-0.77,0.61,1.24,1.34,-1.17,0.6,0.8,0.23,0.76,2.7,0.21
227, TAPETE,-1.13,-0.79,-2.14,1.26,3.36,0.37,1.27,0.0,3.05,1.2,3.7,1.21,3.84,0.25
228, CORTINA,1.63,1.22,1.16,0.89,-1.47,4.87,0.9,-0.35,0.91,1.5,1.93,-0.23,-1.26,0.48
229, UTENSÍLIOS DE METAL,1.61,0.3,-0.9,-5.57,1.55,-1.07,3.96,0.5,-0.92,-0.64,-2.5,0.13,1.59,0.32
230, UTENSÍLIOS DE VIDRO E LOUÇA,-2.58,2.99,-0.18,-0.42,-2.54,-2.7,0.99,0.17,-0.22,0.45,-3.27,1.8,2.69,-0.56
231, UTENSÍLIOS DE PLÁSTICO,-1.6,1.56,0.0,-3.89,3.54,0.28,-0.77,2.65,2.05,0.78,0.68,0.42,4.12,1.37
232, FLORES NATURAIS,0.0,-6.22,0.0,0.0,-0.46,0.0,0.0,0.0,-0.79,1.14,0.0,0.0,0.46,-1.23
233, UTENSÍLIOS DIVERSOS,-1.57,0.45,-0.54,1.47,0.34,2.82,0.47,-4.13,1.2,1.5,0.06,1.29,4.83,0.16
234," CAMA, MESA E BANHO",-3.07,-3.54,1.23,-0.71,-0.95,-1.82,0.19,0.6,2.56,-0.95,-2.42,-0.92,-2.03,-0.73
235, ROUPA DE CAMA,-2.69,-3.67,1.79,-0.4,0.11,-1.82,0.82,1.72,1.31,-1.57,-2.42,-0.77,-1.66,-0.46
236, ROUPA DE BANHO,-4.08,-3.16,-0.24,-1.4,-2.99,0.0,-2.84,-1.74,7.69,1.0,0.0,-1.26,-2.99,-1.48
237, APARELHOS ELETROELETRÔNICOS,0.5,-0.08,-0.03,-0.97,0.81,-1.39,0.92,-0.65,0.63,-1.3,0.93,-0.05,1.75,0.2
238, ELETRODOMÉSTICOS E EQUIPAMENTOS,0.35,-0.13,-0.45,-1.4,1.29,-1.69,1.16,-1.02,-0.22,-1.02,0.8,-0.48,1.48,0.17
239, REFRIGERADOR,0.01,1.34,-2.12,-1.15,-0.16,-2.48,2.54,-0.15,-0.24,-2.34,1.22,-0.52,2.87,-0.29
240, AR-CONDICIONADO,0.86,-1.0,0.0,-1.47,0.0,0.0,-1.63,0.0,0.0,-0.33,0.0,-1.95,-1.89,-0.71
241, MÁQUINA DE LAVAR ROUPA,0.56,-1.41,0.43,-2.41,3.06,0.25,0.95,-2.58,0.37,-0.41,-0.94,0.88,2.2,0.79
242, LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,1.62
243, VENTILADOR,-1.79,0.0,0.0,-0.74,0.0,0.0,-0.82,0.08,0.0,0.0,0.0,0.0,-1.61,-1.0
244, FOGÃO,1.2,-0.58,2.74,-1.54,2.62,-2.07,0.1,-2.88,-0.69,1.57,2.03,-1.22,0.02,0.83
245, CHUVEIRO ELÉTRICO,0.0,0.44,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
246, FORNO DE MICRO-ONDAS,0.0,-1.86,-1.01,0.0,1.27,0.0,0.0,0.0,0.0,-0.91,0.58,0.0,0.0,0.08
247," TV, SOM E INFORMÁTICA",0.7,0.02,0.57,-0.3,0.1,-0.98,0.44,-0.15,1.8,-1.83,1.12,0.57,2.24,0.26
248, TELEVISOR,-0.57,-0.22,0.52,-2.73,-0.99,-0.36,0.89,-0.21,2.15,-1.09,-0.3,-0.63,2.75,-0.35
249, APARELHO DE SOM,-1.2,2.85,-0.17,2.17,-0.8,1.78,-1.76,-1.36,-1.17,-0.43,2.39,0.82,-1.23,-0.1
250, APARELHO DE DVD,-1.19,3.57,4.79,-3.03,3.94,2.8,-0.43,1.14,3.97,-0.88,-2.21,-1.12,1.15,1.77
251, ANTENA,0.0,0.0,0.0,-0.3,0.0,0.0,0.44,-0.15,0.0,0.0,-2.26,0.0,0.0,-0.5
252, MICROCOMPUTADOR,2.6,-1.38,-0.11,1.38,0.28,-2.18,1.21,-0.24,1.78,-2.76,2.81,1.71,2.89,0.44
253, CONSERTOS E MANUTENÇÃO,-0.31,1.45,0.52,0.71,0.19,-0.15,0.13,0.76,-1.02,0.74,-1.57,-1.31,0.31,0.19
254, CONSERTOS E MANUTENÇÃO,-0.31,1.45,0.52,0.71,0.19,-0.15,0.13,0.76,-1.02,0.74,-1.57,-1.31,0.31,0.19
255, CONSERTO DE REFRIGERADOR,0.0,0.4,-2.17,1.92,0.7,-1.75,0.49,0.0,0.48,1.85,3.78,0.16,0.0,0.47
256, CONSERTO DE TELEVISOR,-1.28,-0.37,2.05,-1.19,0.46,1.64,0.0,1.3,-0.11,0.0,0.36,-3.84,1.25,0.23
257, CONSERTO DE APARELHO DE SOM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.4,0.0,0.0,0.0,0.0,0.05
258, CONSERTO DE MÁQUINA DE LAVAR ROUPA,0.0,3.48,0.0,0.0,-1.02,0.38,0.28,0.0,0.0,-0.14,0.0,0.0,0.0,0.36
259, REFORMA DE ESTOFADO,-0.31,0.82,0.8,1.4,0.6,-1.48,-0.32,0.51,-2.05,0.96,-3.99,-1.35,0.45,-0.05
260, MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,-0.86,-0.69
261, VESTUÁRIO,-0.15,0.49,0.46,0.09,0.44,0.4,0.22,-0.19,0.19,-0.07,1.22,0.1,0.04,0.28
262, ROUPAS,-0.42,-0.18,-0.13,0.36,0.7,-0.1,0.26,-0.69,-0.09,0.0,1.64,-0.58,0.07,0.17
263, ROUPA MASCULINA,0.09,-1.8,1.46,1.31,0.14,-0.71,-0.57,-0.89,-0.22,-1.62,1.26,0.17,-0.63,-0.09
264, CALÇA COMPRIDA MASCULINA,1.41,-1.45,0.79,0.61,-1.72,1.78,-0.11,-2.78,-0.57,-1.31,1.18,1.46,-2.37,-0.62
265, TERNO,0.27,-2.7,1.82,-0.01,0.0,0.0,0.0,0.0,0.0,-1.71,-0.54,-1.39,0.0,-0.1
266, AGASALHO MASCULINO,0.0,-2.29,1.46,0.0,-2.39,0.58,0.0,0.0,0.0,-0.06,0.0,-0.74,2.54,-0.99
267, SHORT E BERMUDA MASCULINA,-1.05,3.14,2.62,2.44,-1.68,-0.26,0.78,1.68,1.77,-1.71,1.43,-0.85,-0.04,0.44
268, CUECA,0.0,-0.85,0.0,-1.07,0.0,0.0,-2.83,-1.97,-1.99,0.0,0.0,0.0,0.0,-1.73
269, CAMISA / CAMISETA MASCULINA,-0.29,-2.95,1.46,1.69,2.12,-2.94,-1.54,-1.07,-0.93,-2.16,1.63,0.15,0.36,0.26
270, ROUPA FEMININA,-1.04,0.32,-1.09,-0.43,0.72,0.15,0.71,-0.62,-0.22,1.6,2.1,-0.93,1.13,0.16
271, CALÇA COMPRIDA FEMININA,-1.39,0.31,-0.93,0.57,-0.32,-0.55,1.25,1.92,0.65,0.99,2.89,0.51,0.58,0.11
272, AGASALHO FEMININO,0.0,-2.9,-1.09,0.0,-2.5,0.0,0.0,0.0,0.0,2.74,0.0,0.0,-2.01,-1.46
273, SAIA,0.0,0.0,0.0,-1.32,0.0,0.0,0.35,2.63,1.84,0.0,1.85,-0.91,0.0,0.81
274, VESTIDO,2.49,2.9,-0.21,-2.11,-2.36,0.62,2.58,-0.85,-1.23,-0.05,-0.94,-0.59,2.96,-0.42
275, BLUSA,-2.7,0.29,-1.98,-0.25,2.99,0.7,0.16,-2.92,-0.74,2.55,3.68,-2.5,0.29,0.42
276, LINGERIE,-0.34,1.46,-0.42,-2.51,1.7,0.37,-0.13,-0.91,0.61,1.88,1.32,-0.47,1.65,0.67
277, BERMUDA E SHORT FEMININO,-0.42,2.75,-0.32,1.14,0.0,-2.93,-0.1,2.05,0.13,1.14,1.52,1.29,3.64,0.58
278, ROUPA INFANTIL,0.37,1.89,-0.64,0.17,1.9,0.67,0.9,-0.46,0.55,-0.1,1.24,-1.26,-0.91,0.74
279, UNIFORME ESCOLAR,-2.63,0.0,0.0,0.0,-0.06,0.0,-1.9,0.0,-0.4,-0.52,0.0,0.0,0.0,-0.83
280, CALÇA COMPRIDA INFANTIL,-0.02,1.38,-0.25,-0.36,2.81,0.1,-0.91,2.66,1.81,0.89,0.26,-1.16,0.64,1.15
281, AGASALHO INFANTIL,0.0,-2.91,2.71,0.0,-0.28,1.07,0.0,0.0,0.0,-2.26,0.0,-1.26,-2.55,-0.69
282, VESTIDO INFANTIL,-1.36,0.0,-2.61,-2.46,-1.74,1.31,2.33,-1.47,-0.71,-0.81,3.06,2.99,-1.74,-0.77
283, BERMUDA E SHORT INFANTIL,0.46,3.2,0.14,0.84,2.84,2.35,0.6,2.51,-1.01,1.28,3.81,-2.46,2.16,1.12
284, CAMISA / CAMISETA INFANTIL,1.25,3.75,-1.18,0.74,3.0,-1.77,2.66,-1.37,1.7,-0.27,0.6,-2.54,-2.29,1.28
285, CONJUNTO INFANTIL,0.0,0.0,-2.22,0.69,0.8,3.62,-0.5,-1.67,0.0,0.0,-2.68,-0.3,0.0,0.03
286, CALÇADOS E ACESSÓRIOS,0.3,1.71,1.79,-0.57,-0.09,1.94,0.08,0.83,0.61,-0.84,0.82,1.68,-0.07,0.44
287, CALÇADOS E ACESSÓRIOS,0.3,1.71,1.79,-0.57,-0.09,1.94,0.08,0.83,0.61,-0.84,0.82,1.68,-0.07,0.44
288, SAPATO MASCULINO,-2.33,1.25,1.93,-0.17,0.9,-1.29,1.56,0.76,0.74,-1.71,2.99,1.72,-0.09,0.45
289, SAPATO FEMININO,2.2,3.01,0.41,-0.95,2.67,2.44,0.06,0.88,2.13,-2.07,1.11,2.73,-0.73,1.45
290, SAPATO INFANTIL,0.0,0.0,0.0,-0.53,0.0,0.0,-0.81,0.0,1.26,0.0,0.0,0.0,0.0,0.16
291, SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,2.47,0.0,0.0,1.56,0.0,-1.75,0.0,0.0,0.0,0.0,0.82
292, SANDÁLIA / CHINELO FEMININO,0.5,3.91,2.37,-0.84,0.26,2.03,-0.41,1.65,-1.07,3.91,2.4,2.7,-0.09,0.95
293, SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,-2.06,0.0,1.4,2.36,1.75,0.22,0.0,0.71,3.42,-1.08,0.67
294, BOLSA,1.83,1.45,-1.68,-1.46,-2.02,1.21,1.66,1.67,1.06,-1.64,-1.27,-0.2,1.16,-0.39
295, TÊNIS,-0.71,0.87,2.85,-0.33,-1.24,2.66,-2.01,-1.26,2.04,-1.27,-0.65,0.92,-0.02,-0.1
296, JOIAS E BIJUTERIAS,0.37,0.42,0.36,0.19,0.38,-0.28,0.53,2.29,1.18,2.7,-0.65,0.51,0.53,0.67
297, JOIAS E BIJUTERIAS,0.37,0.42,0.36,0.19,0.38,-0.28,0.53,2.29,1.18,2.7,-0.65,0.51,0.53,0.67
298, BIJUTERIA,-1.0,2.83,1.87,0.97,1.4,1.18,0.1,2.42,1.72,2.93,-0.52,1.68,2.03,1.38
299, JOIA,1.17,-0.98,-0.77,0.5,-0.48,-0.94,0.5,0.0,0.54,2.58,-0.77,-0.15,-0.67,0.1
300, RELÓGIO DE PULSO,0.0,0.0,0.0,-1.66,0.0,0.0,1.76,2.14,0.0,0.0,0.0,0.0,0.0,0.74
301, TECIDOS E ARMARINHO,-0.14,0.33,-0.12,0.23,0.93,1.12,-0.93,1.14,0.39,1.39,-1.32,-0.11,-1.22,0.39
302, TECIDOS E ARMARINHO,-0.14,0.33,-0.12,0.23,0.93,1.12,-0.93,1.14,0.39,1.39,-1.32,-0.11,-1.22,0.39
303, TECIDO,0.83,-1.23,-0.21,0.23,0.56,1.28,1.06,1.42,0.89,1.86,-1.55,-0.01,-0.7,0.58
304, ARTIGOS DE ARMARINHO,0.0,2.36,0.02,0.0,-0.31,0.91,-3.59,0.0,0.0,0.09,-0.57,-0.31,-2.18,-0.28
305, ACORTINADO (MOSQUITEIRO),-1.97,-0.67,0.0,0.0,2.33,0.0,0.0,0.5,-1.88,0.0,0.0,0.0,0.0,0.61
306, TRANSPORTES,0.15,0.81,0.96,-0.71,0.81,2.61,0.7,1.17,1.27,1.16,-0.46,1.97,1.55,0.79
307, TRANSPORTES,0.15,0.81,0.96,-0.71,0.81,2.61,0.7,1.17,1.27,1.16,-0.46,1.97,1.55,0.79
308, TRANSPORTE PÚBLICO,-1.45,0.44,1.02,0.33,1.86,4.13,0.98,0.18,1.0,2.82,0.99,5.65,1.61,0.94
309, ÔNIBUS URBANO,-4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97
310, TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311, TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312, ÔNIBUS INTERMUNICIPAL,0.0,0.06,-0.01,0.51,0.0,0.0,-0.05,0.0,-0.01,0.66,-0.67,0.0,-0.11,0.05
313, ÔNIBUS INTERESTADUAL,0.0,-0.29,0.84,-2.92,-0.22,-8.94,-1.28,-4.32,2.01,0.0,-5.74,-0.42,0.76,-0.84
314, PASSAGEM AÉREA,22.56,11.15,23.94,13.07,25.05,15.49,20.96,9.66,15.69,25.32,29.93,37.51,23.73,21.9
315, METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316, TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,-0.76,0.0,0.0,0.0,0.0,0.0,0.0,-0.76
317, TRANSPORTE ESCOLAR,0.0,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.17
318, VEÍCULO PRÓPRIO,0.87,0.05,-0.06,-0.89,-0.38,-0.71,-0.14,1.03,-0.09,0.75,-0.22,0.34,1.3,0.0
319, AUTOMÓVEL NOVO,-0.02,-1.14,-0.01,-2.25,0.3,-0.87,-0.2,0.49,-0.66,-0.25,-0.29,0.06,2.36,-0.18
320, EMPLACAMENTO E LICENÇA,0.34,0.34,0.25,0.34,0.37,0.34,0.39,0.84,0.34,0.32,0.33,0.34,0.34,0.35
321, SEGURO VOLUNTÁRIO DE VEÍCULO,4.6,-1.64,-0.94,1.81,3.88,5.04,0.0,-2.26,-0.84,-3.57,4.11,3.45,5.68,1.99
322, MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323, ÓLEO LUBRIFICANTE,-0.08,0.89,-0.54,0.89,-0.88,1.15,2.12,-1.66,0.2,0.55,1.19,0.0,0.4,-0.08
324, ACESSÓRIOS E PEÇAS,-0.11,-0.2,0.8,-0.78,-0.74,-0.64,-0.83,1.45,-0.18,-0.38,-5.51,-0.36,3.41,-0.61
325, PNEU,-0.88,0.82,-0.55,-2.03,-3.09,0.37,2.97,0.93,2.08,-1.6,-4.9,0.8,0.13,-0.92
326, CONSERTO DE AUTOMÓVEL,1.47,3.03,0.47,-0.36,-2.26,-1.76,-2.07,2.53,0.54,2.91,1.11,1.19,0.54,0.05
327, ESTACIONAMENTO,1.09,-0.12,1.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
328, PEDÁGIO,0.14,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
329, LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,-0.76,0.02,0.0,0.0,0.0,0.0,0.76,0.0,0.0,-3.29,-0.13
330, AUTOMÓVEL USADO,2.66,-2.59,-1.12,0.0,-0.89,-2.32,1.95,-0.54,0.03,1.83,0.7,0.59,5.85,-0.11
331, PINTURA DE VEÍCULO,0.0,0.0,0.0,2.27,-2.05,-0.54,0.0,0.0,0.85,-0.12,0.0,-3.57,0.0,-1.23
332, ALUGUEL DE VEÍCULO,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
333, MOTOCICLETA,-0.2,1.35,0.16,0.54,0.18,-0.56,-0.01,0.73,-0.27,0.1,-0.99,-0.73,-2.29,0.06
334, COMBUSTÍVEIS (VEÍCULOS),2.21,2.09,2.45,-1.6,1.93,5.96,1.27,2.72,4.13,0.85,-1.44,2.32,1.96,1.91
335, GASOLINA,2.47,2.33,2.69,-2.29,2.39,6.4,1.26,2.91,4.9,1.09,-1.09,2.39,2.13,2.22
336, ETANOL,1.05,-0.59,0.14,1.14,1.03,1.54,0.0,1.79,2.41,-0.64,-5.05,1.5,0.43,0.63
337, ÓLEO DIESEL,0.0,1.1,1.92,0.0,3.01,0.0,1.33,2.11,0.62,4.82,1.57,2.97,1.88,2.11
338, GÁS VEICULAR,1.23,0.0,0.0,0.14,0.2,0.0,0.0,0.0,1.59,0.0,0.0,-0.39,0.0,0.8
339, SAÚDE E CUIDADOS PESSOAIS,0.41,0.26,0.46,0.12,0.24,0.4,0.81,0.49,0.69,-0.08,0.37,0.37,0.17,0.32
340, PRODUTOS FARMACÊUTICOS E ÓTICOS,-0.47,-0.54,0.12,-0.07,-1.28,-0.53,0.08,0.84,0.09,-0.65,-0.23,0.09,-1.02,-0.53
341, PRODUTOS FARMACÊUTICOS,-0.51,-0.64,0.1,-0.05,-1.25,-0.53,-0.02,0.69,0.06,-0.75,-0.3,0.09,-1.12,-0.56
342, ANTI-INFECCIOSO E ANTIBIÓTICO,0.15,-2.53,0.88,2.12,0.6,0.36,0.37,1.12,0.9,-0.54,-0.36,0.14,-1.21,0.2
343, ANALGÉSICO E ANTITÉRMICO,-0.83,-0.09,0.79,1.03,-0.32,0.65,0.5,0.68,0.52,-0.53,-0.13,0.39,-0.26,0.01
344, ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,0.9,-0.87,0.25,2.18,-2.74,-0.29,-0.58,0.83,1.0,-0.98,0.01,-0.73,-2.17,-0.89
345, ANTIGRIPAL E ANTITUSSÍGENO,-0.28,-2.64,-1.36,0.85,-1.42,-1.11,0.19,0.56,1.02,-0.76,-1.13,0.54,-1.87,-0.79
346, DERMATOLÓGICO,-1.93,0.08,-1.04,0.05,-1.24,0.0,-0.3,0.92,-0.87,-1.12,-0.8,0.3,-0.52,-0.87
347, ANTIALÉRGICO E BRONCODILATADOR,1.29,-0.66,-0.61,0.44,-1.26,-1.95,0.02,0.82,0.18,-1.87,-0.83,0.55,-1.93,-0.57
348, GASTROPROTETOR,0.35,0.15,0.02,-0.59,-1.61,-0.78,0.08,-2.04,-1.15,-2.38,-0.5,0.21,-0.93,-0.82
349, VITAMINA E FORTIFICANTE,0.21,0.6,-0.38,-1.94,-0.61,-1.23,-0.97,0.24,-0.79,-0.34,-0.61,0.36,-0.85,-0.47
350, HORMÔNIO,0.84,-0.15,-1.52,-0.04,-2.05,-0.33,0.03,1.95,0.53,0.16,0.25,-0.15,-1.22,-0.7
351, PSICOTRÓPICO E ANOREXÍGENO,-2.67,-0.97,1.56,-0.5,-0.64,-1.02,-0.42,0.76,1.37,-0.09,-0.34,0.71,-2.01,-0.48
352, HIPOTENSOR E HIPOCOLESTEROLÊMICO,-0.69,-0.42,0.03,-1.35,-1.56,-0.53,0.21,0.66,-1.64,-1.02,-0.24,-0.35,-0.51,-0.87
353, OFTALMOLÓGICO,-3.12,-0.07,0.0,1.19,0.59,0.0,-0.19,3.01,0.01,-1.66,0.1,0.18,-0.6,-0.18
354, PRODUTOS ÓTICOS,0.46,0.71,0.52,-0.22,-1.8,-0.38,1.39,1.67,0.41,1.17,0.84,0.17,0.25,-0.05
355, ARMAÇÃO DE ÓCULOS,0.0,-1.36,0.0,0.0,-2.87,0.0,0.0,2.02,-2.75,0.01,0.0,0.0,0.0,-2.02
356, ÓCULOS SEM GRAU,1.3,0.2,0.02,0.67,-0.63,0.0,2.66,1.7,0.81,-0.01,-0.31,-3.01,-1.49,0.27
357, LENTES DE ÓCULOS E DE CONTATO,-0.14,1.58,0.85,-0.99,-1.64,-0.38,0.48,1.55,1.52,2.32,2.27,1.71,1.08,0.37
358, SERVIÇOS DE SAÚDE,0.95,0.9,0.63,1.0,0.83,0.83,1.21,0.8,0.66,0.4,0.51,0.64,1.06,0.8
359, SERVIÇOS MÉDICOS E DENTÁRIOS,0.49,0.89,0.1,0.96,0.06,0.34,2.34,0.15,0.18,-0.21,0.2,-0.08,1.15,0.27
360, MÉDICO,0.0,2.59,0.0,1.72,0.0,0.0,3.33,0.0,0.0,0.0,0.0,-0.25,-0.64,0.39
361, DENTISTA,0.63,-0.38,0.22,0.18,0.34,0.91,0.84,0.11,0.38,-0.24,0.44,0.36,2.91,0.31
362, APARELHO ORTODÔNTICO,0.0,-0.03,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-0.57,0.0,0.0,2.44,0.19
363, ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06
