Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
185, ALUGUEL RESIDENCIAL,0.32,0.28,0.12,0.4,0.01,0.0,0.01,0.35,0.6,0.17,0.45,0.73,0.22,0.18
186, CONDOMÍNIO,1.97,-0.3,1.99,0.29,0.8,1.4,0.64,1.54,0.38,0.18,0.43,0.03,1.07,0.93
187, TAXA DE ÁGUA E ESGOTO,1.91,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.52
188, MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,3.37,0.0,-3.75,1.96
189, REPAROS,0.47,0.24,0.22,0.28,0.17,0.67,0.39,0.54,-0.13,0.09,0.11,0.26,0.33,0.22
190, FERRAGENS,0.0,0.0,-2.1,0.0,-1.18,0.0,0.0,0.0,0.0,1.95,1.97,0.89,0.0,-0.63
191, MATERIAL DE ELETRICIDADE,0.0,1.28,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.17,0.0,0.0,0.0,0.91
192, MATERIAL DE PINTURA,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,-2.71,0.0,0.0,1.85,-2.79,0.01
193, VIDRO,0.83,0.0,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
194, TINTA,0.95,0.13,-0.31,-1.1,1.3,2.68,-0.62,-0.1,0.75,0.3,-0.14,1.27,0.81,0.54
195, REVESTIMENTO DE PISO E PAREDE,-0.01,0.11,1.76,-0.18,-2.37,2.36,1.89,0.15,-2.82,-3.33,-1.07,-0.73,2.81,-1.17
196, CIMENTO,0.25,-0.44,-2.65,1.63,-1.51,-0.8,-0.52,0.71,0.51,-1.56,-1.55,-1.63,-0.96,-0.8
197, TIJOLO,0.0,-2.2,-0.21,0.26,-0.03,0.65,-0.64,0.92,-0.19,-0.68,-0.32,-3.22,0.0,-0.39
198, MATERIAL HIDRÁULICO,0.0,0.0,1.29,0.0,1.11,0.0,-0.71,0.0,-1.74,-1.41,0.0,-1.27,0.0,0.4
199, MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
200, AREIA ,0.49,0.0,0.25,0.0,0.0,0.0,0.0,1.12,-0.72,0.96,0.05,1.72,0.0,0.4
201, TELHA,-0.4,0.0,-0.37,0.0,0.0,0.0,-0.56,0.81,-1.78,0.05,-1.04,2.31,0.0,-0.28
202, ARTIGOS DE LIMPEZA,0.86,-0.74,0.51,-2.25,-0.61,-1.23,0.9,-0.38,-0.88,-0.87,-0.54,1.22,-0.66,-0.37
203, ÁGUA SANITÁRIA,-2.74,0.0,2.0,-0.55,-0.04,-2.83,-1.28,0.95,-0.78,2.32,0.0,0.0,0.0,-0.11
204, DETERGENTE,2.26,-1.31,1.38,-3.0,-0.08,-0.17,-0.7,-0.05,-1.17,-3.24,0.68,-1.15,-0.79,-0.35
205, SABÃO EM PÓ,0.86,-0.19,-0.82,-2.82,-0.26,-2.5,2.02,-0.68,-2.19,-1.52,-2.26,2.54,-2.65,-0.58
206, DESINFETANTE,1.73,-2.49,0.18,-0.63,0.0,1.91,2.88,-0.44,-1.74,1.3,1.09,2.21,1.32,0.25
207, INSETICIDA,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7
208, SABÃO EM BARRA,0.16,1.28,1.45,-2.54,0.11,-1.44,-1.48,-0.42,1.44,-1.17,0.62,1.15,2.59,-0.05
209, ESPONJA DE LIMPEZA,0.0,-2.86,2.28,-0.27,-0.85,0.0,2.29,-0.63,0.0,-1.28,-0.62,0.12,1.74,-0.01
210, AMACIANTE,0.31,-1.23,0.59,0.0,-2.25,0.0,0.96,-0.18,2.21,0.63,0.78,0.4,-0.66,-0.61
211, COMBUSTÍVEIS E ENERGIA,0.59,0.23,0.17,-1.74,1.03,-0.67,-0.95,-0.72,0.04,-0.07,-3.65,1.07,-2.46,0.05
212, COMBUSTÍVEIS (DOMÉSTICOS),0.83,-2.37,-1.3,-1.64,0.69,-2.5,-2.2,-1.82,-0.45,-0.3,-2.1,-1.35,-1.75,-0.68
213, CARVÃO VEGETAL,0.0,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8
214, GÁS DE BOTIJÃO,-0.49,-2.11,-1.3,-1.64,0.76,-2.5,-2.2,-1.82,-0.45,-0.32,-2.1,-1.35,-1.75,-0.84
215, GÁS ENCANADO,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61
216, ENERGIA ELÉTRICA RESIDENCIAL,0.51,1.22,0.77,-1.79,1.13,-0.2,-0.43,-0.05,0.38,0.0,-4.29,1.82,-2.7,0.32
217, ENERGIA ELÉTRICA RESIDENCIAL,0.51,1.22,0.77,-1.79,1.13,-0.2,-0.43,-0.05,0.38,0.0,-4.29,1.82,-2.7,0.32
218, ARTIGOS DE RESIDÊNCIA,-0.36,0.68,-0.83,0.07,0.45,-1.13,0.54,0.41,1.1,0.56,-0.28,0.04,0.2,0.18
219, MÓVEIS E UTENSÍLIOS,0.05,1.2,-0.43,0.32,0.72,-0.39,0.82,0.66,1.33,0.87,0.41,0.34,0.39,0.51
220, MOBILIÁRIO,0.01,1.46,0.05,0.76,0.75,-0.56,0.66,1.61,3.64,2.43,0.48,0.32,0.1,0.94
221, MÓVEL PARA SALA,-0.61,2.84,0.31,1.88,1.99,-0.77,-1.19,0.23,3.83,3.55,0.27,1.63,-3.13,1.28
222, MÓVEL PARA QUARTO,1.21,1.75,0.18,-1.85,-1.23,-0.55,2.79,3.72,1.52,2.0,-1.49,-0.7,2.8,0.34
223, MÓVEL PARA COPA E COZINHA,-1.62,-1.64,-1.41,-0.42,4.11,-1.03,-2.83,0.87,2.69,1.61,2.14,-0.06,2.63,1.13
224, MÓVEL INFANTIL,0.0,0.0,0.0,1.97,0.0,0.0,-3.46,1.93,0.0,0.0,-1.51,0.0,0.0,-0.61
225, COLCHÃO,0.12,1.57,0.35,3.65,-0.15,1.68,2.0,0.81,8.12,2.31,4.87,1.2,-0.52,1.66
226, UTENSÍLIOS E ENFEITES,0.63,-0.07,-0.9,0.76,0.48,0.07,-0.45,-1.22,-2.33,-0.98,0.27,0.27,0.43,-0.2
227, TAPETE,-2.96,-0.12,-2.19,-3.2,2.66,-0.7,-0.77,0.0,-2.12,2.6,-1.42,-0.28,-0.67,-0.5
228, CORTINA,1.18,3.09,3.79,0.51,-2.35,2.87,-1.14,0.26,-0.93,-4.0,0.61,0.93,1.88,0.1
229, UTENSÍLIOS DE METAL,2.27,0.21,0.15,3.11,-2.19,-2.26,-1.8,-2.59,-2.66,-2.72,1.21,-1.75,2.04,-1.15
230, UTENSÍLIOS DE VIDRO E LOUÇA,-0.24,-3.14,-0.79,-1.4,4.93,1.67,1.35,0.21,-1.22,2.77,0.96,0.41,0.8,0.91
231, UTENSÍLIOS DE PLÁSTICO,-1.93,2.08,0.0,2.7,-1.69,-0.18,0.14,-0.48,-0.04,1.88,2.39,3.93,-0.32,-0.25
232, FLORES NATURAIS,0.0,-2.55,0.0,0.0,1.65,0.0,0.0,0.0,-1.32,2.27,0.0,0.0,0.96,0.63
233, UTENSÍLIOS DIVERSOS,1.27,-0.57,-2.81,0.67,2.58,-0.4,-0.13,-1.45,-4.21,-1.52,-0.48,-0.15,-0.81,-0.11
234," CAMA, MESA E BANHO",-0.69,2.4,-1.52,-1.5,1.07,-0.36,2.52,-1.6,-1.89,-2.15,0.33,0.57,1.55,-0.03
235, ROUPA DE CAMA,1.21,3.23,-0.51,-0.56,-0.16,-0.36,3.17,-0.59,-3.42,-1.6,0.33,1.46,0.71,0.12
236, ROUPA DE BANHO,-5.34,0.16,-4.05,-3.66,3.39,0.0,-0.58,-3.79,4.57,-3.9,0.0,-1.48,3.75,-0.46
237, APARELHOS ELETROELETRÔNICOS,-0.97,-0.02,-1.79,-0.09,0.14,-2.52,0.3,0.69,0.91,0.67,-0.82,-0.65,-0.16,-0.21
238, ELETRODOMÉSTICOS E EQUIPAMENTOS,-1.09,0.64,-2.44,0.03,1.59,-2.87,-0.09,0.89,2.07,1.74,-1.08,0.16,0.51,0.33
239, REFRIGERADOR,-0.29,-0.03,-2.74,-1.69,2.35,-3.92,0.19,1.28,2.11,2.32,-1.58,2.07,2.12,0.47
240, AR-CONDICIONADO,0.89,-0.79,0.0,-1.88,0.0,0.0,-0.57,0.0,0.0,-2.67,0.0,1.71,1.87,-0.44
241, MÁQUINA DE LAVAR ROUPA,-2.47,-0.11,-1.79,2.19,1.9,-2.58,-2.89,3.59,3.87,0.37,-0.39,-3.69,-1.94,0.3
242, LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.28
243, VENTILADOR,-1.9,0.0,0.0,0.42,0.0,0.0,2.22,-1.13,0.0,0.0,0.0,0.0,-2.41,-0.23
244, FOGÃO,-1.88,3.2,-3.04,2.27,0.99,0.13,-0.14,-0.79,0.52,3.72,-2.0,-1.71,-2.16,0.26
245, CHUVEIRO ELÉTRICO,0.0,1.63,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
246, FORNO DE MICRO-ONDAS,0.0,0.86,-0.19,0.0,-0.02,0.0,0.0,0.0,0.0,0.88,1.81,0.0,0.0,0.34
247," TV, SOM E INFORMÁTICA",-0.81,-1.27,-0.87,-0.27,-1.92,-2.07,1.05,0.41,-0.65,-1.28,-0.43,-1.83,-1.36,-1.04
248, TELEVISOR,-2.04,-1.43,1.43,-0.27,-0.45,-0.38,0.88,-1.99,-3.37,0.65,1.79,-1.59,0.03,-0.59
249, APARELHO DE SOM,-2.44,0.66,-3.09,-2.61,0.1,1.21,-0.12,0.51,0.31,0.26,1.29,-1.55,2.53,-0.68
250, APARELHO DE DVD,-0.71,-1.5,-2.49,-1.53,-0.75,-0.6,2.75,-1.91,1.91,0.08,0.85,-1.49,-1.44,-0.39
251, ANTENA,0.0,0.0,0.0,-0.27,0.0,0.0,1.05,0.41,0.0,0.0,-0.8,0.0,0.0,0.16
252, MICROCOMPUTADOR,0.64,-1.75,-1.42,1.14,-3.43,-3.68,0.6,3.67,-0.09,-3.04,-2.07,-2.09,-2.88,-1.57
253, CONSERTOS  E  MANUTENÇÃO,0.24,0.76,0.57,-0.96,0.33,0.0,0.25,-2.82,0.55,-1.45,-1.21,1.17,0.74,0.02
254, CONSERTOS E MANUTENÇÃO,0.24,0.76,0.57,-0.96,0.33,0.0,0.25,-2.82,0.55,-1.45,-1.21,1.17,0.74,0.02
255, CONSERTO DE REFRIGERADOR,0.0,2.04,-0.5,-2.53,3.44,0.0,0.22,0.0,0.24,-0.17,0.0,0.0,0.0,0.94
256, CONSERTO DE TELEVISOR,0.0,7.07,0.95,-0.25,0.0,0.0,0.0,0.93,2.52,0.0,0.17,6.53,0.0,1.28
257, CONSERTO DE APARELHO DE SOM,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,0.0,0.0,0.0,0.18
258, CONSERTO DE MÁQUINA DE LAVAR ROUPA ,1.73,-3.63,0.0,0.0,0.0,0.0,1.84,0.0,0.0,-3.58,0.0,0.0,6.04,-0.98
259, REFORMA DE ESTOFADO,0.0,0.47,1.0,-0.14,-0.72,0.0,-0.54,-4.57,0.0,-1.09,-2.18,-0.41,1.12,-0.65
260, MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,-2.59,-1.13
261, VESTUÁRIO,-0.33,-0.97,0.03,-0.34,0.06,-0.5,-0.33,-0.99,0.3,0.17,0.61,-0.59,0.43,-0.13
262, ROUPAS,-0.54,-1.54,0.08,-0.67,-0.62,-0.01,-0.55,-1.21,1.06,0.25,0.26,-0.81,0.27,-0.36
263, ROUPA MASCULINA,0.48,-1.12,1.52,0.89,-2.6,-1.75,0.53,-1.69,1.55,1.46,1.29,-2.11,2.34,-0.35
264, CALÇA COMPRIDA MASCULINA ,-0.26,0.35,3.69,0.51,-2.87,-2.7,-2.76,-1.76,2.01,2.23,0.53,-0.99,1.75,-0.4
265, TERNO,3.81,-0.07,-0.03,3.71,0.0,0.0,0.0,0.0,0.0,0.08,1.21,-0.02,0.0,1.21
266, AGASALHO MASCULINO,0.0,-1.12,1.52,0.0,-2.6,-1.75,0.0,0.0,0.0,1.46,0.0,-2.11,2.34,-0.71
267, SHORT E BERMUDA MASCULINA,1.04,-1.77,0.08,1.75,-1.31,-2.72,0.63,-1.64,0.17,-1.94,1.27,-2.17,-0.13,-0.31
268, CUECA,0.0,-1.74,0.0,-2.53,0.0,0.0,0.86,-2.67,0.44,0.0,0.0,0.0,0.0,-0.87
269, CAMISA / CAMISETA MASCULINA,-0.22,-2.3,0.99,0.73,-2.73,-0.8,2.95,-1.58,2.17,1.71,2.15,-3.0,3.67,-0.44
270, ROUPA FEMININA,-1.92,-1.71,0.02,-1.78,0.92,1.96,-1.12,-1.55,1.36,-0.9,-0.15,-0.29,-0.84,-0.26
271, CALÇA COMPRIDA FEMININA,-1.79,-0.59,-0.37,-2.92,0.74,0.54,-1.79,-1.05,0.73,0.98,3.02,-0.59,0.98,-0.1
272, AGASALHO FEMININO,0.0,-1.71,0.02,0.0,0.92,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,-0.84,-0.45
273, SAIA,0.0,0.0,0.0,-0.3,0.0,0.0,1.19,-2.44,-1.3,0.0,-2.55,-2.93,0.0,-0.86
274, VESTIDO,-2.25,-3.73,-1.68,0.23,3.76,1.19,-2.27,-0.91,2.49,-2.93,-1.22,-1.5,-2.88,0.15
275, BLUSA,-2.03,-2.72,1.32,-2.38,0.2,3.37,-0.48,-2.76,2.91,-2.27,-2.08,0.89,-1.37,-0.43
276, LINGERIE,-2.94,0.72,-0.29,1.02,-0.64,1.36,-1.76,1.7,-2.89,0.21,0.01,-2.34,-1.86,-0.66
277, BERMUDA E SHORT FEMININO,0.25,-1.27,0.55,-2.88,0.0,2.7,-0.78,-0.59,-0.19,0.28,-1.01,2.4,2.4,-0.33
278, ROUPA INFANTIL,1.5,-2.01,-2.4,-1.49,-0.11,-0.99,-1.42,1.09,-0.84,0.3,-0.68,0.5,-0.73,-0.62
279, UNIFORME ESCOLAR,0.58,0.0,0.0,0.0,-0.68,0.0,1.18,0.0,3.07,2.0,0.0,0.0,0.0,0.62
280, CALÇA COMPRIDA INFANTIL,-2.62,-1.03,-1.22,-1.84,-2.92,-2.28,-0.95,3.13,-0.03,-1.16,-1.06,-0.53,-0.93,-1.65
281, AGASALHO INFANTIL,0.0,-2.01,-2.4,0.0,-0.11,-0.99,0.0,0.0,0.0,0.3,0.0,0.5,-0.73,-0.92
282, VESTIDO INFANTIL,0.05,0.0,-2.61,-1.28,-1.47,-2.72,-1.57,-1.3,0.67,2.06,0.41,-2.22,-1.35,-0.87
283, SHORT E BERMUDA INFANTIL,2.31,-3.85,-2.79,2.18,-2.93,-1.44,-2.03,-0.23,0.4,-2.31,3.42,2.15,1.57,-1.06
284, CAMISA / CAMISETA INFANTIL,3.17,-1.95,-2.95,-2.61,3.17,1.62,-1.78,1.92,-2.79,0.98,-2.42,1.4,-1.37,0.24
285, CONJUNTO INFANTIL,0.0,0.0,-1.02,-2.08,-2.71,-2.78,-1.56,1.16,0.0,0.0,-1.94,-1.04,0.0,-1.77
286, CALÇADOS E ACESSÓRIOS,-0.28,-0.22,0.09,0.3,1.56,-1.42,-0.87,-1.06,-1.85,-0.16,1.39,0.23,0.66,0.23
287, CALÇADOS E ACESSÓRIOS,-0.28,-0.22,0.09,0.3,1.56,-1.42,-0.87,-1.06,-1.85,-0.16,1.39,0.23,0.66,0.23
288, SAPATO MASCULINO,-2.23,-0.34,1.32,-2.98,3.83,3.31,-0.53,1.62,-2.93,3.8,1.54,-2.16,0.13,1.09
289, SAPATO FEMININO,-1.89,0.11,-2.72,0.73,2.91,-1.8,-2.95,-2.09,-3.49,-0.46,2.58,-1.2,1.51,0.01
290, SAPATO INFANTIL,0.0,0.0,0.0,-0.87,0.0,0.0,-2.95,0.0,-2.07,0.0,0.0,0.0,0.0,-1.99
291, SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,0.63,0.0,0.0,1.9,0.0,-2.9,0.0,0.0,0.0,0.0,0.03
292, SANDÁLIA / CHINELO FEMININO,-1.22,-2.42,-1.18,-0.07,-2.28,-0.32,-1.63,-2.3,-2.94,-2.12,1.4,0.68,-2.84,-1.67
293, SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,-2.99,0.0,1.8,0.09,-0.22,1.41,0.0,2.75,1.78,0.04,0.16
294, BOLSA ,0.52,0.47,-2.32,-2.86,2.99,-2.09,0.76,-2.8,-2.37,-1.31,-2.35,-1.95,-2.38,0.03
295, TÊNIS,1.17,-0.08,2.86,3.9,2.01,-2.66,-1.27,0.41,0.93,-0.53,1.51,2.49,2.98,1.26
296, JÓIAS E BIJUTERIAS,1.14,0.16,-0.88,-0.28,-0.36,-2.15,2.19,2.58,1.83,-0.2,-0.9,-2.08,0.27,0.25
297, JÓIAS E BIJUTERIAS,1.14,0.16,-0.88,-0.28,-0.36,-2.15,2.19,2.58,1.83,-0.2,-0.9,-2.08,0.27,0.25
298, BIJUTERIA,-1.8,0.21,-2.9,0.44,-0.84,-2.52,3.26,3.82,2.23,1.72,-2.41,-2.94,-0.82,-0.01
299, JÓIA,3.03,0.13,0.74,-0.86,0.09,-1.98,1.2,0.0,1.38,-1.2,0.32,-1.58,1.1,0.4
300, RELÓGIO DE PULSO,0.0,0.0,0.0,-0.85,0.0,0.0,2.29,1.41,0.0,0.0,0.0,0.0,0.0,0.95
301, TECIDOS E ARMARINHO,2.01,1.25,-0.02,1.35,-0.03,-1.89,2.43,0.55,-0.49,3.83,3.1,0.5,3.61,1.03
302, TECIDOS E ARMARINHO,2.01,1.25,-0.02,1.35,-0.03,-1.89,2.43,0.55,-0.49,3.83,3.1,0.5,3.61,1.03
303, TECIDO,2.36,0.95,-0.36,1.35,1.69,-2.22,1.69,2.26,-0.84,5.08,3.4,-0.21,4.15,1.6
304, ARTIGOS DE ARMARINHO,0.0,1.66,0.56,0.0,0.77,-1.4,3.44,0.0,0.0,0.44,2.21,1.8,2.64,1.11
305, ACORTINADO (MOSQUITEIRO),1.37,1.04,0.0,0.0,-2.35,0.0,0.0,-3.41,1.19,0.0,0.0,0.0,0.0,-1.11
306, TRANSPORTES,0.68,-0.73,-0.15,0.86,-0.25,-0.66,1.87,1.98,2.18,1.21,-1.73,-0.48,0.65,0.24
307, TRANSPORTES,0.68,-0.73,-0.15,0.86,-0.25,-0.66,1.87,1.98,2.18,1.21,-1.73,-0.48,0.65,0.24
308, TRANSPORTE PÚBLICO,0.58,-0.78,0.18,3.23,-0.81,-2.19,4.39,5.69,-0.41,8.52,-1.19,-2.05,-0.97,0.73
309, ÔNIBUS URBANO,0.0,0.0,1.0,6.84,0.0,8.93,8.77,7.99,0.6,15.3,0.0,0.97,0.0,2.33
310, TÁXI,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
311, TREM,12.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
312, ÔNIBUS INTERMUNICIPAL,5.11,0.0,0.06,0.25,4.43,0.0,0.0,5.1,0.68,12.56,1.34,5.76,0.52,2.91
313, ÔNIBUS  INTERESTADUAL,0.04,-0.14,1.35,-0.71,0.06,-3.81,0.0,-4.11,0.66,0.26,-0.44,0.04,0.5,-0.05
314, PASSAGEM AÉREA,-4.99,-12.77,-10.66,-6.65,-14.35,-16.57,-12.29,-0.93,-15.24,-11.47,-16.83,-16.76,-13.85,-12.29
315, METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316, TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317, TRANSPORTE ESCOLAR,0.0,0.57,2.02,2.29,2.28,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.66
318, VEÍCULO PRÓPRIO,1.35,-0.34,0.0,0.43,0.22,0.13,-0.3,0.71,0.73,-0.1,0.11,0.57,1.12,0.28
319, AUTOMÓVEL  NOVO,0.88,-2.38,0.4,0.11,-0.55,0.31,-2.18,0.64,1.7,-0.39,-0.53,1.12,1.56,-0.17
320, EMPLACAMENTO E  LICENÇA,0.34,0.34,0.26,0.34,0.37,0.34,0.39,0.84,0.34,0.33,0.33,0.33,0.34,0.35
321, SEGURO VOLUNTÁRIO DE VEÍCULO,25.38,1.02,-0.02,2.7,-1.01,0.82,0.0,3.19,3.91,-0.62,-1.27,2.89,9.79,2.59
322, MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323, ÓLEO LUBRIFICANTE,-2.08,-1.55,-0.8,-0.17,-0.72,0.56,-0.32,0.97,-1.48,0.45,0.95,0.0,1.78,-0.59
324, ACESSÓRIOS E PEÇAS,0.12,1.34,0.29,2.35,6.4,6.0,-0.78,1.22,-0.99,1.35,-0.22,-2.88,-0.35,2.37
325, PNEU ,2.11,-0.94,0.36,1.68,-0.04,1.68,2.28,0.57,0.86,1.51,-0.42,0.24,3.63,0.55
326, CONSERTO DE AUTOMÓVEL,-1.54,0.42,-0.47,0.24,0.8,-1.05,1.2,-1.87,0.02,-1.0,1.91,0.3,-0.6,0.01
327, ESTACIONAMENTO,1.44,0.2,-0.38,0.0,0.07,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.54
328, PEDÁGIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
329, LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,1.61,0.2,0.0,0.0,0.0,0.0,-2.87,0.0,0.0,3.6,0.09
330, AUTOMÓVEL USADO,3.23,2.59,-0.15,0.0,0.17,-0.76,-4.55,2.89,-0.68,0.81,-2.84,1.21,3.17,0.34
331, PINTURA DE VEÍCULO,0.0,0.0,0.0,-1.81,-0.77,0.15,0.0,0.0,-3.79,3.27,0.0,-1.19,0.0,-0.56
332, ALUGUEL DE VEÍCULO,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95
333, MOTOCICLETA,1.33,1.62,-0.05,0.0,0.32,1.78,1.09,3.63,2.3,-0.67,2.4,-0.63,2.1,0.88
334, COMBUSTÍVEIS (VEÍCULOS),-0.15,-1.27,-0.65,-1.28,-0.56,-0.37,-0.15,-0.18,8.23,-0.66,-4.24,-1.2,0.61,-0.25
335, GASOLINA,-0.65,-1.32,-0.81,-1.41,-0.13,-0.54,-0.21,-0.18,8.79,-0.57,-4.27,-1.36,0.74,-0.21
336, ETANOL,0.37,-0.99,0.51,-1.33,-1.45,1.22,0.0,-0.19,9.5,-0.99,-6.23,0.08,-0.67,-0.72
337, ÓLEO DIESEL,0.0,-0.06,0.18,0.0,0.06,0.0,0.53,-0.04,1.3,-0.3,1.21,1.12,0.71,0.42
338, GÁS VEICULAR,2.9,0.0,0.0,4.51,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.25,0.0,1.62
339, SAÚDE E CUIDADOS PESSOAIS,0.97,1.12,0.31,0.84,0.62,0.61,0.45,0.73,0.3,0.66,0.27,0.29,0.88,0.65
340, PRODUTOS FARMACÊUTICOS E ÓTICOS,1.05,0.42,-0.07,0.01,-0.12,0.22,0.29,-0.07,-0.24,0.92,-0.13,-0.16,1.4,0.22
341, PRODUTOS FARMACÊUTICOS,1.18,0.42,-0.12,0.0,-0.14,0.17,0.23,0.21,-0.33,0.98,0.05,-0.06,1.47,0.24
342, ANTI-INFECCIOSO E ANTIBIÓTICO,1.51,1.03,2.3,-0.14,2.25,0.45,1.05,0.11,-2.03,0.75,-0.06,-0.62,1.34,1.18
343, ANALGÉSICO E ANTITÉRMICO,1.03,0.76,-1.63,0.79,-1.8,-0.06,-0.05,1.28,1.02,1.39,-0.28,-1.58,0.73,-0.23
344, ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,-0.32,0.53,-1.97,2.55,2.21,-0.23,-0.09,0.28,0.28,0.79,-0.04,-0.73,2.89,0.79
345, ANTIGRIPAL E ANTITUSSÍGENO,2.46,0.48,0.75,1.15,0.98,-0.12,0.14,2.77,-1.92,1.4,0.0,1.63,2.77,0.81
346, DERMATOLÓGICO,-1.09,0.41,-0.06,0.44,-0.61,0.0,0.42,0.85,-0.43,1.7,-0.06,0.04,2.37,-0.08
347, ANTIALÉRGICO E  BRONCODILATADOR,-1.75,1.37,-0.22,0.38,0.23,-0.23,-0.28,1.83,-0.86,2.26,-0.15,-0.82,2.23,0.13
348, GASTROPROTETOR,-0.1,0.14,0.45,-0.03,0.01,0.39,1.2,0.39,-1.33,2.01,0.58,1.12,0.63,0.29
349, VITAMINA E FORTIFICANTE,-0.39,1.52,0.53,-0.14,-0.92,0.14,0.01,-0.81,1.21,1.51,0.43,0.06,1.1,0.07
350, HORMÔNIO,0.91,-0.93,-0.91,-1.03,-0.53,0.41,-0.33,-1.41,0.33,-1.36,-0.32,0.89,0.25,-0.38
351, PSICOTRÓPICO E ANOREXÍGENO,2.23,-0.48,0.37,-0.28,-1.06,0.37,0.29,0.77,-2.1,0.08,0.2,-0.29,1.47,-0.02
352, HIPOTENSOR E HIPOCOLESTEROLEMICO,2.57,1.05,-0.13,-0.98,-0.7,0.21,0.37,-0.71,0.12,1.4,0.36,0.25,2.62,0.42
353, OFTALMOLÓGICO,0.97,-0.09,1.22,-1.33,-0.69,0.0,0.13,-2.0,-0.17,2.49,-0.24,-0.68,-0.26,0.03
354, PRODUTOS ÓTICOS,-1.68,0.44,0.75,0.11,0.16,1.23,1.01,-1.48,0.56,-0.14,-2.43,-1.68,0.48,-0.08
355, ARMAÇÃO DE ÓCULOS,0.0,1.76,0.0,0.0,0.93,0.0,0.0,-2.49,1.34,1.98,0.0,0.0,0.0,0.85
356, ÓCULOS SEM GRAU,-3.3,1.37,-1.07,3.48,0.37,0.0,2.56,0.5,-0.85,-1.62,-3.0,-2.83,-0.47,-0.09
357, LENTES DE ÓCULOS E DE CONTATO,-0.48,-0.47,2.05,-2.62,-0.64,1.23,-0.03,-1.58,1.25,-0.09,-1.68,-1.12,0.95,-0.35
358, SERVIÇOS DE SAÚDE,1.02,1.19,0.64,1.06,1.0,0.74,0.95,1.12,0.5,0.61,0.58,0.75,0.75,0.9
359, SERVIÇOS MÉDICOS E DENTÁRIOS,0.91,1.26,-0.01,0.85,0.81,0.14,0.63,1.53,-0.53,0.38,-0.08,0.19,0.1,0.52
360, MÉDICO,0.0,1.47,0.0,0.89,2.68,-0.66,0.0,1.05,-0.81,0.0,0.52,0.0,0.26,0.62
361, DENTISTA,1.63,1.91,-0.08,0.52,0.04,1.47,1.61,1.77,-0.22,0.72,-0.62,0.65,-0.11,0.4
362, APARELHO ORTODONTICO,0.0,1.1,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.29,0.53
363, ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,0.0,0.0,-0.73
