Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
183,ENCARGOS E MANUTENÇÃO,0.83,0.08,0.19,0.08,0.25,0.87,0.51,0.38,3.38,1.43,0.12,0.53,0.22,0.66
184,ALUGUEL E TAXAS,1.01,0.13,0.28,0.24,0.37,1.06,0.66,0.55,4.78,2.08,0.02,0.58,0.23,0.89
185,ALUGUEL RESIDENCIAL,0.82,0.14,0.18,0.18,0.03,0.06,0.84,0.36,0.44,0.24,0.01,0.37,0.25,0.26
186,CONDOMÍNIO,1.86,0.29,1.12,0.49,1.53,1.07,0.16,0.0,0.69,0.1,0.25,1.62,0.09,1.14
187,TAXA DE ÁGUA E ESGOTO,0.0,0.0,0.0,0.0,0.0,3.09,0.0,1.37,14.88,6.82,0.0,0.0,0.0,2.16
188,MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,-1.53,0.0,3.72,0.22
189,REPAROS,0.55,0.29,0.37,-0.04,-0.36,0.42,0.11,0.21,0.21,0.42,0.42,0.45,-0.11,0.15
190,FERRAGENS,0.0,0.0,0.7,0.0,1.7,0.0,0.0,1.01,0.0,0.17,0.24,-0.99,0.0,1.06
191,MATERIAL DE ELETRICIDADE,0.0,0.79,0.0,0.0,0.0,0.0,0.28,0.0,0.0,-1.93,0.0,0.0,0.0,-0.67
192,MATERIAL DE PINTURA,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,1.09,-3.91,0.32
193,VIDRO,2.81,0.0,-1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,TINTA,-0.83,-0.23,0.57,-0.43,0.26,0.4,-0.23,-0.87,0.42,0.42,0.75,2.62,-0.8,0.14
195,REVESTIMENTO DE PISO E PAREDE,4.32,1.37,0.13,0.85,-9.43,2.05,-0.93,0.96,-0.5,0.37,-0.79,0.94,-0.7,-2.93
196,CIMENTO,-1.81,-1.28,-2.41,-0.87,1.02,-1.51,0.14,-2.95,0.4,-0.48,0.36,-1.81,2.94,-0.46
197,TIJOLO,0.0,-0.2,0.09,-1.77,-0.67,-1.35,0.71,1.45,-4.89,0.26,0.53,-1.26,0.0,-0.57
198,MATERIAL HIDRÁULICO,0.0,0.0,0.37,0.0,-0.35,0.0,-0.75,0.0,2.48,1.51,0.0,-0.52,0.0,0.28
199,MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
200,AREIA,1.39,0.0,-0.33,0.0,0.0,0.0,0.0,2.54,1.92,0.58,0.34,0.08,0.0,0.89
201,TELHA,0.95,0.0,1.34,0.0,0.0,0.0,-1.58,-2.99,-0.86,1.45,0.21,-0.33,0.0,0.54
202,ARTIGOS DE LIMPEZA,-0.64,-0.98,-1.08,-1.1,0.69,0.0,0.75,-0.41,2.14,-0.09,0.18,0.41,0.54,0.1
203,ÁGUA SANITÁRIA,2.3,0.0,-0.65,0.75,0.79,2.27,0.1,1.01,-0.35,-4.1,0.0,0.0,0.0,0.17
204,DETERGENTE,-0.06,1.6,-0.8,0.12,1.22,-3.53,-0.53,-0.59,1.52,-1.7,-2.54,-0.9,-0.09,0.21
205,SABÃO EM PÓ,-0.7,-2.75,0.29,-3.34,-0.14,0.8,0.71,-1.28,2.85,0.18,0.46,1.6,0.93,-0.18
206,DESINFETANTE,-0.25,-0.15,-1.65,-1.78,0.0,1.58,1.63,0.08,-1.08,-2.24,0.21,-0.36,-2.19,-0.7
207,INSETICIDA,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96
208,SABÃO EM BARRA,-2.95,-1.77,-1.05,1.3,1.57,-0.34,-0.27,0.04,2.88,2.35,2.38,-0.47,-1.28,0.63
209,ESPONJA DE LIMPEZA,0.0,0.8,-7.05,-0.81,-1.63,0.0,0.11,0.28,0.0,4.08,-0.59,-1.71,1.8,-1.55
210,AMACIANTE,-2.71,0.86,-0.42,0.0,2.18,-0.85,3.13,0.15,4.16,0.13,-0.14,0.9,2.17,1.07
211,COMBUSTÍVEIS E ENERGIA,-3.22,-4.34,-7.86,-0.45,-4.71,-2.82,-1.3,-2.35,-3.49,-2.52,-3.15,-4.36,-3.52,-3.94
212,COMBUSTÍVEIS (DOMÉSTICOS),1.09,0.6,-0.5,-1.75,0.76,-0.26,2.2,0.36,0.81,-0.1,1.91,-0.98,-0.94,0.48
213,CARVÃO VEGETAL,0.0,-2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.61
214,GÁS DE BOTIJÃO,1.42,0.81,-0.5,-1.75,0.22,-0.26,2.2,0.36,0.81,-0.11,1.91,-0.98,-0.94,0.38
215,GÁS ENCANADO,0.05,0.0,0.0,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49
216,ENERGIA ELÉTRICA RESIDENCIAL,-4.51,-6.11,-10.68,0.13,-6.37,-3.48,-2.68,-3.98,-6.3,-3.27,-5.18,-5.37,-4.43,-5.52
217,ENERGIA ELÉTRICA RESIDENCIAL,-4.51,-6.11,-10.68,0.13,-6.37,-3.48,-2.68,-3.98,-6.3,-3.27,-5.18,-5.37,-4.43,-5.52
218,ARTIGOS DE RESIDÊNCIA,-0.14,-0.54,-0.08,0.26,0.11,0.01,0.0,0.21,-0.1,-0.17,-0.43,-0.2,-0.52,-0.07
219,MÓVEIS E UTENSÍLIOS,0.42,-0.8,-0.22,0.51,0.02,-0.68,-0.05,-0.15,-0.53,-0.09,-0.43,-0.26,-1.69,-0.16
220,MOBILIÁRIO,0.19,-0.15,-0.08,0.12,0.89,-0.49,-0.97,-0.11,0.23,-0.72,-1.19,0.12,-1.43,0.08
221,MÓVEL PARA SALA,0.22,-0.47,-0.24,0.15,0.15,-1.98,0.52,-0.4,-0.11,-2.18,-3.09,-1.57,-1.35,-0.4
222,MÓVEL PARA QUARTO,1.04,-0.69,0.17,-0.46,2.34,1.71,-1.86,0.4,1.63,0.25,1.23,1.25,-1.22,0.85
223,MÓVEL PARA COPA E COZINHA,-2.78,1.75,-1.46,-0.6,-1.48,-0.06,-2.72,-0.79,1.18,-0.63,-1.25,1.31,-2.78,-0.73
224,MÓVEL INFANTIL,0.0,0.0,0.0,1.89,0.0,0.0,-2.93,2.9,0.0,0.0,-0.82,0.0,0.0,-0.05
225,COLCHÃO,-0.55,-0.45,1.98,1.8,1.23,2.37,0.5,-1.58,-1.93,0.26,1.9,-0.83,-0.31,0.55
226,UTENSÍLIOS E ENFEITES,1.11,-0.08,-1.45,-0.35,-0.74,-1.29,1.78,0.59,-0.58,0.34,1.74,-1.48,-1.27,-0.37
227,TAPETE,-0.97,1.72,-1.56,-0.62,0.99,-2.02,-0.61,0.0,0.6,1.2,-1.58,-1.93,-2.64,-0.42
228,CORTINA,0.93,-2.52,-2.14,-0.67,-2.8,-1.4,-0.66,0.2,1.83,-0.65,1.85,-2.0,-0.67,-1.59
229,UTENSÍLIOS DE METAL,1.94,0.17,0.32,1.52,2.36,-2.51,4.39,-0.73,-0.32,-2.02,2.0,0.85,-3.92,1.02
230,UTENSÍLIOS DE VIDRO E LOUÇA,0.16,0.07,-1.2,-1.49,-2.66,1.01,2.61,-1.47,-0.31,3.61,1.91,-1.03,0.91,-0.56
231,UTENSÍLIOS DE PLÁSTICO,-1.47,-2.81,0.0,-3.64,0.06,1.33,-1.18,0.74,-2.81,1.42,1.02,-0.85,-2.75,-0.78
232,FLORES NATURAIS,0.0,1.38,0.0,0.0,1.74,0.0,0.0,0.0,-0.28,-5.52,0.0,0.0,3.5,0.81
233,UTENSÍLIOS DIVERSOS,1.91,0.33,-1.59,0.35,-2.98,-1.41,2.07,1.5,-1.46,2.63,3.1,-2.15,0.19,-0.54
234," CAMA, MESA E BANHO",0.55,-3.95,1.78,2.76,-2.14,-0.5,0.05,-1.54,-3.37,1.66,-0.88,0.2,-3.43,-0.73
235,ROUPA DE CAMA,0.82,-5.24,1.74,3.62,-2.98,-0.5,-0.36,-1.9,-3.57,1.53,-0.88,-0.19,-2.31,-1.03
236,ROUPA DE BANHO,-0.12,-0.24,1.89,0.74,-0.5,0.0,2.07,-0.76,-2.59,2.09,0.0,1.15,-6.21,0.15
237,APARELHOS ELETROELETRÔNICOS,-0.97,-0.5,0.27,-0.14,-0.11,1.0,0.03,0.23,0.46,-0.35,-1.16,0.47,0.51,-0.13
238,ELETRODOMÉSTICOS E EQUIPAMENTOS,-0.2,-0.47,-0.21,-0.3,0.38,2.06,0.41,-0.65,0.51,0.02,-1.85,2.21,0.79,0.08
239,REFRIGERADOR,-0.35,0.42,0.24,-0.89,1.53,3.24,1.42,-0.25,1.21,0.86,-2.98,2.52,1.08,0.7
240,AR-CONDICIONADO,1.97,2.77,0.0,1.2,0.0,0.0,1.31,0.0,0.0,-1.42,0.0,3.94,3.74,1.82
241,MÁQUINA DE LAVAR ROUPA,-0.83,-2.39,0.53,-1.97,-0.42,0.41,-0.24,1.59,-2.2,-1.31,-0.52,1.41,0.59,-0.7
242,LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,-2.59,0.0,0.0,0.0,0.0,0.0,0.0,-2.59
243,VENTILADOR,0.25,0.0,0.0,-3.19,0.0,0.0,-1.25,-1.85,0.0,0.0,0.0,0.0,-2.32,-1.41
244,FOGÃO,-0.47,-1.08,-2.18,2.08,0.66,0.75,-0.33,-2.5,0.96,0.25,-1.78,1.42,-0.57,-0.14
245,CHUVEIRO ELÉTRICO,0.0,-1.04,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31
246,FORNO DE MICRO-ONDAS,0.0,-1.63,0.49,0.0,-2.76,0.0,0.0,0.0,0.0,-0.66,0.92,0.0,0.0,-1.62
247," TV, SOM E INFORMÁTICA",-1.99,-0.56,0.96,0.1,-0.83,-0.39,-0.69,1.45,0.4,-1.05,-0.14,-2.04,-0.01,-0.46
248,TELEVISOR,-1.61,-1.55,-0.39,-1.25,-2.62,0.05,-2.06,0.09,-2.5,-1.09,0.28,-2.28,1.28,-1.59
249,APARELHO DE SOM,0.97,0.15,1.89,0.65,2.09,2.7,1.34,1.99,1.27,-2.72,-0.95,-2.82,3.18,1.0
250,APARELHO DE DVD,-2.81,0.5,1.37,-1.91,0.26,2.8,-2.8,0.98,0.74,-3.02,1.52,-1.48,0.61,-0.39
251,ANTENA,0.0,0.0,0.0,0.1,0.0,0.0,-0.69,1.45,0.0,0.0,-1.23,0.0,0.0,-0.04
252,MICROCOMPUTADOR,-3.16,-0.34,1.49,1.55,-0.31,-1.37,1.09,2.71,1.57,-0.37,-0.4,-1.8,-1.55,-0.06
253,CONSERTOS  E  MANUTENÇÃO,0.66,0.69,-0.6,0.95,1.43,0.41,0.12,2.36,-0.16,0.14,2.22,-3.2,0.48,0.73
254,CONSERTOS E MANUTENÇÃO,0.66,0.69,-0.6,0.95,1.43,0.41,0.12,2.36,-0.16,0.14,2.22,-3.2,0.48,0.73
255,CONSERTO DE REFRIGERADOR,0.0,3.09,-2.38,3.44,-1.35,1.35,0.16,0.0,0.15,-2.95,0.0,-0.6,1.01,-0.09
256,CONSERTO DE TELEVISOR,4.61,0.12,-0.28,-0.47,4.3,-0.07,0.0,0.81,-5.09,0.0,2.54,-5.65,-3.32,1.16
257,CONSERTO DE APARELHO DE SOM,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,9.85,0.0,0.0,0.0,0.0,2.58
258,CONSERTO DE MÁQUINA DE LAVAR ROUPA,0.0,-0.26,0.0,0.0,0.8,0.71,0.0,0.0,0.0,2.55,0.0,0.0,-2.38,0.6
259,REFORMA DE ESTOFADO,0.0,0.0,0.0,-0.06,1.94,0.0,0.29,3.09,0.59,0.0,2.74,-4.75,3.25,0.99
260,MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,-1.49,-0.3
261,VESTUÁRIO,0.8,1.46,0.51,1.22,-0.47,0.3,-0.27,-0.13,0.83,-0.53,-0.56,1.01,0.42,0.21
262,ROUPAS,1.43,1.52,0.34,0.98,-0.14,0.39,-0.24,-0.26,0.78,-0.52,-0.64,1.3,0.56,0.33
263,ROUPA MASCULINA,1.35,2.08,-0.01,-0.3,0.45,0.73,-0.06,-2.0,1.87,-0.79,-1.74,1.73,0.54,0.39
264,CALÇA COMPRIDA MASCULINA,1.99,3.36,-0.34,-2.91,-0.34,-0.48,-2.81,-1.42,1.08,-2.54,-1.79,1.54,-1.88,-0.4
265,TERNO,1.85,2.06,-1.58,0.83,0.0,0.0,0.0,0.0,0.0,1.08,0.58,2.21,0.0,0.52
266,AGASALHO MASCULINO,0.0,3.38,-1.27,0.0,2.04,-2.13,0.0,0.0,0.0,-1.01,0.0,1.62,1.26,0.93
267,SHORT E BERMUDA MASCULINA,1.2,-0.41,1.87,-1.24,-0.96,-0.87,3.36,-1.12,3.65,1.98,-0.47,-0.91,2.28,0.86
268,CUECA,0.0,-1.35,0.0,0.29,0.0,0.0,-1.1,-0.39,-0.67,0.0,0.0,0.0,0.0,-0.75
269,CAMISA / CAMISETA MASCULINA,0.86,1.43,0.39,1.65,1.15,2.77,-0.5,-2.96,1.57,-0.14,-2.42,2.93,2.17,0.75
270,ROUPA FEMININA,1.46,1.2,0.51,2.08,-0.91,-0.15,0.06,1.01,-0.12,-0.35,-0.25,0.92,1.42,0.21
271,CALÇA COMPRIDA FEMININA,2.92,0.17,0.47,1.95,0.99,2.93,-1.67,0.88,-0.86,-2.25,0.03,2.7,0.09,0.55
272,AGASALHO FEMININO,0.0,2.73,1.96,0.0,-2.35,0.0,0.0,0.0,0.0,-1.46,0.0,0.0,1.42,0.21
273,SAIA,0.0,0.0,0.0,1.72,0.0,0.0,-2.77,-1.6,-1.34,0.0,-0.78,-1.55,0.0,-1.2
274,VESTIDO,1.25,0.94,0.07,1.3,-1.63,0.57,-2.01,2.56,-0.66,0.96,3.07,2.05,3.97,0.06
275,BLUSA,0.78,1.36,0.74,3.41,-2.57,-2.47,2.91,0.65,-0.3,2.0,-2.9,-0.33,1.28,-0.13
276,LINGERIE,-0.13,2.06,0.66,3.28,1.48,-2.35,-2.87,-0.02,1.74,-2.11,0.83,-1.06,1.26,0.69
277,BERMUDA E SHORT FEMININO,2.28,-0.65,-0.88,-2.81,0.0,0.92,1.98,1.8,2.14,-1.79,0.75,1.13,0.5,0.64
278,ROUPA INFANTIL,1.52,1.2,0.57,1.21,0.58,1.01,-1.3,-0.28,0.72,-0.33,0.49,1.4,-1.14,0.51
279,UNIFORME ESCOLAR,1.66,0.0,0.0,0.0,0.93,0.0,-1.95,0.0,0.47,-0.36,0.0,0.0,0.0,0.4
280,CALÇA COMPRIDA INFANTIL,1.3,-1.35,-1.8,3.43,2.54,1.7,-1.76,-0.45,0.99,1.18,2.53,-1.98,0.95,0.86
281,AGASALHO INFANTIL,0.0,2.97,3.63,0.0,-1.58,0.45,0.0,0.0,0.0,-1.7,0.0,1.4,0.89,0.54
282,VESTIDO INFANTIL,3.01,0.0,-0.7,0.06,1.65,0.53,-2.41,-2.37,1.31,3.12,-2.64,0.64,-0.78,0.51
283,SHORT E BERMUDA INFANTIL,0.52,0.37,2.95,0.06,-1.03,-0.51,-0.32,-2.82,-2.51,-4.47,2.99,0.95,-1.23,-0.16
284,CAMISA / CAMISETA INFANTIL,1.72,2.18,0.27,0.73,0.21,2.65,-1.23,1.44,2.44,-0.91,-0.09,2.52,-2.5,0.65
285,CONJUNTO INFANTIL,0.0,0.0,-0.68,1.97,0.94,-0.77,-0.58,-0.2,0.0,0.0,-2.46,2.77,0.0,0.33
286,CALÇADOS E ACESSÓRIOS,-0.22,1.17,0.92,2.22,-1.06,0.48,-0.41,0.19,1.14,-0.32,-0.69,0.58,0.12,0.05
287,CALÇADOS E ACESSÓRIOS,-0.22,1.17,0.92,2.22,-1.06,0.48,-0.41,0.19,1.14,-0.32,-0.69,0.58,0.12,0.05
288,SAPATO MASCULINO,-0.61,0.78,0.84,2.61,1.55,-0.07,-0.09,-0.59,2.38,1.78,-2.67,1.09,2.27,1.03
289,SAPATO FEMININO,-0.55,2.38,1.24,3.5,-2.84,-1.89,-1.37,0.31,-0.45,0.48,-1.51,3.01,1.02,-0.37
290,SAPATO INFANTIL,0.0,0.0,0.0,-2.05,0.0,0.0,-0.68,0.0,-1.99,0.0,0.0,0.0,0.0,-1.63
291,SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,2.08,0.0,0.0,0.54,0.0,0.6,0.0,0.0,0.0,0.0,1.02
292,SANDÁLIA / CHINELO FEMININO,-0.13,-1.3,2.28,3.38,2.5,-0.17,-0.14,0.21,2.81,-1.04,2.24,-0.32,0.55,1.5
293,SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,1.8,0.0,1.61,-1.21,2.46,-0.65,0.0,0.67,2.11,-2.38,0.42
294,BOLSA,3.27,1.34,3.52,-0.3,-2.7,-1.99,3.2,1.8,1.23,-2.82,2.71,-0.26,-2.77,0.08
295,TÊNIS,-1.35,1.08,-0.77,2.48,-2.12,2.19,-2.32,-1.23,0.4,-0.69,-2.31,-0.31,-0.36,-0.85
296,JÓIAS E BIJUTERIAS,-0.65,2.53,0.12,-0.92,-1.23,-1.42,-0.24,-0.82,0.4,-1.34,0.27,-0.07,0.96,-0.28
297,JÓIAS E BIJUTERIAS,-0.65,2.53,0.12,-0.92,-1.23,-1.42,-0.24,-0.82,0.4,-1.34,0.27,-0.07,0.96,-0.28
298,BIJUTERIA,-1.79,1.16,-0.94,-0.38,-2.45,-2.96,-0.02,1.55,-0.61,-1.37,-1.37,-0.95,3.41,-1.0
299,JÓIA,0.01,3.32,0.91,1.14,-0.14,-0.73,-0.8,0.0,1.6,-1.33,1.66,0.43,-0.91,0.45
300,RELÓGIO DE PULSO,0.0,0.0,0.0,-4.31,0.0,0.0,0.9,-3.25,0.0,0.0,0.0,0.0,0.0,-2.11
301,TECIDOS E ARMARINHO,-0.12,0.8,1.15,0.93,0.64,-0.46,0.5,2.61,-0.76,-2.0,2.5,0.48,-0.68,0.36
302,TECIDOS E ARMARINHO,-0.12,0.8,1.15,0.93,0.64,-0.46,0.5,2.61,-0.76,-2.0,2.5,0.48,-0.68,0.36
303,TECIDO,-1.6,1.13,0.66,0.93,0.04,-1.13,-0.2,2.31,-0.92,-2.62,3.56,1.45,-0.71,-0.14
304,ARTIGOS DE ARMARINHO,0.0,2.33,1.99,0.0,1.57,0.5,1.48,0.0,0.0,-0.21,-0.69,-1.28,-0.62,1.26
305,ACORTINADO (MOSQUITEIRO),2.82,-2.55,0.0,0.0,0.57,0.0,0.0,3.29,-0.01,0.0,0.0,0.0,0.0,1.0
306,TRANSPORTES,0.1,-0.01,-0.45,-0.57,-0.74,-1.03,0.21,0.27,-1.86,-0.62,-0.08,-0.19,-0.25,-0.52
307,TRANSPORTES,0.1,-0.01,-0.45,-0.57,-0.74,-1.03,0.21,0.27,-1.86,-0.62,-0.08,-0.19,-0.25,-0.52
308,TRANSPORTE PÚBLICO,0.55,0.39,0.4,-0.45,0.56,0.21,0.46,0.16,0.5,0.48,0.86,0.63,0.62,0.45
309,ÔNIBUS URBANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,ÔNIBUS INTERMUNICIPAL,0.0,0.33,0.42,0.0,0.0,0.0,2.8,0.0,-0.01,-0.59,0.23,0.0,0.28,0.18
313,ÔNIBUS  INTERESTADUAL,0.0,-0.81,0.73,-8.36,-3.87,1.03,3.18,0.0,-2.52,0.59,0.95,0.01,0.64,-1.94
314,PASSAGEM AÉREA,8.09,8.24,6.72,11.48,9.9,0.39,0.67,5.48,8.55,4.5,11.94,4.79,6.48,6.89
315,METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,0.0,0.0,0.0,0.0,0.0,0.0,-1.05
317,TRANSPORTE ESCOLAR,0.0,-1.59,0.0,0.0,0.0,0.55,0.0,0.0,14.73,0.19,0.0,-6.45,0.0,1.0
318,VEÍCULO PRÓPRIO,-0.17,0.44,0.06,0.19,0.73,0.5,0.71,0.34,-0.23,0.01,-0.11,-0.13,1.05,0.32
319,AUTOMÓVEL  NOVO,-1.43,0.11,0.14,1.0,1.16,1.11,0.67,-1.52,0.59,-0.4,0.69,-0.71,1.84,0.43
320,EMPLACAMENTO E  LICENÇA,0.35,0.34,0.26,0.34,0.37,0.34,0.39,0.85,0.34,0.33,0.32,0.33,0.35,0.35
321,SEGURO VOLUNTÁRIO DE VEÍCULO,7.23,0.83,0.01,4.86,-0.42,-4.06,0.0,-4.65,-4.82,0.73,0.0,2.89,-7.07,0.67
322,MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,ÓLEO LUBRIFICANTE,0.27,1.12,0.57,0.08,0.79,1.61,-0.9,1.95,0.81,0.79,-0.66,0.0,-2.88,0.59
324,ACESSÓRIOS E PEÇAS,0.2,-1.11,-2.22,-2.27,-1.4,-0.85,-0.47,-0.47,0.79,-0.53,1.08,0.66,1.83,-0.87
325,PNEU,-0.63,-0.33,-0.5,0.59,1.2,-0.56,-0.57,0.46,-1.35,1.94,-1.19,0.62,1.31,0.27
326,CONSERTO DE AUTOMÓVEL,-0.38,0.83,1.63,-2.07,1.02,0.64,2.85,1.56,-0.12,2.27,-0.14,-0.08,0.18,0.81
327,ESTACIONAMENTO,-1.1,0.19,-0.38,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51
328,PEDÁGIO,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.09
329,LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,0.48,-1.98,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,4.79,-1.11
330,AUTOMÓVEL USADO,-0.31,1.63,-1.24,0.0,1.07,0.55,1.7,1.55,-1.04,-2.41,-1.67,0.43,1.05,-0.32
331,PINTURA DE VEÍCULO,0.0,0.0,0.0,1.31,-2.23,-0.92,0.0,0.0,1.13,0.41,0.0,-1.92,0.0,-1.25
332,ALUGUEL DE VEÍCULO,-2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.93
333,MOTOCICLETA,2.13,1.53,-0.73,0.71,1.02,0.28,0.02,1.38,-1.89,1.25,-1.22,0.49,1.59,0.43
334,COMBUSTÍVEIS (VEÍCULOS),-0.42,-0.93,-1.98,-2.21,-4.13,-4.44,-1.02,0.28,-7.87,-2.61,-0.48,-0.92,-3.1,-2.84
335,GASOLINA,-0.53,-0.91,-1.86,-2.77,-3.84,-4.47,-0.99,0.44,-8.71,-2.49,-0.2,-0.92,-3.36,-2.65
336,ETANOL,-0.91,-1.34,-3.98,-0.43,-5.79,-4.19,0.0,-0.13,-7.45,-3.4,-1.69,-1.28,-2.13,-4.66
337,ÓLEO DIESEL,0.0,-0.1,-0.48,0.0,-1.43,0.0,-1.32,-0.95,-1.69,-0.33,-1.73,-0.92,-2.26,-1.16
338,GÁS VEICULAR,0.57,0.0,0.0,2.55,7.1,0.0,0.0,0.0,-0.41,0.0,0.0,0.32,0.0,3.02
339,SAÚDE E CUIDADOS PESSOAIS,0.39,0.38,0.55,0.56,0.49,0.33,0.22,0.53,0.23,0.78,0.13,0.4,0.54,0.46
340,PRODUTOS FARMACÊUTICOS E ÓTICOS,-0.37,0.24,1.03,0.84,0.03,0.42,-0.06,0.96,0.15,1.07,0.02,0.08,1.01,0.3
341,PRODUTOS FARMACÊUTICOS,-0.41,0.32,1.07,0.96,-0.03,0.44,-0.06,1.24,0.24,1.16,0.09,-0.09,0.97,0.31
342,ANTI-INFECCIOSO E ANTIBIÓTICO,1.92,0.25,2.98,-0.15,-0.2,1.07,-0.84,0.78,2.25,0.97,0.68,-1.93,0.51,0.85
343,ANALGÉSICO E ANTITÉRMICO,-1.52,0.46,0.74,-0.57,0.76,0.68,0.19,1.2,0.11,1.29,-0.18,0.07,0.46,0.35
344,ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,0.09,0.73,2.69,2.84,2.99,0.12,0.32,1.02,-2.71,1.3,1.55,-0.12,1.88,1.48
345,ANTIGRIPAL E ANTITUSSÍGENO,-0.41,1.42,-0.48,-2.8,-0.31,0.3,0.02,0.95,1.21,-1.31,-0.32,1.08,0.75,-0.18
346,DERMATOLÓGICO,-0.14,-0.21,0.58,1.77,-1.01,0.0,-0.22,0.84,2.11,-0.4,0.86,-0.18,2.79,0.07
347,ANTIALÉRGICO E  BRONCODILATADOR,1.12,0.42,0.54,0.8,0.54,1.06,0.6,1.07,0.96,1.11,0.07,-0.14,0.63,0.67
348,GASTROPROTETOR,-0.57,0.02,1.45,0.91,-0.42,0.6,-0.16,1.64,2.27,0.45,1.34,0.8,1.39,0.37
349,VITAMINA E FORTIFICANTE,-0.08,-0.31,0.47,0.44,2.29,0.04,-0.15,2.1,-1.58,-1.48,-0.1,-0.27,0.31,0.4
350,HORMÔNIO,1.08,-0.4,0.62,2.24,-2.29,0.09,-0.35,0.17,-0.17,-0.31,-0.55,-0.35,1.44,-0.53
351,PSICOTRÓPICO E ANOREXÍGENO,-0.24,0.87,0.43,2.19,-0.47,0.53,-0.26,2.15,1.7,1.48,0.23,0.5,1.53,0.47
352,HIPOTENSOR E HIPOCOLESTEROLEMICO,-1.85,0.18,1.11,1.15,-0.65,0.19,-0.21,1.27,-0.34,4.07,-0.68,-0.23,0.51,0.06
353,OFTALMOLÓGICO,0.4,-0.39,1.04,1.49,-2.49,0.0,0.0,-0.08,0.26,-0.45,-0.73,-0.61,0.32,-0.48
354,PRODUTOS ÓTICOS,0.52,-0.72,0.22,0.0,0.93,0.08,-0.03,-0.53,-0.77,-0.49,-0.93,2.8,1.55,0.13
355,ARMAÇÃO DE ÓCULOS,0.0,-1.75,0.0,0.0,0.76,0.0,0.0,-2.34,-2.11,0.37,0.0,0.0,0.0,-0.17
356,ÓCULOS SEM GRAU,1.04,-2.65,1.77,1.27,1.93,0.0,0.68,-2.17,-2.39,-0.34,-1.92,1.3,0.47,0.24
357,LENTES DE ÓCULOS E DE CONTATO,0.15,0.63,-0.79,-1.07,0.43,0.08,-0.54,0.46,1.03,-0.9,0.31,3.57,2.09,0.15
358,SERVIÇOS DE SAÚDE,0.88,0.87,0.69,0.93,0.98,0.68,0.74,0.85,0.63,0.69,0.94,0.98,0.75,0.87
359,SERVIÇOS MÉDICOS E DENTÁRIOS,0.2,1.0,0.51,0.12,1.02,0.02,0.03,0.41,0.11,0.51,1.14,1.07,0.17,0.63
360,MÉDICO,-0.52,1.59,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,1.27,1.29,0.24
361,DENTISTA,0.17,0.05,1.07,0.11,1.55,0.04,0.08,0.51,0.24,0.61,0.38,0.56,-1.01,0.84
