Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
185, ALUGUEL RESIDENCIAL,0.2,0.36,0.12,0.76,0.44,0.05,0.27,0.0,0.16,0.37,0.27,0.36,0.4,0.32
186, CONDOMÍNIO,0.99,0.23,0.39,1.15,1.04,1.79,0.4,0.0,0.0,0.22,0.06,1.15,0.04,0.75
187, TAXA DE ÁGUA E ESGOTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,0.0,0.0,0.0,0.5
188, MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.88,1.95,0.0,4.15,-0.1
189, REPAROS,0.3,0.22,0.33,0.34,0.37,0.35,-0.17,0.01,-0.18,0.24,0.24,0.41,0.02,0.25
190, FERRAGENS,0.0,0.0,1.69,0.0,0.81,0.0,0.0,1.53,0.0,-0.3,2.66,0.27,0.0,1.08
191, MATERIAL DE ELETRICIDADE,0.0,-2.01,0.0,0.0,0.0,0.0,2.27,0.0,0.0,-0.06,0.0,0.0,0.0,-0.08
192, MATERIAL DE PINTURA,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-1.6,0.0,0.0,0.32,0.51,0.46
193, VIDRO,-2.75,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7
194, TINTA,1.03,0.11,0.09,-0.34,0.13,-1.06,0.91,0.03,0.02,-0.24,1.06,2.07,-0.95,0.2
195, REVESTIMENTO DE PISO E PAREDE,-2.3,0.58,-1.64,-0.99,0.53,-2.03,1.26,0.2,-3.18,-0.51,0.08,-0.29,-0.87,-0.55
196, CIMENTO,0.01,-1.4,-0.67,0.12,-0.07,0.66,-2.48,-3.53,-0.29,-0.57,-2.42,-1.67,-1.47,-0.7
197, TIJOLO,0.0,-0.23,0.14,1.29,-0.56,0.53,-3.28,-0.62,0.29,0.48,0.69,0.82,0.0,-0.2
198, MATERIAL HIDRÁULICO,0.0,0.0,-0.39,0.0,-0.6,0.0,-0.44,0.0,-0.66,0.49,0.0,0.31,0.0,-0.39
199, MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
200, AREIA ,-0.16,0.0,0.34,0.0,0.0,0.0,0.0,-1.21,0.1,0.01,-0.45,-0.51,0.0,-0.11
201, TELHA,1.68,0.0,0.05,0.0,0.0,0.0,-1.88,-0.06,-2.01,-0.17,-1.88,-0.54,0.0,-0.11
202, ARTIGOS DE LIMPEZA,-1.12,0.11,0.93,-1.88,-0.21,-0.39,-0.37,0.61,0.92,0.05,-0.62,-0.41,-1.69,-0.14
203, ÁGUA SANITÁRIA,-1.81,0.0,-0.17,3.98,-1.15,2.35,2.14,0.33,2.9,0.89,0.0,0.0,0.0,0.4
204, DETERGENTE,-2.58,-0.86,1.83,-1.47,0.07,1.26,0.68,0.17,1.73,0.08,0.92,-0.01,-2.05,0.04
205, SABÃO EM PÓ,-1.35,-0.57,1.1,-4.25,-0.25,-1.89,-2.73,-0.69,-0.16,0.01,-1.49,-0.79,-1.78,-0.74
206, DESINFETANTE,-1.67,-2.95,0.53,0.4,0.0,0.45,-1.8,-0.18,0.5,-1.54,-1.06,-2.28,1.92,-0.67
207, INSETICIDA,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75
208, SABÃO EM BARRA,-1.42,0.99,-0.18,-2.23,-2.4,-0.22,2.31,3.53,3.44,-1.1,-1.65,0.64,-1.2,-0.12
209, ESPONJA DE LIMPEZA,0.0,1.79,3.36,3.25,-0.55,0.0,0.71,1.21,0.0,-2.61,-1.02,1.37,-4.91,0.39
210, AMACIANTE,1.81,2.95,-0.46,0.0,0.97,0.07,1.75,-0.04,-0.57,1.62,1.55,-0.43,-1.55,1.03
211, COMBUSTÍVEIS E ENERGIA,4.4,5.7,3.78,15.14,7.61,2.93,2.71,5.92,9.4,6.87,2.6,5.43,11.67,6.31
212, COMBUSTÍVEIS (DOMÉSTICOS),0.7,-1.76,-0.5,-1.07,0.77,-0.44,-1.52,-0.85,-2.94,-0.98,-0.27,0.09,0.12,-0.51
213, CARVÃO VEGETAL,0.0,-8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.15
214, GÁS DE BOTIJÃO,0.63,-1.31,-0.5,-1.07,0.85,-0.44,-1.52,-0.85,-2.94,-1.06,-0.27,0.09,0.12,-0.53
215, GÁS ENCANADO,0.91,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
216, ENERGIA ELÉTRICA RESIDENCIAL,5.56,8.64,5.52,24.05,9.87,3.83,4.48,10.44,19.27,9.56,3.8,7.13,16.41,8.98
217, ENERGIA ELÉTRICA RESIDENCIAL,5.56,8.64,5.52,24.05,9.87,3.83,4.48,10.44,19.27,9.56,3.8,7.13,16.41,8.98
218, ARTIGOS DE RESIDÊNCIA,-0.04,-0.09,0.13,-0.61,-0.28,0.46,-0.76,-0.69,-0.28,-0.44,0.11,-0.7,-0.11,-0.23
219, MÓVEIS E UTENSÍLIOS,-1.11,0.18,0.26,-0.02,-0.31,0.68,-0.88,-0.68,0.1,-0.65,0.57,-1.0,-0.09,-0.22
220, MOBILIÁRIO,-1.47,-0.21,-0.08,-0.41,-0.64,1.28,-1.14,-0.8,-0.48,-1.56,0.94,-1.52,0.68,-0.57
221, MÓVEL PARA SALA,-0.33,-0.73,0.05,0.04,0.27,2.36,-2.29,-1.42,-2.62,-0.6,0.42,-2.39,-0.09,-0.38
222, MÓVEL PARA QUARTO,-3.26,-0.92,-0.37,-0.61,-1.68,-0.13,-1.34,-1.39,3.03,-3.08,-0.03,-1.26,0.87,-1.28
223, MÓVEL PARA COPA E COZINHA,0.99,1.98,-0.29,-2.83,-0.5,-2.2,-1.66,-0.3,0.32,-0.34,2.94,-0.48,1.56,-0.03
224, MÓVEL INFANTIL,0.0,0.0,0.0,1.22,0.0,0.0,1.02,0.9,0.0,0.0,-2.35,0.0,0.0,0.56
225, COLCHÃO,-2.89,1.3,0.61,0.61,0.37,1.11,0.79,1.43,2.76,-1.39,3.95,-0.1,1.92,0.48
226, UTENSÍLIOS E ENFEITES,-0.24,0.91,1.24,1.09,1.01,0.36,0.43,0.44,0.44,0.25,-0.57,-0.31,0.09,0.71
227, TAPETE,-2.1,2.04,0.76,0.02,0.7,0.72,0.01,0.0,0.03,1.88,-0.46,-1.46,-2.0,0.64
228, CORTINA,0.44,0.69,2.23,0.12,1.24,-1.71,0.13,1.45,-1.23,-1.54,0.53,-0.33,-0.43,0.68
229, UTENSÍLIOS DE METAL,-2.37,0.29,-0.85,2.44,0.92,1.77,-2.18,1.4,-0.07,1.14,0.85,-2.06,-1.04,0.22
230, UTENSÍLIOS DE VIDRO E LOUÇA,-1.02,1.6,0.56,-2.46,-1.57,1.77,0.59,1.73,-2.15,-1.96,-2.15,-0.58,-1.63,-0.61
231, UTENSÍLIOS DE PLÁSTICO,-1.05,1.75,0.0,0.04,0.57,-1.71,2.12,-0.26,1.56,-1.36,-3.29,-2.07,1.82,0.34
232, FLORES NATURAIS,0.0,2.82,0.0,0.0,2.83,0.0,0.0,0.0,4.37,3.93,0.0,0.0,3.45,3.14
233, UTENSÍLIOS DIVERSOS,0.91,-0.12,2.47,3.15,1.53,0.41,2.03,0.06,1.19,0.6,-0.67,2.61,1.43,1.32
234," CAMA, MESA E BANHO",-0.45,0.31,-0.3,-0.14,-1.7,-1.75,-1.65,-1.71,1.88,1.55,0.9,0.04,-3.51,-0.42
235, ROUPA DE CAMA,0.44,1.28,0.08,-1.75,-1.23,-1.75,-1.91,-0.04,1.91,1.86,0.9,0.91,-2.77,-0.1
236, ROUPA DE BANHO,-2.68,-2.41,-1.27,3.89,-2.61,0.0,-0.35,-5.1,1.76,0.53,0.0,-1.98,-5.31,-1.34
237, APARELHOS ELETROELETRÔNICOS,1.79,-0.6,-0.15,-1.49,-0.41,0.08,-0.69,-0.78,-0.84,-0.45,-0.29,-0.34,0.05,-0.28
238, ELETRODOMÉSTICOS E EQUIPAMENTOS,2.89,-1.11,0.16,-1.01,-0.2,-0.36,-1.29,-0.52,-1.13,0.15,0.11,-0.36,0.97,-0.12
239, REFRIGERADOR,4.3,-1.66,0.31,-0.68,0.68,0.67,-1.33,-0.67,-0.8,1.44,1.01,0.37,1.08,0.4
240, AR-CONDICIONADO,3.38,-3.36,0.0,0.55,0.0,0.0,-3.71,0.0,0.0,-0.15,0.0,0.45,-1.48,-0.65
241, MÁQUINA DE LAVAR ROUPA,3.33,1.65,-0.49,-0.32,-1.24,-1.09,-2.23,-2.54,0.16,-0.7,-0.22,-2.25,2.77,-0.29
242, LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2.02
243, VENTILADOR,2.39,0.0,0.0,-1.11,0.0,0.0,0.22,-0.81,0.0,0.0,0.0,0.0,2.76,0.51
244, FOGÃO,0.29,-2.15,0.31,-2.29,-0.73,-2.5,-1.12,1.39,-3.16,-1.96,-0.43,-0.71,-0.12,-1.02
245, CHUVEIRO ELÉTRICO,0.0,-0.14,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
246, FORNO DE MICRO-ONDAS,0.0,-1.17,0.58,0.0,-1.12,0.0,0.0,0.0,0.0,-0.02,-3.0,0.0,0.0,-0.84
247," TV, SOM E INFORMÁTICA",0.37,0.38,-0.59,-2.22,-0.7,0.65,0.5,-1.15,-0.43,-1.55,-0.86,-0.31,-1.63,-0.53
248, TELEVISOR,-0.5,0.3,1.39,-2.91,0.32,2.25,-0.38,-1.73,0.86,-1.06,0.04,2.11,-1.38,0.03
249, APARELHO DE SOM,-1.1,-0.92,-1.5,-0.88,0.08,-2.62,1.09,-1.49,1.07,2.23,1.67,-0.78,-0.29,-0.28
250, APARELHO DE DVD,1.51,1.92,1.69,-1.06,2.29,-3.39,3.99,3.74,-0.85,-2.53,-1.49,1.94,1.48,1.27
251, ANTENA,0.0,0.0,0.0,-2.22,0.0,0.0,0.5,-1.15,0.0,0.0,2.27,0.0,0.0,-0.24
252, MICROCOMPUTADOR,1.4,0.61,-1.94,-2.68,-2.06,0.43,-0.84,-2.69,-1.25,-2.45,-2.07,-2.34,-2.46,-1.34
253, CONSERTOS  E  MANUTENÇÃO,-2.47,0.48,0.41,0.42,0.41,0.69,-0.45,-0.28,0.22,0.68,-0.34,0.01,-0.71,-0.04
254, CONSERTOS E MANUTENÇÃO,-2.47,0.48,0.41,0.42,0.41,0.69,-0.45,-0.28,0.22,0.68,-0.34,0.01,-0.71,-0.04
255, CONSERTO DE REFRIGERADOR,0.0,1.88,0.0,-0.34,1.76,1.92,0.76,0.0,0.75,-0.24,0.0,2.6,0.0,0.85
256, CONSERTO DE TELEVISOR,0.0,0.18,0.98,1.88,-0.22,5.59,0.0,0.0,3.08,0.0,-1.01,1.43,-0.28,0.56
257, CONSERTO DE APARELHO DE SOM,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.66
258, CONSERTO DE MÁQUINA DE LAVAR ROUPA ,0.0,-0.12,0.0,0.0,-0.09,0.0,-2.21,0.0,0.0,2.97,0.0,0.0,2.44,0.23
259, REFORMA DE ESTOFADO,-5.65,0.24,0.13,0.0,0.37,-3.93,-1.27,-0.42,-1.26,0.0,-0.13,-2.19,-2.43,-1.0
260, MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.29,0.83
261, VESTUÁRIO,0.93,0.67,0.85,1.33,1.38,0.19,0.3,0.59,0.88,1.38,0.05,1.13,0.37,0.98
262, ROUPAS,1.05,0.93,1.46,1.57,1.44,0.09,0.15,0.61,1.01,1.15,0.05,1.5,0.39,1.09
263, ROUPA MASCULINA,-0.13,0.39,0.76,1.49,1.65,-0.57,-0.04,1.06,1.72,0.87,-0.61,3.54,1.02,0.98
264, CALÇA COMPRIDA MASCULINA ,0.39,-1.88,3.25,1.33,2.44,-0.62,-1.22,2.62,0.13,0.58,-0.98,3.95,2.01,1.12
265, TERNO,-1.91,1.21,0.61,1.4,0.0,0.0,0.0,0.0,0.0,-1.68,-1.22,0.52,0.0,-0.49
266, AGASALHO MASCULINO,0.0,3.93,3.51,0.0,0.15,0.8,0.0,0.0,0.0,2.23,0.0,3.29,1.02,2.06
267, SHORT E BERMUDA MASCULINA,3.5,-1.0,-0.29,-0.82,1.05,1.26,-1.31,1.1,0.95,-0.43,2.9,3.9,0.04,0.67
268, CUECA,0.0,3.33,0.0,3.05,0.0,0.0,1.33,-1.17,1.58,0.0,0.0,0.0,0.0,1.93
269, CAMISA / CAMISETA MASCULINA,-1.52,0.86,-1.08,2.53,1.44,-1.38,1.59,0.35,3.11,1.73,-0.98,3.59,0.42,0.98
270, ROUPA FEMININA,1.73,1.04,1.88,2.3,1.04,0.69,0.2,0.59,0.56,1.18,0.43,0.42,-1.23,1.1
271, CALÇA COMPRIDA FEMININA,1.94,2.6,3.89,1.82,1.65,-2.3,0.18,-1.1,0.93,1.3,2.74,3.81,-0.39,1.69
272, AGASALHO FEMININO,0.0,3.93,1.54,0.0,0.16,0.0,0.0,0.0,0.0,0.29,0.0,0.0,-1.23,1.6
273, SAIA,0.0,0.0,0.0,-0.51,0.0,0.0,1.68,1.59,2.08,0.0,2.27,-2.39,0.0,1.16
274, VESTIDO,0.22,2.45,1.18,2.54,2.64,3.03,-1.47,-1.16,1.48,2.49,-1.76,-1.51,-2.35,1.28
275, BLUSA,3.29,-1.46,0.88,3.5,-0.82,1.86,0.77,1.95,0.26,1.02,-0.2,-0.39,-2.29,0.52
276, LINGERIE,0.09,-0.12,0.62,2.41,3.69,1.89,0.1,1.16,1.75,2.36,-2.34,2.51,2.31,1.84
277, BERMUDA E SHORT FEMININO,-1.5,0.96,1.32,0.14,0.0,0.18,0.06,1.56,-2.25,-2.41,2.1,1.79,-0.83,-0.37
278, ROUPA INFANTIL,1.58,1.77,1.78,-0.02,2.0,0.08,0.43,-0.41,0.59,1.74,0.33,0.21,2.72,1.33
279, UNIFORME ESCOLAR,2.23,0.0,0.0,0.0,-0.98,0.0,-1.75,0.0,1.06,0.58,0.0,0.0,0.0,-0.1
280, CALÇA COMPRIDA INFANTIL,-2.17,2.4,1.59,1.28,2.56,1.1,1.87,-1.9,-1.62,-0.12,2.41,3.44,2.67,1.29
281, AGASALHO INFANTIL,0.0,3.92,3.73,0.0,2.21,-0.12,0.0,0.0,0.0,3.72,0.0,0.21,1.8,2.81
282, VESTIDO INFANTIL,1.89,0.0,3.6,2.51,3.32,-2.86,-0.56,-2.12,3.55,0.05,-1.17,2.69,3.53,1.72
283, SHORT E BERMUDA INFANTIL,2.71,0.05,1.44,0.68,3.47,-0.88,0.98,0.45,1.85,-2.32,1.05,0.99,0.67,1.52
284, CAMISA / CAMISETA INFANTIL,2.26,1.07,1.13,-2.12,1.49,1.63,1.68,-0.81,-0.6,3.91,0.0,-1.27,3.56,1.2
285, CONJUNTO INFANTIL,0.0,0.0,1.8,1.25,1.55,-0.76,-2.89,2.52,0.0,0.0,-3.18,-2.89,0.0,0.56
286, CALÇADOS E ACESSÓRIOS,0.61,0.4,-0.16,1.04,1.3,0.16,0.35,1.07,1.25,1.71,0.13,0.86,0.53,0.85
287, CALÇADOS E ACESSÓRIOS,0.61,0.4,-0.16,1.04,1.3,0.16,0.35,1.07,1.25,1.71,0.13,0.86,0.53,0.85
288, SAPATO MASCULINO,3.6,-0.08,-2.0,1.27,-0.55,-0.63,1.4,2.16,0.95,3.6,2.94,0.44,-1.26,0.78
289, SAPATO FEMININO,1.76,0.15,0.07,-1.1,3.77,-2.88,0.18,1.38,0.27,1.34,-1.85,3.93,1.8,1.46
290, SAPATO INFANTIL,0.0,0.0,0.0,2.86,0.0,0.0,-0.85,0.0,2.09,0.0,0.0,0.0,0.0,1.45
291, SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,-0.71,0.0,0.0,-0.75,0.0,2.56,0.0,0.0,0.0,0.0,0.24
292, SANDÁLIA / CHINELO FEMININO,1.92,-1.99,0.06,0.52,0.53,-0.64,-1.61,1.5,2.95,0.64,-1.09,1.69,-1.37,0.56
293, SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,0.31,0.0,-1.72,-0.17,-2.49,-1.12,0.0,-1.44,-0.96,0.33,-0.86
294, BOLSA ,1.05,1.83,-2.38,2.87,2.12,-1.07,2.42,1.92,0.98,1.6,0.43,-0.21,0.8,1.31
295, TÊNIS,-1.45,0.73,0.52,1.71,0.86,2.13,1.17,0.72,0.2,1.55,0.87,-0.69,1.65,0.69
296, JÓIAS E BIJUTERIAS,1.15,-0.32,-0.57,0.19,1.65,1.67,1.27,-2.26,-1.78,2.28,-0.66,-1.63,-0.74,0.49
297, JÓIAS E BIJUTERIAS,1.15,-0.32,-0.57,0.19,1.65,1.67,1.27,-2.26,-1.78,2.28,-0.66,-1.63,-0.74,0.49
298, BIJUTERIA,-2.34,2.89,0.41,-0.95,2.78,-0.24,0.08,-2.03,-2.15,0.43,0.55,-2.84,-0.61,0.44
299, JÓIA,3.3,-2.09,-1.29,-0.37,0.67,2.56,3.36,0.0,-1.34,3.32,-1.66,-0.94,-0.83,0.6
300, RELÓGIO DE PULSO,0.0,0.0,0.0,2.89,0.0,0.0,-1.92,-2.5,0.0,0.0,0.0,0.0,0.0,-0.48
301, TECIDOS E ARMARINHO,1.19,0.39,-0.25,0.94,-0.65,-0.93,-0.9,0.39,1.11,1.72,1.06,0.58,0.29,0.3
302, TECIDOS E ARMARINHO,1.19,0.39,-0.25,0.94,-0.65,-0.93,-0.9,0.39,1.11,1.72,1.06,0.58,0.29,0.3
303, TECIDO,1.87,1.36,-0.37,0.94,0.12,-2.05,-0.74,-0.45,0.37,1.75,1.16,0.14,0.56,0.56
304, ARTIGOS DE ARMARINHO,0.0,0.39,-0.04,0.0,-0.68,0.73,-1.13,0.0,0.0,1.62,0.76,1.38,-0.2,-0.01
305, ACORTINADO (MOSQUITEIRO),-0.14,-1.23,0.0,0.0,-1.45,0.0,0.0,2.4,4.58,0.0,0.0,0.0,0.0,-0.27
306, TRANSPORTES,-0.78,1.34,-0.5,-0.33,-0.92,-0.68,-0.54,1.45,-0.34,-0.54,0.18,-0.18,-0.68,-0.42
307, TRANSPORTES,-0.78,1.34,-0.5,-0.33,-0.92,-0.68,-0.54,1.45,-0.34,-0.54,0.18,-0.18,-0.68,-0.42
308, TRANSPORTE PÚBLICO,-1.4,-0.77,-0.82,-0.81,-0.59,-0.9,-0.04,-0.24,-0.69,-1.66,-1.57,-3.32,-1.72,-0.91
309, ÔNIBUS URBANO,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
310, TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311, TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312, ÔNIBUS INTERMUNICIPAL,0.0,0.0,-0.39,0.0,0.0,0.0,10.21,0.0,0.0,0.0,0.0,0.0,0.97,0.38
313, ÔNIBUS  INTERESTADUAL,0.0,0.47,1.06,-1.27,0.39,0.0,-1.97,1.4,0.0,-0.04,-0.53,0.03,-1.62,-0.03
314, PASSAGEM AÉREA,-17.32,-16.34,-16.86,-15.27,-6.99,-2.63,-18.43,-8.61,-12.17,-13.34,-20.45,-17.39,-19.07,-11.81
315, METRÔ,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
316, TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,-0.96,0.0,0.0,0.0,0.0,0.0,0.0,-0.96
317, TRANSPORTE ESCOLAR,0.0,0.53,0.49,0.0,-1.09,-0.97,0.0,0.0,0.0,0.78,0.0,0.0,0.0,-0.26
318, VEÍCULO PRÓPRIO,0.17,0.21,-0.1,0.05,-0.94,0.42,-0.02,1.28,-0.56,-0.11,-0.03,0.29,-0.09,-0.3
319, AUTOMÓVEL  NOVO,0.68,0.38,0.26,-0.88,-2.16,0.25,-0.9,0.74,-1.33,-0.73,0.9,-0.3,-0.71,-0.85
320, EMPLACAMENTO E  LICENÇA,0.34,0.34,0.26,0.34,0.37,0.34,0.39,0.84,0.34,0.33,0.33,0.33,0.35,0.35
321, SEGURO VOLUNTÁRIO DE VEÍCULO,-1.34,-4.81,-1.32,4.18,-1.22,-1.22,0.0,0.0,2.28,-0.43,-0.43,3.29,6.0,-1.06
322, MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323, ÓLEO LUBRIFICANTE,0.59,0.68,-1.34,-0.32,0.85,-1.11,-2.25,1.84,-0.59,0.03,1.62,0.0,-0.15,0.26
324, ACESSÓRIOS E PEÇAS,1.57,3.23,0.55,-0.44,0.76,0.86,2.94,0.29,0.45,-0.93,0.8,0.38,0.78,0.97
325, PNEU ,0.75,1.19,1.11,2.17,-1.28,1.55,2.48,-0.19,-1.97,-1.43,0.7,-0.09,0.28,-0.14
326, CONSERTO DE AUTOMÓVEL,0.68,-1.09,-0.87,1.12,-1.07,1.85,-3.2,1.96,0.83,-0.04,1.22,0.09,0.25,-0.29
327, ESTACIONAMENTO,0.04,-2.79,0.95,0.0,-0.21,0.0,0.0,-0.54,0.0,0.0,0.0,0.0,0.0,-0.19
328, PEDÁGIO,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.21
329, LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,1.84,-0.17,0.0,0.0,0.0,0.0,-3.15,0.0,0.0,0.07,-0.26
330, AUTOMÓVEL USADO,-2.98,2.13,-0.67,0.0,0.33,-0.17,1.7,-2.12,-1.13,1.79,-2.75,1.53,-1.9,-0.04
331, PINTURA DE VEÍCULO,0.0,0.0,0.0,-3.81,-0.23,1.4,0.0,0.0,2.9,1.08,0.0,-0.28,0.0,0.09
332, ALUGUEL DE VEÍCULO,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
333, MOTOCICLETA,-1.43,0.75,1.18,0.04,-0.05,-1.02,1.16,3.21,-0.2,-1.95,-2.24,1.85,1.08,0.14
334, COMBUSTÍVEIS (VEÍCULOS),-1.0,4.41,-0.86,-0.45,-1.14,-2.05,-2.3,4.06,0.49,-0.62,1.31,1.37,-1.25,-0.17
335, GASOLINA,-0.91,4.97,-0.69,-0.35,-0.55,-1.94,-2.29,4.62,1.5,-0.58,1.79,1.6,-1.09,0.33
336, ETANOL,-3.77,-0.49,-3.41,-1.14,-2.47,-3.07,0.0,2.43,-3.44,-0.59,-0.68,-1.41,-2.11,-2.17
337, ÓLEO DIESEL,0.0,-0.31,0.8,0.0,0.37,0.0,-2.41,0.68,-0.09,-1.58,-0.71,-0.65,-1.62,-0.32
338, GÁS VEICULAR,0.09,0.0,0.0,2.36,-0.92,0.0,0.0,0.0,-0.03,0.0,0.0,1.04,0.0,-0.22
339, SAÚDE E CUIDADOS PESSOAIS,0.49,0.57,0.4,0.81,0.66,1.25,0.76,0.4,0.92,0.39,0.91,0.7,0.28,0.62
340, PRODUTOS FARMACÊUTICOS E ÓTICOS,0.37,0.9,0.4,1.65,0.73,1.9,0.68,0.75,1.22,0.14,1.72,0.11,-1.2,0.72
341, PRODUTOS FARMACÊUTICOS,0.29,1.07,0.51,1.96,0.81,1.97,0.84,0.99,1.34,0.24,1.9,0.13,-1.24,0.82
342, ANTI-INFECCIOSO E ANTIBIÓTICO,1.84,0.39,0.42,2.28,0.2,1.71,0.01,1.06,2.4,2.03,2.28,0.77,-1.54,0.91
343, ANALGÉSICO E ANTITÉRMICO,-0.14,2.09,0.48,1.73,0.65,1.49,1.16,1.08,1.94,0.42,1.98,1.43,0.42,0.97
344, ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,0.51,0.77,-1.37,0.44,0.59,2.12,1.11,2.82,2.7,0.52,1.99,0.66,-3.39,0.7
345, ANTIGRIPAL E ANTITUSSÍGENO,0.81,-1.86,0.27,2.94,0.1,2.61,0.45,0.89,1.26,0.29,1.71,-0.11,-2.98,0.45
346, DERMATOLÓGICO,1.19,0.55,0.32,0.89,0.06,0.0,0.19,1.9,-0.84,2.26,2.29,0.42,-2.74,0.51
347, ANTIALÉRGICO E  BRONCODILATADOR,-0.17,1.58,1.1,1.87,0.19,1.39,0.75,0.86,1.07,-0.06,1.29,0.35,-1.62,0.63
348, GASTROPROTETOR,-0.64,2.9,1.48,1.44,0.23,1.98,0.13,1.15,0.46,0.84,2.5,2.13,1.91,0.91
349, VITAMINA E FORTIFICANTE,-0.83,0.63,-2.55,3.25,-0.29,1.34,1.96,0.86,0.47,1.17,2.6,-0.95,-1.22,0.34
350, HORMÔNIO,2.05,1.54,1.29,2.71,0.75,1.76,1.0,-0.6,2.02,-1.85,2.21,-0.38,-0.72,1.01
351, PSICOTRÓPICO E ANOREXÍGENO,0.32,1.52,0.32,2.7,1.05,2.1,1.33,1.14,2.06,-1.6,1.53,0.8,-0.29,0.8
352, HIPOTENSOR E HIPOCOLESTEROLEMICO,-0.2,0.45,1.17,1.52,2.07,2.33,0.8,1.08,-0.05,0.38,1.53,-1.53,-2.64,0.94
353, OFTALMOLÓGICO,-1.43,1.58,0.8,0.62,1.26,0.0,0.63,-1.57,1.84,3.54,1.39,1.11,-1.52,0.9
354, PRODUTOS ÓTICOS,2.23,-1.1,-1.6,-0.46,-0.48,0.42,-1.46,-0.56,0.01,-1.48,-0.64,-0.11,-0.68,-0.5
355, ARMAÇÃO DE ÓCULOS,0.0,0.14,0.0,0.0,1.46,0.0,0.0,-2.81,1.54,-2.05,0.0,0.0,0.0,0.59
356, ÓCULOS SEM GRAU,1.13,-2.75,-2.82,1.99,-2.16,0.0,-1.71,2.01,-0.04,-2.82,-1.62,-0.64,-1.82,-1.05
357, LENTES DE ÓCULOS E DE CONTATO,3.02,-0.56,-0.79,-2.43,-1.04,0.42,-1.28,-0.38,-0.62,-0.5,0.61,0.16,-0.1,-0.49
358, SERVIÇOS DE SAÚDE,0.94,0.88,0.58,0.9,0.81,0.82,0.65,0.9,1.34,0.81,0.76,0.63,1.16,0.84
359, SERVIÇOS MÉDICOS E DENTÁRIOS,0.45,1.16,-0.06,0.4,0.16,0.79,-0.48,0.34,0.85,0.81,0.83,-0.13,1.65,0.39
360, MÉDICO,0.52,1.98,0.0,0.0,0.49,1.18,0.0,1.22,0.49,1.59,0.52,0.0,0.0,0.56
361, DENTISTA,0.26,0.31,-0.25,1.08,0.15,0.16,-1.2,-0.11,1.27,0.05,1.24,-0.46,3.77,0.26
362, APARELHO ORTODONTICO,0.0,0.66,0.0,0.0,-0.72,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.67,0.27
363, ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4
364, FISIOTERAPEUTA,1.74,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
