Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
184, ALUGUEL E TAXAS,-0.52,-0.05,0.03,-0.02,0.88,0.21,1.08,0.48,-0.05,0.34,-0.05,-0.16,-0.41,0.26
185, ALUGUEL RESIDENCIAL,-0.95,0.01,-0.06,-0.44,0.15,0.06,1.43,0.34,-0.01,-0.18,-0.23,-0.41,-0.65,-0.1
186, CONDOMÍNIO,0.0,-0.26,0.4,0.65,-0.74,0.75,0.13,2.09,-0.16,2.34,0.16,0.12,0.05,0.0
187, TAXA DE ÁGUA E ESGOTO,0.0,0.0,0.0,0.0,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32
188, MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,2.82,0.0,-2.33,1.98
189, REPAROS,0.47,0.08,0.15,1.15,0.82,0.46,0.36,0.44,0.64,0.22,0.48,-0.03,0.87,0.48
190, FERRAGENS,0.0,0.0,0.98,0.0,-0.46,0.0,0.0,-0.7,0.0,0.75,2.03,0.2,0.0,0.19
191, MATERIAL DE ELETRICIDADE,0.0,-0.33,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.28,0.0,0.0,0.0,0.41
192, MATERIAL DE PINTURA,0.0,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,1.42,0.26,-0.32
193, VIDRO,1.82,0.0,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74
194, TINTA,1.46,-0.76,-1.39,0.43,-0.11,0.3,-0.04,-1.3,1.15,-0.12,0.56,-0.19,1.17,-0.13
195, REVESTIMENTO DE PISO E PAREDE,2.09,-2.04,0.26,1.05,6.63,-2.14,-0.98,-0.75,0.28,-1.24,0.33,-2.59,2.72,2.11
196, CIMENTO,-0.03,0.66,-0.7,7.06,0.52,1.49,1.24,4.2,1.43,0.46,0.12,-4.5,1.5,0.78
197, TIJOLO,0.0,-1.14,-0.15,0.93,0.01,0.95,0.56,-1.35,1.92,0.15,-0.22,0.34,0.0,0.06
198, MATERIAL HIDRÁULICO,0.0,0.0,0.32,0.0,-0.7,0.0,0.09,0.0,-1.27,0.15,0.0,0.12,0.0,-0.38
199, MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
200, AREIA,-0.4,0.0,0.09,0.0,0.0,0.0,0.0,3.06,-0.87,-0.53,1.07,1.7,0.0,0.05
201, TELHA,-2.5,0.0,0.87,0.0,0.0,0.0,-0.77,0.84,0.78,-1.01,-0.37,-0.79,0.0,-0.57
202, ARTIGOS DE LIMPEZA,-0.67,-0.69,-0.52,-0.21,0.14,-0.75,-1.86,-0.73,-0.97,-1.93,-0.17,0.94,0.61,-0.54
203, ÁGUA SANITÁRIA,-0.08,0.0,-0.22,0.91,1.76,-0.69,0.75,-0.44,-0.58,-4.59,0.0,0.0,0.0,0.28
204, DETERGENTE,1.25,1.52,-0.49,0.4,-2.17,-0.02,-2.51,-1.65,-2.58,-1.81,-0.92,1.1,-0.3,-1.11
205, SABÃO EM PÓ,-1.39,-2.58,-0.55,0.39,-0.23,-0.07,-1.77,0.33,-1.29,-1.73,-0.43,0.92,2.73,-0.78
206, DESINFETANTE,-0.58,1.84,2.44,-1.67,0.0,-5.69,-0.78,1.05,-1.67,-7.12,0.43,-1.36,-2.39,-0.73
207, INSETICIDA,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
208, SABÃO EM BARRA,-1.82,0.94,-4.53,-1.21,1.1,0.35,-3.0,-2.95,0.82,-1.87,0.2,1.25,-0.11,-1.01
209, ESPONJA DE LIMPEZA,0.0,-0.73,-0.31,-1.16,2.11,0.0,-1.58,-1.5,0.0,-0.87,-2.19,-0.79,-2.81,0.04
210, AMACIANTE,-0.83,0.55,0.4,0.0,1.41,-0.66,-2.98,-0.15,-0.37,-0.47,1.09,2.84,0.66,0.39
211, COMBUSTÍVEIS E ENERGIA,4.21,3.72,3.38,2.44,3.61,3.18,1.69,0.72,1.49,2.58,11.16,2.38,5.13,3.47
212, COMBUSTÍVEIS (DOMÉSTICOS),1.09,0.82,0.31,3.55,2.13,3.0,0.81,0.55,1.04,0.68,3.57,4.53,2.44,1.55
213, CARVÃO VEGETAL,0.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34
214, GÁS DE BOTIJÃO,0.96,0.6,0.31,3.55,2.33,3.0,0.81,0.55,1.04,0.7,3.57,4.53,2.44,1.57
215, GÁS ENCANADO,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.82
216, ENERGIA ELÉTRICA RESIDENCIAL,5.2,4.86,4.71,1.88,4.09,3.23,2.04,0.83,1.78,3.12,14.4,1.73,6.12,4.21
217, ENERGIA ELÉTRICA RESIDENCIAL,5.2,4.86,4.71,1.88,4.09,3.23,2.04,0.83,1.78,3.12,14.4,1.73,6.12,4.21
218, ARTIGOS DE RESIDÊNCIA,-1.18,0.3,-0.76,-0.68,-0.31,-0.25,-0.4,-0.5,-0.31,0.03,-1.44,-0.49,-0.31,-0.45
219, MÓVEIS E UTENSÍLIOS,-0.63,0.83,-0.09,-1.13,0.35,0.01,-1.0,-0.41,0.16,0.56,-1.42,-0.56,-0.17,-0.04
220, MOBILIÁRIO,-1.37,0.23,-0.15,-1.53,0.56,-0.47,-0.55,-0.93,-0.12,0.75,-1.37,-0.76,-0.15,-0.17
221, MÓVEL PARA SALA,-0.91,0.09,0.15,-2.04,1.45,-0.31,0.12,-1.43,1.38,-0.19,-2.51,0.34,0.78,0.11
222, MÓVEL PARA QUARTO,-2.08,-0.39,-0.14,0.06,-0.36,-1.37,-2.25,-0.21,-1.08,1.44,-0.33,-1.63,0.79,-0.51
223, MÓVEL PARA COPA E COZINHA,-1.73,1.44,-1.46,0.16,0.09,-1.4,2.68,-1.23,-2.91,0.29,1.7,-0.52,-2.81,-0.34
224, MÓVEL INFANTIL,0.0,0.0,0.0,-2.41,0.0,0.0,3.09,0.51,0.0,0.0,1.6,0.0,0.0,1.06
225, COLCHÃO,-0.87,1.82,-0.05,-4.59,2.15,3.01,-0.39,-2.07,-1.53,2.32,-4.12,-0.81,-3.71,0.04
226, UTENSÍLIOS E ENFEITES,1.09,0.6,0.1,-0.1,0.48,-0.21,-0.42,0.3,0.78,-0.27,0.19,-0.36,-0.68,0.29
227, TAPETE,2.63,-1.61,-1.18,-0.19,-0.88,-0.03,-0.18,0.0,0.51,0.26,0.06,-0.17,-1.43,-0.71
228, CORTINA,-1.77,3.68,1.38,0.44,2.65,-2.17,0.45,-0.45,1.65,0.43,-1.19,0.16,0.42,1.38
229, UTENSÍLIOS DE METAL,-0.69,-2.63,-0.19,-1.76,-1.89,0.26,-0.86,1.61,-0.1,0.38,-1.63,-1.05,-0.26,-1.08
230, UTENSÍLIOS DE VIDRO E LOUÇA,-5.1,0.26,-0.22,-0.7,2.14,-1.46,-1.88,0.2,1.93,-0.11,3.45,0.03,-0.64,0.28
231, UTENSÍLIOS DE PLÁSTICO,1.25,-1.13,0.0,1.74,-0.99,3.08,-1.51,2.86,-0.62,-3.61,0.85,1.44,-1.26,-0.35
232, FLORES NATURAIS,0.0,2.26,0.0,0.0,-0.48,0.0,0.0,0.0,-1.3,-1.82,0.0,0.0,-0.91,-0.29
233, UTENSÍLIOS DIVERSOS,3.23,1.92,1.38,0.18,1.96,0.69,1.12,-1.44,2.17,-0.64,0.81,-1.55,-0.9,1.42
234," CAMA, MESA E BANHO",0.73,3.22,-0.24,-1.15,-0.92,2.95,-2.59,1.37,0.35,1.18,-3.89,-0.06,0.54,-0.06
235, ROUPA DE CAMA,-0.07,3.35,-0.73,0.59,-1.99,2.95,-3.9,1.32,-0.41,1.1,-3.89,-0.57,2.0,-0.48
236, ROUPA DE BANHO,2.82,2.86,1.09,-5.18,1.14,0.0,4.05,1.46,3.35,1.45,0.0,1.1,-3.3,1.14
237, APARELHOS ELETROELETRÔNICOS,-2.03,-0.75,-2.33,-0.33,-1.69,-0.78,0.02,-0.67,-0.67,-0.42,-2.12,-0.53,-0.84,-1.24
238, ELETRODOMÉSTICOS E EQUIPAMENTOS,-1.79,-1.07,-2.27,-0.09,-1.4,-0.23,0.47,-0.82,-0.52,-0.9,-2.29,0.59,-1.01,-1.11
239, REFRIGERADOR,-2.74,-0.94,-3.0,-0.6,-2.48,-0.93,2.42,-0.77,-1.63,-0.86,-3.67,0.46,-0.43,-1.55
240, AR-CONDICIONADO,-1.35,-2.76,0.0,-0.86,0.0,0.0,-2.49,0.0,0.0,-2.35,0.0,1.6,-0.99,-1.78
241, MÁQUINA DE LAVAR ROUPA,-0.42,-0.88,-1.41,1.49,-0.09,0.3,-2.67,0.01,-0.25,-0.73,-0.09,1.01,-3.25,-0.47
242, LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.6
243, VENTILADOR,-2.46,0.0,0.0,-2.62,0.0,0.0,-2.56,-2.59,0.0,0.0,0.0,0.0,-1.31,-2.48
244, FOGÃO,-1.17,-1.21,-2.02,1.12,-1.6,1.28,-0.33,-0.66,2.38,0.15,-1.61,-0.01,-0.77,-0.66
245, CHUVEIRO ELÉTRICO,0.0,-0.32,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
246, FORNO DE MICRO-ONDAS,0.0,-0.3,-0.25,0.0,-0.8,0.0,0.0,0.0,0.0,-2.76,-1.56,0.0,0.0,-1.01
247," TV, SOM E INFORMÁTICA",-2.34,-0.14,-2.41,-0.7,-2.12,-1.49,-0.9,-0.47,-0.86,0.48,-1.85,-2.14,-0.54,-1.46
248, TELEVISOR,-2.49,-0.85,-2.81,-1.58,-3.32,-2.2,-2.65,-2.49,-1.92,-1.88,-2.56,-1.66,-1.73,-2.47
249, APARELHO DE SOM,-1.89,2.57,-1.18,0.11,-2.51,-0.89,3.25,0.38,-0.72,1.43,0.24,-0.86,-1.99,-0.5
250, APARELHO DE DVD,-0.14,0.17,-1.12,0.96,-1.75,-2.85,-0.52,-0.51,0.16,-1.44,-1.61,-0.47,-0.5,-0.75
251, ANTENA,0.0,0.0,0.0,-0.7,0.0,0.0,-0.9,-0.47,0.0,0.0,-0.87,0.0,0.0,-0.73
252, MICROCOMPUTADOR,-2.67,-0.71,-2.66,-0.99,-1.32,-0.92,-0.94,1.13,-0.59,2.24,-2.03,-2.93,0.46,-1.19
253, CONSERTOS E MANUTENÇÃO,-0.29,1.54,1.41,0.65,1.48,0.22,0.88,-0.16,-1.85,-0.8,0.99,0.47,1.06,0.66
254, CONSERTOS E MANUTENÇÃO,-0.29,1.54,1.41,0.65,1.48,0.22,0.88,-0.16,-1.85,-0.8,0.99,0.47,1.06,0.66
255, CONSERTO DE REFRIGERADOR,0.0,1.92,0.0,1.27,3.58,-1.4,0.63,0.0,-1.87,-1.98,0.94,0.91,3.57,1.12
256, CONSERTO DE TELEVISOR,-0.62,0.5,2.41,0.67,-3.44,0.0,3.7,-1.56,-0.84,0.0,0.05,-5.02,0.0,-0.57
257, CONSERTO DE APARELHO DE SOM,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,3.12
258, CONSERTO DE MÁQUINA DE LAVAR ROUPA,-1.33,2.87,0.0,0.0,4.83,0.39,0.14,0.0,0.0,0.61,0.0,0.0,5.47,2.77
259, REFORMA DE ESTOFADO,-0.05,-1.86,0.76,0.16,0.55,1.38,-1.6,0.5,-2.76,-1.26,1.47,2.33,-0.3,-0.03
260, MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.86
261, VESTUÁRIO,0.44,0.66,-0.39,0.0,-0.24,0.98,0.2,0.77,0.59,-0.08,-0.15,-0.01,0.69,0.1
262, ROUPAS,0.51,1.32,-0.37,-0.59,-0.24,0.58,-0.41,0.53,0.37,-0.08,-0.52,0.47,0.91,0.05
263, ROUPA MASCULINA,0.68,2.56,0.93,0.46,-1.84,0.51,-0.29,-0.17,1.02,0.47,-0.86,-0.16,1.55,-0.03
264, CALÇA COMPRIDA MASCULINA,1.29,3.0,0.31,-1.37,-1.07,0.63,-0.37,-0.98,0.78,-0.85,-2.9,0.7,2.35,-0.19
265, TERNO,-2.06,1.07,0.08,-0.78,0.0,0.0,0.0,0.0,0.0,2.17,2.27,-2.63,0.0,0.12
266, AGASALHO MASCULINO,0.0,2.56,0.93,0.0,-1.84,0.51,0.0,0.0,0.0,0.47,0.0,-0.16,1.55,0.32
267, SHORT E BERMUDA MASCULINA,0.71,2.78,2.31,1.08,-2.47,2.7,-0.19,2.56,0.66,0.05,0.59,1.74,3.21,0.31
268, CUECA,0.0,2.7,0.0,0.66,0.0,0.0,0.45,-2.0,-1.37,0.0,0.0,0.0,0.0,0.39
269, CAMISA / CAMISETA MASCULINA,1.1,2.3,1.21,1.52,-2.19,-0.2,-0.42,-1.02,1.57,1.19,0.47,-1.13,0.35,-0.1
270, ROUPA FEMININA,0.59,0.44,-1.6,-1.81,1.23,0.57,-0.64,1.14,-0.65,-0.13,-0.2,0.65,-0.2,0.09
271, CALÇA COMPRIDA FEMININA,0.6,-0.41,-2.92,-2.05,2.04,0.09,-1.84,1.85,-0.59,3.71,-0.23,-0.95,0.47,0.32
272, AGASALHO FEMININO,0.0,0.44,-1.6,0.0,1.23,0.0,0.0,0.0,0.0,-0.13,0.0,0.0,-0.2,0.25
273, SAIA,0.0,0.0,0.0,2.04,0.0,0.0,0.78,-2.7,1.32,0.0,2.62,-2.67,0.0,0.59
274, VESTIDO,-1.36,-1.94,-1.3,-1.43,0.04,3.02,-2.97,-0.34,0.6,-2.64,1.28,2.62,0.44,-0.53
275, BLUSA,0.98,1.7,-0.89,-2.64,2.26,0.42,0.5,1.81,-2.94,-2.43,-1.59,1.21,-1.33,0.3
276, LINGERIE,1.27,0.68,0.31,-2.97,-2.21,-2.72,2.22,1.9,0.95,-0.8,-0.38,-1.76,-0.95,-0.63
277, BERMUDA E SHORT FEMININO,2.79,1.33,-2.17,1.86,0.0,-0.39,-1.83,0.25,2.56,-0.9,1.07,-0.59,2.1,0.61
278, ROUPA INFANTIL,-0.1,0.98,0.28,0.03,-0.31,0.8,-0.11,0.17,1.6,-1.17,-0.63,1.38,2.11,0.11
279, UNIFORME ESCOLAR,1.79,0.0,0.0,0.0,1.17,0.0,2.63,0.0,0.25,-0.34,0.0,0.0,0.0,1.11
280, CALÇA COMPRIDA INFANTIL,-0.38,2.19,0.13,0.56,-2.74,-0.64,-2.37,2.65,-2.17,-1.14,-1.92,2.63,0.28,-0.96
281, AGASALHO INFANTIL,0.0,0.98,0.28,0.0,-0.31,0.8,0.0,0.0,0.0,-1.17,0.0,1.38,2.11,0.18
282, VESTIDO INFANTIL,2.71,0.0,-2.09,0.07,1.31,2.49,-0.62,1.49,-1.78,-0.89,0.28,1.37,2.85,0.15
283, BERMUDA E SHORT INFANTIL,1.37,-1.44,3.09,-1.76,0.71,1.91,-1.6,-2.05,3.1,-0.23,0.18,0.95,2.22,0.91
284, CAMISA / CAMISETA INFANTIL,-1.43,1.03,-0.42,1.72,0.2,0.97,1.78,-1.66,3.35,-1.57,-0.48,2.17,2.78,0.32
285, CONJUNTO INFANTIL,0.0,0.0,-1.64,-2.77,-0.98,0.01,-0.3,3.56,0.0,0.0,-0.91,-2.24,0.0,-0.81
286, CALÇADOS E ACESSÓRIOS,0.23,-0.31,-0.36,1.56,-0.16,2.12,1.04,1.6,1.58,-0.18,0.49,-0.98,0.48,0.26
287, CALÇADOS E ACESSÓRIOS,0.23,-0.31,-0.36,1.56,-0.16,2.12,1.04,1.6,1.58,-0.18,0.49,-0.98,0.48,0.26
288, SAPATO MASCULINO,0.3,-0.85,1.95,1.66,-1.97,1.15,1.05,3.96,1.96,-0.51,-0.18,2.39,-1.96,0.01
289, SAPATO FEMININO,1.24,-0.2,-0.16,-0.83,1.64,0.92,0.76,3.51,-1.21,0.19,2.87,-2.56,0.09,0.64
290, SAPATO INFANTIL,0.0,0.0,0.0,-2.48,0.0,0.0,-1.1,0.0,-0.06,0.0,0.0,0.0,0.0,-1.06
291, SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,-0.65,0.0,0.0,0.05,0.0,1.92,0.0,0.0,0.0,0.0,0.39
292, SANDÁLIA / CHINELO FEMININO,1.68,-0.08,-0.19,2.6,-0.07,2.28,3.28,0.29,3.52,-1.26,2.01,-0.71,3.59,0.89
293, SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,1.56,0.0,2.84,1.34,0.59,1.26,0.0,-0.25,-0.91,-0.88,0.95
294, BOLSA,-1.49,0.44,0.28,4.48,0.34,3.7,1.4,2.48,1.55,2.82,-2.16,1.64,0.16,0.85
295, TÊNIS,-0.45,-0.46,-1.28,1.33,-0.7,2.24,-0.35,1.53,0.92,-0.62,-0.45,-2.64,0.47,-0.4
296, JOIAS E BIJUTERIAS,1.27,-0.31,-0.76,-0.67,-0.86,0.84,1.81,0.0,-0.75,0.35,0.5,-0.74,-0.17,-0.07
297, JOIAS E BIJUTERIAS,1.27,-0.31,-0.76,-0.67,-0.86,0.84,1.81,0.0,-0.75,0.35,0.5,-0.74,-0.17,-0.07
298, BIJUTERIA,0.36,0.02,-0.89,-0.45,-0.83,2.44,1.8,-0.22,-0.77,1.11,-0.01,2.73,-0.71,-0.06
299, JOIA,1.78,-0.52,-0.66,0.02,-0.89,0.08,1.77,0.0,-0.73,-0.08,0.93,-2.72,0.28,-0.1
300, RELÓGIO DE PULSO,0.0,0.0,0.0,-1.99,0.0,0.0,1.92,0.24,0.0,0.0,0.0,0.0,0.0,0.16
301, TECIDOS E ARMARINHO,-1.1,0.71,-0.39,-0.69,-0.15,1.08,0.2,1.03,-1.53,0.15,-0.59,-0.08,-0.06,-0.25
302, TECIDOS E ARMARINHO,-1.1,0.71,-0.39,-0.69,-0.15,1.08,0.2,1.03,-1.53,0.15,-0.59,-0.08,-0.06,-0.25
303, TECIDO,-1.11,0.89,-1.21,-0.69,0.6,1.6,0.91,1.01,-1.59,0.49,-0.85,-0.69,-1.31,-0.27
304, ARTIGOS DE ARMARINHO,0.0,0.72,0.95,0.0,-0.79,0.36,-0.79,0.0,0.0,-0.77,0.19,1.02,2.38,-0.08
305, ACORTINADO (MOSQUITEIRO),-1.07,0.39,0.0,0.0,-0.45,0.0,0.0,1.08,-1.28,0.0,0.0,0.0,0.0,-0.44
306, TRANSPORTES,-0.94,1.51,-0.5,0.86,1.41,-0.1,0.09,0.39,0.06,-0.33,1.76,-0.46,0.47,0.52
307, TRANSPORTES,-0.94,1.51,-0.5,0.86,1.41,-0.1,0.09,0.39,0.06,-0.33,1.76,-0.46,0.47,0.52
308, TRANSPORTE PÚBLICO,-2.89,0.07,-1.37,-1.28,-0.29,-5.54,-0.63,-0.18,-0.7,-1.43,-0.78,-1.77,-1.18,-1.26
309, ÔNIBUS URBANO,-2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55
310, TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311, TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312, ÔNIBUS INTERMUNICIPAL,0.0,2.48,0.0,0.0,0.0,0.0,-0.24,0.0,0.04,0.0,-0.15,0.0,-0.43,0.21
313, ÔNIBUS INTERESTADUAL,0.0,1.56,0.0,-6.48,-4.15,0.0,0.0,6.03,0.32,0.0,-0.83,0.0,0.44,-1.58
314, PASSAGEM AÉREA,-14.35,-10.95,-22.95,-13.68,-0.76,-14.69,-12.89,-8.54,-12.12,-11.08,-8.55,-9.68,-15.23,-10.03
315, METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316, TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,7.88,0.0,0.0,0.0,0.0,0.0,0.0,7.88
317, TRANSPORTE ESCOLAR,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,9.88,0.0,0.16
318, VEÍCULO PRÓPRIO,-0.13,-0.4,-0.11,0.09,0.39,-0.62,0.08,-1.07,-0.11,-0.94,0.26,-0.2,-0.93,-0.08
319, AUTOMÓVEL NOVO,-0.11,-1.75,-0.25,-0.62,0.24,-0.25,1.01,0.32,-0.36,-0.3,0.22,-0.22,-2.95,-0.24
320, EMPLACAMENTO E LICENÇA,0.34,0.34,0.25,0.34,0.37,0.34,0.39,0.84,0.34,0.33,0.33,0.33,0.35,0.35
321, SEGURO VOLUNTÁRIO DE VEÍCULO,-1.47,-0.63,-3.38,4.27,-0.15,-13.46,0.0,0.46,4.13,-9.84,-0.04,0.87,1.49,-1.66
322, MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323, ÓLEO LUBRIFICANTE,-1.53,-0.38,0.21,3.33,0.19,-1.62,-1.68,-0.86,-1.32,2.46,2.01,0.0,0.8,0.23
324, ACESSÓRIOS E PEÇAS,-0.79,-0.24,0.25,0.54,-0.77,0.73,-1.36,-1.11,0.33,-1.12,-0.56,-1.25,-0.65,-0.48
325, PNEU,-1.48,-3.24,1.08,3.42,-0.35,-2.78,-0.92,-3.15,-0.07,-2.83,1.11,0.61,1.87,-0.77
326, CONSERTO DE AUTOMÓVEL,0.55,1.5,0.26,-0.26,1.14,-0.63,0.88,-3.86,-0.15,1.09,-0.14,-0.03,-0.85,0.51
327, ESTACIONAMENTO,0.16,0.16,-0.57,0.0,-0.27,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,-0.08
328, PEDÁGIO,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
329, LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,-0.51,-3.79,0.0,0.0,0.0,0.0,3.11,0.0,0.0,2.47,-2.08
330, AUTOMÓVEL USADO,-1.95,-0.1,0.09,0.0,0.94,2.32,-2.02,-0.14,0.47,-3.89,1.34,0.01,1.51,-0.33
331, PINTURA DE VEÍCULO,0.0,0.0,0.0,5.87,0.04,-0.18,0.0,0.0,-0.71,-0.14,0.0,1.07,0.0,0.32
332, ALUGUEL DE VEÍCULO,-4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.22
333, MOTOCICLETA,1.6,0.0,-0.61,-0.22,0.26,0.35,-0.15,-0.27,-1.68,0.52,-0.06,-1.43,1.69,-0.06
334, COMBUSTÍVEIS (VEÍCULOS),1.54,5.07,-0.38,4.97,4.25,5.51,1.59,3.84,1.28,1.47,4.64,0.06,3.73,3.05
335, GASOLINA,1.49,5.13,-0.41,6.71,3.86,5.63,1.61,3.82,1.25,1.14,5.03,0.01,3.99,2.92
336, ETANOL,3.64,4.75,-0.31,-1.64,5.55,4.32,0.0,4.04,1.42,2.76,2.71,0.59,2.76,4.14
337, ÓLEO DIESEL,0.0,3.39,-0.03,0.0,1.76,0.0,1.32,3.73,1.52,1.41,3.21,0.66,2.79,1.82
338, GÁS VEICULAR,0.7,0.0,0.0,1.59,0.45,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.62
339, SAÚDE E CUIDADOS PESSOAIS,0.62,0.22,0.1,0.52,0.4,0.49,0.19,0.03,0.31,0.39,-0.08,0.07,-0.07,0.34
340, PRODUTOS FARMACÊUTICOS E ÓTICOS,0.43,-0.33,-0.04,-0.14,-0.58,0.36,0.01,-0.62,-0.33,0.32,-0.55,-0.73,-0.63,-0.2
341, PRODUTOS FARMACÊUTICOS,0.48,-0.32,0.03,-0.15,-0.72,0.38,-0.06,-0.7,-0.3,0.28,-0.53,-0.79,-0.47,-0.23
342, ANTI-INFECCIOSO E ANTIBIÓTICO,-0.66,-0.38,-0.4,-1.17,-2.48,-0.72,-0.23,-1.29,-3.24,0.79,-1.51,-0.91,-0.36,-1.24
343, ANALGÉSICO E ANTITÉRMICO,1.97,0.92,0.15,-0.7,-0.01,1.48,0.08,-0.95,0.19,0.29,0.49,1.12,0.23,0.38
344, ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,-0.06,-0.44,-0.69,0.33,-0.89,-0.03,-0.6,-2.35,0.07,0.73,-1.66,-1.73,-1.12,-0.54
345, ANTIGRIPAL E ANTITUSSÍGENO,-0.12,-0.35,0.52,-1.93,-0.13,0.93,0.42,-1.1,1.51,-0.56,-0.1,-1.07,0.89,-0.06
346, DERMATOLÓGICO,-0.05,1.96,0.0,-0.12,-0.37,0.0,0.52,-0.14,0.14,1.03,-0.27,-0.7,-0.97,0.1
347, ANTIALÉRGICO E BRONCODILATADOR,-1.04,-0.45,0.97,-0.43,-0.12,0.05,0.49,-0.2,-1.68,1.82,-0.64,-0.32,-1.74,-0.1
348, GASTROPROTETOR,-0.31,-3.14,0.35,-0.26,0.38,-0.02,-2.13,-0.36,0.08,1.07,-2.54,-1.48,-0.08,-0.36
349, VITAMINA E FORTIFICANTE,1.12,-2.54,0.13,-0.28,-1.57,0.15,1.1,-1.15,-1.37,0.19,0.53,-0.39,-0.46,-0.43
350, HORMÔNIO,1.06,0.34,-0.71,0.68,0.16,-0.1,0.03,-1.75,2.52,0.33,-0.82,-0.23,-0.24,0.27
351, PSICOTRÓPICO E ANOREXÍGENO,0.14,-1.3,0.58,0.37,-1.48,0.49,0.21,0.72,-1.07,0.81,-0.93,-0.18,-1.23,-0.41
352, HIPOTENSOR E HIPOCOLESTEROLÊMICO,0.42,0.0,-0.11,0.37,-1.19,0.56,0.02,0.23,-0.54,-0.75,0.27,-2.06,-0.89,-0.39
353, OFTALMOLÓGICO,2.33,-0.33,0.11,-0.68,0.53,0.0,0.04,-0.18,0.19,-0.04,-0.54,-0.66,1.76,0.35
354, PRODUTOS ÓTICOS,-0.62,-0.44,-1.35,-0.09,1.49,-0.08,0.99,-0.19,-0.62,1.06,-0.84,0.2,-2.61,0.18
355, ARMAÇÃO DE ÓCULOS,0.0,2.24,0.0,0.0,2.53,0.0,0.0,-1.8,-3.26,0.26,0.0,0.0,0.0,1.18
356, ÓCULOS SEM GRAU,1.51,-0.31,-2.21,2.54,1.7,0.0,-1.24,2.01,-0.82,-0.49,-1.7,-1.1,-3.11,0.34
357, LENTES DE ÓCULOS E DE CONTATO,-2.17,-1.28,-0.79,-2.49,0.47,-0.08,2.66,-0.12,0.65,2.23,0.21,0.81,-2.37,-0.23
358, SERVIÇOS DE SAÚDE,0.88,0.91,0.64,0.84,0.82,1.01,0.79,0.55,0.65,0.77,0.4,0.53,0.43,0.78
359, SERVIÇOS MÉDICOS E DENTÁRIOS,0.1,1.25,0.23,0.01,-0.2,1.16,0.12,-0.64,0.11,0.25,-0.43,-0.56,-1.6,0.06
360, MÉDICO,0.0,1.68,0.0,-0.84,0.0,1.49,0.0,1.49,-0.48,0.0,0.0,-0.71,-2.63,0.06
361, DENTISTA,0.24,0.59,0.72,0.26,-0.32,0.59,0.3,-1.57,0.75,0.25,-1.06,-0.19,-0.66,0.05
