Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
185, ALUGUEL RESIDENCIAL,-0.36,-0.11,-0.01,-0.41,0.95,-0.04,0.83,-0.58,-0.01,0.15,0.49,-0.99,-0.39,0.26
186, CONDOMÍNIO,0.96,0.45,0.31,0.16,0.89,0.1,0.63,0.13,0.58,1.54,0.07,0.3,0.16,0.71
187, TAXA DE ÁGUA E ESGOTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0,0.13
188, MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-2.63,0.0,3.66,-1.23
189, REPAROS,0.47,0.71,0.23,0.44,0.39,0.53,-0.16,0.35,0.44,0.51,0.33,0.04,-0.57,0.39
190, FERRAGENS,0.0,0.0,-1.44,0.0,0.48,0.0,0.0,1.19,0.0,-0.38,-0.01,-0.48,0.0,-0.04
191, MATERIAL DE ELETRICIDADE,0.0,-0.67,0.0,0.0,0.0,0.0,0.37,0.0,0.0,-1.1,0.0,0.0,0.0,-0.64
192, MATERIAL DE PINTURA,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,-1.3,0.0,0.0,-1.02,-3.36,0.23
193, VIDRO,1.31,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86
194, TINTA,0.91,0.99,0.68,-0.1,0.93,0.13,-0.05,-0.51,1.49,1.21,-0.76,0.2,-2.51,0.75
195, REVESTIMENTO DE PISO E PAREDE,-4.96,2.27,-1.77,-0.78,-1.46,-0.09,0.27,-1.62,-0.51,1.56,-0.19,-0.36,-0.13,-0.88
196, CIMENTO,3.1,1.98,-0.24,1.16,1.31,-0.58,-1.92,1.26,0.91,0.72,0.07,-2.14,-1.79,1.0
197, TIJOLO,0.0,-0.24,-0.67,1.01,0.57,2.31,-3.17,0.95,0.78,-0.51,-0.42,-2.01,0.0,-0.09
198, MATERIAL HIDRÁULICO,0.0,0.0,0.13,0.0,-0.97,0.0,0.15,0.0,0.5,-0.78,0.0,-0.11,0.0,-0.51
199, MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
200, AREIA,0.75,0.0,0.29,0.0,0.0,0.0,0.0,-1.48,-0.57,0.6,0.47,-1.14,0.0,0.22
201, TELHA,-0.79,0.0,-1.37,0.0,0.0,0.0,0.92,-1.01,0.79,1.17,1.94,0.19,0.0,-0.04
202, ARTIGOS DE LIMPEZA,-0.1,-0.05,-0.2,-1.74,1.47,-0.95,-2.63,1.02,0.7,-0.8,-0.19,-1.26,-0.12,0.12
203, ÁGUA SANITÁRIA,2.16,0.0,0.82,-1.24,0.1,-2.45,-3.35,2.86,0.77,0.75,0.0,0.0,0.0,0.07
204, DETERGENTE,0.42,0.36,3.23,-1.18,0.66,-0.89,-1.56,-1.12,-0.55,-4.79,0.26,-4.01,3.3,0.02
205, SABÃO EM PÓ,-1.8,-0.87,-1.82,-3.8,1.99,-2.67,-4.32,1.19,-0.36,-1.04,-1.24,-0.77,-1.67,-0.52
206, DESINFETANTE,1.36,1.41,1.77,2.43,0.0,2.26,-0.89,-1.04,-0.08,0.8,0.7,-1.43,-1.23,0.8
207, INSETICIDA,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91
208, SABÃO EM BARRA,1.58,1.1,0.21,-0.93,-2.22,2.91,-0.05,1.81,5.64,-1.2,0.73,0.89,-1.05,0.35
209, ESPONJA DE LIMPEZA,0.0,1.49,-0.55,0.99,3.36,0.0,-1.06,3.0,0.0,0.36,0.27,1.27,4.24,1.45
210, AMACIANTE,1.52,0.25,-1.76,0.0,2.68,-0.44,-2.43,-0.56,0.1,1.34,0.39,-2.56,-0.53,0.9
211, COMBUSTÍVEIS E ENERGIA,-0.14,2.11,4.96,6.94,3.05,5.86,3.87,3.53,4.21,3.33,14.73,-1.0,5.0,3.55
212, COMBUSTÍVEIS (DOMÉSTICOS),1.84,2.46,2.64,6.75,4.79,7.75,6.2,7.16,5.21,2.35,6.27,3.4,3.62,4.26
213, CARVÃO VEGETAL,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87
214, GÁS DE BOTIJÃO,2.44,2.38,2.64,6.75,5.24,7.75,6.2,7.16,5.21,2.17,6.27,3.4,3.62,4.49
215, GÁS ENCANADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.41
216, ENERGIA ELÉTRICA RESIDENCIAL,-0.75,1.97,6.01,7.03,2.5,5.37,2.97,1.26,3.56,3.62,18.77,-2.27,5.52,3.28
217, ENERGIA ELÉTRICA RESIDENCIAL,-0.75,1.97,6.01,7.03,2.5,5.37,2.97,1.26,3.56,3.62,18.77,-2.27,5.52,3.28
218, ARTIGOS DE RESIDÊNCIA,-0.65,-0.43,0.1,-0.43,-0.78,-0.28,-0.08,0.06,-0.9,0.39,0.49,-1.04,-0.13,-0.39
219, MÓVEIS E UTENSÍLIOS,-0.02,-0.36,0.09,-0.68,-0.18,-0.32,0.04,1.52,-0.72,0.01,1.1,-0.58,0.03,-0.1
220, MOBILIÁRIO,-0.04,-0.3,-0.09,-0.62,-0.24,-0.54,0.37,1.35,-0.99,0.48,1.19,-0.04,0.74,-0.09
221, MÓVEL PARA SALA,-0.19,-1.55,-1.28,-0.46,-2.87,-0.97,-2.01,2.49,0.05,1.9,0.72,1.99,1.17,-0.87
222, MÓVEL PARA QUARTO,0.04,0.58,0.7,-2.13,2.0,0.33,2.41,1.75,-0.47,0.73,2.86,-1.53,0.16,0.92
223, MÓVEL PARA COPA E COZINHA,-1.02,0.09,1.21,0.87,-1.68,-0.03,0.38,0.56,-3.32,-1.91,0.95,-1.21,1.46,-0.78
224, MÓVEL INFANTIL,0.0,0.0,0.0,0.59,0.0,0.0,-0.8,-1.43,0.0,0.0,-1.98,0.0,0.0,-0.86
225, COLCHÃO,1.38,-0.7,2.1,0.32,1.86,-1.22,0.09,-0.61,-3.29,0.08,0.93,2.96,0.07,0.59
226, UTENSÍLIOS E ENFEITES,0.37,0.72,-0.22,-0.55,-0.77,0.6,-0.22,2.76,-0.92,0.15,-0.33,-1.15,-1.29,-0.23
227, TAPETE,-1.17,-1.93,-0.24,2.28,-2.27,2.6,-0.99,0.0,1.24,1.1,-1.96,-0.33,-0.73,-0.64
228, CORTINA,-3.27,3.04,-2.91,-0.49,0.88,-0.84,-0.48,0.68,0.2,-0.71,0.76,-2.65,-0.47,-0.37
229, UTENSÍLIOS DE METAL,1.31,0.65,2.23,1.43,-1.0,-0.95,-0.63,-0.87,1.09,0.7,-0.36,-1.45,-0.88,0.12
230, UTENSÍLIOS DE VIDRO E LOUÇA,1.28,-1.33,0.63,2.08,-1.58,3.1,0.09,-1.06,0.1,0.23,-1.38,2.72,-2.51,-0.13
231, UTENSÍLIOS DE PLÁSTICO,-3.74,-0.11,0.0,1.78,0.6,-3.89,-0.15,0.71,-1.37,1.98,-0.65,-0.01,-2.28,-0.12
232, FLORES NATURAIS,0.0,6.42,0.0,0.0,-1.51,0.0,0.0,0.0,-0.69,-0.66,0.0,0.0,0.12,-0.17
233, UTENSÍLIOS DIVERSOS,2.02,0.62,0.5,-4.21,-0.86,0.66,0.27,6.38,-4.27,-0.6,0.07,-2.48,-1.7,-0.23
234," CAMA, MESA E BANHO",-0.59,-2.31,1.43,-1.03,1.51,-1.05,-0.37,0.53,0.63,-2.14,2.9,-1.97,-1.02,0.07
235, ROUPA DE CAMA,-1.01,-3.18,1.39,-0.33,0.63,-1.05,-0.1,-0.42,1.05,-2.21,2.9,-3.16,-0.91,-0.18
236, ROUPA DE BANHO,0.51,0.11,1.54,-2.59,3.28,0.0,-1.7,2.57,-1.03,-1.92,0.0,0.84,-1.29,0.81
237, APARELHOS ELETROELETRÔNICOS,-1.5,-0.74,0.11,-0.55,-1.7,-0.18,-0.26,-1.67,-1.18,0.97,0.16,-1.94,-0.24,-0.84
238, ELETRODOMÉSTICOS E EQUIPAMENTOS,-1.86,-0.54,-0.28,-0.78,-2.54,-1.29,0.36,-1.73,-1.63,0.87,1.29,-1.95,0.04,-1.1
239, REFRIGERADOR,-2.39,-1.32,0.54,-2.98,-2.28,-1.03,1.36,-1.85,-1.17,2.38,4.02,-2.02,0.24,-0.8
240, AR-CONDICIONADO,0.91,-1.06,0.0,-0.84,0.0,0.0,1.96,0.0,0.0,0.08,0.0,0.62,0.67,0.19
241, MÁQUINA DE LAVAR ROUPA,-2.05,0.11,-1.61,2.06,-4.56,-3.33,0.43,-1.13,-0.54,0.68,-1.62,-2.51,0.45,-1.94
242, LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,-3.68,0.0,0.0,0.0,0.0,0.0,0.0,-3.68
243, VENTILADOR,-0.58,0.0,0.0,0.7,0.0,0.0,-0.99,-3.19,0.0,0.0,0.0,0.0,-0.89,-0.8
244, FOGÃO,-2.28,0.08,-0.45,1.12,-1.22,1.08,-0.95,-1.05,-3.84,-1.28,-1.68,-2.28,-1.08,-1.13
245, CHUVEIRO ELÉTRICO,0.0,0.99,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
246, FORNO DE MICRO-ONDAS,0.0,-0.5,-1.66,0.0,-2.69,0.0,0.0,0.0,0.0,-1.64,0.23,0.0,0.0,-1.88
247," TV, SOM E INFORMÁTICA",-1.02,-1.12,0.66,-0.21,-0.44,1.32,-1.51,-1.6,-0.58,1.15,-1.51,-1.91,-0.74,-0.45
248, TELEVISOR,-1.42,-1.5,0.15,1.79,0.05,0.24,-1.79,-1.23,0.01,1.27,-0.46,-2.77,-3.4,-0.35
249, APARELHO DE SOM,0.56,1.19,3.51,-0.41,-1.25,-1.21,-1.38,-1.26,3.15,-2.18,0.27,2.1,-1.47,0.2
250, APARELHO DE DVD,0.32,-0.76,2.04,1.31,-3.63,-0.83,-0.51,-0.5,-1.1,-0.83,-1.07,-0.45,-0.49,-0.88
251, ANTENA,0.0,0.0,0.0,-0.21,0.0,0.0,-1.51,-1.6,0.0,0.0,0.01,0.0,0.0,-0.89
252, MICROCOMPUTADOR,-1.44,-1.74,0.21,-1.99,0.0,2.66,-1.86,-2.67,-1.52,2.06,-2.67,-2.07,1.0,-0.58
253, CONSERTOS E MANUTENÇÃO,0.02,0.42,0.26,2.28,-0.38,-0.47,0.33,0.76,-0.64,0.06,-0.86,-0.32,-0.35,0.0
254, CONSERTOS E MANUTENÇÃO,0.02,0.42,0.26,2.28,-0.38,-0.47,0.33,0.76,-0.64,0.06,-0.86,-0.32,-0.35,0.0
255, CONSERTO DE REFRIGERADOR,0.0,1.4,0.0,3.74,-0.62,1.24,0.53,0.0,0.52,-0.21,0.64,1.36,-2.25,0.36
256, CONSERTO DE TELEVISOR,1.85,1.33,0.72,3.83,-1.06,2.29,0.0,2.04,-0.33,0.0,0.32,3.46,0.0,0.61
257, CONSERTO DE APARELHO DE SOM,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,-1.34,0.0,0.0,0.0,0.0,0.92
258, CONSERTO DE MÁQUINA DE LAVAR ROUPA,0.0,-0.48,0.0,0.0,-0.78,-5.57,1.8,0.0,0.0,0.39,0.0,0.0,1.03,-0.54
259, REFORMA DE ESTOFADO,-0.6,-0.58,-0.42,0.08,0.3,0.24,-0.61,0.17,-1.34,0.0,-1.9,-2.72,-0.47,-0.31
260, MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1.41,0.06
261, VESTUÁRIO,0.77,0.25,0.2,0.63,1.01,0.79,1.15,1.55,0.0,0.91,1.35,0.43,-0.91,0.71
262, ROUPAS,1.21,0.67,0.22,1.24,0.3,0.71,1.07,2.05,-0.37,1.07,1.69,0.52,-1.49,0.63
263, ROUPA MASCULINA,1.58,1.59,-0.43,0.69,1.86,1.71,1.88,2.07,-1.33,2.82,2.03,2.08,-1.43,1.28
264, CALÇA COMPRIDA MASCULINA,2.46,0.41,-0.21,1.5,2.66,2.34,3.17,1.26,-1.37,3.72,2.05,-0.17,0.56,1.78
265, TERNO,2.73,-0.87,-1.49,1.72,0.0,0.0,0.0,0.0,0.0,1.7,-0.26,-1.0,0.0,0.59
266, AGASALHO MASCULINO,0.0,1.59,-0.43,0.0,1.86,1.56,0.0,0.0,0.0,0.58,0.0,2.08,-1.43,1.11
267, SHORT E BERMUDA MASCULINA,1.19,1.48,-0.64,-2.67,3.47,-1.15,0.35,-0.06,-2.21,3.71,-0.05,3.58,-2.41,0.58
268, CUECA,0.0,-1.27,0.0,-1.93,0.0,0.0,0.44,2.05,0.77,0.0,0.0,0.0,0.0,-0.18
269, CAMISA / CAMISETA MASCULINA,0.82,3.43,-0.16,1.76,0.95,2.08,2.3,3.72,-1.01,2.73,2.94,3.23,-2.86,1.3
270, ROUPA FEMININA,1.54,-0.29,0.78,1.02,-0.62,0.11,0.5,2.7,0.02,-0.97,1.8,0.27,-2.24,0.22
271, CALÇA COMPRIDA FEMININA,1.86,0.35,2.64,0.47,0.01,-1.97,2.3,2.59,1.49,-2.83,2.61,-1.6,-2.72,0.6
272, AGASALHO FEMININO,0.0,-0.29,0.78,0.0,-0.62,0.0,0.0,0.0,0.0,-0.97,0.0,0.0,-2.24,-0.39
273, SAIA,0.0,0.0,0.0,0.31,0.0,0.0,3.08,2.14,-0.8,0.0,1.56,2.37,0.0,1.25
274, VESTIDO,2.44,-2.65,1.86,0.88,0.46,0.2,-0.16,1.77,-1.7,0.14,-0.26,1.57,-2.85,0.46
275, BLUSA,1.49,-0.13,-1.59,1.18,-1.95,1.58,-2.23,3.4,0.22,0.49,2.88,0.73,-2.4,-0.31
276, LINGERIE,0.29,-0.43,1.8,3.94,0.67,-0.2,2.56,2.62,-0.09,-0.96,0.17,-2.19,-1.25,0.76
277, BERMUDA E SHORT FEMININO,-0.3,1.14,-0.88,-0.84,0.0,2.84,2.78,1.97,-0.21,-1.79,1.06,-0.19,1.21,0.33
278, ROUPA INFANTIL,-0.55,1.23,0.08,3.1,-0.79,-0.04,0.77,-0.13,0.77,2.07,0.78,-2.21,-0.01,0.31
279, UNIFORME ESCOLAR,0.7,0.0,0.0,0.0,1.71,0.0,1.39,0.0,0.39,0.77,0.0,0.0,0.0,1.2
280, CALÇA COMPRIDA INFANTIL,0.08,0.51,2.11,2.67,-0.09,0.96,2.56,0.48,0.82,1.76,2.21,-2.12,-0.21,0.93
281, AGASALHO INFANTIL,0.0,1.23,0.08,0.0,-0.79,1.8,0.0,0.0,0.0,2.07,0.0,-2.21,-0.01,0.26
282, VESTIDO INFANTIL,0.33,0.0,0.93,3.55,-0.92,-1.28,-0.04,1.49,0.39,2.05,-2.68,-1.62,2.83,0.3
283, BERMUDA E SHORT INFANTIL,-2.34,-0.93,-1.42,1.26,1.13,-1.84,1.01,1.31,0.58,3.65,0.28,-2.9,-2.85,-0.05
284, CAMISA / CAMISETA INFANTIL,-0.33,2.25,-0.25,3.71,-1.7,0.13,-0.15,-1.05,1.05,2.11,1.36,-2.28,0.7,0.17
285, CONJUNTO INFANTIL,0.0,0.0,0.21,3.61,-2.51,-0.45,0.86,-1.09,0.0,0.0,2.19,-1.55,0.0,-0.23
286, CALÇADOS E ACESSÓRIOS,-0.05,-0.79,0.32,-0.64,2.53,1.36,1.36,0.64,1.07,0.79,0.78,0.25,-0.16,0.96
287, CALÇADOS E ACESSÓRIOS,-0.05,-0.79,0.32,-0.64,2.53,1.36,1.36,0.64,1.07,0.79,0.78,0.25,-0.16,0.96
288, SAPATO MASCULINO,1.15,0.36,-1.79,-1.35,1.12,-0.64,0.27,1.03,1.79,2.4,0.38,-1.25,0.51,0.69
289, SAPATO FEMININO,-0.96,-2.15,1.63,-2.46,1.11,-0.71,2.7,-1.2,1.6,0.48,-0.9,2.07,1.93,0.32
290, SAPATO INFANTIL,0.0,0.0,0.0,2.04,0.0,0.0,3.07,0.0,-2.62,0.0,0.0,0.0,0.0,0.3
291, SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,0.21,0.0,0.0,-0.67,0.0,0.62,0.0,0.0,0.0,0.0,-0.02
292, SANDÁLIA / CHINELO FEMININO,0.24,1.98,1.37,-0.92,2.95,3.75,3.26,1.46,3.65,3.61,-1.3,-1.28,2.86,1.98
293, SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,-0.03,0.0,-1.13,0.35,-0.53,2.27,0.0,0.94,2.39,3.3,0.76
294, BOLSA,1.56,1.0,1.91,1.92,3.48,-0.03,1.77,-0.31,-2.26,-0.56,3.14,3.04,-2.63,1.62
295, TÊNIS,-0.66,-1.24,-0.97,-1.17,3.08,2.06,0.35,0.92,-0.92,-0.4,2.42,-0.66,-2.14,0.62
296, JOIAS E BIJUTERIAS,0.21,1.76,-0.19,0.42,1.03,-0.6,1.25,-1.0,-0.71,0.41,1.02,0.37,0.39,0.55
297, JOIAS E BIJUTERIAS,0.21,1.76,-0.19,0.42,1.03,-0.6,1.25,-1.0,-0.71,0.41,1.02,0.37,0.39,0.55
298, BIJUTERIA,-0.3,2.61,-0.31,0.44,1.38,0.22,0.33,0.68,-0.72,2.21,0.52,-0.32,-0.42,0.7
299, JOIA,0.5,1.24,-0.1,-0.02,0.73,-0.98,1.92,0.0,-0.69,-0.58,1.45,0.77,1.05,0.47
300, RELÓGIO DE PULSO,0.0,0.0,0.0,0.97,0.0,0.0,1.59,-2.8,0.0,0.0,0.0,0.0,0.0,0.08
301, TECIDOS E ARMARINHO,0.76,0.09,-1.28,-0.69,-0.44,0.12,0.0,-0.44,0.55,-0.97,0.25,0.65,0.22,-0.31
302, TECIDOS E ARMARINHO,0.76,0.09,-1.28,-0.69,-0.44,0.12,0.0,-0.44,0.55,-0.97,0.25,0.65,0.22,-0.31
303, TECIDO,0.85,-0.8,-1.69,-0.69,0.36,0.12,-0.47,-0.83,0.63,-1.91,-0.25,0.48,1.38,-0.45
304, ARTIGOS DE ARMARINHO,0.0,-0.96,-0.6,0.0,-0.18,0.14,0.65,0.0,0.0,1.66,1.8,0.95,-1.98,0.08
305, ACORTINADO (MOSQUITEIRO),0.58,3.69,0.0,0.0,-1.5,0.0,0.0,0.47,0.18,0.0,0.0,0.0,0.0,-0.33
306, TRANSPORTES,0.7,-0.22,0.44,-0.9,0.66,0.5,0.05,0.08,0.61,0.45,2.71,-0.14,0.03,0.49
307, TRANSPORTES,0.7,-0.22,0.44,-0.9,0.66,0.5,0.05,0.08,0.61,0.45,2.71,-0.14,0.03,0.49
308, TRANSPORTE PÚBLICO,0.53,1.72,1.03,-0.82,0.26,4.99,0.2,0.4,0.11,0.48,-0.47,1.11,1.06,0.57
309, ÔNIBUS URBANO,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11
310, TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311, TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312, ÔNIBUS INTERMUNICIPAL,0.0,4.6,0.0,-2.65,0.0,0.0,0.0,0.0,0.0,0.0,-0.78,0.0,0.0,0.24
313, ÔNIBUS INTERESTADUAL,0.0,-0.12,-0.1,-3.36,-0.67,-0.73,3.01,-2.32,0.0,0.0,-0.47,3.27,1.88,-0.38
314, PASSAGEM AÉREA,10.67,12.47,20.19,0.45,3.2,14.46,1.3,14.72,1.76,4.35,-4.05,4.08,8.22,7.19
315, METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316, TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,1.88
317, TRANSPORTE ESCOLAR,0.0,-0.55,0.51,0.0,0.0,2.25,0.0,0.0,0.0,-2.98,0.0,2.53,0.0,-0.06
318, VEÍCULO PRÓPRIO,0.78,0.25,0.19,0.2,0.6,0.68,-0.3,0.56,1.0,0.87,-0.05,-0.14,-0.33,0.5
319, AUTOMÓVEL NOVO,-0.51,0.21,0.25,-0.33,0.71,0.13,-0.83,-0.8,1.55,-0.29,-0.01,0.04,0.1,0.3
320, EMPLACAMENTO E LICENÇA,0.34,0.34,0.25,0.34,0.37,0.34,0.39,0.84,0.34,0.33,0.33,0.33,0.35,0.35
321, SEGURO VOLUNTÁRIO DE VEÍCULO,8.8,1.79,-1.1,0.75,-0.93,0.94,0.0,-8.13,2.91,11.97,0.0,1.6,4.3,1.97
322, MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323, ÓLEO LUBRIFICANTE,1.61,-1.27,-0.8,-3.71,0.73,2.84,0.78,0.95,-0.37,-2.21,-1.63,0.0,-1.01,-0.16
324, ACESSÓRIOS E PEÇAS,-1.15,0.75,0.62,1.2,-0.48,-0.86,0.23,-0.03,1.69,1.56,-0.94,-0.99,1.21,0.16
325, PNEU,2.18,0.11,1.99,0.09,1.4,0.8,-2.53,1.7,1.17,1.14,1.56,-3.01,-2.07,0.9
326, CONSERTO DE AUTOMÓVEL,2.13,-1.78,-0.52,0.89,0.62,1.59,-0.21,-0.2,1.73,1.65,0.32,-0.43,-1.36,0.49
327, ESTACIONAMENTO,-0.54,-0.23,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04
328, PEDÁGIO,0.73,14.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57
329, LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,3.05,2.24,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,-8.84,1.65
330, AUTOMÓVEL USADO,-1.08,2.67,0.89,0.0,1.7,1.74,-1.76,2.51,-0.46,0.96,0.67,-0.32,-1.34,0.94
331, PINTURA DE VEÍCULO,0.0,0.0,0.0,1.06,1.75,0.68,0.0,0.0,0.15,-0.07,0.0,1.46,0.0,1.22
332, ALUGUEL DE VEÍCULO,-0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97
333, MOTOCICLETA,0.8,-1.2,0.18,0.08,-0.07,-0.13,0.38,3.38,0.35,0.24,-1.56,-0.19,1.13,0.25
334, COMBUSTÍVEIS (VEÍCULOS),0.92,-1.91,0.33,-3.02,1.06,-3.47,0.22,-1.2,0.5,-0.3,7.75,-1.04,0.17,0.42
335, GASOLINA,1.18,-2.25,0.33,-3.56,0.87,-3.59,0.14,-1.54,0.59,-0.2,7.87,-1.22,-0.04,0.24
336, ETANOL,-1.82,1.68,0.37,-1.15,1.54,-2.1,0.0,0.04,-0.17,-0.56,9.8,1.08,0.27,1.13
337, ÓLEO DIESEL,0.0,0.58,0.36,0.0,0.8,0.0,1.15,0.65,0.89,-0.99,1.75,0.95,1.33,0.71
338, GÁS VEICULAR,0.82,0.0,0.0,0.23,0.37,0.0,0.0,0.0,1.17,0.0,0.0,-0.43,0.0,0.64
339, SAÚDE E CUIDADOS PESSOAIS,0.76,0.58,0.34,0.46,0.66,0.38,0.21,0.76,0.22,0.19,0.38,0.26,0.6,0.52
340, PRODUTOS FARMACÊUTICOS E ÓTICOS,0.5,0.43,-0.02,0.19,0.86,0.15,-0.08,1.08,-0.03,-0.02,0.18,-0.09,0.92,0.4
341, PRODUTOS FARMACÊUTICOS,0.49,0.4,0.0,0.23,0.96,0.11,-0.07,1.48,-0.1,0.07,0.22,-0.05,1.03,0.45
342, ANTI-INFECCIOSO E ANTIBIÓTICO,-0.62,0.6,-0.89,-2.16,-1.66,0.16,-2.71,2.08,0.33,-1.22,0.77,0.54,2.4,-0.77
343, ANALGÉSICO E ANTITÉRMICO,1.79,-0.03,0.03,0.51,0.94,-0.17,0.11,1.94,1.21,0.4,0.47,0.88,0.67,0.69
344, ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,0.42,1.1,-3.22,-1.36,-0.2,-0.54,0.62,2.23,-0.67,-2.92,-0.24,0.46,1.07,-0.49
345, ANTIGRIPAL E ANTITUSSÍGENO,0.18,-0.16,-0.13,2.65,0.7,0.2,0.05,1.15,-1.35,1.47,-0.09,-1.84,1.16,0.39
346, DERMATOLÓGICO,-0.62,-0.1,0.81,-0.82,1.45,0.0,0.55,1.6,1.03,-0.87,0.46,0.18,1.35,0.56
347, ANTIALÉRGICO E BRONCODILATADOR,-1.15,0.49,0.17,-0.63,0.86,0.64,-0.08,0.8,1.3,0.95,0.76,-0.57,0.83,0.4
348, GASTROPROTETOR,-0.31,0.13,-0.8,0.98,2.09,0.32,0.24,1.15,-2.88,1.01,1.41,1.98,1.07,0.59
349, VITAMINA E FORTIFICANTE,1.49,0.41,-0.04,0.17,1.84,0.2,-0.03,2.77,0.5,-0.93,0.41,-0.64,-0.7,0.79
350, HORMÔNIO,-1.58,0.47,-1.98,-1.55,2.48,0.36,0.05,0.04,-4.2,2.01,0.23,-1.37,-0.29,0.25
351, PSICOTRÓPICO E ANOREXÍGENO,2.42,1.4,0.84,-0.11,2.55,-0.25,-0.17,0.39,-1.32,-0.66,0.11,-1.93,1.87,1.15
352, HIPOTENSOR E HIPOCOLESTEROLÊMICO,0.68,-0.03,2.27,1.79,0.01,0.19,-0.05,1.58,2.08,0.75,-0.31,0.58,2.07,0.68
353, OFTALMOLÓGICO,-1.92,0.06,0.36,0.04,2.93,0.0,-0.01,0.84,-0.01,1.91,-0.24,-0.18,-1.0,0.74
354, PRODUTOS ÓTICOS,0.83,0.81,-0.5,-0.08,-0.49,0.92,-0.24,-1.15,0.68,-1.43,-0.38,-0.62,-0.47,-0.18
355, ARMAÇÃO DE ÓCULOS,0.0,-0.03,0.0,0.0,-2.69,0.0,0.0,1.08,1.35,-1.33,0.0,0.0,0.0,-1.47
356, ÓCULOS SEM GRAU,1.25,2.98,-1.55,2.14,-1.86,0.0,1.75,-2.76,2.12,-3.08,0.34,0.52,0.73,0.14
357, LENTES DE ÓCULOS E DE CONTATO,0.52,-0.05,0.2,-2.01,2.43,0.92,-1.68,-1.53,-0.57,-0.52,-1.27,-1.14,-1.03,0.01
358, SERVIÇOS DE SAÚDE,0.94,0.61,0.66,0.92,0.79,1.18,0.66,0.8,0.78,0.47,0.52,0.64,0.57,0.76
359, SERVIÇOS MÉDICOS E DENTÁRIOS,0.48,-0.17,0.11,0.49,0.1,2.4,-0.63,0.29,0.5,-0.38,0.13,-0.15,-0.66,0.15
360, MÉDICO,0.51,0.0,0.92,0.0,0.0,3.2,-0.86,-0.44,0.48,-2.15,0.0,0.0,-1.3,0.16
361, DENTISTA,0.49,-0.96,-0.94,0.31,0.19,1.07,-0.29,0.74,0.52,0.64,0.41,-0.52,-0.04,0.11
362, APARELHO ORTODÔNTICO,0.0,0.07,0.0,0.0,-0.42,0.0,0.0,0.0,0.0,0.16,0.0,0.0,-0.35,-0.14
363, ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,-0.67
364, FISIOTERAPEUTA,1.08,0.0,0.0,0.0,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44
