Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
187, TAXA DE ÁGUA E ESGOTO,5.26,0.0,0.0,0.0,2.52,0.0,4.94,0.0,0.0,0.0,0.0,0.0,0.0,1.19
188, MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.84,0.0,1.21,2.41
189, REPAROS,0.1,0.27,0.34,0.54,0.28,0.41,0.14,0.73,-0.1,0.45,0.72,0.43,0.48,0.29
190, FERRAGENS,0.0,0.0,1.88,0.0,-1.43,0.0,0.0,1.22,0.0,1.36,2.46,0.8,0.0,0.23
191, MATERIAL DE ELETRICIDADE,0.0,1.16,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,-0.87,0.0,0.0,0.0,-0.26
192, MATERIAL DE PINTURA,0.0,0.0,-0.58,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,-0.44,2.46,0.06
193, VIDRO,-2.02,0.0,-1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85
194, TINTA,-0.55,-0.21,0.12,-0.19,0.61,-0.12,-1.84,0.57,-0.4,1.01,1.23,-1.47,0.49,0.14
195, REVESTIMENTO DE PISO E PAREDE,0.93,-2.16,0.58,-0.25,-2.65,0.57,-0.03,3.47,-4.58,1.09,-1.97,1.16,0.14,-1.44
196, CIMENTO,-2.21,-0.08,-0.36,5.14,1.6,-0.03,-0.45,3.27,1.56,0.01,0.05,2.58,-2.2,0.55
197, TIJOLO,0.0,0.94,0.8,-0.83,0.19,-0.83,-0.43,0.54,-2.66,0.26,0.05,0.82,0.0,0.02
198, MATERIAL HIDRÁULICO,0.0,0.0,-0.08,0.0,1.21,0.0,2.19,0.0,-0.74,-0.89,0.0,1.69,0.0,0.54
199, MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
200, AREIA,-1.13,0.0,0.77,0.0,0.0,0.0,0.0,-2.07,-0.37,0.22,1.26,-3.14,0.0,-0.28
201, TELHA,0.63,0.0,-0.45,0.0,0.0,0.0,0.44,0.05,2.09,0.38,3.38,1.21,0.0,0.55
202, ARTIGOS DE LIMPEZA,1.83,1.68,0.15,-0.75,-0.36,-0.09,-1.23,-0.15,0.15,0.99,-0.78,-0.7,0.42,0.14
203, ÁGUA SANITÁRIA,1.49,0.0,0.43,-1.16,-1.81,-0.87,-3.28,-0.62,1.33,1.02,0.0,0.0,0.0,-0.76
204, DETERGENTE,1.87,-1.79,-0.89,-0.12,0.51,-0.71,0.12,1.95,2.2,-0.37,-0.73,-1.21,2.59,0.23
205, SABÃO EM PÓ,3.18,3.76,0.96,-2.62,-0.2,0.92,-0.97,-2.26,-0.64,0.56,-2.16,-0.64,-0.33,0.31
206, DESINFETANTE,-2.04,-1.43,-1.82,-1.11,0.0,-2.76,-2.74,0.64,3.32,2.68,-0.8,1.28,-1.57,-0.46
207, INSETICIDA,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81
208, SABÃO EM BARRA,-1.3,0.56,2.72,1.98,-0.01,-2.78,-1.39,1.22,-1.3,3.2,1.82,-1.34,-0.15,0.58
209, ESPONJA DE LIMPEZA,0.0,1.85,1.11,-0.64,0.14,0.0,-2.78,3.71,0.0,1.51,-0.88,-0.49,-1.39,0.4
210, AMACIANTE,2.22,1.02,-1.91,0.0,-1.1,1.32,0.45,0.72,-0.67,0.96,-0.19,-0.88,2.34,-0.14
211, COMBUSTÍVEIS E ENERGIA,-1.46,-1.17,-3.07,-0.58,-1.62,-2.49,-4.18,-0.19,-3.72,-2.59,0.49,-1.57,-5.06,-1.97
212, COMBUSTÍVEIS (DOMÉSTICOS),2.67,-1.65,1.72,2.26,0.97,1.89,0.56,1.24,-0.89,0.62,0.97,2.81,4.39,1.03
213, CARVÃO VEGETAL,0.0,-0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32
214, GÁS DE BOTIJÃO,3.5,-1.73,1.72,2.26,1.05,1.89,0.56,1.24,-0.89,0.67,0.97,2.81,4.39,1.09
215, GÁS ENCANADO,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
216, ENERGIA ELÉTRICA RESIDENCIAL,-2.72,-0.99,-5.05,-2.05,-2.46,-3.65,-6.05,-1.13,-5.56,-3.48,0.3,-2.95,-8.44,-3.09
217, ENERGIA ELÉTRICA RESIDENCIAL,-2.72,-0.99,-5.05,-2.05,-2.46,-3.65,-6.05,-1.13,-5.56,-3.48,0.3,-2.95,-8.44,-3.09
218, ARTIGOS DE RESIDÊNCIA,-0.02,-0.59,0.83,-0.54,0.22,-0.18,-0.35,0.26,0.25,-0.42,-0.12,-0.11,-0.79,0.03
219, MÓVEIS E UTENSÍLIOS,-0.43,-0.52,1.2,-0.4,-0.32,-0.24,0.14,0.05,0.4,0.27,-0.44,0.44,-1.05,0.03
220, MOBILIÁRIO,-0.53,-0.36,1.53,-1.12,-0.11,-0.34,0.87,0.34,-0.21,0.04,-0.85,0.28,-1.66,0.04
221, MÓVEL PARA SALA,-1.0,-0.13,2.61,-2.51,-0.32,-0.39,2.08,-0.66,-0.39,1.75,-2.2,0.16,-2.47,0.08
222, MÓVEL PARA QUARTO,-0.02,-0.61,0.06,-1.16,-0.22,-1.04,0.44,1.36,1.34,-0.32,0.01,0.51,-2.27,-0.12
223, MÓVEL PARA COPA E COZINHA,-1.02,-0.96,1.72,1.67,-0.3,0.43,-0.39,1.02,-1.34,-0.72,-1.34,-0.88,0.33,-0.15
224, MÓVEL INFANTIL,0.0,0.0,0.0,-1.38,0.0,0.0,-0.08,0.11,0.0,0.0,1.61,0.0,0.0,-0.07
225, COLCHÃO,0.64,1.95,0.79,1.63,1.27,2.49,0.79,-0.73,-0.57,-2.73,3.13,1.54,1.38,0.72
226, UTENSÍLIOS E ENFEITES,-0.7,0.18,0.94,0.87,0.21,-0.39,0.32,-1.16,2.4,0.56,-0.53,0.91,1.21,0.44
227, TAPETE,-2.6,3.68,1.62,1.15,4.78,-2.6,1.16,0.0,1.17,0.03,-0.69,0.86,4.96,2.0
228, CORTINA,1.46,1.13,1.18,0.31,-1.1,-0.76,0.3,0.32,0.33,3.27,-1.34,1.57,0.31,0.42
229, UTENSÍLIOS DE METAL,1.63,-1.7,-0.43,1.84,-1.87,-1.23,0.26,-1.9,0.31,-1.37,-1.33,3.04,4.22,-0.69
230, UTENSÍLIOS DE VIDRO E LOUÇA,-0.94,0.32,-0.13,-1.28,0.33,0.41,0.01,0.85,0.02,1.09,-0.48,-0.95,0.93,0.06
231, UTENSÍLIOS DE PLÁSTICO,0.7,-1.61,0.0,0.87,3.54,-1.66,0.88,-2.56,1.78,-1.42,4.03,-0.74,-1.94,1.32
232, FLORES NATURAIS,0.0,0.14,0.0,0.0,-1.06,0.0,0.0,0.0,2.59,1.22,0.0,0.0,0.22,-0.18
233, UTENSÍLIOS DIVERSOS,-1.94,-0.96,0.84,1.53,-0.35,1.96,-0.09,-0.64,6.84,0.66,-0.82,0.76,-0.61,0.27
234," CAMA, MESA E BANHO",0.61,-2.16,0.3,0.24,-2.49,0.54,-1.63,0.33,-0.2,0.72,1.11,0.35,-1.82,-0.74
235, ROUPA DE CAMA,-0.45,-1.64,-0.76,-1.59,-1.25,0.54,-1.67,1.57,-0.07,0.53,1.11,-0.49,-0.05,-0.7
236, ROUPA DE BANHO,3.33,-3.58,3.09,4.75,-4.81,0.0,-1.41,-2.28,-0.69,1.32,0.0,2.21,-6.71,-0.87
237, APARELHOS ELETROELETRÔNICOS,0.48,-0.96,0.19,-1.1,0.91,-0.16,-0.98,0.92,0.01,-1.24,-0.17,-0.92,-0.71,-0.02
238, ELETRODOMÉSTICOS E EQUIPAMENTOS,1.05,-1.0,0.52,-1.18,1.38,1.02,-0.53,1.72,0.93,-1.16,0.88,-1.08,-0.8,0.36
239, REFRIGERADOR,2.41,-1.11,-0.09,-2.07,2.69,1.27,-0.63,2.55,1.29,-1.3,0.35,0.02,-1.73,0.72
240, AR-CONDICIONADO,0.51,0.45,0.0,1.38,0.0,0.0,-0.11,0.0,0.0,-2.63,0.0,-2.9,0.28,0.06
241, MÁQUINA DE LAVAR ROUPA,-1.28,0.72,1.21,1.38,2.54,-0.59,-1.29,1.8,0.21,-2.75,2.94,-2.17,1.88,0.76
242, LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,-2.54,0.0,0.0,0.0,0.0,0.0,0.0,-2.54
243, VENTILADOR,-3.06,0.0,0.0,1.86,0.0,0.0,0.33,2.2,0.0,0.0,0.0,0.0,-0.66,-0.09
244, FOGÃO,1.95,-2.83,0.77,-2.78,-2.12,2.63,-0.03,-0.85,0.57,0.89,1.47,-2.13,-0.85,-0.5
245, CHUVEIRO ELÉTRICO,0.0,0.89,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
246, FORNO DE MICRO-ONDAS,0.0,-3.93,2.09,0.0,0.41,0.0,0.0,0.0,0.0,0.49,-2.95,0.0,0.0,-0.25
247," TV, SOM E INFORMÁTICA",-0.29,-0.87,-0.27,-0.98,0.2,-1.7,-1.93,-0.17,-1.21,-1.38,-1.75,-0.68,-0.55,-0.6
248, TELEVISOR,1.25,0.55,-0.6,-2.02,1.79,0.55,-2.82,-1.1,-1.31,0.83,-1.52,-1.91,-2.8,0.17
249, APARELHO DE SOM,-2.07,-2.45,-2.63,-2.57,2.88,0.62,0.9,0.63,-1.65,-3.37,-1.21,-3.45,-1.86,-0.8
250, APARELHO DE DVD,-0.04,-2.62,-2.0,-1.26,-1.87,-1.95,-1.5,-1.49,-0.35,-0.43,-2.95,2.8,-1.48,-1.43
251, ANTENA,0.0,0.0,0.0,-0.98,0.0,0.0,0.94,-0.17,0.0,0.0,0.34,0.0,0.0,0.04
252, MICROCOMPUTADOR,-0.84,-0.86,0.67,0.48,-0.94,-3.48,-2.71,1.04,-1.27,-2.61,-2.0,0.23,1.11,-0.88
253, CONSERTOS E MANUTENÇÃO,-0.2,0.35,0.41,1.66,0.42,0.12,0.73,-1.92,0.43,-0.75,1.35,-0.7,-0.03,0.24
254, CONSERTOS E MANUTENÇÃO,-0.2,0.35,0.41,1.66,0.42,0.12,0.73,-1.92,0.43,-0.75,1.35,-0.7,-0.03,0.24
255, CONSERTO DE REFRIGERADOR,0.0,1.33,0.85,2.79,1.77,-0.1,0.98,0.0,0.98,-0.87,2.2,0.24,2.49,1.1
256, CONSERTO DE TELEVISOR,0.73,-1.07,0.0,2.74,-0.82,0.76,0.0,-1.15,1.38,0.0,0.35,-1.76,0.0,-0.06
257, CONSERTO DE APARELHO DE SOM,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,1.06
258, CONSERTO DE MÁQUINA DE LAVAR ROUPA,-1.6,0.35,0.0,0.0,1.98,-0.38,2.78,0.0,0.0,-2.4,0.0,0.0,0.05,0.6
259, REFORMA DE ESTOFADO,-0.21,1.15,0.13,-0.07,-0.76,0.0,-0.22,-2.28,-0.22,0.0,1.58,-1.21,-1.07,-0.33
260, MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,-0.38,-0.03
261, VESTUÁRIO,1.44,0.83,0.44,0.68,0.96,0.66,0.32,1.0,1.19,0.61,1.03,0.02,0.87,0.84
262, ROUPAS,1.62,0.98,0.25,0.71,1.29,1.17,0.15,1.32,1.63,0.49,1.16,-0.19,0.83,0.98
263, ROUPA MASCULINA,1.4,0.71,1.99,0.44,1.77,1.03,0.08,2.04,2.5,0.08,-0.06,0.41,0.63,1.27
264, CALÇA COMPRIDA MASCULINA,2.02,0.23,1.13,-0.46,1.58,0.31,1.49,2.05,0.35,2.67,0.09,0.58,-1.06,1.2
265, TERNO,-0.69,3.12,-0.34,-2.87,0.0,0.0,0.0,0.0,0.0,-1.08,-0.74,2.38,0.0,-0.47
266, AGASALHO MASCULINO,0.0,0.71,1.99,0.0,1.77,1.03,0.0,0.0,0.0,0.08,0.0,0.41,0.63,1.16
267, SHORT E BERMUDA MASCULINA,1.35,1.55,2.0,0.28,2.41,-1.03,-0.93,2.33,2.78,-0.87,1.43,-0.83,-1.56,1.33
268, CUECA,0.0,-3.2,0.0,1.35,0.0,0.0,-0.02,-0.69,2.77,0.0,0.0,0.0,0.0,-0.05
269, CAMISA / CAMISETA MASCULINA,1.63,1.19,3.37,1.42,1.74,2.18,-0.18,2.11,3.55,-1.59,-0.47,0.58,2.83,1.54
270, ROUPA FEMININA,1.89,1.74,-1.42,0.92,0.86,1.75,-0.23,1.11,0.9,0.5,1.77,-1.14,1.26,0.71
271, CALÇA COMPRIDA FEMININA,0.37,3.77,-1.24,-1.33,0.06,0.78,-1.21,0.27,-0.22,0.18,1.19,1.51,0.38,0.14
272, AGASALHO FEMININO,0.0,1.74,-1.42,0.0,0.86,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.26,0.74
273, SAIA,0.0,0.0,0.0,1.42,0.0,0.0,2.09,1.81,1.47,0.0,-1.26,0.38,0.0,1.32
274, VESTIDO,2.98,1.72,-1.26,1.72,0.6,2.36,3.25,0.38,1.77,2.54,0.99,-2.95,1.74,1.05
275, BLUSA,2.93,-0.13,-1.97,3.13,0.73,2.39,-2.2,2.07,0.72,0.48,3.29,-1.68,2.3,0.73
276, LINGERIE,-0.48,2.51,-1.31,0.16,3.66,1.96,0.0,1.78,-0.12,-1.92,0.57,2.29,-2.19,1.21
277, BERMUDA E SHORT FEMININO,1.79,2.14,0.45,-0.27,0.0,-0.83,2.06,-0.16,2.8,2.14,3.1,-2.88,3.44,1.43
278, ROUPA INFANTIL,1.28,-0.36,1.07,0.83,1.32,-0.03,1.13,0.31,1.53,1.37,1.97,1.11,0.3,1.05
279, UNIFORME ESCOLAR,1.11,0.0,0.0,0.0,-0.36,0.0,0.63,0.0,0.08,0.04,0.0,0.0,0.0,0.12
280, CALÇA COMPRIDA INFANTIL,0.92,-1.37,0.7,2.56,1.04,1.83,1.84,1.42,-1.19,2.57,1.73,-0.07,0.15,0.93
281, AGASALHO INFANTIL,0.0,-0.36,1.07,0.0,1.32,-0.03,0.0,0.0,0.0,1.37,0.0,1.11,0.3,0.77
282, VESTIDO INFANTIL,0.05,0.0,1.38,-0.25,-1.0,-0.16,1.91,-2.58,3.85,0.41,2.57,-1.21,0.97,0.55
283, BERMUDA E SHORT INFANTIL,1.6,0.96,0.31,1.56,2.54,1.8,-0.1,2.95,1.07,2.93,2.94,2.36,3.05,1.51
284, CAMISA / CAMISETA INFANTIL,1.53,-0.18,1.4,0.19,2.24,0.16,0.58,1.18,2.0,0.9,2.2,1.5,-0.82,1.32
285, CONJUNTO INFANTIL,0.0,0.0,2.52,0.63,-0.53,-2.88,2.89,-1.81,0.0,0.0,-2.52,2.06,0.0,0.19
286, CALÇADOS E ACESSÓRIOS,1.3,0.66,0.87,0.64,0.55,-0.51,0.39,0.53,0.56,0.92,1.02,0.14,1.08,0.69
287, CALÇADOS E ACESSÓRIOS,1.3,0.66,0.87,0.64,0.55,-0.51,0.39,0.53,0.56,0.92,1.02,0.14,1.08,0.69
288, SAPATO MASCULINO,2.36,1.77,1.91,-0.9,0.84,0.58,0.02,-1.89,1.96,-1.1,1.61,0.13,2.51,0.79
289, SAPATO FEMININO,0.5,0.89,2.18,0.36,-0.24,0.62,3.04,3.42,3.72,0.76,1.9,-0.82,2.46,0.92
290, SAPATO INFANTIL,0.0,0.0,0.0,-0.06,0.0,0.0,2.68,0.0,2.87,0.0,0.0,0.0,0.0,1.98
291, SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,2.28,0.0,0.0,-2.76,0.0,-0.72,0.0,0.0,0.0,0.0,-0.63
292, SANDÁLIA / CHINELO FEMININO,1.84,3.17,0.91,2.79,1.8,-1.85,-1.53,1.28,-1.79,1.08,2.67,2.95,3.37,1.17
293, SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,0.34,0.0,2.07,0.54,1.39,3.16,0.0,-0.63,1.25,2.48,1.25
294, BOLSA,-1.96,-1.07,-1.9,2.64,0.85,-1.15,0.93,-0.72,-2.8,2.87,-0.13,-2.07,-2.29,-0.07
295, TÊNIS,2.42,0.24,0.51,-1.6,0.1,-0.6,1.6,-0.1,1.43,1.3,-0.12,-0.36,-0.39,0.49
296, JOIAS E BIJUTERIAS,0.48,0.26,0.22,0.41,-0.51,-0.31,1.09,-0.46,-0.3,0.34,-0.15,1.59,0.17,0.13
297, JOIAS E BIJUTERIAS,0.48,0.26,0.22,0.41,-0.51,-0.31,1.09,-0.46,-0.3,0.34,-0.15,1.59,0.17,0.13
298, BIJUTERIA,0.74,1.78,0.15,0.24,-0.76,-0.43,1.55,-0.59,-0.7,-0.44,-0.86,1.49,0.3,0.07
299, JOIA,0.33,-0.68,0.27,0.51,-0.29,-0.26,0.86,0.0,0.19,0.79,0.44,1.65,0.06,0.16
300, RELÓGIO DE PULSO,0.0,0.0,0.0,0.63,0.0,0.0,0.61,-0.31,0.0,0.0,0.0,0.0,0.0,0.35
301, TECIDOS E ARMARINHO,0.1,1.05,0.89,0.96,0.47,0.74,1.46,-2.21,0.68,0.66,-0.22,2.03,0.41,0.51
302, TECIDOS E ARMARINHO,0.1,1.05,0.89,0.96,0.47,0.74,1.46,-2.21,0.68,0.66,-0.22,2.03,0.41,0.51
303, TECIDO,1.17,0.58,0.72,0.96,0.63,1.19,1.68,-1.58,1.09,0.43,-0.49,1.59,0.38,0.66
304, ARTIGOS DE ARMARINHO,0.0,2.66,1.15,0.0,0.56,0.11,1.15,0.0,0.0,1.29,0.59,2.81,0.47,1.12
305, ACORTINADO (MOSQUITEIRO),-1.98,-1.09,0.0,0.0,0.21,0.0,0.0,-3.67,-1.27,0.0,0.0,0.0,0.0,-0.88
306, TRANSPORTES,0.55,1.49,1.22,0.98,1.32,2.63,1.19,0.9,0.68,2.18,0.49,1.09,1.02,1.23
307, TRANSPORTES,0.55,1.49,1.22,0.98,1.32,2.63,1.19,0.9,0.68,2.18,0.49,1.09,1.02,1.23
308, TRANSPORTE PÚBLICO,-0.13,1.01,1.03,2.71,2.18,5.62,1.83,1.15,1.16,2.69,3.06,2.95,3.47,1.62
309, ÔNIBUS URBANO,-2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,-0.52
310, TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311, TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312, ÔNIBUS INTERMUNICIPAL,-0.27,-0.11,-1.09,0.1,-0.18,0.0,-0.02,0.0,0.09,0.33,-0.42,0.0,-0.22,-0.2
313, ÔNIBUS INTERESTADUAL,0.0,0.27,-0.12,17.86,0.24,0.17,0.0,5.75,-0.08,0.39,8.12,-0.33,0.01,2.25
314, PASSAGEM AÉREA,20.47,20.81,26.69,24.84,23.23,16.5,34.78,32.24,21.1,22.12,28.9,15.95,26.5,22.28
315, METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316, TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11
317, TRANSPORTE ESCOLAR,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
318, VEÍCULO PRÓPRIO,-0.09,1.11,0.02,0.8,-0.31,0.95,0.41,0.27,0.1,0.66,0.27,0.11,-0.73,0.13
319, AUTOMÓVEL NOVO,-0.87,1.28,0.55,0.84,-0.25,0.67,1.21,-0.22,0.56,0.54,-0.72,0.96,-0.48,0.17
320, EMPLACAMENTO E LICENÇA,0.35,0.34,0.25,0.34,0.37,0.34,0.39,0.84,0.34,0.33,0.33,0.33,0.34,0.35
321, SEGURO VOLUNTÁRIO DE VEÍCULO,-4.28,-1.95,-5.26,-1.77,0.01,11.6,0.0,4.72,-3.51,-5.45,0.0,1.17,0.61,-1.58
322, MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323, ÓLEO LUBRIFICANTE,-0.26,0.86,-0.88,0.01,2.73,1.61,0.5,3.54,2.53,-1.89,-0.46,0.0,1.35,1.15
324, ACESSÓRIOS E PEÇAS,0.73,0.93,0.1,2.39,-0.2,0.35,0.77,1.45,-0.2,0.17,1.43,0.08,1.75,0.52
325, PNEU,1.77,4.21,-1.04,-0.79,0.06,-0.3,0.39,-0.21,0.96,2.06,0.46,-1.95,-1.53,0.81
326, CONSERTO DE AUTOMÓVEL,0.67,1.82,0.16,1.63,-1.23,0.86,-0.2,-0.89,0.24,-1.33,-0.08,-1.36,-0.9,-0.29
327, ESTACIONAMENTO,-0.17,-0.6,-0.42,0.0,1.73,0.0,0.0,-0.74,0.0,0.0,0.0,0.0,0.0,0.35
328, PEDÁGIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.62
329, LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,2.28,1.71,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,2.78,1.59
330, AUTOMÓVEL USADO,2.11,0.98,0.05,0.0,-0.56,-0.75,-0.88,2.94,-0.57,3.91,1.09,-0.71,-1.92,0.66
331, PINTURA DE VEÍCULO,0.0,0.0,0.0,1.36,2.49,0.44,0.0,0.0,-1.43,0.57,0.0,-1.88,0.0,1.51
332, ALUGUEL DE VEÍCULO,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
333, MOTOCICLETA,-0.32,0.11,0.15,-0.09,-0.98,0.13,0.24,1.05,-0.35,0.04,1.91,0.69,-2.61,-0.07
334, COMBUSTÍVEIS (VEÍCULOS),2.78,2.25,3.14,-0.69,3.17,2.37,0.93,1.7,1.15,4.53,-0.34,1.49,2.82,2.54
335, GASOLINA,3.03,2.24,2.83,-0.35,2.39,2.23,0.94,1.79,1.22,4.18,-0.02,1.52,3.21,2.26
336, ETANOL,4.3,2.8,7.4,-2.34,5.26,3.88,0.0,1.36,1.2,6.22,-2.91,2.27,3.16,4.37
337, ÓLEO DIESEL,0.0,1.02,1.66,0.0,1.22,0.0,0.87,1.26,0.6,2.11,0.54,-0.26,0.36,1.09
338, GÁS VEICULAR,0.21,0.0,0.0,0.84,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-0.29
339, SAÚDE E CUIDADOS PESSOAIS,0.68,0.28,0.47,0.26,0.53,0.38,-0.06,0.43,0.36,-0.15,0.29,0.52,0.01,0.4
340, PRODUTOS FARMACÊUTICOS E ÓTICOS,0.35,-0.1,0.33,0.16,0.5,0.2,0.11,-0.12,0.18,-1.16,0.09,0.47,-0.28,0.14
341, PRODUTOS FARMACÊUTICOS,0.32,-0.05,0.38,0.4,0.55,0.22,0.18,-0.28,0.21,-1.25,0.13,0.51,-0.43,0.17
342, ANTI-INFECCIOSO E ANTIBIÓTICO,0.69,-0.7,-0.24,-0.45,1.57,-0.23,0.01,0.12,1.26,-2.93,-2.02,1.81,-0.84,0.12
343, ANALGÉSICO E ANTITÉRMICO,0.54,0.36,0.85,0.66,0.2,-0.8,0.03,0.25,-0.47,0.19,0.91,-0.01,-0.34,0.26
344, ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,0.51,0.35,-0.11,-0.54,-0.76,0.18,-0.12,-1.56,-1.33,-1.52,-0.57,0.09,1.41,-0.49
345, ANTIGRIPAL E ANTITUSSÍGENO,1.55,1.26,-0.57,0.25,0.25,0.62,-0.05,-0.04,0.94,-0.39,0.31,0.02,-0.8,0.35
346, DERMATOLÓGICO,0.59,0.61,0.28,0.56,0.49,0.0,-0.48,-1.36,0.94,-0.48,0.26,-0.15,1.59,0.3
347, ANTIALÉRGICO E BRONCODILATADOR,-0.51,0.72,0.07,1.41,-0.12,0.78,-0.3,0.22,1.18,-1.42,1.27,-0.08,-0.25,0.09
348, GASTROPROTETOR,1.46,-1.06,-0.14,1.75,1.63,0.81,1.36,-0.08,0.65,-1.4,0.79,1.99,0.53,0.74
349, VITAMINA E FORTIFICANTE,0.27,1.21,-0.42,-0.76,-0.58,0.67,0.19,-0.43,2.61,-0.42,-0.72,0.68,-1.06,0.0
350, HORMÔNIO,-0.77,-1.37,1.19,0.49,-0.22,0.49,-0.03,1.17,0.24,-1.78,0.6,0.25,0.36,-0.24
351, PSICOTRÓPICO E ANOREXÍGENO,0.38,0.51,0.28,0.73,1.65,0.12,0.52,-0.64,0.68,-1.11,1.0,0.27,-0.63,0.57
352, HIPOTENSOR E HIPOCOLESTEROLÊMICO,0.3,-0.24,0.88,0.26,1.33,0.16,0.57,-0.16,-0.53,-1.91,-0.42,0.5,-1.83,0.27
353, OFTALMOLÓGICO,0.32,-0.38,0.15,0.71,0.38,0.0,0.21,-1.62,-1.43,-1.29,0.91,2.11,-1.73,-0.09
354, PRODUTOS ÓTICOS,0.99,-0.73,-0.53,-1.59,-0.21,-0.27,-0.86,0.8,-0.09,0.36,-0.5,-0.23,1.51,-0.22
355, ARMAÇÃO DE ÓCULOS,0.0,-1.4,0.0,0.0,-0.22,0.0,0.0,2.45,1.49,1.96,0.0,0.0,0.0,0.3
356, ÓCULOS SEM GRAU,0.1,-1.5,-0.23,-2.57,-3.35,0.0,1.71,-1.82,0.43,1.2,-0.39,0.92,-0.32,-1.12
357, LENTES DE ÓCULOS E DE CONTATO,1.67,-0.13,-0.73,-0.66,1.94,-0.27,-2.72,0.83,-1.09,-0.7,-0.64,-0.76,2.37,0.19
358, SERVIÇOS DE SAÚDE,0.94,0.56,0.65,0.85,0.94,0.72,0.85,1.07,0.67,0.55,0.55,0.74,0.9,0.82
359, SERVIÇOS MÉDICOS E DENTÁRIOS,0.08,-0.67,0.3,-0.02,0.67,0.26,0.54,1.4,0.04,-0.04,0.03,0.3,0.86,0.3
360, MÉDICO,0.0,-0.84,0.27,0.0,0.0,0.0,1.08,0.0,0.0,-0.36,0.0,0.59,2.02,0.05
361, DENTISTA,0.19,-0.75,0.4,0.18,0.69,0.71,-0.3,2.32,0.09,-0.01,0.0,-0.42,-0.11,0.38
362, APARELHO ORTODÔNTICO,0.0,-0.39,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.49,0.0,0.0,-0.48,0.64
363, ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4
364, FISIOTERAPEUTA,0.22,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
365, PSICÓLOGO,0.0,0.0,-0.22,-0.73,0.28,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.06
366, SERVIÇOS LABORATORIAIS E HOSPITALARES,1.55,0.17,-0.2,0.22,0.31,-0.05,0.05,0.05,0.29,0.18,0.03,-0.06,0.15,0.23
367, EXAME DE LABORATÓRIO,0.48,0.02,0.3,0.0,0.0,-0.2,0.02,0.03,0.11,1.66,0.09,0.21,0.47,0.24
