Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
187, TAXA DE ÁGUA E ESGOTO,0.0,0.0,0.0,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
188, MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-4.11,0.0,0.29,-0.99
189, REPAROS,0.41,0.38,0.56,-0.04,0.12,0.55,0.03,0.49,0.34,0.21,0.33,0.02,0.66,0.29
190, FERRAGENS,0.0,0.0,-1.88,0.0,0.35,0.0,0.0,1.3,0.0,0.4,0.65,0.44,0.0,-0.04
191, MATERIAL DE ELETRICIDADE,0.0,0.62,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,1.9,0.0,0.0,0.0,1.05
192, MATERIAL DE PINTURA,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.99,2.6,1.35
193, VIDRO,-2.11,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45
194, TINTA,0.35,0.51,-0.02,0.65,-0.01,-0.88,-0.66,0.01,0.13,-0.06,-0.11,0.0,1.55,0.14
195, REVESTIMENTO DE PISO E PAREDE,2.74,-2.19,1.09,-0.65,-2.9,1.71,-1.22,1.3,2.59,-1.11,-2.71,-0.51,-0.11,-0.81
196, CIMENTO,0.94,0.2,2.89,-0.35,-0.92,-0.3,-2.95,0.37,-0.55,-0.88,1.11,-5.0,-1.83,-0.25
197, TIJOLO,0.0,0.77,0.32,-2.01,1.2,2.34,2.18,0.29,-2.25,0.2,-0.07,-0.84,0.0,0.3
198, MATERIAL HIDRÁULICO,0.0,0.0,0.07,0.0,0.7,0.0,1.75,0.0,-1.98,-1.34,0.0,0.41,0.0,0.09
199, MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
200, AREIA ,0.3,0.0,-0.5,0.0,0.0,0.0,0.0,-0.39,-1.95,-0.19,-1.05,-1.21,0.0,-0.51
201, TELHA,-1.37,0.0,0.72,0.0,0.0,0.0,0.55,0.51,0.24,-0.53,2.63,1.41,0.0,0.07
202, ARTIGOS DE LIMPEZA,0.07,-1.31,-1.6,0.28,0.83,0.75,-0.94,0.49,-0.14,-1.93,0.89,0.31,-0.45,-0.21
203, ÁGUA SANITÁRIA,1.59,0.0,0.87,-1.01,0.28,2.56,3.79,2.33,-0.18,-1.03,0.0,0.0,0.0,0.65
204, DETERGENTE,-1.1,0.31,-2.51,-0.01,0.6,-0.51,0.5,-0.31,-1.63,-1.81,-1.21,-0.5,1.62,-0.42
205, SABÃO EM PÓ,1.16,-2.56,-1.91,1.12,1.95,1.11,-3.0,0.02,1.46,-2.79,1.53,-0.29,-2.1,0.04
206, DESINFETANTE,-1.1,0.95,-2.01,-1.14,0.0,-2.97,2.04,-0.9,-1.24,-0.24,0.64,2.82,2.82,-0.53
207, INSETICIDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208, SABÃO EM BARRA,1.32,1.67,-2.82,0.6,2.99,2.9,0.44,2.38,-0.89,-0.37,0.66,1.87,0.5,0.73
209, ESPONJA DE LIMPEZA,0.0,-1.13,-0.41,-2.69,-1.18,0.0,-3.58,-1.41,0.0,-0.01,0.17,1.15,2.27,-0.93
210, AMACIANTE,-2.64,-1.49,-0.37,0.0,-1.16,0.9,-0.47,-0.31,-2.83,-2.7,1.6,-0.31,-1.98,-1.29
211, COMBUSTÍVEIS E ENERGIA,-0.23,-4.57,-4.91,-4.57,-5.4,-1.79,-2.73,-5.23,-4.55,-4.4,-1.45,-4.9,-9.29,-4.05
212, COMBUSTÍVEIS (DOMÉSTICOS),1.4,1.76,0.08,7.23,3.8,2.13,0.39,1.87,4.58,2.2,1.2,0.0,1.94,2.48
213, CARVÃO VEGETAL,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44
214, GÁS DE BOTIJÃO,1.86,1.78,0.08,7.23,4.14,2.13,0.39,1.87,4.58,2.37,1.2,0.0,1.94,2.63
215, GÁS ENCANADO,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
216, ENERGIA ELÉTRICA RESIDENCIAL,-0.73,-6.85,-6.8,-10.02,-8.09,-2.78,-3.98,-9.44,-10.78,-6.47,-2.51,-6.36,-13.21,-6.39
217, ENERGIA ELÉTRICA RESIDENCIAL,-0.73,-6.85,-6.8,-10.02,-8.09,-2.78,-3.98,-9.44,-10.78,-6.47,-2.51,-6.36,-13.21,-6.39
218, ARTIGOS DE RESIDÊNCIA,-0.86,0.23,0.03,-0.77,-0.29,-0.5,-0.08,0.25,-0.42,-0.31,0.2,-1.24,-0.12,-0.28
219, MÓVEIS E UTENSÍLIOS,-0.41,-0.11,1.11,-1.21,-0.38,-0.89,-0.61,0.35,-0.54,-0.6,0.91,-1.64,-0.55,-0.21
220, MOBILIÁRIO,-0.2,-0.67,1.22,-1.04,-1.54,-1.84,-1.35,0.69,0.09,-0.58,0.46,-2.25,-0.4,-0.55
221, MÓVEL PARA SALA,-0.35,-1.13,2.06,-2.79,-2.57,-2.92,-2.48,0.57,0.1,0.5,1.54,-2.37,0.45,-0.69
222, MÓVEL PARA QUARTO,-0.23,0.16,1.61,-0.06,-0.07,-0.22,-1.61,2.15,0.03,-1.97,0.23,-2.89,-1.03,-0.11
223, MÓVEL PARA COPA E COZINHA,-0.3,-2.78,-2.9,2.2,-3.42,-0.32,-2.12,-2.19,-0.17,-0.9,-0.07,-1.32,-0.01,-1.9
224, MÓVEL INFANTIL,0.0,0.0,0.0,-1.35,0.0,0.0,1.81,1.05,0.0,0.0,0.55,0.0,0.0,0.8
225, COLCHÃO,0.85,2.99,0.88,0.82,-0.84,-0.89,0.49,1.75,0.49,2.59,-3.09,2.51,-2.16,0.39
226, UTENSÍLIOS E ENFEITES,-0.49,-1.02,2.09,0.01,0.31,0.52,0.03,-0.38,0.12,-0.76,0.41,-0.97,-0.98,0.24
227, TAPETE,4.48,-0.49,4.44,2.28,-0.53,3.51,2.26,0.0,3.69,-1.37,4.77,2.27,2.06,2.23
228, CORTINA,0.56,-2.0,3.07,-0.65,-2.17,4.29,-0.64,-2.98,0.37,-1.73,0.78,-3.94,-3.35,-0.51
229, UTENSÍLIOS DE METAL,1.0,0.48,1.77,-2.15,-2.02,-2.35,-0.86,-0.87,-0.22,-0.57,-4.68,-4.4,1.7,-0.9
230, UTENSÍLIOS DE VIDRO E LOUÇA,1.15,-2.88,1.82,4.63,1.58,-6.96,-2.29,-5.69,3.52,0.78,3.23,-3.47,3.25,0.59
231, UTENSÍLIOS DE PLÁSTICO,-2.64,1.0,0.0,3.63,-1.21,2.1,-1.97,1.64,-1.25,1.06,2.46,1.03,-6.25,-0.51
232, FLORES NATURAIS,0.0,-0.69,0.0,0.0,3.36,0.0,0.0,0.0,0.38,2.26,0.0,0.0,-3.67,2.13
233, UTENSÍLIOS DIVERSOS,-1.79,-1.24,-1.84,-1.63,3.24,0.68,2.8,0.12,-1.89,-1.58,-0.45,1.33,-1.48,0.1
234," CAMA, MESA E BANHO",-1.55,3.25,-1.33,-3.15,3.49,1.4,0.37,-0.38,-3.88,-0.44,3.22,-0.15,-0.54,0.4
235, ROUPA DE CAMA,-1.75,2.42,-0.67,-2.1,3.91,1.4,0.69,-3.44,-3.86,0.91,3.22,-1.13,-2.51,0.53
236, ROUPA DE BANHO,-1.05,5.65,-3.02,-5.7,2.69,0.0,-1.19,6.47,-3.96,-4.72,0.0,2.19,4.59,0.05
237, APARELHOS ELETROELETRÔNICOS,-1.59,0.46,-1.87,-0.24,-0.4,-0.03,0.49,-0.2,-0.39,-0.6,-1.01,-0.83,-0.4,-0.57
238, ELETRODOMÉSTICOS E EQUIPAMENTOS,-1.75,1.33,-1.69,-0.59,-0.77,0.2,0.89,-0.57,0.32,-0.97,-0.38,-1.46,0.0,-0.51
239, REFRIGERADOR,-3.64,1.68,-1.35,1.86,-0.45,-0.27,1.96,-0.76,0.42,-2.68,-1.42,-3.04,-0.94,-0.58
240, AR-CONDICIONADO,-0.57,0.62,0.0,-1.61,0.0,0.0,2.95,0.0,0.0,-0.39,0.0,-3.08,3.67,0.26
241, MÁQUINA DE LAVAR ROUPA,-1.54,0.41,-1.05,-3.16,-0.37,-0.31,-1.36,-1.78,0.36,-0.9,1.19,-0.48,0.04,-0.59
242, LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06
243, VENTILADOR,-0.47,0.0,0.0,1.06,0.0,0.0,-0.72,-1.32,0.0,0.0,0.0,0.0,3.64,-0.09
244, FOGÃO,0.43,2.42,-3.66,-3.59,-3.54,2.51,0.06,1.17,0.04,1.54,1.48,2.97,-1.06,-1.0
245, CHUVEIRO ELÉTRICO,0.0,1.79,0.0,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29
246, FORNO DE MICRO-ONDAS,0.0,0.23,0.34,0.0,-0.03,0.0,0.0,0.0,0.0,2.43,-2.32,0.0,0.0,0.3
247," TV, SOM E INFORMÁTICA",-1.38,-1.16,-2.11,0.31,0.14,-0.33,-0.29,0.32,-1.37,0.11,-1.93,0.09,-1.12,-0.65
248, TELEVISOR,2.06,-0.63,-2.18,2.11,1.22,0.68,0.16,-0.17,-0.62,-0.37,1.59,-0.34,-0.6,0.43
249, APARELHO DE SOM,-2.16,-0.12,0.96,0.22,-2.72,-0.8,2.67,-3.08,-3.09,0.0,-3.26,-0.32,-1.32,-1.28
250, APARELHO DE DVD,-2.27,-0.17,-2.46,-1.16,-1.96,-1.16,-2.44,1.24,-0.96,-1.0,-2.75,-0.07,1.5,-1.5
251, ANTENA,0.0,0.0,0.0,0.31,0.0,0.0,-0.29,0.32,0.0,0.0,-0.15,0.0,0.0,0.05
252, MICROCOMPUTADOR,-3.56,-2.01,-2.47,-0.36,0.3,-0.84,-0.3,1.81,-1.47,0.63,-3.54,0.49,-1.7,-1.05
253, CONSERTOS  E  MANUTENÇÃO,0.04,1.07,-0.3,-0.66,0.58,0.11,-0.31,2.17,0.34,2.38,1.69,0.24,2.6,0.66
254, CONSERTOS E MANUTENÇÃO,0.04,1.07,-0.3,-0.66,0.58,0.11,-0.31,2.17,0.34,2.38,1.69,0.24,2.6,0.66
255, CONSERTO DE REFRIGERADOR,0.0,-3.81,0.0,-3.16,0.4,5.18,0.0,0.0,0.0,4.87,0.0,0.0,1.3,-0.14
256, CONSERTO DE TELEVISOR,0.0,1.53,-1.21,2.07,1.45,-0.16,0.0,-1.89,-0.52,0.0,3.11,0.0,7.42,0.76
257, CONSERTO DE APARELHO DE SOM,0.0,0.0,-4.97,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,-1.66
258, CONSERTO DE MÁQUINA DE LAVAR ROUPA ,0.31,4.41,0.0,0.0,-0.14,0.38,-1.82,0.0,0.0,3.81,0.0,0.0,-2.42,1.34
259, REFORMA DE ESTOFADO,0.0,-0.23,1.59,-0.62,0.77,-2.69,0.0,4.16,0.0,1.33,1.53,-0.05,2.94,0.82
260, MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.01,0.96
261, VESTUÁRIO,0.49,0.78,0.33,0.09,1.02,-0.45,0.03,0.93,-0.42,0.25,0.51,1.0,-0.33,0.48
262, ROUPAS,0.66,1.37,0.49,0.47,0.75,-0.75,-0.33,1.08,-0.49,0.18,0.13,0.94,-1.03,0.45
263, ROUPA MASCULINA,0.83,0.74,0.89,-0.68,-0.89,-1.51,-1.47,0.92,-0.71,-0.2,1.33,1.31,0.36,-0.19
264, CALÇA COMPRIDA MASCULINA ,-1.43,1.12,-1.04,0.72,-1.42,-1.15,-0.15,-0.39,1.84,-1.21,1.56,-0.01,1.76,-0.47
265, TERNO,2.11,-0.2,2.51,1.79,0.0,0.0,0.0,0.0,0.0,3.05,0.63,-0.33,0.0,2.1
266, AGASALHO MASCULINO,0.0,3.45,3.5,0.0,3.67,2.26,0.0,0.0,0.0,0.84,0.0,2.52,0.36,2.91
267, SHORT E BERMUDA MASCULINA,-1.14,-2.36,1.35,0.96,1.2,-1.62,-2.12,0.6,-1.83,-0.35,-1.66,-2.34,-2.83,-0.42
268, CUECA,0.0,-0.19,0.0,1.08,0.0,0.0,-1.98,-0.69,0.56,0.0,0.0,0.0,0.0,-0.3
269, CAMISA / CAMISETA MASCULINA,2.86,0.31,1.09,-2.81,-1.54,-2.6,-1.84,1.99,-1.65,-0.4,1.99,3.86,0.08,-0.48
270, ROUPA FEMININA,0.81,1.71,0.11,1.55,1.81,-0.64,0.5,1.27,-0.02,0.22,0.19,0.95,-2.03,0.9
271, CALÇA COMPRIDA FEMININA,0.98,3.42,0.5,3.88,3.99,3.05,3.18,2.27,2.11,1.34,-2.94,1.95,-0.79,2.3
272, AGASALHO FEMININO,0.0,1.84,3.19,0.0,2.89,0.0,0.0,0.0,0.0,0.39,0.0,0.0,-2.03,2.04
273, SAIA,0.0,0.0,0.0,-2.31,0.0,0.0,-2.72,-0.77,-1.83,0.0,3.81,-1.48,0.0,-1.45
274, VESTIDO,-2.42,3.97,-1.0,-2.67,0.07,-2.44,0.57,1.6,-2.21,-0.97,1.11,0.12,-2.4,-0.55
275, BLUSA,2.94,0.7,0.36,2.68,2.33,-2.62,-2.55,1.58,0.0,-0.48,2.14,0.89,-2.84,1.05
276, LINGERIE,-2.45,0.07,-2.26,-1.34,-2.7,-0.3,3.72,-0.75,0.23,2.23,0.56,2.95,-1.79,-0.99
277, BERMUDA E SHORT FEMININO,1.68,-2.77,1.47,1.76,0.0,-0.33,2.95,-1.07,0.22,-2.94,0.59,1.28,-2.28,0.47
278, ROUPA INFANTIL,-0.2,1.78,0.67,0.55,1.59,0.71,0.13,0.88,-1.22,0.98,-2.26,0.19,-1.26,0.63
279, UNIFORME ESCOLAR,0.67,0.0,0.0,0.0,1.37,0.0,1.47,0.0,0.59,-1.55,0.0,0.0,0.0,0.71
280, CALÇA COMPRIDA INFANTIL,-2.17,1.18,2.02,-0.76,1.04,-0.08,-1.66,-2.67,-0.56,3.94,-1.81,1.87,-2.35,0.59
281, AGASALHO INFANTIL,0.0,3.37,-2.33,0.0,3.39,3.1,0.0,0.0,0.0,2.39,0.0,0.19,3.66,2.28
282, VESTIDO INFANTIL,0.46,0.0,3.49,-0.41,1.29,3.55,2.6,2.39,-0.94,2.16,-1.87,0.82,2.62,1.29
283, SHORT E BERMUDA INFANTIL,-2.73,-0.53,0.15,-0.38,-1.59,3.56,-2.65,1.14,-2.18,-2.56,-2.79,3.53,-2.24,-1.23
284, CAMISA / CAMISETA INFANTIL,1.48,2.19,-0.21,1.69,2.18,-1.08,0.35,2.08,-1.21,0.07,-2.99,-2.42,-2.04,0.79
285, CONJUNTO INFANTIL,0.0,0.0,2.43,0.8,3.4,-0.51,2.97,-1.18,0.0,0.0,0.43,1.36,0.0,1.82
286, CALÇADOS E ACESSÓRIOS,0.11,0.1,-0.05,-0.59,1.86,-0.11,0.66,0.89,-0.11,0.41,1.2,1.69,0.86,0.7
287, CALÇADOS E ACESSÓRIOS,0.11,0.1,-0.05,-0.59,1.86,-0.11,0.66,0.89,-0.11,0.41,1.2,1.69,0.86,0.7
288, SAPATO MASCULINO,-1.8,3.89,-1.75,-2.5,2.14,1.71,0.78,-2.15,-0.08,-2.02,3.35,-1.54,2.94,0.39
289, SAPATO FEMININO,-1.0,0.84,0.36,-2.61,3.36,3.25,1.74,1.84,3.03,2.3,2.82,1.33,1.95,1.69
290, SAPATO INFANTIL,0.0,0.0,0.0,-0.87,0.0,0.0,1.43,0.0,2.82,0.0,0.0,0.0,0.0,1.35
291, SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,-0.18,0.0,0.0,1.22,0.0,-0.84,0.0,0.0,0.0,0.0,0.18
292, SANDÁLIA / CHINELO FEMININO,1.52,-0.93,-1.34,0.55,-0.24,3.01,-2.99,0.95,-0.75,-1.15,3.93,2.23,1.78,-0.12
293, SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,0.23,0.0,-1.25,-0.35,2.31,-1.55,0.0,0.15,2.14,-0.45,0.01
294, BOLSA ,-1.24,-2.52,2.97,1.46,4.0,-2.19,0.62,2.04,-0.72,-1.9,-1.63,3.58,-0.05,0.99
295, TÊNIS,0.77,-0.2,0.41,-1.04,1.6,-2.18,3.29,0.92,-1.05,1.66,-1.25,1.97,-0.41,0.73
296, JÓIAS E BIJUTERIAS,0.47,-1.0,0.31,-0.73,-0.76,1.12,0.81,-1.49,-0.71,-0.18,0.29,-1.2,-0.43,-0.28
297, JÓIAS E BIJUTERIAS,0.47,-1.0,0.31,-0.73,-0.76,1.12,0.81,-1.49,-0.71,-0.18,0.29,-1.2,-0.43,-0.28
298, BIJUTERIA,1.64,1.05,-1.3,0.24,-1.8,-1.74,0.2,0.95,0.02,0.23,2.7,-0.98,0.91,-0.28
299, JÓIA,-0.23,-2.09,1.52,0.24,0.18,2.51,1.53,0.0,-1.56,-0.41,-1.63,-1.32,-1.41,-0.11
300, RELÓGIO DE PULSO,0.0,0.0,0.0,-3.54,0.0,0.0,0.24,-3.87,0.0,0.0,0.0,0.0,0.0,-2.29
301, TECIDOS E ARMARINHO,1.39,0.96,0.9,-0.1,1.35,2.81,-0.75,1.22,-1.84,1.28,2.0,-0.8,3.16,0.79
302, TECIDOS E ARMARINHO,1.39,0.96,0.9,-0.1,1.35,2.81,-0.75,1.22,-1.84,1.28,2.0,-0.8,3.16,0.79
303, TECIDO,1.34,1.69,1.56,-0.1,1.42,4.25,0.23,0.77,-2.65,1.59,2.73,1.0,3.13,0.83
304, ARTIGOS DE ARMARINHO,0.0,0.76,-0.23,0.0,1.37,0.73,-2.08,0.0,0.0,0.42,-0.14,-3.94,3.22,0.22
305, ACORTINADO (MOSQUITEIRO),1.49,0.11,0.0,0.0,1.25,0.0,0.0,2.32,2.13,0.0,0.0,0.0,0.0,1.38
306, TRANSPORTES,0.68,-0.12,-0.34,2.33,-0.35,1.02,-0.56,-0.68,-0.82,-0.43,0.25,0.5,0.73,-0.06
307, TRANSPORTES,0.68,-0.12,-0.34,2.33,-0.35,1.02,-0.56,-0.68,-0.82,-0.43,0.25,0.5,0.73,-0.06
308, TRANSPORTE PÚBLICO,1.6,5.04,1.05,3.88,0.66,4.47,-0.54,0.16,0.84,1.88,1.3,3.47,2.2,1.47
309, ÔNIBUS URBANO,0.0,7.73,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
310, TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311, TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312, ÔNIBUS INTERMUNICIPAL,0.0,0.0,0.03,-0.26,0.13,0.0,-8.69,0.0,0.1,-0.03,-2.05,0.0,4.52,-0.35
313, ÔNIBUS  INTERESTADUAL,0.0,-0.27,0.84,2.57,0.26,-3.77,-3.46,-4.57,0.0,-0.14,-0.27,0.0,-0.03,0.03
314, PASSAGEM AÉREA,22.47,21.55,25.55,1.23,7.68,15.51,19.78,8.91,13.63,18.31,26.65,21.09,22.23,15.48
315, METRÔ,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12
316, TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,-14.48,0.0,0.0,0.0,0.0,0.0,0.0,-14.48
317, TRANSPORTE ESCOLAR,0.0,-0.97,0.0,0.0,1.1,0.82,0.0,0.0,6.29,-3.3,0.0,1.09,0.0,0.67
318, VEÍCULO PRÓPRIO,0.04,0.45,0.64,0.21,0.2,-0.04,0.22,0.45,-0.2,-0.15,0.63,0.13,1.18,0.23
319, AUTOMÓVEL  NOVO,-0.23,0.35,0.26,-1.13,0.24,0.09,0.38,-0.63,-0.02,-0.31,-0.13,-0.34,1.17,0.03
320, EMPLACAMENTO E  LICENÇA,0.34,0.34,0.26,0.34,0.37,0.34,0.39,0.84,0.34,0.33,0.33,0.33,0.35,0.35
321, SEGURO VOLUNTÁRIO DE VEÍCULO,-4.28,-4.1,0.15,2.49,3.52,1.75,0.0,1.84,2.43,2.42,1.33,-0.43,6.14,0.96
322, MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323, ÓLEO LUBRIFICANTE,0.45,-2.43,0.52,-2.01,0.48,-1.34,-0.75,0.06,0.59,-0.27,-4.43,0.0,-0.29,-0.31
324, ACESSÓRIOS E PEÇAS,0.38,-1.41,-0.27,4.41,-0.94,0.5,-2.05,-0.82,0.16,1.74,1.4,1.22,1.78,0.04
325, PNEU ,-0.82,-0.54,-0.86,1.53,-0.99,-1.2,-0.94,-0.33,-2.98,0.94,2.0,-0.71,-0.61,-0.67
326, CONSERTO DE AUTOMÓVEL,0.57,1.92,1.04,1.31,-0.94,-1.55,7.03,1.57,-1.56,-0.73,-0.83,2.2,0.27,0.05
327, ESTACIONAMENTO,0.78,3.82,-2.27,0.0,2.25,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.02
328, PEDÁGIO,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.23
329, LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,1.45,3.77,0.0,0.0,0.0,0.0,-1.99,0.0,0.0,-1.79,2.31
330, AUTOMÓVEL USADO,0.95,2.55,1.92,0.0,1.0,0.8,-0.89,6.78,0.06,-1.02,4.08,-1.88,9.38,1.05
331, PINTURA DE VEÍCULO,0.0,0.0,0.0,-0.92,1.04,1.17,0.0,0.0,-0.48,-1.17,0.0,-0.14,0.0,0.43
332, ALUGUEL DE VEÍCULO,-1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.87
333, MOTOCICLETA,-0.26,-1.88,0.34,-0.15,0.39,-0.88,-2.94,-1.36,1.39,1.57,1.26,-1.15,-0.12,0.01
334, COMBUSTÍVEIS (VEÍCULOS),-0.17,-3.86,-3.0,4.59,-1.98,-0.45,-1.68,-3.82,-3.92,-2.48,-0.73,-1.03,-0.81,-1.95
335, GASOLINA,-0.13,-4.0,-2.71,6.14,-1.52,-0.49,-1.71,-4.36,-4.29,-1.85,-0.88,-1.0,-0.94,-1.75
336, ETANOL,-2.21,-3.12,-6.45,-0.88,-3.36,-0.03,0.0,-1.4,-3.63,-4.97,0.01,-2.63,-2.01,-3.33
337, ÓLEO DIESEL,0.0,-0.89,-1.59,0.0,0.25,0.0,-1.3,-1.8,-1.75,-0.45,-0.23,-0.05,0.72,-0.74
338, GÁS VEICULAR,0.88,0.0,0.0,1.08,2.42,0.0,0.0,0.0,0.36,0.0,0.0,1.76,0.0,1.44
339, SAÚDE E CUIDADOS PESSOAIS,0.87,0.91,0.55,0.6,1.34,0.82,0.45,1.42,0.72,1.46,0.59,1.21,0.77,1.0
340, PRODUTOS FARMACÊUTICOS E ÓTICOS,1.12,1.49,0.73,0.92,2.93,1.13,1.53,2.82,1.12,3.0,1.13,1.67,0.79,1.86
341, PRODUTOS FARMACÊUTICOS,1.25,1.56,0.66,0.79,3.04,1.2,1.69,3.04,1.24,3.25,1.22,1.75,0.81,1.95
342, ANTI-INFECCIOSO E ANTIBIÓTICO,0.4,2.28,-0.85,3.03,3.05,1.2,3.02,2.04,1.06,2.97,1.9,3.05,0.11,1.82
343, ANALGÉSICO E ANTITÉRMICO,1.31,1.06,1.14,2.87,3.45,1.81,1.52,2.59,0.45,3.8,1.92,1.32,0.91,2.16
344, ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,1.82,1.19,2.28,-1.07,2.3,1.59,1.37,2.6,1.35,4.44,1.42,1.94,2.07,2.03
345, ANTIGRIPAL E ANTITUSSÍGENO,1.49,1.7,0.94,0.28,2.35,1.56,0.74,3.21,1.47,3.32,1.52,1.45,-2.44,1.76
346, DERMATOLÓGICO,-0.93,2.01,0.94,1.15,2.0,0.0,2.15,1.38,0.62,3.46,0.96,2.37,4.38,1.46
347, ANTIALÉRGICO E  BRONCODILATADOR,-1.41,-0.36,0.8,0.46,2.85,1.04,2.1,2.35,1.04,2.0,1.55,1.75,0.66,1.34
348, GASTROPROTETOR,0.57,1.85,2.74,0.82,3.67,0.72,1.53,2.67,0.37,2.61,0.59,1.63,0.46,2.09
349, VITAMINA E FORTIFICANTE,0.14,1.47,1.29,-0.26,1.07,0.87,1.75,4.22,1.57,3.96,1.47,2.21,0.16,1.5
350, HORMÔNIO,1.07,1.31,1.2,0.51,3.11,1.34,1.25,4.74,1.69,3.34,0.34,2.1,2.12,2.06
351, PSICOTRÓPICO E ANOREXÍGENO,1.65,0.46,1.27,1.44,3.08,1.97,2.97,3.96,0.95,4.32,1.35,2.63,0.4,2.11
352, HIPOTENSOR E HIPOCOLESTEROLEMICO,2.28,2.89,-1.33,0.03,4.06,0.72,1.97,2.64,2.41,2.25,0.77,1.02,0.41,2.2
353, OFTALMOLÓGICO,0.52,0.78,1.02,0.78,1.39,0.0,0.41,2.36,-0.62,-0.36,1.45,0.98,0.76,0.78
354, PRODUTOS ÓTICOS,-1.76,0.74,2.12,1.84,1.35,-0.38,-0.47,1.71,-0.07,-0.81,-0.04,0.45,0.57,0.68
355, ARMAÇÃO DE ÓCULOS,0.0,-2.84,0.0,0.0,0.3,0.0,0.0,2.0,-2.84,-1.27,0.0,0.0,0.0,-0.43
356, ÓCULOS SEM GRAU,-1.58,0.67,1.53,0.54,2.02,0.0,0.72,1.83,1.86,-2.16,-0.44,0.38,2.5,0.71
357, LENTES DE ÓCULOS E DE CONTATO,-1.89,1.9,2.52,2.9,1.83,-0.38,-1.29,1.59,-0.21,0.17,0.49,0.49,-0.39,1.0
358, SERVIÇOS DE SAÚDE,0.87,0.87,0.75,0.82,1.01,1.03,0.8,0.85,0.66,0.84,0.6,0.86,1.06,0.89
359, SERVIÇOS MÉDICOS E DENTÁRIOS,0.37,0.7,0.4,0.37,0.65,1.48,0.34,0.4,0.07,0.77,0.27,0.34,1.06,0.53
360, MÉDICO,1.05,0.54,0.19,0.88,0.0,2.41,0.44,0.77,0.0,1.43,0.52,0.51,1.66,0.53
361, DENTISTA,-0.17,0.51,0.76,0.0,1.09,-0.03,0.19,0.18,0.15,0.4,0.16,-0.08,0.56,0.58
362, APARELHO ORTODONTICO,0.0,0.87,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.05,1.3
363, ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,-0.62
364, FISIOTERAPEUTA,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
365, PSICÓLOGO,0.0,1.62,-0.14,-0.69,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.08
366, SERVIÇOS LABORATORIAIS E HOSPITALARES,-0.84,0.41,0.4,-1.46,1.28,0.27,0.03,0.24,0.14,0.46,-0.02,0.99,1.15,0.51
