Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
187, TAXA DE ÁGUA E ESGOTO,0.0,0.14,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
188, MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,-2.9,0.0,0.0,-0.42
189, REPAROS,0.51,0.34,0.37,0.31,0.19,0.35,-0.24,0.25,0.86,0.62,0.34,0.25,0.78,0.37
190, FERRAGENS,0.0,0.0,2.33,0.0,0.94,0.0,0.0,-0.15,0.0,-0.06,-1.11,-0.41,0.0,0.83
191, MATERIAL DE ELETRICIDADE,0.0,2.04,0.0,0.0,0.0,0.0,-2.4,0.0,0.0,1.47,0.0,0.0,0.0,0.71
192, MATERIAL DE PINTURA,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,-3.7,2.61,-0.43
193, VIDRO,1.84,0.0,-1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
194, TINTA,-0.23,-0.28,0.06,-0.14,-0.57,-0.03,-0.33,0.55,-0.59,0.13,-0.09,-0.81,1.0,-0.27
195, REVESTIMENTO DE PISO E PAREDE,0.14,-1.01,2.04,-0.57,1.85,-2.32,-3.27,-1.78,2.89,2.94,1.45,0.02,1.18,1.07
196, CIMENTO,-0.05,-0.18,-2.71,-0.67,-1.73,0.41,-0.65,-0.01,-0.23,-0.88,-1.02,0.8,-0.79,-0.92
197, TIJOLO,0.0,1.13,0.98,1.05,-1.04,-0.28,0.77,0.36,2.85,0.79,0.8,1.52,0.0,0.53
198, MATERIAL HIDRÁULICO,0.0,0.0,0.47,0.0,-2.83,0.0,-1.87,0.0,1.63,2.11,0.0,1.52,0.0,-0.96
199, MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
200, AREIA ,0.07,0.0,0.51,0.0,0.0,0.0,0.0,1.35,2.65,1.48,-0.09,-0.33,0.0,0.81
201, TELHA,1.81,0.0,0.92,0.0,0.0,0.0,2.06,-1.35,2.43,0.16,0.98,-1.22,0.0,0.92
202, ARTIGOS DE LIMPEZA,0.18,-0.48,-0.16,0.85,-0.06,-1.03,-0.79,-0.4,-0.66,-0.98,-0.32,0.52,-0.62,-0.27
203, ÁGUA SANITÁRIA,2.29,0.0,0.21,-1.86,0.29,2.88,-0.06,-1.1,-2.5,-0.5,0.0,0.0,0.0,-0.15
204, DETERGENTE,-0.14,-2.51,-0.89,-0.76,-0.17,0.6,-1.43,0.81,-2.32,-1.36,0.0,-0.34,-0.49,-0.71
205, SABÃO EM PÓ,-0.01,0.39,-0.11,1.18,-0.98,-2.55,-0.53,0.01,-0.01,-1.07,-0.55,1.39,-0.69,-0.4
206, DESINFETANTE,-1.05,-0.74,-0.54,-0.95,0.0,-0.81,-1.79,-0.47,-0.35,-3.05,-0.83,-1.72,-2.87,-1.09
207, INSETICIDA,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
208, SABÃO EM BARRA,-1.24,-3.67,1.29,2.79,1.22,-0.94,-1.37,-1.45,0.92,1.2,1.1,0.73,1.58,0.46
209, ESPONJA DE LIMPEZA,0.0,-1.62,0.1,1.63,1.22,0.0,0.98,0.02,0.0,-0.98,-0.34,-1.06,-1.27,0.28
210, AMACIANTE,1.63,0.53,-0.73,0.0,0.92,-0.51,-1.4,-0.34,-2.34,-1.08,-1.04,1.02,-0.78,0.03
211, COMBUSTÍVEIS E ENERGIA,5.07,2.34,4.09,2.23,3.66,3.93,0.94,3.57,3.05,3.76,4.0,3.34,2.72,3.52
212, COMBUSTÍVEIS (DOMÉSTICOS),-0.03,0.71,0.33,0.0,1.19,3.4,-0.51,3.12,3.01,0.59,1.21,2.75,3.31,1.05
213, CARVÃO VEGETAL,0.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25
214, GÁS DE BOTIJÃO,-0.1,0.86,0.33,0.0,1.31,3.4,-0.51,3.12,3.01,0.63,1.21,2.75,3.31,1.13
215, GÁS ENCANADO,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
216, ENERGIA ELÉTRICA RESIDENCIAL,6.74,2.95,5.59,3.3,4.41,4.06,1.53,3.83,3.07,4.8,5.17,3.52,2.51,4.43
217, ENERGIA ELÉTRICA RESIDENCIAL,6.74,2.95,5.59,3.3,4.41,4.06,1.53,3.83,3.07,4.8,5.17,3.52,2.51,4.43
218, ARTIGOS DE RESIDÊNCIA,-0.17,-0.74,0.29,-0.19,-0.14,-0.33,-0.66,-0.55,-0.83,-0.49,-0.9,0.08,0.42,-0.29
219, MÓVEIS E UTENSÍLIOS,-0.41,-0.36,-0.13,0.09,0.32,-0.71,-0.91,-0.08,-0.09,-0.85,-1.52,0.59,1.1,-0.16
220, MOBILIÁRIO,-0.58,-1.52,-0.65,-0.22,0.39,-0.5,-0.47,-0.52,-0.76,-0.89,-2.6,0.49,0.92,-0.44
221, MÓVEL PARA SALA,0.04,-2.04,-0.31,-0.02,1.94,-1.79,0.05,0.65,0.99,-1.54,-3.79,-0.41,1.61,0.05
222, MÓVEL PARA QUARTO,-1.47,-0.68,-1.49,0.28,-1.05,2.05,-1.35,-0.65,-5.0,-0.57,-2.83,1.85,0.12,-1.03
223, MÓVEL PARA COPA E COZINHA,-0.33,-2.76,-0.54,-3.03,2.77,1.0,1.75,-1.9,-1.4,-0.54,-2.34,-0.66,1.69,-0.09
224, MÓVEL INFANTIL,0.0,0.0,0.0,-1.69,0.0,0.0,0.46,-2.44,0.0,0.0,-2.27,0.0,0.0,-1.19
225, COLCHÃO,-0.71,-0.33,0.62,1.45,-2.79,-1.47,-0.34,-0.05,-0.63,-0.77,3.13,-2.59,0.0,-0.82
226, UTENSÍLIOS E ENFEITES,-0.44,1.27,0.53,-0.15,0.63,-0.63,-0.75,0.07,1.31,-0.2,-0.37,-0.08,0.49,0.38
227, TAPETE,-2.98,3.1,1.32,1.89,0.05,-1.41,-3.0,0.0,-1.88,2.21,0.06,0.18,-2.01,0.65
228, CORTINA,0.43,-1.33,-0.35,-0.48,1.75,-2.78,-0.47,-1.64,0.88,-1.49,1.05,-1.29,-0.46,0.08
229, UTENSÍLIOS DE METAL,2.55,0.43,-1.48,0.92,-1.71,-0.1,1.85,0.69,0.61,0.96,-1.56,2.6,0.98,-0.14
230, UTENSÍLIOS DE VIDRO E LOUÇA,-1.33,1.81,-1.93,-2.61,-0.1,-0.45,-2.07,-0.66,2.02,-0.52,-0.18,0.74,-1.99,-0.46
231, UTENSÍLIOS DE PLÁSTICO,-2.93,-1.5,0.0,0.0,2.04,0.01,-1.87,1.05,1.56,-1.33,-2.78,-2.97,-0.12,0.12
232, FLORES NATURAIS,0.0,3.39,0.0,0.0,-0.88,0.0,0.0,0.0,0.66,-0.51,0.0,0.0,0.68,0.02
233, UTENSÍLIOS DIVERSOS,-0.55,2.2,2.09,-0.09,2.31,0.95,-1.18,-0.36,3.13,-1.06,-0.14,0.19,2.92,1.19
234," CAMA, MESA E BANHO",0.7,0.94,0.76,1.36,-0.7,-1.94,-2.04,2.13,0.49,-1.73,0.69,2.19,2.77,0.05
235, ROUPA DE CAMA,-0.1,1.66,0.24,1.87,1.05,-1.94,-2.19,2.25,0.35,-2.65,0.69,2.44,3.33,0.28
236, ROUPA DE BANHO,2.78,-1.08,2.11,0.14,-3.91,0.0,-1.28,1.87,1.05,1.28,0.0,1.58,1.36,-0.61
237, APARELHOS ELETROELETRÔNICOS,-0.34,-1.36,1.0,-0.62,-0.52,0.06,-0.47,-1.21,-1.88,-0.16,-0.39,-0.73,0.14,-0.5
238, ELETRODOMÉSTICOS E EQUIPAMENTOS,-0.52,-1.99,1.17,-1.96,-0.02,0.94,-0.19,-1.68,-2.14,-0.3,-1.34,-1.65,-0.28,-0.59
239, REFRIGERADOR,-0.42,-1.53,0.77,-1.57,0.38,1.16,1.44,-2.14,-2.22,-0.29,-0.57,-2.28,-0.23,-0.37
240, AR-CONDICIONADO,-0.48,1.98,0.0,-1.67,0.0,0.0,-4.31,0.0,0.0,1.52,0.0,-3.72,-0.07,-0.53
241, MÁQUINA DE LAVAR ROUPA,-0.26,-2.91,1.61,-0.15,0.2,1.83,0.78,0.55,-0.89,0.5,-2.15,-2.51,-2.72,-0.16
242, LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,-0.12
243, VENTILADOR,-2.45,0.0,0.0,-0.77,0.0,0.0,-3.52,-0.41,0.0,0.0,0.0,0.0,0.54,-1.86
244, FOGÃO,-0.29,-4.78,2.52,-3.84,-0.15,-1.06,-1.08,-2.52,-2.98,-0.6,-1.51,2.4,1.24,-1.05
245, CHUVEIRO ELÉTRICO,0.0,0.55,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43
246, FORNO DE MICRO-ONDAS,0.0,-1.88,-1.78,0.0,-1.5,0.0,0.0,0.0,0.0,-2.45,-3.1,0.0,0.0,-1.84
247," TV, SOM E INFORMÁTICA",-0.1,-0.16,0.77,1.54,-1.26,-1.06,-0.99,-0.57,-1.52,0.11,1.0,0.65,0.92,-0.35
248, TELEVISOR,1.7,2.07,-0.21,1.03,0.54,-1.76,0.25,2.96,2.28,1.55,-0.4,2.71,2.57,1.0
249, APARELHO DE SOM,-0.53,-1.93,-1.32,1.92,-2.26,-1.47,-2.38,-0.26,0.83,-0.22,-0.5,0.76,0.92,-0.87
250, APARELHO DE DVD,2.39,0.99,2.3,0.5,-1.97,0.33,-2.53,-0.88,-3.08,-1.71,0.74,-0.08,-0.48,-0.68
251, ANTENA,0.0,0.0,0.0,1.54,0.0,0.0,-0.99,-0.57,0.0,0.0,2.14,0.0,0.0,0.39
252, MICROCOMPUTADOR,-1.57,-1.15,1.36,2.11,-2.14,-0.71,-0.73,-3.65,-3.33,-0.5,1.93,-0.77,0.15,-1.05
253, CONSERTOS  E  MANUTENÇÃO,1.58,-0.3,0.67,0.33,-1.05,0.53,-0.3,0.39,-0.02,0.0,-0.08,-0.02,-1.27,-0.11
254, CONSERTOS E MANUTENÇÃO,1.58,-0.3,0.67,0.33,-1.05,0.53,-0.3,0.39,-0.02,0.0,-0.08,-0.02,-1.27,-0.11
255, CONSERTO DE REFRIGERADOR,6.71,-1.71,0.0,-0.24,0.03,0.0,0.35,0.0,0.33,0.0,0.0,0.0,-1.28,0.84
256, CONSERTO DE TELEVISOR,0.0,-1.8,-0.27,1.51,-1.2,-8.63,0.0,0.0,-0.66,0.0,1.8,0.0,-2.44,-0.83
257, CONSERTO DE APARELHO DE SOM,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.38
258, CONSERTO DE MÁQUINA DE LAVAR ROUPA ,-1.72,1.14,0.0,0.0,0.17,13.81,-2.12,0.0,0.0,0.0,0.0,0.0,3.57,0.62
259, REFORMA DE ESTOFADO,0.0,1.38,1.98,0.0,-2.26,-0.29,-0.16,0.58,-0.18,0.0,-0.97,0.0,-2.13,-0.61
260, MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,-0.17,-0.15
261, VESTUÁRIO,-0.61,-0.22,-0.49,-0.47,-0.06,1.52,-0.24,0.12,-0.28,0.08,0.52,0.96,0.04,-0.12
262, ROUPAS,-0.85,-0.18,-0.67,-0.42,0.01,1.55,-0.59,0.42,-0.21,-0.22,1.25,1.11,0.66,-0.13
263, ROUPA MASCULINA,-1.22,-1.55,-1.21,0.29,0.33,3.44,-0.08,0.83,-0.74,-1.19,-0.69,-0.1,0.95,-0.31
264, CALÇA COMPRIDA MASCULINA ,-0.26,-1.08,-2.2,0.37,-0.53,3.72,-1.35,-0.18,1.74,-1.49,-1.41,2.19,0.54,-0.5
265, TERNO,-0.35,-0.14,0.9,1.26,0.0,0.0,0.0,0.0,0.0,-1.32,1.15,3.05,0.0,0.09
266, AGASALHO MASCULINO,0.0,-2.63,-1.57,0.0,1.45,3.44,0.0,0.0,0.0,-1.19,0.0,-0.1,0.95,-0.39
267, SHORT E BERMUDA MASCULINA,-0.55,-2.77,-2.94,-2.08,-2.99,1.91,0.97,-0.8,0.01,-2.97,2.42,-1.34,-0.53,-1.28
268, CUECA,0.0,-0.53,0.0,0.94,0.0,0.0,3.13,3.8,-1.17,0.0,0.0,0.0,0.0,0.9
269, CAMISA / CAMISETA MASCULINA,-2.41,-1.62,-0.52,1.13,1.64,3.68,-0.43,2.09,-2.46,-0.63,-1.02,-1.29,1.78,0.1
270, ROUPA FEMININA,-0.49,0.81,-0.59,-1.3,-0.1,0.46,-1.46,0.75,0.45,0.17,2.13,2.52,0.92,-0.01
271, CALÇA COMPRIDA FEMININA,-0.98,-0.48,-0.16,-2.05,-2.28,0.67,-0.28,-0.24,-1.07,2.53,2.26,0.28,1.06,-0.64
272, AGASALHO FEMININO,0.0,0.81,-0.59,0.0,-0.1,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.92,0.19
273, SAIA,0.0,0.0,0.0,0.41,0.0,0.0,-2.59,1.64,2.42,0.0,-1.41,1.93,0.0,0.2
274, VESTIDO,-1.87,-2.79,1.56,0.68,-0.53,-0.44,-2.78,-2.37,1.86,-1.22,1.89,3.96,0.73,-0.25
275, BLUSA,1.06,3.82,-2.08,-1.61,0.59,1.02,-2.84,3.31,0.48,-1.42,2.41,4.29,1.55,0.39
276, LINGERIE,-0.38,-0.5,-0.11,-0.87,3.72,-0.92,2.31,-0.69,0.02,1.18,1.8,-2.14,-1.33,1.29
277, BERMUDA E SHORT FEMININO,-2.97,-2.93,-1.65,-2.01,0.0,-1.4,-0.62,-0.91,0.47,-1.93,3.62,-0.74,0.76,-1.16
278, ROUPA INFANTIL,-1.15,0.15,0.16,0.09,-0.4,0.09,0.38,-1.6,-0.74,1.18,2.8,-0.12,-0.4,-0.06
279, UNIFORME ESCOLAR,0.76,0.0,0.0,0.0,0.12,0.0,-0.29,0.0,-1.01,1.13,0.0,0.0,0.0,0.19
280, CALÇA COMPRIDA INFANTIL,0.0,3.14,2.57,-0.01,3.28,-2.37,3.49,1.11,3.36,1.34,3.02,-0.93,-0.83,2.21
281, AGASALHO INFANTIL,0.0,3.23,3.74,0.0,2.39,0.09,0.0,0.0,0.0,-1.78,0.0,-0.12,-0.4,2.04
282, VESTIDO INFANTIL,-1.88,0.0,-2.37,-1.9,-2.5,-0.23,3.34,0.69,-2.45,2.87,3.81,-0.61,-0.73,-0.66
283, SHORT E BERMUDA INFANTIL,-2.55,-2.94,-1.43,-1.31,-1.84,-0.59,1.45,-0.58,1.98,0.65,2.15,-0.56,-0.83,-0.78
284, CAMISA / CAMISETA INFANTIL,-1.05,-1.68,0.14,2.18,-1.58,0.19,-2.79,-3.1,-2.92,1.32,2.92,0.28,0.01,-0.82
285, CONJUNTO INFANTIL,0.0,0.0,-0.74,-1.86,-2.29,2.63,-0.89,-2.68,0.0,0.0,0.8,0.79,0.0,-1.24
286, CALÇADOS E ACESSÓRIOS,0.11,-0.1,-0.22,-0.68,-0.34,1.6,0.76,-0.94,0.01,1.09,-0.8,0.13,-0.83,-0.06
287, CALÇADOS E ACESSÓRIOS,0.11,-0.1,-0.22,-0.68,-0.34,1.6,0.76,-0.94,0.01,1.09,-0.8,0.13,-0.83,-0.06
288, SAPATO MASCULINO,2.11,-0.67,1.09,2.86,-0.51,-0.73,-2.69,-2.43,-0.61,2.06,-2.62,1.6,-1.15,0.04
289, SAPATO FEMININO,0.61,1.07,-2.31,2.15,-2.36,1.95,-2.39,0.54,-1.9,1.28,-1.97,-1.16,2.88,-0.8
290, SAPATO INFANTIL,0.0,0.0,0.0,1.36,0.0,0.0,0.73,0.0,2.41,0.0,0.0,0.0,0.0,1.62
291, SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,-0.19,0.0,0.0,-0.31,0.0,-2.22,0.0,0.0,0.0,0.0,-0.85
292, SANDÁLIA / CHINELO FEMININO,-1.45,-2.9,1.15,-2.51,-1.5,3.62,1.71,-0.8,3.72,0.68,-2.24,3.64,-0.03,-0.2
293, SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,-0.41,0.0,1.69,-1.5,-2.82,0.13,0.0,-1.57,-2.66,0.72,-1.0
294, BOLSA ,-2.32,1.11,0.19,-2.55,-2.64,2.86,1.14,-2.46,-0.83,3.46,2.18,3.49,-0.49,-0.69
295, TÊNIS,1.27,-0.25,-0.49,-1.19,1.77,0.93,3.75,0.7,-2.28,0.09,0.82,-2.98,-2.5,0.56
296, JÓIAS E BIJUTERIAS,-1.35,-1.11,0.29,0.18,0.96,1.09,-0.64,1.03,-2.56,-1.57,0.09,3.24,-1.26,-0.31
297, JÓIAS E BIJUTERIAS,-1.35,-1.11,0.29,0.18,0.96,1.09,-0.64,1.03,-2.56,-1.57,0.09,3.24,-1.26,-0.31
298, BIJUTERIA,-2.21,-2.59,-1.46,-2.73,0.12,1.48,-3.52,1.39,-2.32,0.6,1.51,2.62,-1.83,-1.15
299, JÓIA,-0.83,-0.3,1.65,3.49,1.71,0.91,2.38,0.0,-2.83,-2.75,-1.02,3.6,-0.84,0.34
300, RELÓGIO DE PULSO,0.0,0.0,0.0,1.41,0.0,0.0,-1.72,0.69,0.0,0.0,0.0,0.0,0.0,0.06
301, TECIDOS E ARMARINHO,-2.16,-0.36,-0.91,-0.79,-0.67,0.02,0.55,-0.29,1.86,-0.47,0.46,0.44,-0.06,-0.45
302, TECIDOS E ARMARINHO,-2.16,-0.36,-0.91,-0.79,-0.67,0.02,0.55,-0.29,1.86,-0.47,0.46,0.44,-0.06,-0.45
303, TECIDO,-1.44,-0.84,-1.18,-0.79,0.17,-0.7,1.1,-0.83,2.92,-0.79,0.49,0.08,0.37,-0.17
304, ARTIGOS DE ARMARINHO,0.0,0.4,-0.46,0.0,0.18,1.06,-0.2,0.0,0.0,0.43,0.38,1.1,-0.85,0.1
305, ACORTINADO (MOSQUITEIRO),-3.56,-0.88,0.0,0.0,-2.2,0.0,0.0,1.03,-3.03,0.0,0.0,0.0,0.0,-2.17
306, TRANSPORTES,-0.3,-0.92,-1.03,0.3,-1.32,-1.94,-0.09,-0.19,-0.58,-0.58,-0.73,-0.88,-0.83,-0.86
307, TRANSPORTES,-0.3,-0.92,-1.03,0.3,-1.32,-1.94,-0.09,-0.19,-0.58,-0.58,-0.73,-0.88,-0.83,-0.86
308, TRANSPORTE PÚBLICO,-0.55,-0.26,-0.67,0.16,-0.99,-4.37,-0.55,0.9,-0.24,1.5,-0.71,-1.46,-0.61,-0.57
309, ÔNIBUS URBANO,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.31
310, TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311, TREM,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
312, ÔNIBUS INTERMUNICIPAL,0.0,0.0,-0.08,0.25,0.82,0.0,0.17,6.09,0.03,0.0,0.62,0.0,-0.28,0.44
313, ÔNIBUS  INTERESTADUAL,0.01,-0.05,-1.33,0.0,-2.65,0.06,-5.16,-1.37,0.01,-0.2,-1.58,0.07,0.97,-1.13
314, PASSAGEM AÉREA,-7.7,-9.7,-13.07,-8.64,-10.82,-13.1,-3.49,-5.58,-4.76,-9.37,-8.83,-8.64,-10.75,-9.63
315, METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316, TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,-8.36,0.0,0.0,0.0,0.0,0.0,0.0,-8.36
317, TRANSPORTE ESCOLAR,0.0,7.33,0.0,0.0,-0.78,1.38,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.53
318, VEÍCULO PRÓPRIO,0.19,-0.48,-0.4,0.1,0.27,-0.43,1.3,0.47,0.29,0.86,-0.79,0.06,-0.43,0.12
319, AUTOMÓVEL  NOVO,-0.67,-0.84,-0.56,0.29,0.02,-0.68,1.9,0.53,0.28,1.59,-0.93,0.43,0.37,0.01
320, EMPLACAMENTO E  LICENÇA,0.34,0.34,0.26,0.34,0.37,0.34,0.39,0.84,0.34,0.33,0.33,0.33,0.34,0.35
321, SEGURO VOLUNTÁRIO DE VEÍCULO,2.19,1.64,-0.69,1.77,-1.04,-0.75,0.0,-2.36,2.87,4.5,0.61,3.13,-19.66,0.39
322, MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323, ÓLEO LUBRIFICANTE,1.09,-0.15,-0.77,-0.64,0.94,0.61,0.64,-0.31,0.49,-0.37,-0.3,0.0,-0.88,0.32
324, ACESSÓRIOS E PEÇAS,0.4,-0.66,-1.43,-2.74,-0.44,-1.99,-1.95,0.21,-0.29,-0.75,-1.86,1.76,-0.96,-0.83
325, PNEU ,1.57,0.7,0.19,-1.46,0.46,1.73,-2.48,1.9,2.6,-0.92,0.09,0.12,-1.1,0.37
326, CONSERTO DE AUTOMÓVEL,1.3,0.6,-0.03,0.84,1.24,-0.05,6.04,1.0,1.24,0.88,0.29,-0.09,2.19,0.99
327, ESTACIONAMENTO,0.25,1.68,0.31,0.0,-0.52,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.13
328, PEDÁGIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.01
329, LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,1.1,-2.34,0.0,0.0,0.0,0.0,4.44,0.0,0.0,-0.09,-0.71
330, AUTOMÓVEL USADO,-0.57,-4.8,-1.31,0.0,0.09,-0.99,2.18,-1.8,-0.31,0.86,-3.3,-1.06,-10.87,-0.8
331, PINTURA DE VEÍCULO,0.0,0.0,0.0,3.93,3.39,-0.29,0.0,0.0,0.13,0.63,0.0,-1.19,0.0,2.36
332, ALUGUEL DE VEÍCULO,-3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.57
333, MOTOCICLETA,-1.13,1.4,0.3,-0.66,-0.5,1.97,0.01,0.45,-1.67,-0.96,-0.36,-1.83,-1.19,-0.39
334, COMBUSTÍVEIS (VEÍCULOS),-0.59,-1.94,-2.27,0.9,-3.99,-1.91,-0.99,-2.73,-2.54,-4.47,-0.67,-2.17,-1.64,-2.68
335, GASOLINA,-0.73,-1.84,-2.21,0.71,-2.91,-1.94,-1.04,-2.89,-3.07,-4.01,-0.17,-2.21,-1.78,-2.21
336, ETANOL,-2.88,-3.0,-3.53,1.71,-6.46,-1.73,0.0,-2.17,-1.25,-6.37,-3.2,-2.31,-0.78,-5.1
337, ÓLEO DIESEL,0.0,-2.04,-0.72,0.0,-1.81,0.0,-0.46,-1.92,-0.83,-1.82,-1.64,-2.13,-1.4,-1.38
338, GÁS VEICULAR,1.87,0.0,0.0,-0.11,-0.38,0.0,0.0,0.0,0.35,0.0,0.0,1.34,0.0,0.84
339, SAÚDE E CUIDADOS PESSOAIS,1.12,0.42,0.36,0.81,0.84,0.68,0.63,0.48,0.41,0.4,0.79,0.48,0.43,0.69
340, PRODUTOS FARMACÊUTICOS E ÓTICOS,1.11,-0.17,-0.32,0.77,0.68,0.24,0.17,0.58,0.2,0.06,0.76,-0.29,-0.11,0.39
341, PRODUTOS FARMACÊUTICOS,1.19,-0.16,-0.34,0.87,0.67,0.21,0.13,0.84,0.2,-0.01,0.71,-0.21,-0.13,0.4
342, ANTI-INFECCIOSO E ANTIBIÓTICO,1.72,-0.35,-0.89,1.24,1.25,-0.05,-1.06,1.28,1.25,0.1,1.42,0.03,-1.19,0.47
343, ANALGÉSICO E ANTITÉRMICO,-0.64,0.09,0.31,1.01,0.82,0.82,0.31,0.63,0.04,0.13,1.0,0.71,-0.31,0.37
344, ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,0.99,-1.09,-1.0,-1.62,-0.08,1.13,1.06,0.03,-0.22,-1.06,-0.18,0.05,-0.13,-0.2
345, ANTIGRIPAL E ANTITUSSÍGENO,0.4,0.29,0.3,0.01,-0.64,-0.41,0.86,0.19,-1.11,-0.3,1.02,-1.67,0.14,-0.14
346, DERMATOLÓGICO,1.39,-0.27,-0.57,0.78,2.26,0.0,-0.43,0.84,0.08,-0.01,-0.31,-0.8,-0.07,0.7
347, ANTIALÉRGICO E  BRONCODILATADOR,3.48,0.5,0.32,-0.39,0.82,0.14,-0.44,0.12,1.31,0.01,1.35,0.15,0.02,0.83
348, GASTROPROTETOR,2.77,0.35,1.06,1.44,0.14,0.21,0.17,2.01,1.58,0.98,0.77,0.38,0.31,0.84
349, VITAMINA E FORTIFICANTE,2.36,-0.23,0.74,-0.15,2.15,-0.01,-0.31,0.65,1.54,-0.09,0.2,-0.19,-0.03,1.05
350, HORMÔNIO,1.29,0.39,-0.52,1.15,0.72,0.34,0.28,0.78,-0.48,0.69,0.92,-1.8,0.54,0.49
351, PSICOTRÓPICO E ANOREXÍGENO,2.65,1.24,-0.24,1.2,1.88,-0.16,0.03,0.74,0.41,0.74,0.06,-0.19,-0.28,1.19
352, HIPOTENSOR E HIPOCOLESTEROLEMICO,0.16,-1.32,-1.13,2.07,-0.04,0.1,-0.05,1.52,-0.53,-0.72,0.87,0.15,-0.18,-0.18
353, OFTALMOLÓGICO,-0.21,-0.4,-0.38,1.56,0.65,0.0,0.03,1.52,0.8,0.83,0.39,-0.57,0.3,0.43
354, PRODUTOS ÓTICOS,-0.4,-0.26,0.02,0.09,0.82,0.84,0.63,-0.78,0.24,1.14,1.43,-1.49,0.08,0.3
355, ARMAÇÃO DE ÓCULOS,0.0,0.26,0.0,0.0,1.92,0.0,0.0,0.49,1.28,-0.84,0.0,0.0,0.0,1.25
356, ÓCULOS SEM GRAU,-0.65,0.39,-0.72,-2.55,-0.04,0.0,0.91,-0.56,0.48,1.06,1.59,3.23,1.85,-0.11
357, LENTES DE ÓCULOS E DE CONTATO,-0.22,-0.78,0.53,2.35,0.44,0.84,0.43,-1.26,-0.39,1.98,1.22,-3.77,-0.77,0.26
358, SERVIÇOS DE SAÚDE,0.98,0.72,0.69,1.06,0.97,0.65,0.9,0.9,0.69,0.7,0.91,0.7,0.99,0.88
359, SERVIÇOS MÉDICOS E DENTÁRIOS,0.63,0.15,0.35,0.83,0.97,-0.24,0.6,0.67,0.23,0.67,0.22,0.07,1.35,0.61
360, MÉDICO,0.0,0.36,0.0,0.89,0.61,0.0,0.0,0.0,1.14,0.0,0.0,0.0,2.22,0.33
361, DENTISTA,0.14,0.21,0.93,1.24,1.07,-0.63,1.52,1.15,-0.77,0.86,0.55,0.24,0.39,0.71
362, APARELHO ORTODONTICO,0.0,-0.27,0.0,0.0,1.35,0.0,0.0,0.0,0.0,1.46,0.0,0.0,1.28,1.05
363, ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,-0.24
364, FISIOTERAPEUTA,3.09,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06
