"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 REFEIÇÃO,-0.71,0.2,-0.18,-0.42,-0.35,0.77,0.69,-0.01,-0.58,0.48,0.08,-0.44,-0.4,0.71,0.75,0.7,-0.13
 LANCHE,2.86,4.1,3.85,1.98,2.69,3.87,1.89,1.04,6.91,1.94,3.07,3.05,3.17,0.82,0.79,5.87,3.07
 REFRIGERANTE E ÁGUA MINERAL,-1.22,-1.25,0.97,-0.48,-0.36,-3.48,-0.09,1.7,1.05,1.21,-0.49,1.36,1.17,0.75,2.88,3.77,-0.02
 CAFEZINHO,       -,0.34,       -,       -,0.34,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.34
 CERVEJA,1.59,-0.25,1.6,0.34,-2.31,-0.34,0,-4.32,2.13,-0.62,-1.19,0.33,0.54,-0.8,0.79,-2.88,-0.34
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,-0.64,       -,       -,       -,       -,       -,       -,       -,0,0.92,       -,-0.2,       -,-0.2
 VINHO,0.64,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.64
 DOCES,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,2.23,0.41
 SORVETE,       -,       -,       -,       -,0.48,       -,       -,2.07,0.74,0.32,-1.75,       -,-0.35,-0.72,       -,0.39,0.33
 HABITAÇÃO,0.67,1.49,0.33,0.28,-0.82,0.13,-1.3,-0.07,0.35,-0.16,0.73,-1.06,0.32,0.81,-1.69,0.19,-0.1
 ENCARGOS E MANUTENÇÃO,0.41,0.4,0.31,0.05,0.2,0.04,0.02,0.01,0.11,-0.41,-0.09,0.2,-0.17,0.35,-1.07,0.42,0.15
 ALUGUEL E TAXAS,0.5,0.71,0.23,0.02,0.11,0.29,0,0.19,0.1,-0.33,0.19,0.26,-0.09,0.12,-0.09,0.3,0.18
 ALUGUEL RESIDENCIAL,0.01,-0.42,0.15,0.02,0.07,0.25,0,0.35,0,-0.25,0.67,0.59,-0.29,0.16,-0.17,0,0.05
 CONDOMÍNIO,1.3,1.04,0.83,0.06,0.22,0.52,0,-0.03,0.3,-0.96,-0.73,-0.04,-0.11,0.11,-0.1,1.16,0.38
 TAXA DE ÁGUA E ESGOTO,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.92,       -,       -,       -,3.92
 REPAROS,0.03,-1.4,0.03,0.13,0.26,-0.73,0.04,-0.04,0.07,-0.05,-0.6,0.81,-0.02,1.1,-0.69,0.22,-0.04
 FERRAGENS,       -,       -,       -,       -,       -,       -,0.8,       -,       -,       -,-0.55,       -,       -,4.2,       -,       -,0.59
 MATERIAL DE ELETRICIDADE,       -,       -,       -,       -,       -,-3.93,       -,       -,       -,0.09,       -,       -,       -,       -,2.65,       -,-1.3
 VIDRO,       -,       -,       -,       -,       -,-0.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.16
 TINTA,-0.37,-1,1.03,-0.71,-0.42,-0.18,2.29,1.64,-1.95,1.46,2.12,0.62,0.41,3.37,-1.32,-2.37,-0.03
 REVESTIMENTO DE PISO E PAREDE,1.37,-1.52,-3.04,1.17,0.83,       -,-0.14,-2.01,0.38,-2.38,-2.93,2.66,       -,1.05,-3.76,1.4,-0.14
 MADEIRA E TACO,       -,-5.93,       -,       -,       -,       -,       -,0.03,       -,       -,       -,       -,       -,2.18,1.58,       -,-3.02
 CIMENTO,       -,       -,       -,-0.68,       -,       -,-2.75,2.08,1.47,       -,       -,0.81,-3.85,5.51,0.94,       -,0.09
 TIJOLO,-0.89,       -,       -,       -,       -,       -,-0.37,       -,       -,       -,-0.95,-3.16,       -,1.53,-1.85,       -,-0.97
 MATERIAL HIDRÁULICO,       -,       -,       -,       -,2.43,       -,       -,       -,1.5,       -,       -,       -,0.59,       -,       -,       -,2.24
 MÃO DE OBRA,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
 AREIA,-0.97,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.99,       -,       -,       -,-0.67,       -,-1.08
 PEDRAS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-8.33,       -,       -,-8.33
 TELHA,       -,-5.3,2.48,-1.21,       -,       -,0.95,       -,       -,-1.21,       -,       -,       -,       -,-3.27,       -,-1.75
 ARTIGOS DE LIMPEZA,-0.31,0.86,1.37,0.2,1.34,-3.64,0.07,-1.47,0.33,-1.92,-2.17,-2.08,-0.85,-0.67,-5.33,1.61,0.1
 SACO PARA LIXO,       -,0.86,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.85,       -,       -,       -,0.53
 ÁGUA SANITÁRIA,2.57,9.04,1.24,0.9,-0.3,-2.45,0.91,1.2,0.31,       -,-2.92,       -,6.12,1.85,-6.56,2.53,0.9
 DETERGENTE,-0.13,-1.85,2.59,2.68,2.31,-2.32,0.81,-3.11,1.83,0.01,-2.1,-4.04,-4.38,3.67,       -,1.92,0.81
 SABÃO EM PÓ,0.41,0.23,-0.69,-1.5,-1.89,-6.38,-1.46,-4.5,1.28,-2.24,-3.1,-2.67,-3.49,-0.63,-1.31,2.89,-1.46
 DESINFETANTE,-4.36,3.98,2.01,0.59,2.71,1.23,0.6,5.46,-1.5,-3.34,-4.14,0.86,       -,       -,-9.32,       -,0.59
 SABÃO EM BARRA,4.6,       -,-2.49,-3.18,       -,       -,-1.65,-0.08,-4.23,       -,       -,-2.52,-0.92,-0.92,-5.57,-1.03,-1.65
 ESPONJA DE LIMPEZA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.28,       -,-3.24,       -,       -,       -,       -,-1.53
 SABÃO LÍQUIDO,       -,       -,       -,       -,       -,-0.16,       -,       -,       -,-5.77,       -,       -,       -,       -,       -,-1.6,-3.97
 LIMPADOR MULTIUSO,       -,-3.27,       -,       -,1.81,-5.43,       -,       -,       -,-6.63,       -,       -,       -,       -,       -,       -,-0.76
 PAPEL TOALHA,-1.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.76
 AMACIANTE E ALVEJANTE,-2.06,1.77,4.81,1.88,4.54,-3.5,1.82,-0.99,-0.01,-0.22,-0.17,-0.88,3.82,-3.75,-11.86,1.69,1.82
 COMBUSTÍVEIS E ENERGIA,1.12,3.28,0.35,0.61,-3.4,0.39,-2.37,-0.19,0.72,0.28,2.14,-2.99,0.94,1.12,-2.23,-0.2,-0.55
 COMBUSTÍVEIS (DOMÉSTICOS),0.25,2.66,2.31,1.54,-2.04,2.73,-0.25,-0.7,0.39,2.23,0.31,1.41,0.86,-1.18,-0.96,0.73,0.2
 CARVÃO VEGETAL,       -,       -,       -,       -,       -,       -,1.6,       -,       -,       -,       -,       -,       -,       -,-5.43,       -,-1.92
 GÁS DE BOTIJÃO,0.37,2.66,2.31,1.54,-2.66,2.73,-0.33,-0.7,0.39,2.62,0.31,1.41,0.86,-1.18,-0.58,0.73,0.23
 GÁS ENCANADO,0,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,0.0
 ENERGIA ELÉTRICA RESIDENCIAL,1.33,3.43,-0.16,0.3,-3.78,-0.18,-2.93,0,0.84,-0.29,2.61,-4.07,0.96,1.79,-2.76,-0.52,-0.76
 ENERGIA ELÉTRICA RESIDENCIAL,1.33,3.43,-0.16,0.3,-3.78,-0.18,-2.93,0,0.84,-0.29,2.61,-4.07,0.96,1.79,-2.76,-0.52,-0.76
 ARTIGOS DE RESIDÊNCIA,-1.4,-0.87,-0.92,-0.78,-0.69,-1.6,-2.05,-2.48,-2.81,-2.73,-1,-1.94,-1.68,-2.14,-2.12,-1.65,-1.37
 MÓVEIS E UTENSÍLIOS,-1.93,-0.23,-1.09,-1.24,-1.15,-2.21,-2.06,-2.32,-2.36,-2.44,-1.44,-2.18,-2.36,-2.5,-2.13,-2.05,-1.52
 MOBILIÁRIO,-3.55,0.08,-2.51,-2.84,-2.44,-4.34,-3.4,-3.71,-4.31,-4.76,-3.5,-3.4,-4.54,-4.92,-2.98,-3.15,-2.92
 MÓVEL PARA SALA,-4.99,-0.01,-0.79,-1.67,-2.1,-3.9,-3.17,-4.68,-6.17,-4.29,-4.99,-2.69,-5.79,-5.93,-4.81,-2.65,-2.82
 MÓVEL PARA QUARTO,-1.86,0.3,-3.16,-3.07,-3.27,-4.43,-3.48,-3.39,-4.41,-5.73,-2.18,-3.88,-4.04,-4.47,-1.59,-3.85,-3.22
 MÓVEL PARA COPA E COZINHA,-3.97,0.63,-4.65,-3.23,-1,-5.33,-3.64,-3.05,-2.75,-3.73,-3.9,-3.23,-4,-5.44,-5.05,-1.72,-2.44
 MÓVEL INFANTIL,       -,       -,       -,-3.97,       -,       -,       -,-3.69,-0.12,-4.61,-3.36,       -,-5.16,-4.54,-3.34,-3.33,-3.34
 COLCHÃO,       -,-2.73,0.82,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.02
 UTENSÍLIOS E ENFEITES,0.5,-0.8,0.89,1.59,0.66,0.84,0.43,1.15,0.07,1.15,1.41,0.16,1.05,1.94,-1.02,-0.56,0.58
 ARTIGOS DE ILUMINAÇÃO,3.45,3.66,2.72,1.66,0.95,-0.38,1.41,-0.41,-1.66,0.5,       -,       -,3.48,       -,-2.62,1.17,1.41
 TAPETE,-0.39,-1.32,       -,       -,-0.38,-0.37,-0.36,       -,-0.65,-1.36,1.57,-0.41,2.06,       -,       -,       -,-0.4
 CORTINA,-2.1,0.92,1.01,1.94,0.92,0.94,       -,0.97,0.93,3.5,0.16,0.95,       -,       -,       -,       -,0.95
 UTENSÍLIOS DE METAL,1.17,-0.84,-0.34,1.52,0.41,1.82,-1.77,1.61,0.37,1.24,2.13,1.16,0.28,2.6,-1.03,-1.1,0.5
 UTENSÍLIOS DE VIDRO E LOUÇA,       -,       -,1.76,2.21,1.85,0.47,1.2,0.05,1.69,0.22,       -,-1.78,0.78,0.84,-0.41,-0.18,1.2
 UTENSÍLIOS DE PLÁSTICO,       -,       -,       -,       -,       -,       -,2.05,       -,       -,       -,1.13,       -,       -,       -,0.98,-1.21,1.34
 FLORES NATURAIS,       -,-12.67,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-12.67
 UTENSÍLIOS PARA BEBÊ,       -,       -,0.9,0.62,       -,       -,       -,3.62,       -,       -,1.49,-0.1,-0.81,-0.26,       -,       -,0.99
" CAMA, MESA E BANHO",0.85,-0.41,2.08,2.39,2.64,1.93,-1.42,1.67,0.56,1.61,2.51,-1.02,0.38,0.3,-0.36,1.32,1.35
 ROUPA DE CAMA,0.85,-0.41,2.08,2.21,2.64,1.93,-1.42,2.59,0.56,1.61,2.51,-1.02,0.78,0.86,-0.36,1.32,1.36
 ROUPA DE BANHO,       -,       -,       -,2.9,       -,       -,       -,-0.32,       -,       -,       -,       -,-0.5,-1.61,       -,       -,0.7
 APARELHOS ELETROELETRÔNICOS,-1.27,-1.74,-0.96,-0.49,-0.61,-1.09,-2.5,-3.05,-3.74,-3.88,-1.1,-2.05,-1.25,-2.03,-2.31,-1.35,-1.59
 ELETRODOMÉSTICOS E EQUIPAMENTOS,-3.76,-3.68,-2.81,-1.37,-3.14,-3.01,-4.07,-4.7,-6.2,-5.16,-2.75,-3.52,-3.19,-3.41,-2.22,-2.96,-3.58
 REFRIGERADOR,-2.63,-4.26,-4.78,-1.73,-4.7,-4.16,-5.17,-4.87,-7.66,-4.58,-2.61,-5.04,-5.64,-4.43,-1.55,-4.08,-4.43
 AR-CONDICIONADO,-4.71,-4.21,       -,-2.5,0.88,-3.27,-2.81,0.46,-5.8,-2.15,-3.67,-1.92,-2.47,-2.49,       -,0.46,-2.5
 MÁQUINA DE LAVAR ROUPA,-5.83,-3.4,0.99,-3.27,-1.98,-1.31,-3.86,-7.32,-5.57,-7.63,-2.42,-2.5,-0.29,-3.09,-3.5,-3.59,-3.09
 VENTILADOR,       -,       -,       -,0.9,       -,       -,-2.56,-1.46,       -,       -,       -,       -,-2.65,-1.45,-2.59,-2.07,-1.45
 FOGÃO,-2.6,-1.89,-5.81,0.81,-3.99,-3.27,-3.66,-6.44,-4.38,-3.61,-2.76,-3.33,-1.25,-3.65,-2.12,-3.98,-3.66
 CHUVEIRO ELÉTRICO,       -,       -,0.45,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.45
" TV, SOM E INFORMÁTICA",1.12,1,1.1,0.45,2.24,0.83,-0.94,-1.23,-0.72,-2.4,1.4,-0.32,1.87,0.73,-2.41,0.3,0.72
 TELEVISOR,0.49,0.84,1.14,-0.15,2.57,0.75,-2.08,0.33,-2.84,-1.78,1.78,0.67,1.14,0.63,-3.79,-0.12,0.63
 APARELHO DE SOM,       -,       -,       -,0.45,       -,       -,       -,       -,-0.72,       -,       -,       -,       -,       -,-2.41,0.3,-0.68
 VIDEOGAME (CONSOLE),       -,       -,       -,2.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.29
 COMPUTADOR PESSOAL,2.2,1.28,1.04,0.88,1.77,0.89,0.9,-3.17,3,-3.08,0.91,-1.67,3.07,0.92,2.43,0.93,0.89
 CONSERTOS E MANUTENÇÃO,0.35,0.36,0.37,0.19,1.36,-0.36,0.24,-0.23,0.65,0.44,1.13,-0.12,0.03,-0.74,-0.98,-0.69,0.63
 CONSERTOS E MANUTENÇÃO,0.35,0.36,0.37,0.19,1.36,-0.36,0.24,-0.23,0.65,0.44,1.13,-0.12,0.03,-0.74,-0.98,-0.69,0.63
 CONSERTO DE REFRIGERADOR,       -,0.99,       -,1.08,       -,       -,0.58,       -,0.24,       -,0.4,       -,       -,       -,0,       -,0.58
 CONSERTO DE TELEVISOR,       -,       -,       -,       -,       -,       -,-0.98,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.98
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,       -,0.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.83
 REFORMA DE ESTOFADO,0.81,-0.69,2.27,0,-2.45,1.82,       -,-1.19,0.37,       -,       -,0.02,-1.29,0.3,       -,-0.81,-0.49
 CONSERTO DE APARELHO CELULAR,       -,-0.7,0,0,-0.81,-2.73,0.47,0,0,1.1,-0.05,-0.38,0.08,0.9,-2.81,-0.25,-0.29
 CONSERTO DE BICICLETA,0.25,2.02,-0.03,0.06,2.77,-1.6,0.36,0.02,2.1,0.29,2.12,-0.1,0.33,-1.44,0.38,-1.17,1.28
 VESTUÁRIO,0.47,0.67,0.15,0.14,0.83,-0.98,0.22,-0.65,-2.28,-0.3,-0.02,-0.04,0.83,0.12,-0.42,-1.41,0.1
 ROUPAS,0.62,1.17,0.17,1.07,1.4,-1.32,0.28,-0.71,-2.93,0.17,-0.51,0.5,1,-0.07,-0.35,-1.74,0.33
 ROUPA MASCULINA,0.88,0.94,0.26,0.95,2.94,-1.67,-0.69,-1.3,-3.45,-0.1,-0.27,0.53,0.91,-0.51,0.39,-0.39,0.58
 CALÇA COMPRIDA MASCULINA,0.93,0.96,1.64,0.86,2.37,-2.31,-1.34,0.51,-2.87,0.82,-0.32,0.12,2.16,-0.98,0.29,3.75,0.83
 AGASALHO MASCULINO,       -,0.52,       -,       -,       -,       -,       -,       -,       -,-1.23,       -,       -,       -,       -,       -,       -,-0.1
 BERMUDA/SHORT MASCULINO,-0.35,-0.49,0.78,-0.31,1.61,0.73,1.07,0.54,-1.76,-0.77,0.95,0.46,-1.25,0.55,2.32,-2.18,0.3
 CUECA,       -,       -,       -,       -,       -,       -,1.21,       -,       -,       -,       -,       -,       -,0.54,2.12,       -,1.4
 CAMISA/CAMISETA MASCULINA,1.24,1.37,-0.69,1.52,3.52,-1.75,-1.42,-2.86,-4.57,-0.34,-0.66,0.76,0.59,-0.73,-1,-1.29,0.56
 ROUPA FEMININA,0.9,1.28,0.22,1.12,0.83,-2,1.07,-0.71,-3.09,0.72,-1.12,0.51,1.31,0.1,-0.5,-3.3,0.24
 CALÇA COMPRIDA FEMININA,0.51,2.02,0.94,2.01,-0.42,-1.64,2.06,-0.96,-3.9,1.15,-1.87,1.17,0.2,0.5,0.84,-3.91,0.12
 AGASALHO FEMININO,       -,0.42,1.3,       -,       -,       -,       -,       -,       -,0.72,       -,       -,1.31,       -,       -,       -,0.74
 SAIA,       -,       -,       -,1.67,       -,       -,2.47,       -,       -,       -,       -,       -,       -,-1.04,0.73,-2.71,1.26
 VESTIDO,-0.91,1.67,-2.13,-1.95,1.54,-2.49,-0.94,-0.59,-2.29,1.41,-1.72,-0.54,0.04,-0.19,-2.06,-3.83,-0.38
 BLUSA,2.58,1.05,1.2,2.5,1.55,-1.87,1.07,-0.55,-4.01,-0.05,-0.51,1,2.35,0.37,-2.09,-3.21,0.71
 LINGERIE,       -,0.05,-0.24,0.89,-0.6,       -,1.27,0.73,-0.32,1.39,0.08,       -,2.88,1.31,2.74,-2.59,0.17
 BERMUDA/SHORT FEMININO,-0.71,       -,0.39,0.68,       -,       -,3.38,-1.68,-4.01,1.36,-0.78,0.05,2.02,-1.24,0.3,-2.44,-0.21
 ROUPA INFANTIL,-0.61,1.31,-0.1,1.21,0.21,0.78,0.62,0.62,-1.59,-0.53,0.38,0.44,0.56,0.52,-1.51,-0.8,0.09
 UNIFORME ESCOLAR,       -,       -,0,0,0.48,0.19,1.11,0,       -,-0.35,1.29,0,       -,       -,-2.78,-0.89,0.2
 CALÇA COMPRIDA INFANTIL,       -,-0.97,-0.98,       -,-0.89,-0.2,       -,       -,-3.92,-0.58,0.15,       -,2.27,-0.11,-2.02,       -,-0.92
 AGASALHO INFANTIL,       -,0.63,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.63
 VESTIDO INFANTIL,2.34,3.02,1.26,1.41,       -,2.1,1.45,1.9,-0.27,       -,0.86,1.56,0.7,1.77,-1.26,2.32,1.29
 BERMUDA/SHORT INFANTIL,-2.26,       -,       -,-1.7,-0.34,       -,-1.61,0.34,-2.44,       -,       -,-1.15,-2.8,0.56,-1.17,-2.54,-1.25
 CAMISA/CAMISETA INFANTIL,-0.27,2.42,0.12,3.89,1.04,2.37,-0.94,-0.2,-1.86,-0.35,-0.89,0.63,0.41,0.67,0.64,-3.67,0.53
 CONJUNTO INFANTIL,-1.02,0.9,-0.45,0.7,-0.12,-1.17,2.49,1.25,-0.57,-0.98,0.92,0.67,1.87,0.01,-2.86,1.15,0.01
 CALÇADOS E ACESSÓRIOS,-0.28,-0.99,-0.24,-1.84,-0.53,-1.41,-0.05,-0.67,-0.76,-1.75,0.71,-1.57,0.01,0.86,-0.79,-1.04,-0.69
 CALÇADOS E ACESSÓRIOS,-0.28,-0.99,-0.24,-1.84,-0.53,-1.41,-0.05,-0.67,-0.76,-1.75,0.71,-1.57,0.01,0.86,-0.79,-1.04,-0.69
 SAPATO MASCULINO,-2.62,-2.13,-2.01,-2.24,-1.82,-1.13,0.38,-0.7,-1.2,-2.52,1.63,-2.31,-0.28,1.56,0.71,-2.65,-1.39
 SAPATO FEMININO,-0.69,2.45,1.08,-2.41,1.41,-3.25,-1.01,-0.58,-0.48,-1.38,1.2,-1.37,-0.3,1.08,0.59,1.74,0.3
 SAPATO INFANTIL,       -,       -,       -,-1.63,       -,       -,1.33,       -,-0.76,-2.2,-0.23,       -,-1.5,2.11,-0.93,1.69,-0.93
 BOLSA,1.47,-0.89,0.51,1.24,       -,-2.83,0.6,3.47,0.07,0.98,-0.73,       -,-3.33,-0.59,1.2,-2.66,0.38
 MOCHILA,       -,       -,       -,-3.62,       -,       -,-2.48,-3.75,       -,       -,       -,       -,       -,-1.11,-2.78,       -,-3.1
 TÊNIS,0.67,-1.8,-0.7,-1.97,-1.24,-0.4,-0.14,-1.26,-0.55,-2.35,0.97,-2.17,2.71,0.57,0.71,-3.28,-1.01
 SANDÁLIA/CHINELO,-1.21,-4.96,0.01,-1.77,-0.67,1.51,0.54,-0.87,-1.2,-0.66,-0.14,-0.08,-2.38,0.63,-2.98,-0.03,-0.98
 JOIAS E BIJUTERIAS,2.53,3.21,2.09,-0.44,0.13,2.62,0.77,0.13,-1.72,1.04,2.43,0.02,1.92,-0.43,0.11,0.98,1.11
 JOIAS E BIJUTERIAS,2.53,3.21,2.09,-0.44,0.13,2.62,0.77,0.13,-1.72,1.04,2.43,0.02,1.92,-0.43,0.11,0.98,1.11
 BIJUTERIA,       -,       -,2.46,       -,       -,4.52,       -,       -,1.14,       -,       -,       -,       -,       -,       -,1.61,2.32
 JOIA,1.94,2.45,1.95,1.96,1.33,1.93,1.97,1.98,       -,1.99,3.79,1.93,1.92,1.91,1.9,2.66,1.95
 RELÓGIO DE PULSO,3.97,5.41,       -,-3.49,-3.45,       -,-1.67,-3.21,-4.91,-1.66,-2.22,-3.78,       -,-1.64,-4.24,-1.65,-1.67
 TECIDOS E ARMARINHO,-0.2,0.98,-0.21,0,-0.06,1.42,1.31,0,0.33,0.67,0.48,1.08,1.67,-1.75,0.6,-0.27,0.42
 TECIDOS E ARMARINHO,-0.2,0.98,-0.21,0,-0.06,1.42,1.31,0,0.33,0.67,0.48,1.08,1.67,-1.75,0.6,-0.27,0.42
 TECIDO,-0.2,-0.19,0.77,0,0.59,1.42,1.31,0,0.33,0.47,0.57,0.99,1.67,-1.75,0.6,-0.27,0.57
 ARTIGOS DE ARMARINHO,       -,3.11,-1.91,       -,-1.33,       -,       -,       -,       -,0.95,0.24,1.22,       -,       -,       -,       -,-0.26
 TRANSPORTES,-0.84,-3.44,-2.16,-3.13,-2.81,-3.39,-1.83,-1.55,-2.14,-4.18,-3.66,-1.07,-2.89,-1.92,-1.76,-1.93,-2.66
 TRANSPORTES,-0.84,-3.44,-2.16,-3.13,-2.81,-3.39,-1.83,-1.55,-2.14,-4.18,-3.66,-1.07,-2.89,-1.92,-1.76,-1.93,-2.66
 TRANSPORTE PÚBLICO,1.44,1.42,2.13,1.5,1.93,3.78,2.36,1.06,2.31,5.4,3.11,5.94,0.86,3.99,0.69,1.52,2.14
 ÔNIBUS URBANO,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0.11
 TÁXI,0,0,0,0,0,       -,0,0,0,       -,       -,0,0,0,0,0,0.0
 TREM,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 ÔNIBUS INTERMUNICIPAL,0,0,0.04,-0.05,0,       -,0,0,0,0,0.5,0,0,0,0,0,0.01
 ÔNIBUS INTERESTADUAL,0,       -,-1.77,0.35,0.54,0.01,0,0,0,0,1.25,0,0,-0.52,0,0,-0.07
 PASSAGEM AÉREA,15.83,10.94,17.63,13.74,15.05,12.53,12.9,11.86,13.3,19.35,20.6,28.42,8.16,15.1,10.28,15.11,15.1
 METRÔ,0,       -,       -,       -,0,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 TRANSPORTE ESCOLAR,       -,0,0,0,0,0,       -,       -,0,0,       -,0,0,       -,0,0,0.0
 TRANSPORTE POR APLICATIVO,-1.82,-3.41,-1.52,-3.72,-8.83,-3.16,       -,-4.92,-3.11,       -,-2.98,-4.3,-2.46,       -,0.8,-3.16,-4.5
 INTEGRAÇÃO TRANSPORTE PÚBLICO,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 VEÍCULO PRÓPRIO,0.04,0.02,0.19,-0.75,-0.67,-0.06,-0.04,-0.12,-0.24,-0.43,-0.75,0.44,-0.43,-0.21,0.4,0.02,-0.32
 AUTOMÓVEL NOVO,0.48,0.78,0.71,-1.61,-1.1,-0.2,-0.33,0.55,0.91,-0.41,-0.45,0.84,-0.57,-0.74,-0.22,-0.55,-0.38
 EMPLACAMENTO E LICENÇA,0.3,0.36,0.3,0.27,0.3,0.25,0.26,0.3,0.25,0.35,0.32,0.31,0.2,0.27,0.25,0.24,0.3
 SEGURO VOLUNTÁRIO DE VEÍCULO,-3.13,-2.72,2.38,-2.63,-3.79,1.38,0.13,-2.62,-2.61,-3.53,-4.02,0.18,-0.75,-2.6,0.4,2.48,-2.62
 MULTA,       -,0,0,0,0,0,0,0,0,0,0,       -,0,0,0,0,0.0
 ÓLEO LUBRIFICANTE,       -,-0.61,0.62,0.53,-2.49,-1.55,-0.73,1.07,0.32,-0.52,-0.84,       -,1.28,-0.36,0.31,1.24,-0.79
 ACESSÓRIOS E PEÇAS,-0.16,1.24,0.23,0.36,-0.92,1.73,-0.32,2.32,-1.86,0.37,0.72,1.86,0.95,-0.81,0.59,0.84,0.0
 PNEU,       -,-2.47,0.55,-3.96,0.26,1.21,1.32,2.06,0.96,-2.27,2.09,1.9,0.17,0.27,-2.17,0.49,-0.17
 CONSERTO DE AUTOMÓVEL,0.48,0.47,0.96,0.86,-1.08,-0.76,-0.65,-0.6,1.49,-0.92,0.2,-0.62,-0.67,-0.12,0.97,0,-0.16
 ESTACIONAMENTO,       -,-0.68,       -,       -,1.13,       -,       -,       -,0.12,-0.35,       -,       -,       -,       -,       -,       -,0.73
 PEDÁGIO,       -,0,       -,       -,0,       -,       -,       -,       -,0,       -,0,       -,       -,       -,       -,0.0
 AUTOMÓVEL USADO,1.05,-0.04,-1.43,       -,1.09,-1.13,0.52,-0.22,-0.87,0.08,-1.5,0.63,-1,0.1,1.72,0.11,0.1
 PINTURA DE VEÍCULO,       -,       -,0.68,-2.04,       -,       -,       -,       -,-1.21,       -,       -,       -,       -,       -,       -,       -,-0.48
 ALUGUEL DE VEÍCULO,-9.2,       -,       -,       -,       -,       -,-1.02,       -,-18.67,       -,       -,       -,       -,       -,       -,       -,-9.63
 MOTOCICLETA,-1.96,-1.13,0.02,-0.56,-0.98,-1.45,-0.59,-2.24,-3,-1.14,-1.48,-0.52,-0.68,0.68,0.14,-1.28,-1.08
 COMBUSTÍVEIS (VEÍCULOS),-4.89,-11.36,-7.92,-9.69,-10.02,-12.44,-7.07,-5.22,-8.45,-14.62,-10.55,-8.8,-7.32,-7.86,-6.91,-7.42,-9.59
 GASOLINA,-5.13,-11.49,-7.56,-10.11,-9.17,-12.72,-7.21,-5.35,-8.61,-13.92,-10.04,-8.8,-7.39,-7.99,-7.07,-7.41,-9.31
 ETANOL,-9.72,       -,-11.84,-1.93,-13.52,-8.6,       -,       -,-9.04,-18.66,-13.73,       -,-8.44,       -,       -,       -,-13.51
 ÓLEO DIESEL,-5.49,-6.54,-5.14,-6.93,-4.12,-8.09,-2.15,-4.48,-5.05,-12.41,-8.04,-8.74,-4.38,-6.87,-4.16,-7.79,-6.09
 GÁS VEICULAR,-0.83,       -,       -,       -,       -,       -,       -,-0.05,       -,       -,       -,       -,       -,       -,       -,       -,-0.79
 SAÚDE E CUIDADOS PESSOAIS,0.08,-0.23,-0.36,-0.45,-0.21,0.13,-0.39,-0.19,-0.26,-0.86,0.45,0.31,-0.28,-0.97,-1.08,0.49,-0.22
 PRODUTOS FARMACÊUTICOS E ÓTICOS,-0.65,-1.3,-1.14,-2.39,-2.21,-0.57,-2.63,-2.85,-2.24,-2.97,0.62,0.37,-1.65,-1.71,-1.93,-1.34,-1.68
 PRODUTOS FARMACÊUTICOS,-0.7,-1.43,-1.27,-2.61,-2.2,-0.5,-2.77,-3.04,-2.56,-2.86,0.73,0.53,-1.78,-1.77,-2.22,-1.34,-1.72
