"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 REFEIÇÃO,0.23,0.57,0.91,0.91,0.88,0.15,0.74,0.76,1.04,0.8,0.88,0.34,1.21,1.44,0.37,0.21,0.74
 LANCHE,1.67,0.04,2.56,2.91,2.62,2.4,-1.85,-0.93,-3.91,-3.04,4.98,3.28,2.72,-1.03,0.42,-0.98,1.31
 REFRIGERANTE E ÁGUA MINERAL,1.92,-1.1,1.5,-2.45,0.28,-4.18,0.61,1.58,-3.04,-3.98,0.04,0.12,-1.52,-0.34,-0.76,-0.62,-0.39
 CAFEZINHO,       -,-1.26,       -,       -,-0.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.44
 CERVEJA,-0.92,-0.21,-0.79,-2.31,-1.83,0.26,-1.13,0.58,-1.34,-0.72,-0.21,-0.71,0.82,2.3,-2.64,-1.95,-1.13
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,-3.74,       -,       -,       -,       -,       -,       -,       -,1.05,-1.69,       -,-2.65,       -,-2.17
 VINHO,-0.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.89
 DOCES,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.43,       -,       -,       -,       -,3.76,2.67
 SORVETE,       -,       -,       -,       -,1.86,       -,       -,2.17,2.91,-0.75,1.47,       -,1.8,2.08,       -,1.19,1.47
 HABITAÇÃO,0.93,1.55,1.02,-0.6,1.08,-0.17,-0.44,1.14,0.72,1.43,2.38,3.04,0.27,0.91,2.72,0.92,1.04
 ENCARGOS E MANUTENÇÃO,0.22,0.77,0.96,0.29,0.59,0.17,0.16,0.61,0.48,1.09,0.54,2.7,1.31,0.89,-0.12,0.15,0.62
 ALUGUEL E TAXAS,0.07,0.57,0.93,0,0.41,0.19,0.06,0.64,0.51,1.14,0.42,2.99,1.5,0.45,0,-0.02,0.51
 ALUGUEL RESIDENCIAL,0.31,1.75,0.98,0,1.15,-1.08,0,1.18,0.69,1.62,0.84,0.06,2.89,0.64,0,-0.69,0.9
 CONDOMÍNIO,-0.18,-0.5,2.07,0,-0.49,2.16,0.17,0,0.62,1.99,0.01,0.17,0.07,-0.02,0,1.17,0.11
 TAXA DE ÁGUA E ESGOTO,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,0,0.22
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.99,       -,       -,       -,2.99
 REPAROS,1.13,1.34,0.65,0.88,1.35,-0.23,0.76,0.35,0.13,1.04,1.22,1.35,0.72,1.06,0.57,0.22,1.05
 FERRAGENS,       -,       -,       -,       -,       -,       -,0.63,       -,       -,       -,-0.07,       -,       -,2.72,       -,       -,0.52
 MATERIAL DE ELETRICIDADE,       -,       -,       -,       -,       -,-2.83,       -,       -,       -,2.42,       -,       -,       -,       -,1.2,       -,0.06
 VIDRO,       -,       -,       -,       -,       -,-0.23,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.23
 TINTA,1.6,1.67,2.67,3.31,1.87,1.02,2,1.05,1.54,2.82,2.04,2.39,2.92,2.34,2.98,1.88,2.0
 REVESTIMENTO DE PISO E PAREDE,2.28,2.29,0.24,2.27,4.01,       -,2.26,0.51,-1.21,0.23,0.78,2.37,       -,2.81,-1.35,-0.27,2.26
 MADEIRA E TACO,       -,2.12,       -,       -,       -,       -,       -,-1.73,       -,       -,       -,       -,       -,-0.4,2.67,       -,1.12
 CIMENTO,       -,       -,       -,0.92,       -,       -,1.76,1.15,0.23,       -,       -,-0.22,1.53,0.46,0.95,       -,0.95
 TIJOLO,2.12,       -,       -,       -,       -,       -,-0.93,       -,       -,       -,2.38,1.12,       -,1.37,0.51,       -,1.12
 MATERIAL HIDRÁULICO,       -,       -,       -,       -,0.18,       -,       -,       -,0.24,       -,       -,       -,-2.83,       -,       -,       -,0.1
 MÃO DE OBRA,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
 AREIA,1.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.21,       -,       -,       -,2.29,       -,1.77
 PEDRAS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.16,       -,       -,-2.16
 TELHA,       -,2.16,-1.65,-1.96,       -,       -,-0.83,       -,       -,-0.92,       -,       -,       -,       -,-0.25,       -,-0.25
 ARTIGOS DE LIMPEZA,0.25,1.37,1.59,1.72,1.12,0.54,-0.44,0.73,0.82,0.71,0.96,2.5,0.53,1.84,-2.15,1.43,0.95
 SACO PARA LIXO,       -,2.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.35,       -,       -,       -,2.27
 ÁGUA SANITÁRIA,-2.52,-0.99,0.11,0.89,2.69,2.33,-0.15,1.24,0.62,       -,2.66,       -,2.63,-1.31,-2.12,2.48,1.2
 DETERGENTE,3.22,1.79,2.82,1.64,-1.36,1.84,0.49,1.63,2.68,-2.67,1.23,1.78,0.32,1.99,       -,1.07,0.44
 SABÃO EM PÓ,-1.76,0.31,1.69,2.35,2.96,-0.64,-2.15,0.95,1.68,1.97,-0.07,2.55,-0.07,2.79,-3.65,2.91,1.27
 DESINFETANTE,-0.14,1.17,3.74,2.93,-0.11,-1.27,-0.51,-2,-2.88,2.6,0.49,3.07,       -,       -,1.07,       -,0.49
 SABÃO EM BARRA,-2.35,       -,2.51,0.63,       -,       -,0.32,0.62,1.85,       -,       -,1.94,1.21,1.28,-2.65,-0.28,0.32
 ESPONJA DE LIMPEZA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.46,       -,2.76,       -,       -,       -,       -,-0.98
 SABÃO LÍQUIDO,       -,       -,       -,       -,       -,2.9,       -,       -,       -,0.86,       -,       -,       -,       -,       -,0.88,1.24
 LIMPADOR MULTIUSO,       -,2.19,       -,       -,-0.36,-2.5,       -,       -,       -,0.81,       -,       -,       -,       -,       -,       -,0.04
 PAPEL TOALHA,2.65,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.65
 AMACIANTE E ALVEJANTE,1.83,2.02,-0.7,1.45,1.71,1.42,0.5,0.68,-0.93,1.35,1.76,2.74,0.52,1.27,0.81,-0.52,1.27
 COMBUSTÍVEIS E ENERGIA,1.92,2.56,1.1,-1.59,2.08,-1.06,-0.82,1.81,1.02,1.93,4.9,3.46,-0.76,0.93,4.77,1.99,1.65
 COMBUSTÍVEIS (DOMÉSTICOS),2.2,4.45,5.41,3.44,2.59,1.32,0.66,2.91,3.42,4.76,3.43,3.89,5.17,1.3,4.35,5.37,3.31
 CARVÃO VEGETAL,       -,       -,       -,       -,       -,       -,1.44,       -,       -,       -,       -,       -,       -,       -,1.44,       -,1.44
 GÁS DE BOTIJÃO,3.16,4.45,5.41,3.44,3.22,1.32,0.63,2.91,3.42,5.55,3.43,3.89,5.17,1.3,4.53,5.37,3.67
 GÁS ENCANADO,0,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,0.0
 ENERGIA ELÉTRICA RESIDENCIAL,1.85,2.12,-0.24,-3.45,1.94,-1.68,-1.23,1.41,0.11,1.04,5.34,3.35,-2.46,0.82,4.98,0.81,1.16
 ENERGIA ELÉTRICA RESIDENCIAL,1.85,2.12,-0.24,-3.45,1.94,-1.68,-1.23,1.41,0.11,1.04,5.34,3.35,-2.46,0.82,4.98,0.81,1.16
 ARTIGOS DE RESIDÊNCIA,2.06,0.6,1.06,1.42,1.55,0.39,1.32,0.23,1.95,1.81,0.25,0.53,1.1,0.33,0.3,0.62,1.27
 MÓVEIS E UTENSÍLIOS,1.84,0.2,1.4,1.45,2.13,0.62,1.52,1.12,1.67,1.61,0.14,0.35,0.92,1.16,0.1,0.79,1.41
 MOBILIÁRIO,2.72,0.76,1.83,1.65,2.52,0.93,2.29,1.73,2.47,2.23,0.76,0.23,0.94,1.4,-0.33,1.72,1.89
 MÓVEL PARA SALA,1.78,2.39,2.58,2.23,2.64,-0.53,1.05,1.08,2.74,3.06,2.3,-0.03,1.75,-1.03,0.87,1.68,2.19
 MÓVEL PARA QUARTO,3.56,-0.92,1.78,1.62,2.57,2.25,3.05,2.7,2.4,1.93,0.9,0.22,0.67,2.24,-0.64,1.29,1.93
 MÓVEL PARA COPA E COZINHA,2.83,0.61,-0.72,1.38,2.13,0.22,2.84,1.37,2.26,2.03,-2.4,0.61,0.51,1.26,-1.26,2.71,1.26
 MÓVEL INFANTIL,       -,       -,       -,0.5,       -,       -,       -,-2.88,2.44,1.69,1.59,       -,1.43,2.31,1.72,1.77,1.09
 COLCHÃO,       -,1.75,5.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.38
 UTENSÍLIOS E ENFEITES,0.29,-0.01,0.69,0.47,1,0.71,1.34,-0.08,1.46,0.66,-0.21,-0.36,0.97,1.31,0.74,-0.79,0.66
 ARTIGOS DE ILUMINAÇÃO,-0.74,0.87,0.69,1.87,1.01,1.06,0.55,-0.26,2.69,2.04,       -,       -,1.52,       -,1.29,-1.25,1.02
 TAPETE,0.5,-2.44,       -,       -,-0.2,-0.74,-0.75,       -,-1.68,-1.9,0.64,-0.76,-2.13,       -,       -,       -,-0.75
 CORTINA,-0.9,0.71,1.36,4.06,0.56,0.7,       -,0.69,4.45,-0.42,-0.56,0.05,       -,       -,       -,       -,0.69
 UTENSÍLIOS DE METAL,1.44,0.66,0.9,-0.59,2.49,1.59,3.18,1.19,1.44,1.49,-0.09,-1.14,2.71,1.71,0.51,-1.55,1.5
 UTENSÍLIOS DE VIDRO E LOUÇA,       -,       -,0.13,-2.23,-1.47,-0.32,0.91,-1.63,0.2,1.82,       -,0.08,1.56,1.65,0.59,1.56,-0.32
 UTENSÍLIOS DE PLÁSTICO,       -,       -,       -,       -,       -,       -,1.49,       -,       -,       -,-1.48,       -,       -,       -,0.73,-0.07,0.27
 FLORES NATURAIS,       -,-1.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.44
 UTENSÍLIOS PARA BEBÊ,       -,       -,-0.78,0.24,       -,       -,       -,-2.37,       -,       -,-0.13,0.15,-2.64,-1.45,       -,       -,-0.67
" CAMA, MESA E BANHO",1.22,-1.94,0.57,2.54,2.77,-1.24,-1.08,-1.03,-0.71,0.82,-1.92,2.15,0.75,-0.31,0.87,-0.64,0.63
 ROUPA DE CAMA,1.22,-1.94,0.57,2.43,2.77,-1.24,-1.08,-0.67,-0.71,0.82,-1.92,2.15,0.78,-0.65,0.87,-0.64,0.63
 ROUPA DE BANHO,       -,       -,       -,2.86,       -,       -,       -,-1.86,       -,       -,       -,       -,0.66,0.96,       -,       -,0.57
 APARELHOS ELETROELETRÔNICOS,2.21,1.03,0.92,1.45,1.24,0.13,1.27,-0.64,2.38,2.61,0.02,0.45,1.45,-0.44,0.41,0.74,1.27
 ELETRODOMÉSTICOS E EQUIPAMENTOS,2.19,0.73,1.54,1.58,1.7,0.52,1.39,0.36,2.46,2.59,0.6,0.58,2.16,-1.34,1.01,1.49,1.54
 REFRIGERADOR,1.86,0.01,1.66,1.97,0.51,0.54,-0.56,-0.93,2.34,2.52,0.84,0.73,2.58,-0.97,0.89,1.85,1.02
 AR-CONDICIONADO,0.51,-0.18,       -,1.94,2.02,1.97,3.11,-3.33,3.35,1.05,-3.48,1.8,1.26,-1.03,       -,-1.65,0.89
 MÁQUINA DE LAVAR ROUPA,4.03,1.65,2.7,-0.24,3.12,-0.07,3.85,2.66,1.86,3.53,3.1,-1.63,1.67,-2.43,0.93,2.76,2.57
 VENTILADOR,       -,       -,       -,1.5,       -,       -,-2.38,0.49,       -,       -,       -,       -,1.8,-3.98,0.31,2.91,0.08
 FOGÃO,2.17,1.88,0.24,2.53,1.56,0.44,3.82,2.55,2.6,2.13,0.2,3.47,2.56,-0.11,1.92,1.58,1.74
 CHUVEIRO ELÉTRICO,       -,       -,0.38,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.38
" TV, SOM E INFORMÁTICA",2.23,1.41,0.31,1.31,0.78,-0.21,1.17,-1.64,2.3,2.64,-0.76,0.3,0.39,1.27,-0.23,0.09,0.99
 TELEVISOR,2.86,2.78,0.5,3.16,2.78,1.43,1.92,-1.51,3.48,3.52,-0.44,2.46,0.39,1.19,0.37,1.6,2.21
 APARELHO DE SOM,       -,       -,       -,1.31,       -,       -,       -,       -,0.05,       -,       -,       -,       -,       -,-0.23,-1.1,0.26
 VIDEOGAME (CONSOLE),       -,       -,       -,-0.65,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.65
 COMPUTADOR PESSOAL,1.04,-1.16,0,-0.93,-2.21,-1.7,-0.24,-1.83,0.67,1.4,-1.21,-3.53,0.39,1.43,-2.46,-1.93,-0.92
 CONSERTOS E MANUTENÇÃO,2.13,0.55,-0.47,1.12,0.38,0.38,0.82,-0.17,0.54,-0.5,1.7,1.79,0.08,0.98,0.89,-0.8,0.49
 CONSERTOS E MANUTENÇÃO,2.13,0.55,-0.47,1.12,0.38,0.38,0.82,-0.17,0.54,-0.5,1.7,1.79,0.08,0.98,0.89,-0.8,0.49
 CONSERTO DE REFRIGERADOR,       -,0.56,       -,0,       -,       -,0.65,       -,-2.03,       -,2.06,       -,       -,       -,0.53,       -,0.65
 CONSERTO DE TELEVISOR,       -,       -,       -,       -,       -,       -,1.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.18
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,       -,-0.85,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.85
 REFORMA DE ESTOFADO,0,1.27,-1.23,3.06,-2.28,1.78,       -,-0.03,2.1,       -,       -,0.53,1.6,-1.84,       -,-2.1,-0.37
 CONSERTO DE APARELHO CELULAR,       -,1.41,-1.03,-0.6,-3.35,-0.85,0.66,-0.58,0.36,-0.8,1.82,-0.16,1.86,2.24,0,-0.9,-0.6
 CONSERTO DE BICICLETA,2.53,0.2,0.13,1.84,1.56,-0.61,0.88,0.05,0.8,-0.44,1.45,2.14,-1.55,1.18,1.93,0.2,1.06
 VESTUÁRIO,1.5,1.51,1.12,2.24,2.32,1.9,1.86,0.83,2.31,2.41,-0.16,1.76,1.73,0.94,1.51,1.41,1.8
 ROUPAS,1.06,1.5,1.22,2.31,2.84,1.67,1.88,1.55,2.49,2.88,-0.28,1.88,2.02,1.34,1.74,0.9,2.01
 ROUPA MASCULINA,0.2,2.07,1.1,2.85,2.09,2.67,1.67,2.59,1.2,2.89,-1.81,2.06,3.73,0.34,1.77,-0.17,1.7
 CALÇA COMPRIDA MASCULINA,-1.29,0.62,1.58,3.64,3.21,0.29,2.01,0.22,0.83,1.52,-2.86,2.59,3.84,-2.97,1.99,0.84,1.6
 AGASALHO MASCULINO,       -,2.75,       -,       -,       -,       -,       -,       -,       -,2.25,       -,       -,       -,       -,       -,       -,2.57
 BERMUDA/SHORT MASCULINO,-0.7,2.8,0.72,3.54,0.93,2.72,1.42,2.37,0.86,1.99,-2.91,3.09,2.6,1.75,1.69,0.14,1.14
 CUECA,       -,       -,       -,       -,       -,       -,0.31,       -,       -,       -,       -,       -,       -,3.52,0.89,       -,0.68
 CAMISA/CAMISETA MASCULINA,0.92,2.6,0.92,2.16,1.77,3.86,1.85,3.52,1.55,3.98,-0.72,1.45,3.94,1.74,1.85,-0.69,1.9
 ROUPA FEMININA,1.84,1.03,1.03,1.87,3.4,1.45,2.85,0.64,3.26,3.22,0.23,1.78,2.51,1.63,2.23,2.19,2.26
 CALÇA COMPRIDA FEMININA,2.83,-0.73,2.76,-0.53,3.99,2.03,2.59,-1.63,3.99,3.16,-2.96,2.2,2.83,1.63,2.01,3.39,2.16
 AGASALHO FEMININO,       -,-2.33,0.52,       -,       -,       -,       -,       -,       -,-0.7,       -,       -,0.52,       -,       -,       -,-1.19
 SAIA,       -,       -,       -,2.24,       -,       -,1.98,       -,       -,       -,       -,       -,       -,1.66,2.72,3.39,2.29
 VESTIDO,0.85,2.99,0.57,2.61,3.83,-2.04,2.14,1.2,3,3.36,2.71,1.18,3.79,0.99,-0.7,2.54,2.22
 BLUSA,2.07,3.1,-0.14,2.66,3.63,3.34,3.78,1.59,3.62,3.8,-0.25,2.25,3.88,1.61,3.98,0.84,2.78
 LINGERIE,       -,-0.85,0.42,3.8,0.32,       -,1.63,0.6,2.99,2,2.55,       -,0.16,2.16,3.08,2.57,1.09
 BERMUDA/SHORT FEMININO,1.29,       -,3.05,0.62,       -,       -,3.89,0.76,1.95,3.3,3.84,0.46,-1.31,2.9,3.21,3.69,2.25
 ROUPA INFANTIL,0.75,1.59,1.87,2.34,2.95,0.58,0.28,1.68,3.66,2.18,1.48,1.79,-1.49,3.06,0.68,0.36,2.01
 UNIFORME ESCOLAR,       -,       -,0.46,0.03,1.12,-0.4,-0.95,-1.86,       -,0.37,-2.34,2.13,       -,       -,-1.44,2.02,0.23
 CALÇA COMPRIDA INFANTIL,       -,0.66,1.73,       -,2.42,1.15,       -,       -,3.78,0.79,3.67,       -,-1.21,3.41,0.25,       -,1.88
 AGASALHO INFANTIL,       -,-1.49,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.49
 VESTIDO INFANTIL,-2,3.13,3.7,1.22,       -,-0.25,1.58,3.03,3.72,       -,0.88,3.37,-1.35,-0.32,-0.32,0.54,1.86
 BERMUDA/SHORT INFANTIL,0.22,       -,       -,1.35,2.17,       -,0.4,0.04,3.96,       -,       -,0.63,-0.81,3.77,2.48,0.92,1.67
 CAMISA/CAMISETA INFANTIL,0.28,2.65,0.43,3.75,3.89,1.69,-0.7,1.82,3.16,3.06,1.29,2.1,-0.44,3.92,2.24,1.97,2.43
 CONJUNTO INFANTIL,3.52,1.86,3.8,3.29,3.73,0.36,1.9,3.79,3.99,3.93,3.64,1.06,-3.16,3.66,0.52,-2.99,3.03
 CALÇADOS E ACESSÓRIOS,2.93,1.46,1,2.39,1.1,2.34,1.72,-0.88,1.98,1.85,-0.46,2.05,0.97,0.24,1.19,3.16,1.44
 CALÇADOS E ACESSÓRIOS,2.93,1.46,1,2.39,1.1,2.34,1.72,-0.88,1.98,1.85,-0.46,2.05,0.97,0.24,1.19,3.16,1.44
 SAPATO MASCULINO,1.36,2.01,1.03,2.68,0.39,3.56,1.77,0.17,3.44,1.98,-1.03,0.15,-1.04,-2.6,0.38,2.53,1.25
 SAPATO FEMININO,3.55,2.21,1.01,2.55,2.58,3.43,0.72,-1.52,2.54,2.93,-1.78,2.18,0.97,0.59,-1.31,2.57,2.12
 SAPATO INFANTIL,       -,       -,       -,-2.31,       -,       -,-0.85,       -,2.91,1.87,0.2,       -,0.81,-0.13,2.35,3.62,0.99
 BOLSA,2.18,0.01,3.41,2.76,       -,2.81,1.51,-2.95,2.36,0.98,-1.85,       -,-0.39,1.59,0.93,2.89,1.49
 MOCHILA,       -,       -,       -,0.73,       -,       -,0.43,0.23,       -,       -,       -,       -,       -,2.24,1.23,       -,0.68
 TÊNIS,3.12,0.62,0.05,2.26,0.06,1.27,3,-0.76,0.64,1.24,0.45,2,1.5,0.06,-0.39,3.69,0.76
 SANDÁLIA/CHINELO,3.17,3.81,2,3.6,2.79,0.91,3.07,-0.7,2.2,1.87,-0.04,3.64,2.23,3.67,3.79,3.33,2.36
 JOIAS E BIJUTERIAS,0,2.24,0.48,1.57,1.72,3.06,2.97,0.06,1.97,-1.04,1.51,-1.21,2.11,-0.99,0.76,-0.06,1.25
 JOIAS E BIJUTERIAS,0,2.24,0.48,1.57,1.72,3.06,2.97,0.06,1.97,-1.04,1.51,-1.21,2.11,-0.99,0.76,-0.06,1.25
 BIJUTERIA,       -,       -,3.73,       -,       -,2.51,       -,       -,3.96,       -,       -,       -,       -,       -,       -,-0.89,3.35
 JOIA,0.76,2.56,-0.66,0.25,1.91,3.22,2.87,0.48,       -,-0.94,2.55,-1.79,2.11,-0.09,1.31,0.53,1.31
 RELÓGIO DE PULSO,-1.8,1.38,       -,3.58,1.11,       -,3.22,-0.83,0.13,-1.32,-3.04,-0.05,       -,-1.53,-0.93,-0.32,0.41
 TECIDOS E ARMARINHO,-0.02,0.08,0.89,-0.5,1.08,0.53,0.59,0.66,1.63,0.19,1.11,0.52,0.01,1.22,0.57,2.19,0.72
 TECIDOS E ARMARINHO,-0.02,0.08,0.89,-0.5,1.08,0.53,0.59,0.66,1.63,0.19,1.11,0.52,0.01,1.22,0.57,2.19,0.72
 TECIDO,-0.02,0.01,0.94,-0.5,1.6,0.53,0.59,0.66,1.63,0.47,0.73,-0.18,0.01,1.22,0.57,2.19,0.81
 ARTIGOS DE ARMARINHO,       -,0.21,0.79,       -,0,       -,       -,       -,       -,-0.22,1.95,1.73,       -,       -,       -,       -,0.3
 TRANSPORTES,1.95,3.2,2.54,3.09,2.81,3.11,2.08,2.55,2.53,2.46,2.59,1.75,1.97,1.34,2,3.1,2.62
 TRANSPORTES,1.95,3.2,2.54,3.09,2.81,3.11,2.08,2.55,2.53,2.46,2.59,1.75,1.97,1.34,2,3.1,2.62
 TRANSPORTE PÚBLICO,3.37,9.92,6.45,9.05,7.15,11.7,1.37,5.11,5.68,8.64,6.34,6.45,5.63,2.05,2.68,4.41,6.49
 ÔNIBUS URBANO,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0.0
 TÁXI,0,0,0,0,0,       -,0,0,0,       -,       -,0,0,0,0,0,0.0
 TREM,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 ÔNIBUS INTERMUNICIPAL,0,0.07,0.5,1.73,0,       -,-3.57,3.78,0.2,0,0.65,0,0.93,0,7.2,0,0.13
 ÔNIBUS INTERESTADUAL,-0.19,       -,1.61,-0.94,2.48,1.52,0,-0.7,0.46,-0.6,1.82,-0.71,-0.21,0.83,-5.02,1.05,0.61
 PASSAGEM AÉREA,30.35,32.22,37.47,47.52,36.84,41.76,13.22,27.72,43.38,29.89,11.56,26.57,25.84,8.1,32.67,27.83,33.86
 METRÔ,0,       -,       -,       -,0,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 TRANSPORTE ESCOLAR,       -,-1.6,0,0,0,-2.4,       -,       -,0,0,       -,0,0.97,       -,0,0,-0.17
 TRANSPORTE POR APLICATIVO,11.68,40.71,27.44,23.83,16.11,4.81,       -,21.95,5.52,       -,27.58,28.33,14.97,       -,5.33,3.79,19.85
 INTEGRAÇÃO TRANSPORTE PÚBLICO,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 VEÍCULO PRÓPRIO,0.99,1.13,1.01,1.24,1.42,1.25,1.07,0.42,1.48,1.44,1.12,0.63,0.78,0.62,0.91,1.95,1.22
 AUTOMÓVEL NOVO,1.77,1.63,1.4,1.45,1.91,2.41,3.11,-0.81,1.29,2.42,1.77,0.65,2.14,-0.92,2.47,1.85,1.77
 EMPLACAMENTO E LICENÇA,0.1,0.03,0.11,0.11,0.06,0.11,0.11,0.09,0.12,0.04,0.11,0.09,0,0.1,0.11,0.09,0.07
 SEGURO VOLUNTÁRIO DE VEÍCULO,4.44,-0.2,-1.24,6.51,1.96,1.37,-1.51,1.9,1.33,1.81,2.61,-0.63,-2.21,2.14,1.79,5.21,1.79
 MULTA,       -,0,0,0,0,0,0,0,0,0,0,       -,0,0,0,0,0.0
 ÓLEO LUBRIFICANTE,       -,4.64,3.09,1.08,0.88,0.75,1.94,0.47,0.83,3.37,1.72,       -,1.74,1.04,2.02,2.45,2.02
 ACESSÓRIOS E PEÇAS,1.22,0.84,-0.2,3.79,2.84,2.77,0.99,-0.88,3.88,1.3,3.8,-2,1.19,-0.19,0.18,1.33,1.78
 PNEU,       -,0.69,1.01,0.07,-1.26,0.95,4.15,4.91,1.23,0.14,2.75,2.67,0.32,0.56,2.16,-1.5,0.56
 CONSERTO DE AUTOMÓVEL,-0.88,2.94,0.6,0.6,2.58,-0.11,0.44,2.53,1.46,2.07,1.71,0.56,0.22,2.83,-1.15,2.76,1.6
 ESTACIONAMENTO,       -,0.61,       -,       -,-0.26,       -,       -,       -,-0.63,-1.98,       -,       -,       -,       -,       -,       -,-0.41
 PEDÁGIO,       -,0,       -,       -,0.31,       -,       -,       -,       -,0,       -,0,       -,       -,       -,       -,0.23
 AUTOMÓVEL USADO,1.05,0.33,1.63,       -,1.53,1.07,0.99,0.47,1.87,0.88,0.1,1.2,1.13,0.73,0.46,1.33,1.13
 PINTURA DE VEÍCULO,       -,       -,2.48,-1.97,       -,       -,       -,       -,-1.79,       -,       -,       -,       -,       -,       -,       -,0.25
 ALUGUEL DE VEÍCULO,-7.74,       -,       -,       -,       -,       -,-0.68,       -,7.79,       -,       -,       -,       -,       -,       -,       -,0.03
 MOTOCICLETA,1.81,2.52,3.38,2.12,1.68,1.28,0.91,1.11,3.04,1.27,1.86,1.88,-0.67,1.2,1.98,2.16,1.86
 COMBUSTÍVEIS (VEÍCULOS),2.34,3.62,3.05,3,3.4,2.73,3.75,4.54,2.27,3.02,4.03,2.66,2.98,2.42,3.17,3.86,3.21
 GASOLINA,2.44,3.56,2.85,3.25,3.15,2.67,3.72,4.55,2.08,2.72,4.24,2.54,2.85,2.22,3.03,3.8,3.1
 ETANOL,2.78,       -,3.72,-2.59,4.03,2.86,       -,       -,0.16,3.62,2.66,       -,3.25,       -,       -,       -,3.54
 ÓLEO DIESEL,5.8,6,5.7,4.74,4.33,4.05,4.55,5.88,8.67,7.89,6.35,5.84,6.57,4.02,5.59,6.17,5.77
 GÁS VEICULAR,0.88,       -,       -,       -,       -,       -,       -,0.08,       -,       -,       -,       -,       -,       -,       -,       -,0.84
 SAÚDE E CUIDADOS PESSOAIS,0.32,-0.18,0.19,0.3,0.59,0.18,0.23,-0.04,0.71,0.87,0.33,0.14,0.36,0.68,0.12,0.58,0.39
 PRODUTOS FARMACÊUTICOS E ÓTICOS,0.53,0.26,0.19,0.73,1.75,-0.2,-0.84,0.3,1.53,1.24,0.24,0.2,0.5,0.34,0.09,1.25,0.83
 PRODUTOS FARMACÊUTICOS,0.48,0.51,-0.06,1.01,1.94,0.04,-0.61,-0.04,1.67,1.3,0.38,0.35,0.44,0.47,-0.18,1.34,0.91
 ANTI-INFECCIOSO E ANTIBIÓTICO,0.98,-0.23,0.16,2.71,2.96,0.08,-1.88,0.72,0.94,0.52,-1.69,0.44,-0.07,0.28,-0.55,2.7,0.97
 ANALGÉSICO E ANTITÉRMICO,1.25,3.51,0.15,2.6,2.48,0.22,-1.33,2.26,3.4,3.09,2.02,1.58,0,1.47,-0.14,3.86,1.95
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,-0.67,-0.13,-1.05,0.83,3.51,2.91,0.16,-1.95,0.74,0.42,0.93,-1.1,1.66,-0.23,-1.47,2.6,0.75
 ANTIGRIPAL E ANTITUSSÍGENO,0.72,1.63,0.9,-0.68,2.38,1.78,-0.98,1.04,0.55,1.69,0.39,1.23,1.86,0.62,-0.56,2.07,1.2
 DERMATOLÓGICO,0.56,0.61,-2,3.02,0.8,-0.04,       -,-0.35,-0.09,2.4,       -,-0.23,-2.76,-2.07,-0.43,1.4,0.51
 ANTIALÉRGICO E BRONCODILATADOR,0.41,-1.46,0.24,-0.04,4.06,3.08,0.42,-1.25,0.87,2.24,-0.01,-0.39,1.62,1.91,-0.44,0.9,1.53
