"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 TEMPERO MISTO,       -,0.38,0.57,2.91,2.1,-0.92,-2.73,0.62,0.61,-1.14,-1.16,1.86,2.07,-1.11,0.86,1.93,0.52
 ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.3,1.18,1.61,1.07,0.97,0.19,1.5,0.29,0.66,0.92,0.39,0.92,0.86,0.59,0.07,1.04,0.79
 ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.3,1.18,1.61,1.07,0.97,0.19,1.5,0.29,0.66,0.92,0.39,0.92,0.86,0.59,0.07,1.04,0.79
 REFEIÇÃO,-0.78,2.22,1.35,0.41,1.24,0.44,2.41,0.72,0.39,1.14,1.06,1.11,2.88,0.24,-0.13,0.73,0.9
 LANCHE,1.23,0.15,1.62,1.15,1.02,-0.51,1.79,0.46,1.18,1.19,-1.39,0.8,-1.09,0.41,0.65,0.95,0.91
 CAFÉ DA MANHÃ,0.2,1.52,0.57,0.75,1.63,1.03,4.23,       -,1.09,       -,       -,2.64,       -,3.95,       -,2.95,1.4
 REFRIGERANTE E ÁGUA MINERAL,-0.43,-0.91,1.16,1.11,-0.03,1.68,2.86,0.47,1.44,-1.81,0.05,0.29,0.59,2.39,-0.01,1.66,0.17
 CAFEZINHO,-0.4,-1.34,       -,       -,1.21,       -,       -,       -,       -,       -,-1.81,       -,       -,       -,       -,       -,0.35
 CERVEJA,-0.38,-0.82,3.19,3.38,-0.94,-0.67,-2.55,-2.71,0.42,0.49,1.99,1.27,-3.72,1.22,-0.5,1.45,-0.06
 OUTRAS BEBIDAS ALCOÓLICAS,0.09,       -,0.39,0.77,       -,1.4,5.8,-0.99,1.74,       -,       -,0.84,       -,       -,       -,0.31,0.86
 DOCES,1.88,-2.79,2.33,1.85,0.86,1.16,2.83,0.35,0.49,0.46,0.62,-1.64,0.97,-0.17,0.09,2.61,0.77
 HABITAÇÃO,0.9,0.92,0,-1.01,0.23,0.27,-0.74,0.32,0.31,-0.15,0.57,-0.55,1.46,-3.71,0.19,0.26,0.24
 ENCARGOS E MANUTENÇÃO,0.72,0.94,0.26,-0.54,0.42,0.47,-0.02,-0.6,0.73,0.09,0.2,0.39,1.33,0.17,-0.22,0.86,0.39
 ALUGUEL E TAXAS,0.9,1.23,0.16,-0.8,0.54,0.54,0.24,-0.91,0.93,0.09,0.25,0.43,1.71,-0.09,-0.27,0.87,0.48
 ALUGUEL RESIDENCIAL,-0.78,0.62,0.39,-0.36,1.21,-0.19,0.23,-1.51,0.32,0.39,0.45,1.34,0.6,-0.18,-0.5,1.06,0.42
 CONDOMÍNIO,3.95,0.91,-0.28,-1.99,-0.64,2.61,0.64,-0.18,2.63,-0.82,0,-0.73,2.8,1.09,-0.26,1.72,0.77
 TAXA DE ÁGUA E ESGOTO,0.38,2.32,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0.31
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.21,1.9,       -,0.35,       -,0.65,       -,1.7
 REPAROS,0.14,0.46,0.25,0.19,0.07,0.1,-0.11,0.18,0.02,0.14,0.02,0.16,-0.17,-0.29,0.14,0.18,0.15
 FERRAGENS,       -,       -,-0.1,       -,1.68,       -,       -,0.61,       -,2.69,0.07,1.38,       -,-2.96,       -,       -,1.12
 MATERIAL DE ELETRICIDADE,       -,0.03,       -,       -,       -,       -,1.06,       -,       -,0.31,       -,       -,       -,       -,       -,       -,0.39
 MATERIAL DE PINTURA,       -,       -,0.33,       -,       -,       -,       -,       -,1.56,       -,       -,2.92,-0.57,-1.2,       -,       -,0.55
 VIDRO,-0.2,       -,-1.48,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.77
 TINTA,1.25,0.79,0.15,1.5,0.76,1.95,2.91,1.66,0.85,-0.06,1.66,-0.16,0.6,0.36,2.62,-0.43,0.77
 REVESTIMENTO DE PISO E PAREDE,-1.47,2.86,1.16,2.98,-0.07,-3.29,-3.64,-0.37,0.6,1.31,0.59,1.23,-1.07,       -,2.85,1.91,0.3
 CIMENTO,1.16,2.12,0.07,-0.73,-1.35,1.54,-1.31,0.55,-1.4,-0.29,-1.95,0.16,-1.6,1.67,-4.52,0.19,-0.42
 TIJOLO,       -,0.49,1.45,-1.72,1.05,0.48,2.4,-1.69,0.62,0.08,-0.79,0.41,       -,       -,-0.12,       -,0.51
 MATERIAL HIDRÁULICO,       -,       -,1.27,       -,-1.41,       -,0.51,       -,-1.28,1.16,       -,0.35,       -,       -,-2.21,       -,-0.4
 MÃO DE OBRA,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
 AREIA,1.08,       -,-0.17,       -,       -,       -,       -,1.38,-2.69,-0.18,0.59,-2.79,       -,       -,1.47,       -,0.03
 TELHA,-1.09,       -,1.9,       -,       -,       -,-0.25,1.88,0.69,-0.49,-0.61,0.12,       -,       -,       -,-0.39,0.21
 ARTIGOS DE LIMPEZA,0.3,0.41,1.14,0.61,0.11,0.75,-0.66,-0.01,1.23,-0.06,0.25,0.96,0.74,1.18,-0.91,2.04,0.34
 ÁGUA SANITÁRIA,1.01,       -,2.79,0.36,-0.29,0.93,-0.29,0,1.21,-0.33,       -,       -,       -,-2.06,-0.76,-0.35,0.3
 DETERGENTE,-0.15,0.65,1.5,-1.73,1.08,2.04,-0.67,0.97,0.81,2,-0.8,0.87,0.78,       -,       -,-0.09,0.85
 SABÃO EM PÓ,0.94,1.17,0.02,-0.45,-0.19,-0.47,0.19,0.04,1.9,-0.22,1.11,1.87,-0.32,1.99,-1.94,2.98,0.31
 DESINFETANTE,-0.11,1.09,2.09,-1.8,       -,1.87,-1.53,0.85,1.09,-1.97,-0.73,-0.58,2.37,1.62,-0.31,       -,0.38
 INSETICIDA,0.36,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.36
 SABÃO EM BARRA,-0.49,-1.63,3.68,4.42,-1.2,1.27,-0.8,-1.7,-0.19,-0.36,-2.05,-0.03,2.16,1.16,0.46,4.05,0.32
 ESPONJA DE LIMPEZA,       -,0.84,-0.36,-0.59,1.15,       -,-1.54,1.85,       -,-0.83,-1.25,0.89,-2.56,2.27,-0.86,       -,0.1
 AMACIANTE,-0.85,-0.99,1.04,       -,0.1,1.61,-2.45,1.12,1.11,-0.31,2.03,-0.11,2.55,-0.52,       -,-1.17,0.08
 COMBUSTÍVEIS E ENERGIA,1.3,0.88,-0.58,-1.91,-0.18,-0.28,-1.45,2.14,-0.67,-0.65,1.22,-2.17,1.68,-6.03,0.67,-0.72,-0.06
 COMBUSTÍVEIS (DOMÉSTICOS),3.65,-0.61,0.09,-1.69,-1.07,-0.27,1.79,-0.35,-1.33,-0.36,0.96,0.37,0.85,-0.36,2.6,-1.32,0.12
 CARVÃO VEGETAL,       -,7.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.94
 GÁS DE BOTIJÃO,2.66,-1.18,0.09,-1.69,-1.16,-0.27,1.79,-0.35,-1.33,-0.39,0.96,0.37,0.85,-0.36,2.6,-1.32,-0.12
 GÁS ENCANADO,6.53,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,3.53
 ENERGIA ELÉTRICA RESIDENCIAL,0.53,1.4,-0.84,-2.02,0.1,-0.28,-2.78,3.92,-0.22,-0.75,1.32,-2.97,2.02,-8.24,-0.22,-0.4,-0.13
 ENERGIA ELÉTRICA RESIDENCIAL,0.53,1.4,-0.84,-2.02,0.1,-0.28,-2.78,3.92,-0.22,-0.75,1.32,-2.97,2.02,-8.24,-0.22,-0.4,-0.13
 ARTIGOS DE RESIDÊNCIA,0.87,-0.07,-0.05,0.49,0.37,0.63,0.06,0.01,0.55,0.02,1.08,0.68,0.64,-0.21,-0.14,0.8,0.32
 MÓVEIS E UTENSÍLIOS,0.12,-0.62,-0.31,0.33,0.34,0.38,0.26,0.7,0.52,-0.11,0.77,0.25,-0.31,-0.19,0.09,0.84,0.11
 MOBILIÁRIO,-0.49,-0.56,0.01,-0.12,0.59,0.3,-0.83,1.28,0.66,-0.27,1.09,-0.37,0.21,-0.97,-0.43,1.37,0.12
 MÓVEL PARA SALA,-0.81,-1.39,-0.3,0.06,0.47,0.49,-2.3,1.66,1.06,-1.48,2.58,-0.62,1.25,-2.18,0.94,1.62,-0.02
 MÓVEL PARA QUARTO,0.29,0.12,0.42,-0.88,1.55,-0.43,-0.52,1.16,0.35,0.38,0.09,0.37,0.14,-0.92,-1.69,1.13,0.58
 MÓVEL PARA COPA E COZINHA,1.67,-0.43,-0.12,-1.2,-0.66,0.95,-0.61,1.32,0.97,0.62,1.4,-1.51,-3.04,2.3,-0.47,1.86,-0.02
 MÓVEL INFANTIL,       -,       -,       -,2.92,       -,       -,2.21,1.83,       -,       -,1.64,       -,       -,-1.03,       -,2.24,2.06
 COLCHÃO,-3.26,-1.17,0.5,1.49,-1.22,1.39,-0.72,-0.22,-1.04,-0.3,-4,-2.47,1.39,-1.32,-1.5,0.31,-0.88
 UTENSÍLIOS E ENFEITES,1.02,0.3,-0.2,-0.07,0.91,1.6,0.41,0.42,0.43,0.01,0.33,1.12,-0.4,0.9,0.24,-0.79,0.47
 TAPETE,-0.58,-0.66,-0.3,-0.65,-2.59,0.13,1.69,       -,1.69,1.75,-3,0,1.04,-0.62,-0.92,       -,-0.61
 CORTINA,2.46,2.43,-0.3,-0.58,3.49,2.54,0,1.96,1.44,-1.39,1.2,0.66,-0.21,-1.44,1.29,1.52,1.47
 UTENSÍLIOS DE METAL,-0.3,2.32,0.46,2.56,0.52,-1.54,1.95,-1.2,-0.57,-2.26,0.67,0.09,-2.02,0.22,2.07,-1.31,0.34
 UTENSÍLIOS DE VIDRO E LOUÇA,1.64,-1.47,-0.82,-0.17,1.88,2.67,-0.45,-0.39,0.3,1.92,-0.05,2.29,1.43,1.5,0.94,-1.45,0.5
 UTENSÍLIOS DE PLÁSTICO,3.55,-0.8,       -,1.19,-2.02,-0.55,-1.89,1.77,0.46,-2.02,-0.51,3.55,1.32,1.94,-0.98,3.3,-0.5
 FLORES NATURAIS,       -,-2.94,       -,       -,-2.62,       -,       -,       -,0.41,-2.12,       -,       -,0.46,       -,       -,       -,-2.24
 UTENSÍLIOS DIVERSOS,0.76,0.23,0.08,-1.44,2.96,3.62,0.36,0.39,0.62,2.49,1.32,1.87,-1.38,1.23,-0.44,-1.89,1.23
" CAMA, MESA E BANHO",2.16,-2.27,-1.85,2.24,-2.08,-1.55,2.49,-1.98,0.09,0.38,0.34,1.27,-2.46,0.52,1.81,0.72,-0.57
 ROUPA DE CAMA,2.69,-1.82,-1.62,3.23,-1.64,-1.55,2.24,-2.3,0.24,-0.51,0.34,1.33,-2.52,-0.21,3.31,1.04,-0.3
 ROUPA DE BANHO,1,-3.65,-2.49,0.05,-2.89,       -,3.62,-1.32,-0.5,3.12,       -,1.14,-2.31,2.75,-1.99,0.1,-1.3
 APARELHOS ELETROELETRÔNICOS,2.07,0.69,0.45,0.65,0.78,0.88,-0.09,-0.7,0.91,0.69,0.87,1.44,1.41,-0.21,-0.48,0.57,0.76
 ELETRODOMÉSTICOS E EQUIPAMENTOS,2.53,1.1,0.45,1.14,1.27,1.39,-0.66,-1.22,0.98,1.31,0.92,1.69,1.75,-0.49,-0.26,0.16,1.02
 REFRIGERADOR,1.92,1.06,1.06,1.85,1.95,1.07,-2.98,-1.92,2.15,2.92,1.24,0.29,2.01,-1.97,-2.36,-1.25,1.13
 AR-CONDICIONADO,7.29,3.83,       -,1.01,       -,       -,5.83,       -,       -,1.51,       -,4.37,3.47,3.42,2.54,1.1,4.37
 MÁQUINA DE LAVAR ROUPA,2.27,-0.95,1.42,0.64,0.25,1.97,1.21,1.77,0.27,0.53,1.22,2.68,0.46,1.32,1.63,2.78,0.74
 LIQUIDIFICADOR,       -,       -,       -,       -,       -,       -,-0.66,       -,       -,       -,       -,       -,       -,0.45,       -,       -,-0.56
 VENTILADOR,5.39,       -,       -,1.01,       -,       -,2.5,3.21,       -,       -,       -,       -,0.2,2.51,3.88,1.41,3.1
 FOGÃO,1.12,2.77,-2.13,0.31,1.99,1.59,0.3,-3.39,-1.56,-1.26,-0.16,3.73,1.66,-0.3,0.09,1.97,0.44
 CHUVEIRO ELÉTRICO,       -,1.17,       -,       -,0.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.64
 FORNO DE MICRO-ONDAS,       -,-0.16,0.9,       -,0.24,       -,       -,       -,       -,-0.14,0.58,       -,       -,       -,       -,       -,0.22
" TV, SOM E INFORMÁTICA",1.38,-0.15,0.46,-0.17,-0.03,0.15,1.19,0.07,0.82,-0.57,0.78,1.04,0.76,0.32,-0.9,1.29,0.33
 TELEVISOR,-2.35,-3.86,-1.2,-3.74,-4.36,-2.41,1.75,-2.01,-1.63,-3.89,-1.91,-2.41,-0.98,-0.15,-2.32,-0.65,-2.78
 APARELHO DE SOM,0.72,-0.4,-4.64,0.19,2.03,2.87,0.2,1.56,1.61,1.17,0.19,3.96,-1.63,-3.63,-2.33,1.62,0.46
 APARELHO DE DVD,0.83,-1.12,-1.35,-0.6,-1.05,-1.22,-0.59,-0.58,-0.57,-2.49,0.69,0.11,-0.57,-1.94,0.1,0.96,-0.78
 ANTENA,       -,       -,       -,-0.17,       -,       -,1.19,0.07,       -,       -,-3.03,       -,       -,2.18,       -,1.78,-0.23
 MICROCOMPUTADOR,4.15,2.27,2.35,2.2,2.39,1.54,2.11,1.52,1.97,1.44,2.71,3.05,2.21,2.19,0.34,2.81,2.39
 CONSERTOS E MANUTENÇÃO,-0.44,-0.08,0.02,0.7,-0.96,1.32,-0.15,-0.4,-1.38,-2,2.89,0.45,1.57,-0.38,-0.1,1.85,-0.36
 CONSERTOS E MANUTENÇÃO,-0.44,-0.08,0.02,0.7,-0.96,1.32,-0.15,-0.4,-1.38,-2,2.89,0.45,1.57,-0.38,-0.1,1.85,-0.36
 CONSERTO DE REFRIGERADOR,0,0.51,0.14,1.07,1.83,-1.62,0,       -,-0.07,-1.36,1.59,0.76,0.88,-0.13,1.46,2.45,0.64
 CONSERTO DE TELEVISOR,-0.87,-0.47,0.14,1.33,1,3.64,-0.56,0.54,-3.48,0,-0.85,-0.25,0,-3.88,-0.2,0.95,0.09
 CONSERTO DE APARELHO DE SOM,       -,       -,-0.38,       -,       -,       -,       -,       -,-1.02,       -,       -,       -,       -,3.58,0,       -,-0.39
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,-4.24,-0.34,       -,-0.31,1.48,1.87,0,       -,       -,-1.96,       -,       -,2.17,       -,       -,       -,0.05
 REFORMA DE ESTOFADO,0.77,0.36,0,0.05,-4.94,0.4,0,-0.92,-1.33,-2.56,4.99,0.55,2.42,0.67,-1.4,2.77,-1.45
 MANUTENÇÃO DE MICROCOMPUTADOR,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.6,1.26,       -,       -,0.29,0.83
 VESTUÁRIO,-1.87,-1.82,-0.68,-0.75,-0.84,-1.26,-1.17,-0.21,-1.41,-1.35,-2.13,-1.36,-1.99,-0.09,-0.24,-2.12,-1.15
 ROUPAS,-2.07,-2.49,-1.11,-1.23,-1.16,-1.15,-1.11,-0.45,-1.71,-2.01,-2.44,-1.21,-1.42,0.13,-0.12,-2.82,-1.46
 ROUPA MASCULINA,-2.56,-2.86,0.06,-0.81,0.01,0.08,-1.72,-0.78,-0.79,-2.66,-1.68,-0.46,-1.95,1.81,0.51,-3.25,-0.99
 CALÇA COMPRIDA MASCULINA,-2.5,-3.04,-3.09,-1.7,0.06,0.24,-2.15,-2.1,-0.66,-3.38,-2.52,-1.69,-4.13,2.41,2.06,-3.91,-1.51
 TERNO,-0.7,-2.1,1.15,-2.97,       -,       -,       -,       -,       -,0.58,-1.3,-1.91,       -,       -,       -,       -,-0.18
 AGASALHO MASCULINO,       -,-2.86,0.06,       -,0.01,0.08,       -,       -,       -,-2.66,       -,-0.46,-1.95,       -,       -,       -,-1.14
 SHORT E BERMUDA MASCULINA,-3.75,-3.16,1.97,1.28,-0.33,0.16,-3.83,-1.03,-0.62,-2.12,1.28,1.09,-1.39,1.82,-2.58,-0.56,-1.0
 CUECA,       -,-1.49,       -,-2.34,       -,       -,1.55,0.92,-0.39,       -,       -,       -,       -,3,-0.81,       -,-0.38
 CAMISA / CAMISETA MASCULINA,-2.62,-2.95,1.42,-0.72,0.06,-0.07,-0.38,0.02,-1.01,-2.98,-1.63,-0.14,-0.05,1.19,1.07,-4.1,-0.69
 ROUPA FEMININA,-2.04,-2.05,-2.2,-1.84,-2.29,-2.88,-0.42,0.1,-2.52,-1.91,-3.23,-1.7,-1.92,-1.45,-1.08,-3.49,-2.0
 CALÇA COMPRIDA FEMININA,-3.92,-0.15,-2.51,-3.04,-3.27,-4.17,-2.02,0.78,-3.83,-3.08,-3.83,-2.52,0.19,0.07,-1.63,-3.94,-2.74
 AGASALHO FEMININO,       -,-2.05,-2.2,       -,-2.29,       -,       -,       -,       -,-1.91,       -,       -,-1.92,       -,       -,       -,-2.12
 SAIA,       -,       -,       -,-0.73,       -,       -,-0.86,-3.31,-3.55,       -,-2.72,-2.27,       -,0.01,-2.58,-3.86,-2.22
 VESTIDO,0.83,0.42,-2.58,1.8,-1.82,-4.31,0.68,0.18,-0.14,1.32,-3.12,0.91,-4.69,-0.37,-2.98,-3.76,-0.94
 BLUSA,-2.28,-4.51,-1.99,-2.39,-2.87,-1.16,0.94,0.47,-2.94,-2.97,-2.96,-3.56,-3.45,-3.44,0.77,-3.74,-2.36
 LINGERIE,-1.47,-1.82,-1.43,-2.78,1.23,-3.04,-1.49,-0.72,-1.71,1.13,-1.84,-2.25,2.74,0.61,-1.91,-0.41,-0.44
 BERMUDA E SHORT FEMININO,-2.92,-2.17,-1.23,-0.86,       -,-3.86,-1.54,-1.29,-3.12,-1.4,-4.44,1.53,-1.61,-1.64,-1.48,-2.44,-1.96
 ROUPA INFANTIL,-1.09,-2.8,-0.78,-0.67,-0.88,0.53,-1.5,-1.54,-1.71,-0.8,-1.86,-1.5,0.57,0.14,1.13,-0.61,-1.06
 UNIFORME ESCOLAR,0.8,       -,       -,       -,3.91,       -,-2.2,       -,0.72,1.38,       -,       -,       -,2.88,-1.3,       -,1.73
 CALÇA COMPRIDA INFANTIL,-2.98,-2.86,-1.02,-2.79,-1.15,-3.23,-0.59,-1.09,-2.96,-0.42,-0.27,-2.52,-2.71,0.94,2.33,-0.95,-1.47
 AGASALHO INFANTIL,       -,-2.8,-0.78,       -,-0.88,-1.66,       -,       -,       -,-0.8,       -,-1.5,0.57,       -,       -,       -,-1.34
 VESTIDO INFANTIL,-0.86,       -,-3.63,-3.24,2.4,0.76,-3.47,-2.37,1.16,-2.78,-3.74,-0.28,-0.09,-2.67,-0.28,-1.09,-0.92
 BERMUDA E SHORT INFANTIL,-2.62,-0.65,-3.11,-0.52,-2.84,1.23,-0.54,-2.86,-1.59,0.59,-1.51,-0.87,1.79,-0.95,1.65,0.61,-1.66
 CAMISA / CAMISETA INFANTIL,-0.08,-3.43,1.74,2.36,-2.2,1.8,-1.51,-0.35,-2.81,-1.11,-2.68,-2.14,1.83,0.97,1.67,-0.25,-1.03
 CONJUNTO INFANTIL,       -,       -,-1.32,-3.33,1.77,2.7,-1.34,-2.8,       -,       -,-0.07,-1,       -,-1.01,0.85,-1.69,-0.24
 CALÇADOS E ACESSÓRIOS,-1.46,-1.03,-0.07,0.12,-0.4,-1.39,-1.08,0.95,-1.07,0.04,-2.1,-1.87,-2.92,-0.13,-0.06,-0.81,-0.65
 CALÇADOS E ACESSÓRIOS,-1.46,-1.03,-0.07,0.12,-0.4,-1.39,-1.08,0.95,-1.07,0.04,-2.1,-1.87,-2.92,-0.13,-0.06,-0.81,-0.65
 SAPATO MASCULINO,0.82,0.02,1.32,-3,-2.2,-0.19,-1.08,1.52,-1.23,2.69,-1.4,-2.69,-1.45,1.12,-0.32,-1.46,-0.48
 SAPATO FEMININO,-0.27,-0.45,-1.77,0.77,2.68,-1.49,-1.26,0.38,-3.11,1.53,-1.76,-2.16,-4.11,0.14,-1.33,0.11,0.29
 SAPATO INFANTIL,       -,       -,       -,-2.76,       -,       -,-0.21,       -,1.46,       -,       -,       -,       -,-2.28,       -,-2.64,-0.41
 SANDÁLIA / CHINELO MASCULINO,       -,       -,       -,-0.15,       -,       -,-0.33,       -,-0.98,       -,       -,       -,       -,1.67,1.39,2.51,-0.19
 SANDÁLIA / CHINELO FEMININO,-2.12,-2.99,1.8,0.53,-1.74,-2.27,-0.42,2.73,-0.24,0.47,-3.75,-1,-3.66,-0.69,0.75,-3.16,-0.73
 SANDÁLIA / CHINELO INFANTIL,       -,       -,       -,-0.06,       -,-2.98,-1.33,1.06,-3.34,       -,-0.38,0.61,-1.3,-1.19,-1.14,-0.02,-1.03
 BOLSA,-1.88,0.72,-2.31,-0.19,-2.12,2.4,-0.79,-0.33,1.46,-2.49,-2.01,-2.5,-3.61,-2.18,0.22,3.22,-1.29
 TÊNIS,-2.01,-1.44,-0.34,1.3,-0.08,-2.08,-2.11,-1.18,-1.85,-1.36,-1.81,-2.01,-2.78,0.5,-0.37,-1.49,-0.9
 JOIAS E BIJUTERIAS,-1.98,-0.13,0.47,-0.11,0.43,-2.43,-2,-2.9,-0.04,-1.61,0.9,-0.82,-2.48,-1.59,-1.83,0.72,-0.62
 JOIAS E BIJUTERIAS,-1.98,-0.13,0.47,-0.11,0.43,-2.43,-2,-2.9,-0.04,-1.61,0.9,-0.82,-2.48,-1.59,-1.83,0.72,-0.62
 BIJUTERIA,-2.22,0.08,-3.64,-0.19,1.02,-1.39,-3.93,-3.06,-2.75,-4.93,-1.49,-1.7,-1.38,1.61,-2.55,1.46,-1.55
 JOIA,-1.87,-0.26,3.69,0.48,-0.09,-2.94,-0.25,       -,3.07,0.18,2.69,-0.3,-3.29,-2.91,-1.38,       -,0.21
 RELÓGIO DE PULSO,       -,       -,       -,-0.76,       -,       -,-2.23,-2.72,       -,       -,       -,       -,       -,0.98,-1.68,-1.59,-1.79
 TECIDOS E ARMARINHO,-0.9,-0.78,0.62,0.5,-0.37,0.7,0.47,0.6,-0.91,0.27,0.11,-0.25,0.08,0.78,-0.7,0.74,-0.09
 TECIDOS E ARMARINHO,-0.9,-0.78,0.62,0.5,-0.37,0.7,0.47,0.6,-0.91,0.27,0.11,-0.25,0.08,0.78,-0.7,0.74,-0.09
 TECIDO,-0.65,-1.92,1.6,0.5,-0.97,0.74,0.2,1.25,-1.22,-0.23,-0.16,-0.04,-0.25,0.62,-0.7,0.77,-0.12
 ARTIGOS DE ARMARINHO,       -,-0.43,-0.9,       -,-0.12,0.65,0.85,       -,       -,1.59,0.93,-0.62,0.67,       -,       -,       -,0.07
 ACORTINADO (MOSQUITEIRO),-1.4,0.51,       -,       -,0.14,       -,       -,-1.01,0.68,       -,       -,       -,       -,1.66,       -,0.65,-0.21
 TRANSPORTES,0.26,-1.25,1.01,-0.47,0.39,-1.1,0.15,-1.21,0.86,-0.44,-1.75,0.22,-0.51,0.04,-0.05,-0.73,0.02
 TRANSPORTES,0.26,-1.25,1.01,-0.47,0.39,-1.1,0.15,-1.21,0.86,-0.44,-1.75,0.22,-0.51,0.04,-0.05,-0.73,0.02
 TRANSPORTE PÚBLICO,0.17,0.51,6.23,-0.04,2.95,-1.23,1.19,0.18,-0.04,-0.84,-0.36,4.09,0.4,1.04,0.53,3.12,1.55
 ÔNIBUS URBANO,0,0,10.12,0,5.5,0,0,0.3,0,0,0,5.71,0.77,0,1.29,4.44,2.67
 TÁXI,3.87,0,0,0,0,       -,0,0,0,0,0,0,0,0,0,0,1.16
 TREM,0,0,       -,       -,4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.71
 ÔNIBUS INTERMUNICIPAL,0,1.98,3,-0.29,3.02,       -,10.04,0,0,0.48,0.58,0.68,0.99,1.26,-0.12,3.23,1.69
 ÔNIBUS INTERESTADUAL,2.58,1.2,1.47,-0.17,-0.86,-0.4,0,0.03,0.23,0.73,-0.72,0.58,-1.07,-0.04,3.54,0.37,0.13
 PASSAGEM AÉREA,-2.49,-0.86,1.21,-0.11,-7.62,-2.88,-2.76,-0.33,-0.82,-5.73,-3.49,6.08,2.46,5.63,-7.07,1.38,-3.59
 METRÔ,0,       -,       -,       -,4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.98
 TRANSPORTE HIDROVIÁRIO,       -,       -,       -,       -,       -,       -,2.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.08
 TRANSPORTE ESCOLAR,       -,0,1.17,1.36,0.87,0,       -,       -,0,0,       -,0,       -,       -,       -,1.04,0.7
 VEÍCULO PRÓPRIO,0.48,0.42,0.46,0.25,0.89,0.65,0.97,-0.04,0.85,0.21,0.51,0.21,0.44,0.18,0.54,-0.69,0.59
 AUTOMÓVEL NOVO,0.9,0.64,0.33,0.38,0.82,0.63,1.44,0.46,1.19,-0.48,0.99,0.05,0.2,1.13,0.48,0.19,0.62
 EMPLACAMENTO E LICENÇA,0.38,0.38,0.38,0.32,0.38,0.34,0.38,0.47,0.4,0.34,0.27,0.37,0.38,0.36,0.5,0.45,0.37
 SEGURO VOLUNTÁRIO DE VEÍCULO,-1.18,-1.87,-1.4,-3.16,3.65,-3.57,       -,0.87,0.3,-2.6,0.51,-0.82,-3.66,       -,0.54,-0.6,0.5
 MULTA,       -,       -,       -,       -,0,0,       -,       -,       -,0,0,       -,       -,       -,       -,0,0.0
 ÓLEO LUBRIFICANTE,1.38,0.28,1.43,0.84,-1.29,0.02,0.36,1.79,0.79,1.57,1.57,       -,0.78,1.7,0.12,-0.12,0.17
 ACESSÓRIOS E PEÇAS,1.56,2.25,1.02,-0.17,-0.72,1.09,1.88,0.52,0.47,1.59,1.2,-1.08,1.74,0.25,1.54,-0.25,0.69
 PNEU,0.43,-2.9,-1.11,2.29,-1.22,-0.57,2.71,-0.47,2.9,1.62,0.27,1,1.8,1.51,-2.54,-0.42,-0.23
 CONSERTO DE AUTOMÓVEL,0.52,0.73,0.02,0.82,2.64,1.25,0.94,-0.64,0.97,0.4,-0.38,0.97,0.55,-1.08,1.25,-4.28,1.18
 ESTACIONAMENTO,0.9,-1.3,-0.32,       -,-1.26,       -,       -,-1.7,       -,       -,       -,       -,       -,       -,       -,       -,-0.3
 PEDÁGIO,0.53,0,       -,       -,0,       -,       -,       -,       -,2.92,       -,0,       -,       -,       -,       -,0.48
 LUBRIFICAÇÃO E LAVAGEM,       -,       -,       -,-2.75,0.88,       -,       -,       -,       -,0.58,       -,       -,0.17,3.56,-1.67,       -,0.23
 AUTOMÓVEL USADO,0.4,0.42,1.42,       -,-1.54,2.01,-0.98,-1.57,-0.17,0.43,0.94,-0.31,0.32,0.18,       -,0.4,-0.04
 PINTURA DE VEÍCULO,       -,       -,       -,-0.84,-0.6,-0.69,       -,       -,1.84,0.69,       -,-1.22,       -,       -,       -,0.44,-0.23
 ALUGUEL DE VEÍCULO,-11.56,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.56
 MOTOCICLETA,0.51,-0.3,1.14,0.24,1.69,0.13,0.64,0.31,1.32,0.55,0.11,0.03,0.76,0,0.21,0.39,0.8
